"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",307.96000,2000,22000,"uV"

"time","value"
307.96000,2.436827112
307.96050,4.267993559
307.96100,6.099160005
307.96150,9.45629849
307.96200,12.50824257
307.96250,11.28746494
307.96300,4.573187966
307.96350,-2.751477819
307.96400,-5.19303308
307.96450,-3.361866634
307.96500,-1.530700188
307.96550,-1.22550578
307.96600,0.9108550739
307.96650,4.878382374
307.96700,4.573187966
307.96750,-3.056672226
307.96800,-13.7384765
307.96850,-18.62158702
307.96900,-14.65405972
307.96950,-6.108616303
307.97000,0.3004662585
307.97050,2.74202152
307.97100,1.521243889
307.97150,-0.3099225569
307.97200,-1.835894595
307.97250,-1.835894595
307.97300,-1.22550578
307.97350,-0.9203113723
307.97400,-1.22550578
307.97450,-2.141089003
307.97500,-3.361866634
307.97550,-3.667061042
307.97600,-2.446283411
307.97650,-0.6151169646
307.97700,-0.3099225569
307.97750,-1.530700188
307.97800,-2.446283411
307.97850,-1.530700188
307.97900,-0.004728149245
307.97950,1.216049482
307.98000,2.131632705
307.98050,2.74202152
307.98100,1.216049482
307.98150,-1.22550578
307.98200,-2.751477819
307.98250,-1.835894595
307.98300,-0.004728149245
307.98350,1.521243889
307.98400,3.657604743
307.98450,5.793965597
307.98500,8.235520859
307.98550,10.98227053
307.98600,14.03421461
307.98650,14.64460342
307.98700,11.59265934
307.98750,10.0666873
307.98800,14.03421461
307.98850,18.00174191
307.98900,10.67707612
307.98950,-8.855365973
307.99000,-25.33586399
307.99050,-25.6410584
307.99100,-14.0436709
307.99150,-5.19303308
307.99200,-3.972255449
307.99250,-3.972255449
307.99300,-1.835894595
307.99350,-0.3099225569
307.99400,-2.141089003
307.99450,-3.972255449
307.99500,-2.751477819
307.99550,-0.3099225569
307.99600,-0.3099225569
307.99650,-2.141089003
307.99700,-2.751477819
307.99750,-0.9203113723
307.99800,0.9108550739
307.99850,1.216049482
307.99900,0.3004662585
307.99950,-0.004728149245
308.00000,-0.004728149245
308.00050,1.216049482
308.00100,2.131632705
308.00150,2.74202152
308.00200,3.657604743
308.00250,3.962799151
308.00300,2.74202152
308.00350,1.521243889
308.00400,1.521243889
308.00450,2.131632705
308.00500,1.521243889
308.00550,-0.004728149245
308.00600,-1.22550578
308.00650,-0.9203113723
308.00700,-0.9203113723
308.00750,-2.141089003
308.00800,-2.446283411
308.00850,-0.6151169646
308.00900,0.9108550739
308.00950,1.216049482
308.01000,1.216049482
308.01050,2.131632705
308.01100,3.047215928
308.01150,2.131632705
308.01200,-0.004728149245
308.01250,-1.530700188
308.01300,-3.056672226
308.01350,-5.803421896
308.01400,-8.855365973
308.01450,-9.16056038
308.01500,-6.108616303
308.01550,-1.530700188
308.01600,0.9108550739
308.01650,0.3004662585
308.01700,-1.530700188
308.01750,-3.361866634
308.01800,-3.361866634
308.01850,-1.22550578
308.01900,1.521243889
308.01950,3.352410335
308.02000,3.352410335
308.02050,2.74202152
308.02100,3.352410335
308.02150,3.657604743
308.02200,3.352410335
308.02250,3.047215928
308.02300,3.047215928
308.02350,2.436827112
308.02400,-0.004728149245
308.02450,-2.446283411
308.02500,-1.835894595
