"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",318.96000,2000,22000,"uV"

"time","value"
318.96000,0.9883357131
318.96050,2.819502159
318.96100,3.124696567
318.96150,1.598724528
318.96200,0.07275248999
318.96250,-0.2324419177
318.96300,-0.2324419177
318.96350,-0.8428307331
318.96400,-2.063608364
318.96450,-2.673997179
318.96500,-2.368802772
318.96550,-2.063608364
318.96600,-1.148025141
318.96650,-0.5376363254
318.96700,-1.148025141
318.96750,-2.368802772
318.96800,-3.589580402
318.96850,-3.589580402
318.96900,-3.284385995
318.96950,-3.284385995
318.97000,-2.673997179
318.97050,-2.063608364
318.97100,-2.063608364
318.97150,-2.368802772
318.97200,-1.758413956
318.97250,-0.2324419177
318.97300,0.9883357131
318.97350,0.3779468977
318.97400,-0.2324419177
318.97450,0.07275248999
318.97500,1.293530121
318.97550,0.9883357131
318.97600,-0.2324419177
318.97650,-0.8428307331
318.97700,-0.5376363254
318.97750,-0.2324419177
318.97800,-0.5376363254
318.97850,-0.2324419177
318.97900,0.9883357131
318.97950,1.293530121
318.98000,1.293530121
318.98050,1.293530121
318.98100,1.903918936
318.98150,1.903918936
318.98200,1.598724528
318.98250,1.598724528
318.98300,2.514307752
318.98350,2.514307752
318.98400,2.209113344
318.98450,1.598724528
318.98500,1.598724528
318.98550,1.903918936
318.98600,2.514307752
318.98650,2.819502159
318.98700,1.903918936
318.98750,0.07275248999
318.98800,-0.8428307331
318.98850,-0.8428307331
318.98900,-0.2324419177
318.98950,-0.8428307331
318.99000,-2.368802772
318.99050,-2.673997179
318.99100,-1.758413956
318.99150,-1.453219549
318.99200,-2.979191587
318.99250,-4.199969218
318.99300,-3.589580402
318.99350,-2.063608364
318.99400,-1.148025141
318.99450,-0.5376363254
318.99500,0.3779468977
318.99550,1.903918936
318.99600,2.209113344
318.99650,1.293530121
318.99700,-0.2324419177
318.99750,-0.5376363254
318.99800,-0.5376363254
318.99850,-0.2324419177
318.99900,-0.2324419177
318.99950,-0.2324419177
319.00000,0.07275248999
319.00050,0.07275248999
319.00100,0.07275248999
319.00150,0.6831413054
319.00200,1.903918936
319.00250,2.209113344
319.00300,0.9883357131
319.00350,-0.2324419177
319.00400,-1.148025141
319.00450,-2.063608364
319.00500,-3.284385995
319.00550,-4.199969218
319.00600,-3.89477481
319.00650,-2.979191587
319.00700,-1.453219549
319.00750,-0.2324419177
319.00800,0.3779468977
319.00850,-0.8428307331
319.00900,-3.589580402
319.00950,-4.505163626
319.01000,-3.284385995
319.01050,-2.368802772
319.01100,-2.673997179
319.01150,-2.063608364
319.01200,0.9883357131
319.01250,4.04027979
319.01300,3.735085382
319.01350,0.3779468977
319.01400,-1.758413956
319.01450,-1.758413956
319.01500,-0.8428307331
319.01550,-0.5376363254
319.01600,-0.8428307331
319.01650,-1.148025141
319.01700,-1.453219549
319.01750,-1.453219549
319.01800,-0.5376363254
319.01850,0.07275248999
319.01900,0.3779468977
319.01950,-0.2324419177
319.02000,-1.148025141
319.02050,-1.453219549
319.02100,-0.2324419177
319.02150,1.293530121
319.02200,2.514307752
319.02250,1.903918936
319.02300,0.3779468977
319.02350,-1.453219549
319.02400,-3.89477481
319.02450,-5.420746849
319.02500,-5.115552441
319.02550,-2.673997179
319.02600,-0.5376363254
319.02650,0.07275248999
319.02700,0.3779468977
319.02750,1.598724528
319.02800,2.819502159
319.02850,1.293530121
319.02900,-1.453219549
319.02950,-4.199969218
319.03000,-4.199969218
319.03050,-2.368802772
319.03100,-0.2324419177
319.03150,-0.2324419177
319.03200,-0.5376363254
319.03250,-1.453219549
319.03300,-1.453219549
319.03350,-0.2324419177
319.03400,0.6831413054
319.03450,0.9883357131
319.03500,-0.2324419177
319.03550,-1.758413956
319.03600,-2.979191587
319.03650,-2.979191587
319.03700,-1.758413956
319.03750,-0.8428307331
319.03800,-1.453219549
319.03850,-2.673997179
319.03900,-2.673997179
319.03950,-1.148025141
319.04000,-0.2324419177
319.04050,-0.5376363254
319.04100,-1.453219549
319.04150,-0.5376363254
319.04200,0.9883357131
319.04250,1.598724528
319.04300,0.3779468977
319.04350,-0.5376363254
319.04400,-0.2324419177
319.04450,0.3779468977
319.04500,0.6831413054
319.04550,0.07275248999
319.04600,0.07275248999
319.04650,0.3779468977
319.04700,0.3779468977
319.04750,-0.2324419177
319.04800,0.07275248999
319.04850,0.6831413054
319.04900,0.6831413054
319.04950,0.9883357131
319.05000,1.598724528
319.05050,1.903918936
319.05100,0.9883357131
319.05150,-0.5376363254
319.05200,-0.5376363254
319.05250,1.293530121
319.05300,2.209113344
319.05350,0.9883357131
319.05400,-0.5376363254
319.05450,-0.8428307331
319.05500,-0.2324419177
319.05550,-0.5376363254
319.05600,-1.453219549
319.05650,-0.2324419177
319.05700,1.293530121
319.05750,1.903918936
319.05800,1.293530121
319.05850,1.598724528
319.05900,2.514307752
319.05950,2.819502159
319.06000,1.598724528
319.06050,0.6831413054
319.06100,0.6831413054
319.06150,0.9883357131
319.06200,0.3779468977
319.06250,0.3779468977
319.06300,1.598724528
319.06350,4.04027979
319.06400,6.481835052
319.06450,8.313001498
319.06500,8.618195906
319.06550,7.397418275
319.06600,4.955863013
319.06650,2.819502159
319.06700,1.293530121
319.06750,0.07275248999
319.06800,-1.148025141
319.06850,-1.758413956
319.06900,-1.758413956
319.06950,-1.453219549
319.07000,-1.758413956
319.07050,-2.063608364
319.07100,-2.673997179
319.07150,-2.979191587
319.07200,-2.673997179
319.07250,-0.8428307331
319.07300,1.293530121
319.07350,1.598724528
319.07400,-0.2324419177
319.07450,-2.673997179
319.07500,-2.673997179
319.07550,-0.2324419177
319.07600,1.903918936
319.07650,2.209113344
319.07700,0.9883357131
319.07750,0.6831413054
319.07800,2.209113344
319.07850,4.04027979
319.07900,4.04027979
319.07950,2.209113344
319.08000,0.3779468977
319.08050,-0.8428307331
