time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
329.96,-0.02516595566,5.566251829,2.19386125,-1.530700188,-0.2438809885
329.9605,4.857944568,6.481835052,3.41463888,0.9108550739,0.3665078269
329.961,4.857944568,6.481835052,3.719833288,0.9108550739,3.113257496
329.9615,3.331972529,5.871446236,2.19386125,0.6056606662,3.723646312
329.962,5.163138975,4.345474198,0.9730836188,0.9108550739,1.28209105
329.9625,9.741055091,2.819502159,1.888666842,1.521243889,-0.8542698039
329.963,11.26702713,1.293530121,4.025027696,0.6056606662,-0.2438809885
329.9635,7.909888645,-0.2324419177,4.635416511,-0.3099225569,1.892479865
329.964,5.773527791,-0.5376363254,2.804250065,-0.3099225569,3.113257496
329.9645,7.604694237,-0.8428307331,0.6678892111,-0.004728149245,2.502868681
329.965,10.0462495,-1.453219549,0.05750039565,-0.004728149245,1.892479865
329.9655,9.435860683,-3.284385995,0.3626948034,-0.9203113723,3.113257496
329.966,6.689111014,-5.725941256,0.9730836188,-1.835894595,4.639229535
329.9665,5.773527791,-6.946718887,0.6678892111,-1.530700188,4.334035127
329.967,5.468333383,-6.031135664,0.05750039565,-0.9203113723,2.808063089
329.9675,3.331972529,-4.199969218,0.05750039565,-0.6151169646,1.28209105
329.968,-0.02516595566,-2.368802772,0.9730836188,-0.6151169646,0.9768966423
329.9685,-2.771915625,-0.2324419177,1.583472434,-0.6151169646,0.9768966423
329.969,-3.687498848,1.293530121,2.19386125,-0.3099225569,0.9768966423
329.9695,-4.908276479,1.293530121,1.888666842,-0.6151169646,1.587285458
329.97,-7.34983174,-0.5376363254,0.9730836188,-1.530700188,2.808063089
329.9705,-10.09658141,-2.673997179,0.05750039565,-2.446283411,3.113257496
329.971,-11.31735904,-2.673997179,0.05750039565,-3.056672226,2.197674273
329.9715,-11.62255345,-0.8428307331,0.3626948034,-3.056672226,1.28209105
329.972,-12.23294226,-0.2324419177,0.6678892111,-3.056672226,1.892479865
329.9725,-13.7589143,-1.453219549,0.6678892111,-3.361866634,3.113257496
329.973,-16.20046956,-2.368802772,0.3626948034,-3.972255449,3.113257496
329.9735,-17.7264416,-1.453219549,0.05750039565,-3.361866634,1.587285458
