"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",351.96000,2000,22000,"uV"

"time","value"
351.96000,18.28649851
351.96050,10.0462495
351.96100,6.383916606
351.96150,7.604694237
351.96200,9.130666275
351.96250,7.604694237
351.96300,5.468333383
351.96350,8.215083052
351.96400,15.84494324
351.96450,22.25402581
351.96500,21.03324818
351.96550,13.40338798
351.96600,5.468333383
351.96650,1.806000491
351.96700,2.111194898
351.96750,2.416389306
351.96800,1.500806083
351.96850,0.5852228597
351.96900,0.5852228597
351.96950,-0.02516595566
351.97000,-2.16152681
351.97050,-5.518665294
351.97100,-8.265414964
351.97150,-9.486192594
351.97200,-10.40177582
351.97250,-11.62255345
351.97300,-13.45371989
351.97350,-15.89527516
351.97400,-17.7264416
351.97450,-18.03163601
351.97500,-18.33683042
351.97550,-20.16799686
351.97600,-23.52513535
351.97650,-25.6614962
351.97700,-24.74591298
351.97750,-20.47319127
351.97800,-13.45371989
351.97850,-5.823859702
351.97900,-1.245943586
351.97950,-2.771915625
351.98000,-8.875803779
351.98050,-14.36930312
351.98100,-16.81085838
351.98150,-17.7264416
351.98200,-19.25241364
351.98250,-15.89527516
351.98300,-3.077110033
351.98350,15.23455443
351.98400,27.44233074
351.98450,26.52674751
351.98500,18.28649851
351.98550,13.09819358
351.98600,15.53974884
351.98650,21.9488314
351.98700,26.83194192
351.98750,28.35791396
351.98800,27.13713633
351.98850,26.52674751
351.98900,29.27349718
351.98950,34.46180211
351.99000,37.51374619
351.99050,34.15660771
351.99100,23.77999785
351.99150,9.741055091
351.99200,-3.687498848
351.99250,-14.36930312
351.99300,-20.16799686
351.99350,-20.77838568
351.99400,-18.33683042
351.99450,-16.20046956
351.99500,-15.28488634
351.99550,-15.59008075
351.99600,-17.11605279
351.99650,-18.33683042
351.99700,-17.42124719
351.99750,-12.84333108
351.99800,-7.960220556
351.99850,-6.434248517
351.99900,-7.655026148
351.99950,-7.655026148
352.00000,-5.518665294
352.00050,-1.856332402
352.00100,1.500806083
352.00150,6.383916606
352.00200,11.87741594
352.00250,15.84494324
352.00300,18.28649851
352.00350,20.42285936
352.00400,21.64363699
352.00450,19.81247054
352.00500,16.45533206
352.00550,14.62416561
352.00600,15.23455443
352.00650,14.0137768
352.00700,9.741055091
352.00750,5.163138975
352.00800,3.942361344
352.00850,4.857944568
352.00900,5.773527791
352.00950,6.383916606
352.01000,6.078722198
352.01050,1.806000491
352.01100,-6.739442925
352.01150,-14.06410871
352.01200,-13.45371989
352.01250,-7.655026148
352.01300,-3.992693256
352.01350,-7.044637333
352.01400,-12.23294226
352.01450,-14.36930312
352.01500,-14.36930312
352.01550,-14.97969193
352.01600,-16.50566397
352.01650,-16.50566397
352.01700,-14.67449753
352.01750,-12.84333108
352.01800,-11.92774786
352.01850,-10.40177582
352.01900,-8.265414964
352.01950,-6.434248517
352.02000,-5.518665294
352.02050,-4.603082071
352.02100,-2.466721217
352.02150,-0.02516595566
352.02200,2.721583714
352.02250,6.689111014
352.02300,10.65663831
352.02350,12.18261035
352.02400,11.87741594
352.02450,12.18261035
352.02500,12.79299917
352.02550,12.48780476
352.02600,10.0462495
352.02650,7.909888645
352.02700,6.078722198
352.02750,2.111194898
352.02800,-3.077110033
352.02850,-5.213470887
352.02900,-1.245943586
352.02950,3.026778121
352.03000,2.416389306
352.03050,-2.771915625
352.03100,-7.655026148
352.03150,-9.791387002
352.03200,-11.62255345
352.03250,-15.59008075
352.03300,-18.94721923
352.03350,-18.94721923
352.03400,-14.06410871
352.03450,-5.518665294
352.03500,3.026778121
352.03550,6.383916606
352.03600,2.111194898
352.03650,-5.518665294
352.03700,-9.180998187
352.03750,-7.044637333
352.03800,-3.687498848
352.03850,-3.687498848
352.03900,-5.823859702
352.03950,-6.12905411
352.04000,-4.603082071
352.04050,-3.077110033
352.04100,-3.38230444
352.04150,-3.992693256
352.04200,-2.771915625
352.04250,0.280028452
352.04300,3.942361344
352.04350,3.942361344
352.04400,-0.6355547711
352.04450,-8.265414964
352.04500,-15.28488634
352.04550,-18.64202483
352.04600,-17.7264416
352.04650,-11.01216463
352.04700,3.942361344
352.04750,25.30596988
352.04800,42.09166231
352.04850,43.31243994
352.04900,29.27349718
352.04950,13.09819358
352.05000,4.247555752
352.05050,-1.856332402
352.05100,-12.23294226
352.05150,-21.38877449
352.05200,-17.42124719
352.05250,-1.551137994
352.05300,12.48780476
352.05350,15.23455443
352.05400,9.435860683
352.05450,1.195611675
352.05500,-8.570609371
352.05550,-18.03163601
352.05600,-19.55760805
352.05650,-9.791387002
352.05700,1.500806083
352.05750,4.247555752
352.05800,-0.3303603634
352.05850,-3.687498848
352.05900,-3.687498848
352.05950,-5.518665294
352.06000,-9.791387002
352.06050,-11.01216463
352.06100,-7.960220556
352.06150,-4.908276479
352.06200,-0.6355547711
