"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",362.96000,2000,22000,"uV"

"time","value"
362.96000,-0.8542698039
362.96050,-2.075047435
362.96100,-0.8542698039
362.96150,1.892479865
362.96200,3.723646312
362.96250,3.113257496
362.96300,3.113257496
362.96350,5.24961835
362.96400,7.080784796
362.96450,6.470395981
362.96500,5.554812758
362.96550,7.385979204
362.96600,9.21714565
362.96650,6.165201573
362.96700,0.06131341924
362.96750,-3.295825065
362.96800,-0.8542698039
362.96850,2.808063089
362.96900,3.723646312
362.96950,2.502868681
362.97000,2.808063089
362.97050,3.418451904
362.97100,2.197674273
362.97150,0.06131341924
362.97200,-1.159464212
362.97250,-0.8542698039
362.97300,0.06131341924
362.97350,0.3665078269
362.97400,1.587285458
362.97450,2.197674273
362.97500,0.3665078269
362.97550,-2.380241842
362.97600,-2.990630658
362.97650,0.06131341924
362.97700,3.723646312
362.97750,5.24961835
362.97800,4.028840719
362.97850,4.334035127
362.97900,6.470395981
362.97950,7.080784796
362.98000,1.892479865
362.98050,-7.263352366
362.98100,-14.58801815
362.98150,-15.80879578
362.98200,-12.14646289
362.98250,-8.789324404
362.98300,-7.263352366
362.98350,-5.432185919
362.98400,-2.380241842
362.98450,0.9768966423
362.98500,2.808063089
362.98550,3.418451904
362.98600,4.028840719
362.98650,4.334035127
362.98700,3.723646312
362.98750,1.892479865
362.98800,-0.5490753962
362.98850,-3.295825065
362.98900,-4.821797104
362.98950,-3.906213881
362.99000,-2.380241842
362.99050,-3.906213881
362.99100,-11.23087967
362.99150,-19.16593427
362.99200,-20.99710071
362.99250,-16.4191846
362.99300,-9.704907627
362.99350,-4.516602696
362.99400,0.3665078269
362.99450,6.775590389
362.99500,12.87947854
362.99550,14.71064499
362.99600,11.96389532
362.99650,6.470395981
362.99700,0.9768966423
362.99750,-2.380241842
362.99800,-2.990630658
362.99850,-2.075047435
362.99900,-1.159464212
362.99950,-0.8542698039
363.00000,-0.2438809885
363.00050,1.28209105
363.00100,2.502868681
363.00150,2.197674273
363.00200,0.6717022346
363.00250,0.06131341924
363.00300,0.06131341924
363.00350,-0.5490753962
363.00400,-1.159464212
363.00450,-0.8542698039
363.00500,0.06131341924
363.00550,0.6717022346
363.00600,0.3665078269
363.00650,-0.2438809885
363.00700,-0.5490753962
363.00750,-0.5490753962
363.00800,-0.2438809885
363.00850,0.06131341924
363.00900,-0.2438809885
363.00950,-0.2438809885
363.01000,0.06131341924
363.01050,1.28209105
363.01100,1.587285458
363.01150,0.3665078269
363.01200,0.06131341924
363.01250,1.587285458
363.01300,4.028840719
363.01350,3.723646312
363.01400,0.3665078269
363.01450,-2.075047435
363.01500,-1.464658619
363.01550,0.6717022346
363.01600,2.197674273
363.01650,2.808063089
363.01700,3.113257496
363.01750,3.723646312
363.01800,4.028840719
363.01850,3.723646312
363.01900,3.418451904
363.01950,4.028840719
363.02000,3.418451904
363.02050,0.3665078269
363.02100,-3.295825065
363.02150,-4.821797104
363.02200,-2.380241842
363.02250,0.6717022346
363.02300,3.418451904
363.02350,5.554812758
363.02400,8.606756835
363.02450,10.74311769
363.02500,7.385979204
363.02550,-1.769853027
363.02600,-10.92568526
363.02650,-13.36724052
363.02700,-8.484129996
363.02750,-2.380241842
363.02800,0.06131341924
363.02850,-0.5490753962
363.02900,-1.464658619
363.02950,-0.8542698039
363.03000,0.9768966423
363.03050,3.723646312
363.03100,5.554812758
363.03150,6.165201573
363.03200,4.334035127
363.03250,-0.8542698039
363.03300,-7.873741181
363.03350,-10.31529644
363.03400,-5.432185919
363.03450,2.808063089
363.03500,5.554812758
363.03550,0.6717022346
363.03600,-3.906213881
363.03650,-1.769853027
363.03700,3.723646312
363.03750,5.24961835
363.03800,3.418451904
363.03850,5.860007166
363.03900,11.65870091
363.03950,11.96389532
363.04000,2.808063089
363.04050,-6.65296355
363.04100,-8.789324404
363.04150,-4.516602696
363.04200,-1.464658619
363.04250,-1.464658619
363.04300,-1.464658619
363.04350,-0.8542698039
363.04400,-1.769853027
363.04450,-3.906213881
363.04500,-3.906213881
363.04550,-1.464658619
363.04600,-0.2438809885
363.04650,-1.464658619
363.04700,-2.990630658
363.04750,-2.68543625
363.04800,-1.769853027
363.04850,-1.464658619
363.04900,0.06131341924
363.04950,3.113257496
363.05000,6.775590389
363.05050,9.522340058
363.05100,11.65870091
363.05150,13.79506177
363.05200,14.71064499
363.05250,12.87947854
363.05300,9.522340058
363.05350,6.165201573
363.05400,3.418451904
363.05450,0.06131341924
363.05500,-2.68543625
363.05550,-4.211408289
363.05600,-3.295825065
363.05650,-2.075047435
363.05700,-2.075047435
363.05750,-3.906213881
363.05800,-6.042574735
363.05850,-6.65296355
363.05900,-5.737380327
363.05950,-2.68543625
363.06000,0.3665078269
363.06050,2.197674273
363.06100,0.6717022346
363.06150,-1.769853027
363.06200,-3.295825065
363.06250,-2.68543625
363.06300,-2.380241842
363.06350,-2.990630658
363.06400,-3.601019473
363.06450,-2.68543625
363.06500,-0.8542698039
363.06550,-0.8542698039
363.06600,-1.464658619
363.06650,-2.075047435
363.06700,-1.464658619
363.06750,-1.159464212
363.06800,-0.8542698039
363.06850,0.06131341924
363.06900,0.9768966423
363.06950,0.9768966423
363.07000,0.3665078269
363.07050,0.06131341924
363.07100,0.06131341924
363.07150,0.06131341924
363.07200,-0.2438809885
363.07250,0.06131341924
363.07300,0.06131341924
363.07350,-1.159464212
363.07400,-3.295825065
363.07450,-2.990630658
363.07500,-0.8542698039
363.07550,1.28209105
363.07600,2.502868681
363.07650,3.113257496
363.07700,3.418451904
363.07750,3.418451904
363.07800,3.113257496
363.07850,2.808063089
363.07900,2.502868681
363.07950,0.9768966423
363.08000,-0.2438809885
363.08050,0.6717022346
363.08100,3.723646312
363.08150,5.554812758
363.08200,4.639229535
363.08250,1.28209105
363.08300,-1.769853027
363.08350,-5.126991512
363.08400,-6.958157958
363.08450,-6.958157958
363.08500,-4.821797104
363.08550,-2.380241842
363.08600,-0.2438809885
363.08650,0.9768966423
363.08700,1.892479865
363.08750,1.587285458
363.08800,0.6717022346
363.08850,0.9768966423
363.08900,2.808063089
363.08950,4.028840719
363.09000,3.113257496
363.09050,0.9768966423
363.09100,-0.5490753962
363.09150,-0.8542698039
363.09200,0.06131341924
363.09250,1.892479865
363.09300,4.334035127
363.09350,5.554812758
363.09400,5.24961835
363.09450,3.723646312
363.09500,0.9768966423
363.09550,-2.380241842
363.09600,-4.821797104
363.09650,-4.821797104
363.09700,-3.295825065
363.09750,-2.075047435
363.09800,-0.5490753962
363.09850,3.418451904
363.09900,8.606756835
363.09950,8.911951243
363.10000,3.113257496
363.10050,-3.601019473
363.10100,-6.042574735
363.10150,-3.906213881
363.10200,-1.464658619
363.10250,-0.8542698039
363.10300,-1.464658619
363.10350,-2.990630658
363.10400,-4.516602696
363.10450,-5.126991512
363.10500,-4.211408289
363.10550,-3.906213881
363.10600,-6.347769142
363.10650,-8.789324404
363.10700,-8.178935589
363.10750,-5.432185919
363.10800,-4.516602696
363.10850,-6.042574735
363.10900,-6.347769142
363.10950,-2.990630658
363.11000,1.28209105
363.11050,3.723646312
363.11100,4.028840719
363.11150,4.639229535
363.11200,7.385979204
363.11250,10.74311769
363.11300,11.65870091
363.11350,8.301562427
363.11400,3.113257496
363.11450,-0.5490753962
363.11500,-0.5490753962
363.11550,1.892479865
363.11600,4.028840719
363.11650,3.113257496
363.11700,1.28209105
363.11750,1.587285458
363.11800,3.723646312
363.11850,4.944423942
363.11900,5.24961835
363.11950,6.470395981
363.12000,8.911951243
363.12050,9.827534466
363.12100,6.470395981
363.12150,1.892479865
363.12200,0.3665078269
363.12250,2.197674273
363.12300,1.28209105
363.12350,-5.126991512
363.12400,-13.06204611
363.12450,-15.50360137
363.12500,-10.92568526
363.12550,-5.432185919
363.12600,-3.601019473
363.12650,-4.821797104
363.12700,-3.906213881
363.12750,0.06131341924
363.12800,5.860007166
363.12850,9.21714565
363.12900,8.301562427
363.12950,4.028840719
363.13000,0.06131341924
363.13050,-1.769853027
363.13100,-0.8542698039
363.13150,0.6717022346
363.13200,1.587285458
363.13250,2.197674273
363.13300,2.808063089
363.13350,2.502868681
363.13400,0.06131341924
363.13450,-2.990630658
363.13500,-3.906213881
363.13550,-1.159464212
363.13600,5.24961835
363.13650,13.18467295
363.13700,18.9833667
363.13750,18.9833667
363.13800,11.0483121
363.13850,0.3665078269
363.13900,-5.126991512
363.13950,-4.821797104
363.14000,-4.516602696
363.14050,-9.39971322
363.14100,-14.89321256
363.14150,-13.06204611
363.14200,-3.601019473
363.14250,4.944423942
363.14300,4.334035127
363.14350,-5.126991512
363.14400,-17.02957341
363.14450,-24.96462801
363.14500,-25.57501683
363.14550,-20.99710071
363.14600,-15.19840697
363.14650,-11.23087967
363.14700,-8.789324404
363.14750,-5.126991512
363.14800,-1.159464212
363.14850,0.3665078269
363.14900,-0.5490753962
363.14950,-2.380241842
363.15000,-2.990630658
363.15050,-2.380241842
363.15100,-1.159464212
363.15150,-0.2438809885
363.15200,-0.8542698039
363.15250,-3.601019473
363.15300,-7.873741181
363.15350,-9.094518812
363.15400,-6.65296355
363.15450,-2.68543625
363.15500,-0.8542698039
363.15550,-0.2438809885
363.15600,0.06131341924
363.15650,1.892479865
363.15700,3.418451904
363.15750,5.24961835
363.15800,7.080784796
363.15850,8.301562427
363.15900,7.385979204
363.15950,5.24961835
363.16000,3.418451904
363.16050,1.587285458
363.16100,-0.5490753962
363.16150,-3.906213881
363.16200,-5.432185919
363.16250,-3.906213881
363.16300,-0.5490753962
363.16350,2.502868681
363.16400,3.418451904
363.16450,2.808063089
363.16500,2.197674273
363.16550,3.723646312
363.16600,6.775590389
363.16650,9.522340058
363.16700,9.21714565
363.16750,6.775590389
363.16800,5.24961835
363.16850,5.24961835
363.16900,5.24961835
363.16950,2.808063089
363.17000,0.06131341924
363.17050,-1.769853027
363.17100,-0.5490753962
363.17150,0.9768966423
363.17200,1.892479865
363.17250,1.892479865
363.17300,1.892479865
363.17350,2.808063089
