"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",153.96000,2000,22000,"uV"

"time","value"
153.96000,16.54181144
153.96050,17.45739466
153.96100,16.54181144
153.96150,17.76258907
153.96200,21.42492196
153.96250,23.56128281
153.96300,22.03531077
153.96350,16.54181144
153.96400,9.827534466
153.96450,5.24961835
153.96500,4.944423942
153.96550,6.470395981
153.96600,4.028840719
153.96650,-4.211408289
153.96700,-12.14646289
153.96750,-14.89321256
153.96800,-16.4191846
153.96850,-23.43865597
153.96900,-34.42565465
153.96950,-39.91915399
153.97000,-35.64643228
153.97050,-28.01657209
153.97100,-23.43865597
153.97150,-20.3867119
153.97200,-14.89321256
153.97250,-6.042574735
153.97300,3.418451904
153.97350,13.18467295
153.97400,22.03531077
153.97450,26.00283807
153.97500,21.42492196
153.97550,10.43792328
153.97600,0.9768966423
153.97650,-1.769853027
153.97700,0.06131341924
153.97750,1.587285458
153.97800,0.6717022346
153.97850,-2.075047435
153.97900,-4.821797104
153.97950,-7.568546773
153.98000,-10.01010203
153.98050,-11.53607407
153.98100,-11.53607407
153.98150,-9.39971322
153.98200,-6.042574735
153.98250,-2.380241842
153.98300,-0.2438809885
153.98350,-0.2438809885
153.98400,0.3665078269
153.98450,5.554812758
153.98500,15.62622821
153.98550,24.78206044
153.98600,26.00283807
153.98650,18.9833667
153.98700,11.3535065
153.98750,9.21714565
153.98800,9.522340058
153.98850,4.639229535
153.98900,-7.873741181
153.98950,-22.52307275
153.99000,-31.37371057
153.99050,-31.98409939
153.99100,-26.79579446
153.99150,-20.3867119
153.99200,-15.19840697
153.99250,-12.7568517
153.99300,-11.84126848
153.99350,-9.704907627
153.99400,-3.906213881
153.99450,3.723646312
153.99500,11.0483121
153.99550,16.84700584
153.99600,24.17167163
153.99650,32.71711504
153.99700,37.60022557
153.99750,33.63269827
153.99800,20.81453314
153.99850,4.944423942
153.99900,-7.873741181
153.99950,-16.4191846
154.00000,-21.30229512
154.00050,-24.96462801
154.00100,-28.6269609
154.00150,-30.15293294
154.00200,-25.88021124
154.00250,-15.80879578
154.00300,-5.737380327
154.00350,-0.8542698039
154.00400,-0.2438809885
154.00450,0.9768966423
154.00500,5.554812758
154.00550,8.606756835
154.00600,6.470395981
154.00650,1.28209105
154.00700,-2.380241842
154.00750,-3.295825065
154.00800,-1.769853027
154.00850,0.9768966423
154.00900,4.334035127
154.00950,5.554812758
154.01000,4.028840719
154.01050,0.9768966423
154.01100,-0.2438809885
154.01150,1.28209105
154.01200,7.080784796
154.01250,15.62622821
154.01300,22.64569959
154.01350,22.64569959
154.01400,13.79506177
154.01450,1.587285458
154.01500,-4.821797104
154.01550,-3.601019473
154.01600,-1.159464212
154.01650,-2.68543625
154.01700,-6.958157958
154.01750,-9.094518812
154.01800,-8.178935589
154.01850,-6.958157958
154.01900,-7.568546773
154.01950,-9.094518812
154.02000,-10.31529644
154.02050,-10.01010203
154.02100,-6.347769142
154.02150,0.9768966423
154.02200,8.911951243
154.02250,10.74311769
154.02300,5.554812758
154.02350,0.6717022346
154.02400,4.639229535
154.02450,16.23661703
154.02500,24.78206044
154.02550,22.950894
154.02600,14.10025617
154.02650,7.996368019
154.02700,11.0483121
154.02750,20.50933874
