"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",175.96000,2000,22000,"uV"

"time","value"
175.96000,7.625132043
175.96050,7.014743228
175.96100,6.404354412
175.96150,6.099160005
175.96200,5.793965597
175.96250,4.878382374
175.96300,3.352410335
175.96350,2.436827112
175.96400,2.74202152
175.96450,4.573187966
175.96500,5.793965597
175.96550,5.793965597
175.96600,5.488771189
175.96650,4.878382374
175.96700,2.74202152
175.96750,-0.9203113723
175.96800,-3.972255449
175.96850,-3.972255449
175.96900,-1.835894595
175.96950,-0.9203113723
175.97000,-2.141089003
175.97050,-3.972255449
175.97100,-4.277449857
175.97150,-3.056672226
175.97200,-2.141089003
175.97250,-2.141089003
175.97300,-3.361866634
175.97350,-4.582644265
175.97400,-4.277449857
175.97450,-1.835894595
175.97500,1.216049482
175.97550,3.657604743
175.97600,3.962799151
175.97650,2.74202152
175.97700,0.9108550739
175.97750,-0.3099225569
175.97800,-0.9203113723
175.97850,-0.6151169646
175.97900,-0.004728149245
175.97950,-0.3099225569
175.98000,-1.530700188
175.98050,-3.056672226
175.98100,-3.667061042
175.98150,-3.056672226
175.98200,-2.141089003
175.98250,-1.835894595
175.98300,-3.361866634
175.98350,-5.19303308
175.98400,-4.582644265
175.98450,-1.530700188
175.98500,0.6056606662
175.98550,0.6056606662
175.98600,-0.9203113723
175.98650,-2.141089003
175.98700,-1.22550578
175.98750,-0.9203113723
175.98800,-2.141089003
175.98850,-3.667061042
175.98900,-2.751477819
175.98950,-0.6151169646
175.99000,-0.004728149245
175.99050,-1.22550578
175.99100,-1.530700188
175.99150,0.3004662585
175.99200,3.962799151
175.99250,6.099160005
175.99300,7.319937636
175.99350,8.540715266
175.99400,10.0666873
175.99450,9.151104082
175.99500,6.404354412
175.99550,3.352410335
175.99600,1.521243889
175.99650,0.3004662585
175.99700,-0.004728149245
175.99750,0.3004662585
175.99800,1.216049482
175.99850,0.3004662585
175.99900,-1.835894595
175.99950,-3.972255449
176.00000,-4.277449857
176.00050,-3.361866634
176.00100,-1.22550578
176.00150,1.521243889
176.00200,3.962799151
176.00250,3.657604743
176.00300,1.521243889
176.00350,0.9108550739
176.00400,2.131632705
176.00450,1.826438297
176.00500,-0.6151169646
176.00550,-3.361866634
176.00600,-3.056672226
176.00650,-1.835894595
176.00700,-1.530700188
176.00750,-1.530700188
176.00800,-0.6151169646
176.00850,-0.004728149245
176.00900,-0.004728149245
176.00950,-0.3099225569
176.01000,-0.6151169646
176.01050,-0.9203113723
176.01100,-0.9203113723
176.01150,-0.004728149245
176.01200,0.9108550739
176.01250,1.826438297
176.01300,1.521243889
176.01350,0.9108550739
176.01400,-0.004728149245
176.01450,-0.9203113723
176.01500,-0.9203113723
176.01550,-0.004728149245
176.01600,0.6056606662
176.01650,0.3004662585
176.01700,0.3004662585
176.01750,1.216049482
176.01800,0.9108550739
176.01850,-1.835894595
176.01900,-5.498227488
176.01950,-5.19303308
176.02000,-2.446283411
176.02050,-0.9203113723
176.02100,-2.141089003
176.02150,-3.056672226
176.02200,-3.056672226
176.02250,-3.667061042
176.02300,-4.582644265
176.02350,-4.277449857
176.02400,-3.056672226
176.02450,-2.751477819
176.02500,-3.667061042
176.02550,-3.361866634
176.02600,-2.446283411
176.02650,-2.446283411
176.02700,-4.582644265
176.02750,-5.498227488
176.02800,-5.19303308
176.02850,-4.887838672
176.02900,-6.108616303
176.02950,-6.413810711
176.03000,-5.498227488
176.03050,-4.277449857
176.03100,-4.887838672
176.03150,-6.413810711
176.03200,-7.024199526
176.03250,-6.413810711
176.03300,-5.19303308
176.03350,-4.277449857
176.03400,-3.667061042
176.03450,-3.056672226
176.03500,-3.056672226
176.03550,-3.361866634
176.03600,-3.972255449
176.03650,-3.667061042
176.03700,-3.056672226
176.03750,-3.056672226
176.03800,-3.972255449
176.03850,-4.582644265
176.03900,-2.446283411
176.03950,-0.004728149245
176.04000,-0.004728149245
176.04050,-2.751477819
176.04100,-3.972255449
176.04150,-1.530700188
176.04200,1.521243889
176.04250,3.352410335
176.04300,3.657604743
176.04350,4.573187966
176.04400,4.878382374
176.04450,3.657604743
176.04500,2.74202152
176.04550,3.047215928
176.04600,3.352410335
176.04650,2.131632705
176.04700,1.521243889
176.04750,2.131632705
176.04800,2.436827112
176.04850,0.6056606662
176.04900,-1.22550578
176.04950,-0.9203113723
176.05000,0.9108550739
176.05050,1.826438297
176.05100,1.521243889
176.05150,0.9108550739
176.05200,0.6056606662
176.05250,-0.004728149245
176.05300,-0.9203113723
176.05350,-0.6151169646
176.05400,-0.004728149245
176.05450,0.6056606662
176.05500,0.9108550739
176.05550,2.131632705
176.05600,3.657604743
176.05650,3.352410335
176.05700,0.9108550739
176.05750,-0.9203113723
176.05800,-1.530700188
176.05850,-1.530700188
176.05900,-1.530700188
176.05950,-1.530700188
176.06000,-0.3099225569
176.06050,0.9108550739
176.06100,1.826438297
176.06150,2.74202152
176.06200,3.657604743
176.06250,3.962799151
176.06300,3.962799151
176.06350,4.878382374
176.06400,5.793965597
176.06450,6.099160005
176.06500,5.183576782
176.06550,4.573187966
176.06600,4.878382374
176.06650,5.488771189
176.06700,4.878382374
176.06750,3.962799151
176.06800,3.657604743
176.06850,3.962799151
176.06900,3.657604743
176.06950,2.131632705
176.07000,0.3004662585
176.07050,-0.9203113723
176.07100,-1.835894595
176.07150,-2.751477819
176.07200,-3.056672226
176.07250,-3.361866634
176.07300,-3.972255449
176.07350,-4.582644265
176.07400,-4.582644265
176.07450,-2.751477819
176.07500,-1.22550578
176.07550,-0.3099225569
176.07600,-0.004728149245
176.07650,1.826438297
176.07700,4.267993559
176.07750,5.488771189
176.07800,5.183576782
176.07850,4.878382374
176.07900,5.183576782
176.07950,5.488771189
176.08000,3.962799151
176.08050,2.436827112
176.08100,1.826438297
176.08150,1.216049482
176.08200,-0.9203113723
176.08250,-4.277449857
176.08300,-4.887838672
176.08350,-2.141089003
176.08400,0.9108550739
176.08450,2.131632705
176.08500,1.826438297
176.08550,1.826438297
176.08600,2.131632705
176.08650,0.6056606662
176.08700,-0.6151169646
176.08750,-0.3099225569
176.08800,2.131632705
176.08850,4.267993559
176.08900,3.962799151
176.08950,2.436827112
176.09000,1.521243889
176.09050,1.216049482
176.09100,1.826438297
176.09150,2.436827112
176.09200,3.657604743
176.09250,4.267993559
176.09300,3.962799151
176.09350,2.74202152
176.09400,1.216049482
176.09450,-0.6151169646
176.09500,-2.141089003
176.09550,-2.446283411
176.09600,-0.9203113723
176.09650,0.3004662585
176.09700,0.6056606662
176.09750,0.3004662585
176.09800,-0.004728149245
176.09850,0.3004662585
176.09900,1.521243889
176.09950,2.436827112
176.10000,2.131632705
176.10050,0.9108550739
176.10100,-0.004728149245
176.10150,1.216049482
176.10200,3.047215928
176.10250,3.657604743
176.10300,2.74202152
176.10350,1.216049482
176.10400,-0.004728149245
176.10450,-1.22550578
176.10500,-3.056672226
176.10550,-3.972255449
176.10600,-3.361866634
176.10650,-2.751477819
176.10700,-3.056672226
176.10750,-3.667061042
176.10800,-3.667061042
176.10850,-3.056672226
176.10900,-3.056672226
176.10950,-3.361866634
176.11000,-3.667061042
176.11050,-3.667061042
176.11100,-3.667061042
176.11150,-3.972255449
176.11200,-4.582644265
176.11250,-4.582644265
176.11300,-4.277449857
176.11350,-3.667061042
176.11400,-3.361866634
176.11450,-3.972255449
176.11500,-4.887838672
176.11550,-4.277449857
176.11600,-2.141089003
176.11650,-0.004728149245
176.11700,1.826438297
176.11750,1.826438297
176.11800,1.216049482
176.11850,1.521243889
176.11900,2.436827112
176.11950,3.352410335
176.12000,3.352410335
176.12050,3.352410335
176.12100,3.352410335
176.12150,3.047215928
176.12200,0.9108550739
176.12250,-2.141089003
176.12300,-5.19303308
176.12350,-5.803421896
176.12400,-4.582644265
176.12450,-3.056672226
176.12500,-1.835894595
176.12550,-1.22550578
176.12600,-0.004728149245
176.12650,1.216049482
176.12700,3.047215928
176.12750,3.352410335
176.12800,2.74202152
176.12850,2.74202152
176.12900,3.657604743
176.12950,3.352410335
176.13000,0.6056606662
176.13050,-1.530700188
176.13100,-0.9203113723
176.13150,2.131632705
176.13200,4.267993559
176.13250,4.267993559
176.13300,3.352410335
176.13350,3.657604743
176.13400,5.183576782
176.13450,5.488771189
176.13500,4.573187966
176.13550,2.74202152
176.13600,1.826438297
176.13650,2.131632705
176.13700,2.436827112
176.13750,1.521243889
176.13800,-0.004728149245
176.13850,-0.9203113723
176.13900,-0.9203113723
176.13950,-0.6151169646
176.14000,-0.6151169646
176.14050,-0.9203113723
176.14100,-1.530700188
176.14150,-2.446283411
176.14200,-3.361866634
176.14250,-3.361866634
176.14300,-2.446283411
176.14350,-1.530700188
176.14400,-1.530700188
176.14450,-1.835894595
176.14500,-1.530700188
176.14550,-1.530700188
176.14600,-1.835894595
176.14650,-2.141089003
176.14700,-1.835894595
176.14750,-1.22550578
176.14800,-1.22550578
176.14850,-2.446283411
176.14900,-3.972255449
176.14950,-3.667061042
176.15000,-2.446283411
176.15050,-1.530700188
176.15100,-2.751477819
176.15150,-4.887838672
176.15200,-6.108616303
176.15250,-4.887838672
176.15300,-3.056672226
176.15350,-1.530700188
176.15400,-0.004728149245
176.15450,1.826438297
176.15500,3.352410335
176.15550,2.74202152
176.15600,0.9108550739
176.15650,-0.3099225569
176.15700,-1.530700188
176.15750,-2.446283411
176.15800,-2.446283411
176.15850,-1.22550578
176.15900,-0.004728149245
176.15950,-0.3099225569
176.16000,-1.530700188
176.16050,-2.141089003
176.16100,-0.6151169646
176.16150,1.216049482
176.16200,3.047215928
176.16250,4.573187966
176.16300,5.183576782
176.16350,4.878382374
176.16400,3.352410335
176.16450,1.826438297
176.16500,-0.004728149245
176.16550,-1.22550578
176.16600,-1.530700188
176.16650,-1.530700188
176.16700,-2.141089003
176.16750,-2.141089003
176.16800,-0.3099225569
176.16850,2.74202152
176.16900,5.183576782
176.16950,5.488771189
176.17000,5.488771189
176.17050,4.878382374
176.17100,2.74202152
176.17150,-0.6151169646
176.17200,-1.835894595
176.17250,0.9108550739
176.17300,4.267993559
176.17350,4.878382374
176.17400,3.657604743
176.17450,3.962799151
176.17500,4.878382374
176.17550,4.573187966
176.17600,3.047215928
176.17650,3.047215928
176.17700,5.183576782
176.17750,5.488771189
176.17800,3.047215928
176.17850,-0.004728149245
176.17900,-0.9203113723
176.17950,-0.6151169646
176.18000,-0.3099225569
176.18050,-0.6151169646
176.18100,-1.22550578
176.18150,-0.6151169646
176.18200,0.6056606662
176.18250,2.131632705
176.18300,1.826438297
