"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",186.96000,2000,22000,"uV"

"time","value"
186.96000,2.804250065
186.96050,2.19386125
186.96100,1.583472434
186.96150,1.583472434
186.96200,1.583472434
186.96250,0.9730836188
186.96300,0.9730836188
186.96350,1.888666842
186.96400,3.109444473
186.96450,3.41463888
186.96500,2.499055657
186.96550,1.888666842
186.96600,2.19386125
186.96650,2.499055657
186.96700,2.499055657
186.96750,2.19386125
186.96800,1.888666842
186.96850,1.278278026
186.96900,0.6678892111
186.96950,0.6678892111
186.97000,0.9730836188
186.97050,1.278278026
186.97100,1.888666842
186.97150,2.499055657
186.97200,2.499055657
186.97250,1.278278026
186.97300,0.6678892111
186.97350,2.499055657
186.97400,4.940610919
186.97450,5.856194142
186.97500,4.635416511
186.97550,3.719833288
186.97600,4.635416511
186.97650,4.940610919
186.97700,3.719833288
186.97750,2.19386125
186.97800,2.19386125
186.97850,2.19386125
186.97900,0.9730836188
186.97950,-0.8580828275
186.98000,-1.773666051
186.98050,-0.8580828275
186.98100,-0.247694012
186.98150,-0.247694012
186.98200,-1.468471643
186.98250,-2.078860458
186.98300,-1.773666051
186.98350,-0.5528884197
186.98400,-0.247694012
186.98450,-1.468471643
186.98500,-2.384054866
186.98550,-1.773666051
186.98600,-0.5528884197
186.98650,0.05750039565
186.98700,0.3626948034
186.98750,1.583472434
186.98800,2.804250065
186.98850,1.583472434
186.98900,-0.8580828275
186.98950,-2.384054866
186.99000,-1.163277235
186.99050,0.3626948034
186.99100,0.9730836188
186.99150,0.9730836188
186.99200,0.9730836188
186.99250,0.3626948034
186.99300,-0.247694012
186.99350,-1.468471643
186.99400,-2.384054866
186.99450,-2.994443681
186.99500,-2.078860458
186.99550,0.05750039565
186.99600,2.19386125
186.99650,2.19386125
186.99700,1.583472434
186.99750,2.499055657
186.99800,4.330222103
186.99850,3.109444473
186.99900,-0.247694012
186.99950,-2.994443681
187.00000,-3.299638089
187.00050,-4.215221312
187.00100,-6.351582166
187.00150,-7.877554205
187.00200,-6.046387758
187.00250,-3.299638089
187.00300,-1.163277235
187.00350,-0.247694012
187.00400,0.05750039565
187.00450,-0.8580828275
187.00500,-2.994443681
187.00550,-4.52041572
187.00600,-3.910026904
187.00650,-2.078860458
187.00700,-1.163277235
187.00750,-1.468471643
187.00800,-1.773666051
187.00850,-2.078860458
187.00900,-2.384054866
187.00950,-2.384054866
187.01000,-1.163277235
187.01050,0.05750039565
187.01100,-0.5528884197
187.01150,-0.8580828275
187.01200,0.3626948034
187.01250,3.109444473
187.01300,4.635416511
187.01350,4.940610919
187.01400,4.635416511
187.01450,4.025027696
187.01500,3.109444473
187.01550,2.499055657
187.01600,3.109444473
187.01650,4.025027696
187.01700,4.635416511
187.01750,3.719833288
187.01800,3.109444473
187.01850,3.41463888
187.01900,4.330222103
187.01950,5.856194142
187.02000,7.38216618
187.02050,7.992554996
187.02100,7.687360588
187.02150,6.771777365
187.02200,5.856194142
