"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",208.96000,2000,22000,"uV"

"time","value"
208.96000,-0.2324419177
208.96050,-1.148025141
208.96100,-2.063608364
208.96150,-2.673997179
208.96200,-3.284385995
208.96250,-4.810358033
208.96300,-5.725941256
208.96350,-4.810358033
208.96400,-3.589580402
208.96450,-3.284385995
208.96500,-4.810358033
208.96550,-7.557107703
208.96600,-9.998662964
208.96650,-11.524635
208.96700,-11.524635
208.96750,-9.693468556
208.96800,-7.251913295
208.96850,-5.420746849
208.96900,-3.89477481
208.96950,-2.368802772
208.97000,-2.063608364
208.97050,-2.673997179
208.97100,-3.589580402
208.97150,-2.673997179
208.97200,-1.148025141
208.97250,-0.8428307331
208.97300,-1.453219549
208.97350,-2.368802772
208.97400,-0.8428307331
208.97450,2.819502159
208.97500,7.397418275
208.97550,9.838973536
208.97600,8.923390313
208.97650,5.871446236
208.97700,3.735085382
208.97750,3.735085382
208.97800,4.04027979
208.97850,2.819502159
208.97900,0.3779468977
208.97950,-0.8428307331
208.98000,-1.148025141
208.98050,-1.453219549
208.98100,-3.284385995
208.98150,-6.946718887
208.98200,-10.60905178
208.98250,-11.21944059
208.98300,-8.167496518
208.98350,-4.810358033
208.98400,-3.589580402
208.98450,-3.589580402
208.98500,-3.284385995
208.98550,-2.063608364
208.98600,-2.368802772
208.98650,-3.284385995
208.98700,-3.284385995
208.98750,-2.368802772
208.98800,-1.758413956
208.98850,-1.453219549
208.98900,0.3779468977
208.98950,3.124696567
208.99000,4.650668606
208.99050,4.650668606
208.99100,4.955863013
208.99150,6.787029459
208.99200,7.397418275
208.99250,4.955863013
208.99300,2.209113344
208.99350,0.6831413054
208.99400,0.07275248999
208.99450,-0.8428307331
208.99500,-2.368802772
208.99550,-4.505163626
208.99600,-8.777885333
208.99650,-14.57657908
208.99700,-17.93371756
208.99750,-15.4921623
208.99800,-9.388274149
208.99850,-4.505163626
208.99900,-2.979191587
208.99950,-2.979191587
209.00000,-2.673997179
209.00050,-1.758413956
209.00100,-0.8428307331
209.00150,-0.2324419177
209.00200,0.9883357131
209.00250,0.9883357131
209.00300,0.3779468977
209.00350,0.07275248999
209.00400,0.07275248999
209.00450,0.07275248999
209.00500,-0.2324419177
209.00550,0.07275248999
209.00600,0.9883357131
209.00650,0.6831413054
209.00700,-0.8428307331
209.00750,-2.673997179
209.00800,-2.368802772
209.00850,-0.2324419177
209.00900,1.598724528
209.00950,2.514307752
209.01000,2.209113344
209.01050,1.293530121
209.01100,0.07275248999
209.01150,-0.5376363254
209.01200,0.07275248999
209.01250,1.903918936
209.01300,4.04027979
209.01350,4.955863013
209.01400,5.871446236
209.01450,7.397418275
209.01500,8.618195906
209.01550,8.923390313
209.01600,7.092223867
209.01650,3.735085382
209.01700,0.6831413054
209.01750,-1.148025141
209.01800,-1.148025141
209.01850,-0.5376363254
209.01900,-0.2324419177
209.01950,-0.2324419177
209.02000,-0.2324419177
209.02050,0.3779468977
209.02100,0.9883357131
209.02150,0.9883357131
209.02200,-0.2324419177
209.02250,-1.148025141
209.02300,-2.368802772
209.02350,-2.673997179
209.02400,-1.758413956
209.02450,-0.5376363254
209.02500,0.07275248999
209.02550,0.3779468977
209.02600,0.9883357131
209.02650,1.598724528
209.02700,1.903918936
209.02750,1.293530121
209.02800,0.07275248999
209.02850,-0.8428307331
209.02900,-1.148025141
209.02950,0.07275248999
209.03000,2.514307752
209.03050,4.345474198
209.03100,4.955863013
209.03150,6.481835052
209.03200,11.36494557
209.03250,17.16363932
209.03300,19.60519458
209.03350,16.55325051
209.03400,11.67013998
209.03450,9.228584721
209.03500,9.533779129
209.03550,9.533779129
209.03600,8.313001498
209.03650,7.092223867
209.03700,6.481835052
209.03750,5.871446236
209.03800,4.650668606
209.03850,2.819502159
209.03900,1.598724528
209.03950,0.07275248999
209.04000,-1.148025141
209.04050,-2.063608364
209.04100,-1.758413956
209.04150,-1.453219549
209.04200,-0.8428307331
209.04250,-0.8428307331
209.04300,-1.758413956
209.04350,-3.89477481
209.04400,-5.115552441
209.04450,-5.115552441
209.04500,-4.199969218
209.04550,-4.199969218
209.04600,-5.420746849
209.04650,-6.336330072
209.04700,-5.725941256
209.04750,-4.505163626
209.04800,-3.89477481
209.04850,-3.589580402
209.04900,-3.589580402
209.04950,-3.89477481
209.05000,-4.199969218
209.05050,-4.199969218
209.05100,-3.284385995
209.05150,-1.148025141
209.05200,1.598724528
209.05250,4.650668606
209.05300,6.787029459
209.05350,6.176640644
209.05400,3.735085382
209.05450,1.598724528
209.05500,1.598724528
209.05550,1.598724528
209.05600,0.07275248999
209.05650,-2.063608364
209.05700,-3.89477481
209.05750,-4.810358033
209.05800,-5.115552441
209.05850,-4.810358033
209.05900,-3.284385995
209.05950,-1.758413956
209.06000,-1.758413956
209.06050,-2.368802772
209.06100,-1.758413956
209.06150,-0.2324419177
209.06200,-0.2324419177
209.06250,-2.063608364
209.06300,-3.89477481
209.06350,-3.284385995
209.06400,-2.063608364
209.06450,-2.063608364
209.06500,-2.979191587
209.06550,-4.199969218
209.06600,-5.420746849
209.06650,-6.641524479
209.06700,-7.251913295
209.06750,-6.031135664
209.06800,-3.89477481
209.06850,-2.673997179
209.06900,-2.368802772
209.06950,-2.368802772
209.07000,-2.673997179
209.07050,-2.673997179
209.07100,-2.368802772
209.07150,-1.453219549
209.07200,-0.5376363254
209.07250,-1.148025141
209.07300,-2.673997179
209.07350,-4.505163626
209.07400,-5.725941256
209.07450,-6.946718887
209.07500,-8.167496518
209.07550,-7.86230211
209.07600,-6.031135664
209.07650,-3.89477481
209.07700,-2.368802772
209.07750,-1.758413956
209.07800,-2.063608364
209.07850,-2.063608364
209.07900,0.6831413054
209.07950,7.092223867
209.08000,15.02727847
209.08050,19.60519458
209.08100,17.46883373
209.08150,10.75455676
209.08200,4.650668606
209.08250,1.598724528
209.08300,0.3779468977
209.08350,-0.2324419177
209.08400,-1.148025141
209.08450,-1.148025141
209.08500,-0.2324419177
209.08550,0.3779468977
209.08600,-0.5376363254
209.08650,-2.063608364
209.08700,-1.453219549
209.08750,0.6831413054
209.08800,2.209113344
209.08850,2.209113344
209.08900,1.598724528
209.08950,0.9883357131
209.09000,0.6831413054
209.09050,0.9883357131
209.09100,1.598724528
209.09150,1.903918936
209.09200,0.3779468977
209.09250,-2.063608364
209.09300,-2.368802772
209.09350,-0.2324419177
209.09400,1.903918936
209.09450,1.293530121
209.09500,0.6831413054
209.09550,1.598724528
209.09600,2.514307752
209.09650,1.903918936
209.09700,0.3779468977
209.09750,-0.2324419177
209.09800,-1.453219549
209.09850,-4.199969218
209.09900,-5.420746849
209.09950,-3.589580402
209.10000,-0.8428307331
209.10050,-0.5376363254
209.10100,-1.758413956
209.10150,-2.063608364
209.10200,-0.8428307331
209.10250,-0.5376363254
209.10300,-0.8428307331
209.10350,-0.2324419177
209.10400,1.598724528
209.10450,2.514307752
209.10500,1.598724528
209.10550,0.6831413054
209.10600,1.293530121
209.10650,1.903918936
209.10700,1.293530121
209.10750,-0.5376363254
209.10800,-2.979191587
209.10850,-3.89477481
209.10900,-2.673997179
209.10950,0.9883357131
209.11000,4.955863013
209.11050,7.092223867
209.11100,7.397418275
209.11150,7.092223867
209.11200,6.176640644
209.11250,4.955863013
209.11300,4.345474198
209.11350,4.345474198
209.11400,4.04027979
209.11450,2.514307752
209.11500,1.903918936
209.11550,4.04027979
209.11600,7.397418275
209.11650,8.618195906
