time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
208.96,6.689111014,-0.2324419177,-0.5528884197,-2.751477819,-4.821797104
208.9605,10.35144391,-1.148025141,-1.468471643,-3.056672226,-4.516602696
208.961,12.48780476,-2.063608364,-2.384054866,-3.056672226,-3.295825065
208.9615,12.18261035,-2.673997179,-1.773666051,-3.056672226,-1.464658619
208.962,10.65663831,-3.284385995,-0.5528884197,-2.751477819,0.3665078269
208.9625,10.35144391,-4.810358033,-0.5528884197,-2.141089003,0.9768966423
208.963,10.65663831,-5.725941256,-1.468471643,-1.835894595,0.6717022346
208.9635,9.130666275,-4.810358033,-1.773666051,-1.22550578,1.892479865
208.964,4.247555752,-3.589580402,-1.468471643,-0.6151169646,4.944423942
208.9645,-0.6355547711,-3.284385995,-1.163277235,-0.9203113723,6.775590389
208.965,-1.856332402,-4.810358033,-2.078860458,-2.446283411,6.165201573
208.9655,0.8904172674,-7.557107703,-2.689249274,-3.361866634,6.470395981
208.966,3.637166937,-9.998662964,-3.604832497,-1.835894595,11.65870091
208.9665,1.195611675,-11.524635,-3.910026904,1.216049482,18.67817229
208.967,-5.213470887,-11.524635,-3.299638089,2.74202152,21.73011637
208.9675,-10.40177582,-9.693468556,-1.163277235,1.216049482,19.2885611
208.968,-10.70697023,-7.251913295,0.3626948034,-1.22550578,14.10025617
208.9685,-7.960220556,-5.420746849,1.278278026,-1.835894595,10.13272887
208.969,-5.823859702,-3.89477481,0.9730836188,-1.22550578,7.080784796
208.9695,-5.213470887,-2.368802772,0.6678892111,-0.9203113723,4.639229535
208.97,-5.518665294,-2.063608364,0.3626948034,-1.530700188,3.723646312
208.9705,-5.518665294,-2.673997179,0.3626948034,-1.530700188,3.723646312
208.971,-4.297887663,-3.589580402,0.6678892111,-0.9203113723,2.808063089
208.9715,-2.16152681,-2.673997179,1.278278026,-0.6151169646,0.6717022346
208.972,-0.3303603634,-1.148025141,1.278278026,-0.6151169646,-2.075047435
208.9725,0.280028452,-0.8428307331,0.05750039565,-0.9203113723,-4.516602696
208.973,1.195611675,-1.453219549,-0.8580828275,-1.22550578,-6.042574735
208.9735,2.721583714,-2.368802772,0.05750039565,-1.22550578,-6.65296355
208.974,4.55275016,-0.8428307331,1.583472434,-0.6151169646,-6.65296355
208.9745,5.468333383,2.819502159,2.19386125,0.6056606662,-6.347769142
208.975,6.078722198,7.397418275,1.583472434,1.521243889,-7.568546773
208.9755,7.604694237,9.838973536,2.19386125,1.521243889,-8.789324404
208.976,9.435860683,8.923390313,3.719833288,1.216049482,-8.178935589
208.9765,9.435860683,5.871446236,3.719833288,0.9108550739,-5.126991512
208.977,6.994305421,3.735085382,2.804250065,1.216049482,-1.464658619
208.9775,4.247555752,3.735085382,2.499055657,1.521243889,0.06131341924
208.978,3.637166937,4.04027979,2.804250065,2.131632705,-0.5490753962
208.9785,4.247555752,2.819502159,2.499055657,2.436827112,-1.464658619
208.979,4.857944568,0.3779468977,1.278278026,2.131632705,-1.159464212
208.9795,6.078722198,-0.8428307331,0.9730836188,0.9108550739,-0.5490753962
208.98,7.299499829,-1.148025141,1.278278026,0.3004662585,-1.464658619
208.9805,7.299499829,-1.453219549,1.583472434,0.3004662585,-3.295825065
208.981,4.857944568,-3.284385995,0.6678892111,0.3004662585,-4.211408289
208.9815,1.500806083,-6.946718887,0.05750039565,-0.004728149245,-3.601019473
208.982,-0.9407491788,-10.60905178,0.6678892111,-0.004728149245,-2.380241842
208.9825,-2.771915625,-11.21944059,0.3626948034,0.6056606662,-3.601019473
208.983,-4.603082071,-8.167496518,0.05750039565,1.521243889,-6.042574735
208.9835,-6.434248517,-4.810358033,-0.247694012,1.521243889,-8.789324404
208.984,-7.34983174,-3.589580402,0.05750039565,1.216049482,-10.92568526
208.9845,-7.655026148,-3.589580402,0.05750039565,0.9108550739,-13.36724052
208.985,-8.265414964,-3.284385995,-0.5528884197,0.9108550739,-15.80879578
208.9855,-9.486192594,-2.063608364,-1.163277235,1.521243889,-15.50360137
