"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",98.98000,2000,22000,"uV"

"time","value"
98.98000,8.003689025
98.98050,9.529661063
98.98100,10.75043869
98.98150,8.61407784
98.98200,3.425772909
98.98250,0.06863442452
98.98300,-0.8469487986
98.98350,-2.067726429
98.98400,-4.509281691
98.98450,-4.509281691
98.98500,0.3738288322
98.98550,6.477716986
98.98600,6.477716986
98.98650,0.6790232399
98.98700,-3.593698468
98.98750,-2.983309652
98.98800,-1.762532022
98.98850,-3.593698468
98.98900,-5.730059322
98.98950,-4.204087283
98.99000,-0.2365599832
98.99050,0.06863442452
98.99100,-3.28850406
98.99150,-6.950836953
98.99200,-7.561225768
98.99250,-6.340448137
98.99300,-5.119670506
98.99350,-4.509281691
98.99400,-2.983309652
98.99450,-0.8469487986
98.99500,1.594606463
98.99550,4.64655054
98.99600,6.172522579
98.99650,4.64655054
98.99700,2.204995278
98.99750,2.204995278
98.99800,3.730967317
98.99850,3.425772909
98.99900,1.594606463
98.99950,0.9842176476
99.00000,2.204995278
99.00050,2.204995278
99.00100,0.06863442452
99.00150,-0.5417543909
99.00200,2.204995278
99.00250,5.256939355
99.00300,4.341356132
99.00350,1.594606463
99.00400,0.9842176476
99.00450,1.289412055
99.00500,-0.2365599832
99.00550,-2.983309652
99.00600,-3.898892876
99.00650,-3.593698468
99.00700,-4.204087283
99.00750,-5.730059322
99.00800,-5.424864914
99.00850,-4.204087283
99.00900,-5.119670506
99.00950,-7.25603136
99.01000,-7.561225768
99.01050,-5.730059322
99.01100,-4.204087283
99.01150,-3.898892876
99.01200,-3.28850406
99.01250,-2.372920837
99.01300,-4.204087283
99.01350,-7.866420176
99.01400,-10.30797544
99.01450,-10.30797544
99.01500,-9.087197807
99.01550,-7.25603136
99.01600,-2.372920837
99.01650,5.562133763
99.01700,11.66602192
99.01750,12.58160514
99.01800,10.44524429
99.01850,8.919272248
99.01900,9.529661063
99.01950,10.14004988
99.02000,10.75043869
99.02050,10.75043869
99.02100,9.224466656
99.02150,8.003689025
99.02200,8.308883432
99.02250,9.224466656
99.02300,7.393300209
99.02350,3.730967317
99.02400,2.204995278
99.02450,4.341356132
99.02500,6.172522579
99.02550,3.730967317
99.02600,-0.2365599832
99.02650,-2.983309652
99.02700,-3.28850406
99.02750,-3.28850406
99.02800,-3.593698468
99.02850,-5.119670506
99.02900,-8.476808991
99.02950,-13.05472511
99.03000,-16.717058
99.03050,-18.24303004
99.03100,-18.54822445
99.03150,-17.32744681
99.03200,-12.7495307
99.03250,-6.950836953
99.03300,-4.814476099
99.03350,-6.03525373
99.03400,-5.424864914
99.03450,0.06863442452
99.03500,4.341356132
99.03550,3.730967317
99.03600,1.899800871
99.03650,4.64655054
99.03700,9.834855471
99.03750,9.834855471
99.03800,4.341356132
99.03850,0.06863442452
99.03900,1.594606463
99.03950,4.951744948
99.04000,5.867328171
99.04050,6.172522579
99.04100,9.224466656
99.04150,14.10757718
99.04200,15.63354922
99.04250,12.27641073
99.04300,8.003689025
99.04350,6.477716986
99.04400,7.393300209
99.04450,4.951744948
99.04500,-2.678115245
99.04550,-11.22355866
99.04600,-13.97030833
99.04650,-9.087197807
99.04700,-2.372920837
99.04750,0.3738288322
99.04800,-1.152143206
99.04850,-5.730059322
99.04900,-11.22355866
99.04950,-16.41186359
99.05000,-17.32744681
99.05050,-11.22355866
99.05100,0.06863442452
99.05150,10.44524429
99.05200,15.0231604
99.05250,13.80238277
99.05300,9.834855471
99.05350,6.172522579
99.05400,3.120578502
99.05450,-0.8469487986
99.05500,-6.645642545
99.05550,-11.83394748
99.05600,-12.7495307
99.05650,-8.782003399
99.05700,-2.372920837
99.05750,4.036161725
99.05800,10.75043869
99.05850,15.32835481
99.05900,14.41277159
99.05950,9.529661063
99.06000,8.308883432
99.06050,12.58160514
99.06100,14.71796599
99.06150,7.698494617
99.06200,-1.457337614
99.06250,-2.983309652
99.06300,2.510189686
