"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",98.98000,2000,22000,"uV"

"time","value"
98.98000,4.313902363
98.98050,8.281429663
98.98100,11.02817933
98.98150,10.11259611
98.98200,8.281429663
98.98250,8.58662407
98.98300,8.58662407
98.98350,4.924291178
98.98400,0.6515694701
98.98450,4.313902363
98.98500,14.99570663
98.98550,21.09959479
98.98600,14.38531782
98.98650,0.3463750624
98.98700,-10.94581802
98.98750,-15.82892855
98.98800,-17.04970618
98.98850,-16.13412295
98.98900,-10.94581802
98.98950,-2.095180199
98.99000,4.924291178
98.99050,7.060652032
98.99100,5.534679993
98.99150,4.313902363
98.99200,4.008707955
98.99250,4.008707955
98.99300,2.482735916
98.99350,-0.5692081607
98.99400,-3.010763422
98.99450,-2.095180199
98.99500,0.9567638778
98.99550,3.398319139
98.99600,1.872347101
98.99650,-1.789985791
98.99700,-5.147124276
98.99750,-7.28348513
98.99800,-7.28348513
98.99850,-5.452318684
98.99900,-3.010763422
98.99950,-2.705569015
99.00000,-5.452318684
99.00050,-6.367901907
99.00100,-2.095180199
99.00150,3.703513547
99.00200,4.924291178
99.00250,2.482735916
99.00300,2.787930324
99.00350,7.060652032
99.00400,8.891818478
99.00450,4.61909677
99.00500,0.3463750624
99.00550,0.9567638778
99.00600,1.872347101
99.00650,-1.179596976
99.00700,-5.147124276
99.00750,-2.705569015
99.00800,2.787930324
99.00850,2.482735916
99.00900,-4.841929869
99.00950,-10.33542921
99.01000,-7.893873946
99.01050,-3.010763422
99.01100,-1.179596976
99.01150,0.04118065471
99.01200,3.703513547
99.01250,7.36584644
99.01300,6.145068809
99.01350,1.567152693
99.01400,-1.484791384
99.01450,-2.400374607
99.01500,-3.010763422
99.01550,-2.705569015
99.01600,0.3463750624
99.01650,6.145068809
99.01700,8.891818478
99.01750,5.534679993
99.01800,-1.484791384
99.01850,-9.419845984
99.01900,-15.52373414
99.01950,-17.66009499
99.02000,-14.60815091
99.02050,-8.809457169
99.02100,-3.926346645
99.02150,-1.179596976
99.02200,-0.264013753
99.02250,-1.789985791
99.02300,-5.147124276
99.02350,-6.978290722
99.02400,-4.536735461
99.02450,-0.8744025684
99.02500,-0.8744025684
99.02550,-3.926346645
99.02600,-3.926346645
99.02650,0.04118065471
99.02700,4.008707955
99.02750,5.839874401
99.02800,7.060652032
99.02850,9.807401701
99.02900,11.33337374
99.02950,10.72298492
99.03000,9.502207293
99.03050,7.671040847
99.03100,2.787930324
99.03150,-3.010763422
99.03200,-4.231541053
99.03250,0.04118065471
99.03300,3.703513547
99.03350,0.9567638778
99.03400,-3.621152238
99.03450,-3.926346645
99.03500,-1.789985791
99.03550,-1.179596976
99.03600,-0.8744025684
99.03650,3.703513547
99.03700,10.72298492
99.03750,14.08012341
99.03800,13.774929
99.03850,14.99570663
99.03900,17.7424563
99.03950,16.21648426
