"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",131.98000,2000,22000,"uV"

"time","value"
131.98000,0.3236494419
131.98050,4.59637115
131.98100,7.343120819
131.98150,7.037926411
131.98200,2.765204703
131.98250,-0.897128189
131.98300,-1.202322597
131.98350,1.544427073
131.98400,3.375593519
131.98450,1.544427073
131.98500,-3.338683451
131.98550,-10.05296042
131.98600,-15.85165417
131.98650,-17.3776262
131.98700,-14.93607094
131.98750,-10.35815483
131.98800,-4.864655489
131.98850,3.375593519
131.98900,13.75220338
131.98950,20.16128594
131.99000,18.94050831
131.99050,11.92103693
131.99100,2.460010296
131.99150,-7.001016343
131.99200,-11.88412687
131.99250,-8.221793974
131.99300,-2.423100227
131.99350,-6.08543312
131.99400,-18.59840384
131.99450,-24.70229199
131.99500,-16.15684857
131.99550,-2.728294635
131.99600,3.375593519
131.99650,7.648315227
131.99700,19.24570272
131.99750,34.2002287
131.99800,39.08333922
131.99850,32.97945107
131.99900,28.40153495
131.99950,28.70672936
132.00000,22.90803561
132.00050,2.765204703
132.00100,-21.3451535
132.00150,-34.77370744
132.00200,-33.24773541
132.00250,-24.09190317
132.00300,-14.32568213
132.00350,-6.390627528
132.00400,-2.423100227
132.00450,-2.423100227
132.00500,-5.475044304
132.00550,-9.442571605
132.00600,-14.32568213
132.00650,-18.59840384
132.00700,-18.90359824
132.00750,-15.85165417
132.00800,-13.1049045
132.00850,-12.79971009
132.00900,-10.96854364
132.00950,-5.475044304
132.01000,1.239232665
132.01050,5.511954373
132.01100,7.648315227
132.01150,7.953509634
132.01200,6.427537596
132.01250,2.460010296
132.01300,-0.5919337813
132.01350,-2.11790582
132.01400,-3.643877858
132.01450,-6.390627528
132.01500,-7.611405158
132.01550,-6.08543312
132.01600,-4.559461081
132.01650,-5.475044304
132.01700,-4.559461081
132.01750,0.3236494419
132.01800,6.732732004
132.01850,11.61584253
132.01900,15.88856423
132.01950,18.6353139
132.02000,15.58336983
132.02050,7.343120819
132.02100,0.01845503415
132.02150,-5.780238712
132.02200,-18.29320943
132.02250,-33.85812422
132.02300,-35.68929067
132.02350,-18.59840384
132.02400,-0.2867393736
132.02450,3.070399111
132.02500,2.154815888
132.02550,13.44700897
132.02600,30.2327014
132.02650,33.28464547
132.02700,23.82361883
132.02750,18.6353139
132.02800,21.99245239
132.02850,21.68725798
132.02900,14.6677866
132.02950,13.75220338
132.03000,20.77167476
132.03050,22.6028412
132.03100,14.05739779
132.03150,8.258704042
132.03200,11.61584253
132.03250,11.31064812
132.03300,-3.033489043
132.03350,-19.81918147
132.03400,-21.65034791
