"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",76.98000,2000,22000,"uV"

"time","value"
76.98000,0.003355460754
76.98050,-0.9122277624
76.98100,-1.21742217
76.98150,0.003355460754
76.98200,1.529327499
76.98250,2.444910722
76.98300,1.834521907
76.98350,0.003355460754
76.98400,-2.743394209
76.98450,-3.964171839
76.98500,-2.133005393
76.98550,0.9189386839
76.98600,2.75010513
76.98650,1.224133092
76.98700,-0.3018389469
76.98750,-0.6070333546
76.98800,0.003355460754
76.98850,0.003355460754
76.98900,-0.9122277624
76.98950,-0.9122277624
76.99000,-0.6070333546
76.99050,-0.9122277624
76.99100,-1.522616578
76.99150,-1.21742217
76.99200,-0.3018389469
76.99250,-0.3018389469
76.99300,-1.21742217
76.99350,-2.133005393
76.99400,-3.048588616
76.99450,-3.964171839
76.99500,-3.964171839
76.99550,-1.827810985
76.99600,0.3085498685
76.99650,-0.6070333546
76.99700,-4.574560655
76.99750,-6.710921509
76.99800,-3.658977432
76.99850,0.003355460754
76.99900,0.6137442762
76.99950,-1.21742217
77.00000,-1.827810985
77.00050,-0.6070333546
77.00100,0.3085498685
77.00150,0.3085498685
77.00200,1.224133092
77.00250,3.055299538
77.00300,3.970882761
77.00350,2.75010513
77.00400,1.834521907
77.00450,2.444910722
77.00500,3.665688353
77.00550,3.665688353
77.00600,2.75010513
77.00650,1.834521907
77.00700,0.9189386839
77.00750,-0.3018389469
77.00800,-1.827810985
77.00850,-2.133005393
77.00900,-2.438199801
77.00950,-4.574560655
77.01000,-7.626504732
77.01050,-8.847282363
77.01100,-6.100532693
77.01150,-2.438199801
77.01200,-0.3018389469
77.01250,-0.3018389469
77.01300,-1.21742217
77.01350,-1.827810985
77.01400,-1.522616578
77.01450,-0.3018389469
77.01500,1.834521907
77.01550,3.360493945
77.01600,2.139716315
77.01650,-0.6070333546
77.01700,-2.438199801
77.01750,-1.522616578
77.01800,-0.3018389469
77.01850,-0.9122277624
77.01900,-2.438199801
77.01950,-2.743394209
77.02000,-1.21742217
77.02050,0.3085498685
77.02100,1.224133092
77.02150,1.529327499
77.02200,1.834521907
77.02250,2.139716315
77.02300,2.444910722
77.02350,3.360493945
77.02400,4.276077169
77.02450,4.581271576
77.02500,3.360493945
77.02550,1.834521907
77.02600,1.224133092
77.02650,1.529327499
77.02700,1.834521907
77.02750,0.9189386839
77.02800,-0.9122277624
77.02850,-1.827810985
77.02900,-1.21742217
77.02950,-1.21742217
77.03000,-2.438199801
77.03050,-3.353783024
77.03100,-1.522616578
77.03150,1.529327499
77.03200,2.75010513
77.03250,1.834521907
77.03300,0.9189386839
77.03350,0.6137442762
77.03400,-1.522616578
77.03450,-7.626504732
77.03500,-14.03558729
77.03550,-14.3407817
77.03600,-6.710921509
77.03650,3.055299538
77.03700,9.4643821
77.03750,10.68515973
77.03800,10.37996532
77.03850,10.37996532
77.03900,7.938410061
77.03950,-0.6070333546
77.04000,-12.20442085
77.04050,-17.39272578
77.04100,-12.50961526
77.04150,-3.964171839
77.04200,0.003355460754
77.04250,-1.21742217
77.04300,-3.048588616
77.04350,-2.133005393
77.04400,-0.3018389469
77.04450,0.003355460754
77.04500,0.003355460754
77.04550,0.003355460754
77.04600,0.003355460754
77.04650,0.6137442762
77.04700,1.834521907
77.04750,3.055299538
77.04800,3.055299538
77.04850,2.75010513
77.04900,3.055299538
77.04950,3.970882761
77.05000,3.360493945
77.05050,1.834521907
77.05100,0.3085498685
77.05150,-0.3018389469
77.05200,-1.21742217
77.05250,-2.743394209
77.05300,-3.353783024
77.05350,-1.522616578
77.05400,0.3085498685
77.05450,1.529327499
77.05500,1.529327499
77.05550,1.529327499
77.05600,1.529327499
77.05650,1.834521907
77.05700,1.834521907
77.05750,0.9189386839
77.05800,0.003355460754
77.05850,-0.6070333546
77.05900,0.003355460754
77.05950,1.529327499
77.06000,1.834521907
77.06050,1.224133092
77.06100,2.139716315
77.06150,4.276077169
77.06200,6.107243615
77.06250,5.496854799
77.06300,2.139716315
77.06350,-0.6070333546
77.06400,-0.9122277624
77.06450,1.834521907
77.06500,5.802049207
77.06550,7.633215653
77.06600,6.107243615
77.06650,3.055299538
77.06700,0.9189386839
77.06750,1.224133092
77.06800,1.834521907
77.06850,1.834521907
77.06900,1.529327499
77.06950,1.834521907
77.07000,2.75010513
77.07050,3.055299538
77.07100,2.139716315
77.07150,0.6137442762
77.07200,-0.9122277624
77.07250,-3.353783024
77.07300,-4.879755062
77.07350,-4.574560655
77.07400,-3.048588616
77.07450,-2.743394209
