time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
87.98,-36.61524531,-4.814476099,-6.390627528,-4.536735461,3.055299538
87.9805,-45.77107755,-2.983309652,-12.79971009,-4.231541053,4.581271576
87.981,-37.22563413,2.510189686,0.6288438496,0.6515694701,1.529327499
87.9815,-22.57630256,5.562133763,28.70672936,5.534679993,-2.133005393
87.982,-18.91396967,3.120578502,44.57683856,3.398319139,-2.133005393
87.9825,-27.15421868,-0.8469487986,37.25217277,-3.621152238,0.9189386839
87.983,-32.0373292,-2.678115245,24.73920206,-7.893873946,1.834521907
87.9835,-21.96591374,-2.067726429,24.43400765,-4.231541053,-0.3018389469
87.984,-2.128277244,-1.762532022,26.87556291,1.567152693,-2.743394209
87.9845,12.82624873,-2.067726429,16.80414746,1.872347101,-3.353783024
87.985,16.18338722,-1.152143206,0.01845503415,-1.789985791,-3.658977432
87.9855,13.13144314,0.06863442452,-6.695821935,-1.789985791,-5.795338286
87.986,11.91066551,-3.28850406,-4.559461081,2.177541509,-7.321310324
87.9865,16.18338722,-13.05472511,-8.221793974,2.787930324,-5.490143878
87.987,21.67688656,-24.04172378,-20.12437587,-5.147124276,-0.9122277624
87.9875,21.67688656,-28.00925108,-21.95554232,-15.52373414,1.834521907
87.988,13.43663755,-22.51575175,-3.338683451,-17.9652894,1.224133092
87.9885,2.449638872,-13.66511392,21.99245239,-10.94581802,-1.21742217
87.989,0.6184724254,-8.782003399,35.11581192,-3.010763422,-2.743394209
87.9895,11.6054711,-8.476808991,33.28464547,0.3463750624,-1.522616578
87.99,26.86519149,-8.476808991,27.18075732,1.567152693,0.003355460754
87.9905,33.27427405,-5.424864914,21.07686917,3.703513547,0.003355460754
87.991,25.64441386,-2.678115245,11.31064812,6.145068809,-0.3018389469
87.9915,10.68988788,-2.372920837,-2.11790582,6.755457624,0.6137442762
87.992,-4.264638098,-2.983309652,-13.4100989,7.060652032,3.665688353
87.9925,-15.86202559,-1.152143206,-18.59840384,10.11259611,6.412438022
87.993,-22.27110815,2.204995278,-20.73476469,15.30090104,6.412438022
87.9935,-23.18669138,5.562133763,-23.48151436,20.48920597,5.802049207
87.994,-21.35552493,7.088105802,-26.83865284,23.23595564,5.802049207
87.9945,-18.91396967,8.308883432,-26.22826403,23.54115005,4.886465984
87.995,-16.16722,10.44524429,-21.3451535,20.18401156,2.139716315
87.9955,-14.03085914,11.0556331,-18.59840384,11.63856815,1.834521907
87.996,-15.86202559,7.393300209,-24.09190317,-0.264013753,5.496854799
87.9965,-19.52435848,0.9842176476,-33.85812422,-10.94581802,8.243604469
87.997,-16.47241441,-2.983309652,-36.60487389,-15.82892855,5.191660392
87.9975,-3.654249282,-0.8469487986,-25.92306962,-17.35490058,0.6137442762
87.998,7.94313821,4.951744948,-11.27373805,-19.79645585,0.9189386839
87.9985,9.469110249,9.529661063,-4.559461081,-21.01723348,3.970882761
87.999,7.332749395,11.66602192,-0.5919337813,-16.74451177,2.139716315
87.9995,14.96260959,13.19199396,15.58336983,-10.0302348,-2.133005393
88.0,26.25480267,14.10757718,45.49242178,-10.33542921,-1.522616578
88.0005,21.98208096,10.75043869,67.16122473,-20.10165025,2.75010513
88.001,1.228861241,2.510189686,61.66772539,-28.64709367,0.003355460754
88.0015,-13.42047033,-3.28850406,38.4729504,-24.37437196,-14.64597611
88.002,-7.316582175,-2.067726429,20.46648035,-11.86140125,-26.2433636
88.0025,7.94313821,1.899800871,16.80414746,-3.621152238,-23.19141952
88.003,13.74183196,1.594606463,17.41453627,-2.705569015,-12.50961526
88.0035,9.163915841,-3.28850406,13.44700897,-3.010763422,-7.931699139
88.004,5.501582949,-6.950836953,8.869092857,-0.5692081607,-10.67844881
88.0045,5.501582949,-6.950836953,7.037926411,1.567152693,-10.3732544
88.005,3.670416502,-6.340448137,4.901565557,2.177541509,-4.879755062
88.0055,0.9236668331,-6.950836953,0.3236494419,3.703513547,-0.9122277624
88.006,2.754833279,-6.340448137,-0.5919337813,6.145068809,-3.353783024
88.0065,8.553527026,-3.593698468,7.343120819,5.839874401,-7.016115916
88.007,10.99508229,-1.457337614,18.94050831,3.398319139,-7.321310324
88.0075,7.94313821,-2.067726429,20.77167476,3.703513547,-3.353783024
88.008,3.670416502,-3.28850406,9.784676081,5.534679993,3.360493945
88.0085,-0.2971107977,-3.593698468,-4.559461081,0.9567638778,10.37996532
88.009,-7.92697099,-4.204087283,-13.1049045,-10.33542921,13.12671499
88.0095,-16.16722,-6.645642545,-14.32568213,-17.9652894,8.548798876
88.01,-18.30358085,-6.950836953,-14.32568213,-11.55620684,0.6137442762
88.0105,-13.72566474,-3.28850406,-17.0724318,0.9567638778,-2.438199801
88.011,-10.36852625,1.899800871,-22.87112554,7.060652032,0.003355460754
88.0115,-12.50488711,4.036161725,-29.28020811,4.313902363,4.581271576
88.012,-13.72566474,1.899800871,-31.72176337,1.872347101,6.107243615
88.0125,-6.706193359,0.06863442452,-27.44904166,5.229485586,5.496854799
88.013,3.365222095,0.9842176476,-20.42957028,8.891818478,3.970882761
88.0135,8.248332618,3.120578502,-16.15684857,7.976235255,2.75010513
88.014,7.027554987,4.036161725,-17.3776262,5.229485586,1.834521907
88.0145,7.637943803,4.036161725,-18.90359824,5.229485586,0.6137442762
88.015,10.38469347,5.867328171,-15.24126535,6.450263216,-1.522616578
88.0155,8.248332618,9.834855471,-8.221793974,4.924291178,-3.658977432
88.016,-1.823082836,12.58160514,-3.949072266,-0.5692081607,-3.353783024
88.0165,-13.11527592,11.66602192,-3.338683451,-5.452318684,-0.3018389469
88.017,-17.08280322,9.529661063,-1.202322597,-6.062707499,0.6137442762
88.0175,-13.72566474,10.14004988,7.037926411,-2.400374607,-1.522616578
88.018,-6.400998952,13.80238277,18.02492509,3.093124732,-3.964171839
88.0185,2.449638872,15.0231604,23.82361883,7.36584644,-1.522616578
88.019,9.469110249,10.14004988,18.3301195,7.36584644,4.276077169
88.0195,7.637943803,1.594606463,4.291176742,4.008707955,8.548798876
88.02,-2.738666059,-3.28850406,-10.05296042,2.177541509,8.853993284
88.0205,-10.97891507,-2.983309652,-17.98801502,5.534679993,8.243604469
88.021,-8.842554213,-0.5417543909,-18.90359824,11.94376256,7.022826838
88.0215,-2.738666059,0.06863442452,-19.20879265,16.82687308,5.191660392
88.022,-2.128277244,-0.5417543909,-21.65034791,17.7424563,3.360493945
88.0225,-6.095804544,-0.8469487986,-22.87112554,16.52167867,3.665688353
88.023,-7.316582175,-0.2365599832,-19.81918147,14.08012341,5.191660392
88.0235,-6.095804544,-0.8469487986,-16.76723739,9.502207293,4.886465984
88.024,-10.36852625,-2.067726429,-17.68282061,3.398319139,3.055299538
88.0245,-19.52435848,-3.593698468,-18.59840384,-1.484791384,1.529327499
