"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",384.98000,2000,22000,"uV"

"time","value"
384.98000,48.54436586
384.98050,27.18075732
384.98100,15.58336983
384.98150,14.6677866
384.98200,13.14181457
384.98250,9.784676081
384.98300,8.56389845
384.98350,8.56389845
384.98400,6.122343188
384.98450,4.291176742
384.98500,6.427537596
384.98550,7.953509634
384.98600,4.291176742
384.98650,-0.897128189
384.98700,-3.033489043
384.98750,-3.338683451
384.98800,-4.254266674
384.98850,-3.643877858
384.98900,0.01845503415
384.98950,0.6288438496
384.99000,-3.949072266
384.99050,-8.221793974
384.99100,-5.780238712
384.99150,-0.5919337813
384.99200,1.239232665
384.99250,1.239232665
384.99300,3.375593519
384.99350,6.427537596
384.99400,5.511954373
384.99450,1.239232665
384.99500,-0.897128189
384.99550,0.01845503415
384.99600,2.460010296
384.99650,3.680787927
384.99700,2.460010296
384.99750,-3.949072266
384.99800,-14.63087654
384.99850,-21.65034791
384.99900,-19.20879265
384.99950,-10.35815483
385.00000,-4.559461081
385.00050,-5.169849897
385.00100,-7.001016343
385.00150,-6.695821935
385.00200,-6.08543312
385.00250,-7.001016343
385.00300,-7.306210751
385.00350,-5.169849897
385.00400,-3.033489043
385.00450,-3.033489043
385.00500,-3.033489043
385.00550,-0.2867393736
385.00600,3.680787927
385.00650,6.732732004
385.00700,8.56389845
385.00750,11.92103693
385.00800,15.58336983
385.00850,15.88856423
385.00900,13.14181457
385.00950,10.3950649
385.01000,9.479481673
385.01050,7.037926411
385.01100,0.9340382573
385.01150,-5.780238712
385.01200,-8.221793974
385.01250,-7.001016343
385.01300,-5.475044304
385.01350,-6.390627528
385.01400,-6.390627528
385.01450,-3.949072266
385.01500,-1.202322597
385.01550,-0.5919337813
385.01600,-0.2867393736
385.01650,0.3236494419
385.01700,0.9340382573
385.01750,-0.5919337813
385.01800,-3.643877858
385.01850,-4.864655489
385.01900,-4.254266674
385.01950,-3.033489043
385.02000,-1.507517004
385.02050,0.01845503415
385.02100,0.01845503415
385.02150,-1.202322597
385.02200,1.84962148
385.02250,15.27817542
385.02300,31.45347903
385.02350,33.89503429
385.02400,17.10934187
385.02450,-4.559461081
385.02500,-15.24126535
385.02550,-13.1049045
385.02600,-8.832182789
385.02650,-8.832182789
385.02700,-10.05296042
385.02750,-9.137377197
385.02800,-7.611405158
385.02850,-5.475044304
385.02900,-0.5919337813
385.02950,8.56389845
385.03000,16.49895305
385.03050,17.71973068
385.03100,12.53142575
385.03150,7.037926411
385.03200,5.511954373
385.03250,7.343120819
385.03300,10.3950649
385.03350,12.22623134
385.03400,13.44700897
385.03450,12.83662016
385.03500,8.56389845
385.03550,0.6288438496
385.03600,-7.916599566
385.03650,-13.4100989
385.03700,-13.1049045
385.03750,-10.05296042
385.03800,-7.306210751
385.03850,-5.475044304
385.03900,-3.033489043
385.03950,-0.2867393736
385.04000,0.01845503415
385.04050,-1.812711412
385.04100,-4.864655489
385.04150,-5.780238712
385.04200,-4.559461081
385.04250,-2.11790582
385.04300,-0.897128189
385.04350,-1.202322597
385.04400,-2.11790582
385.04450,-2.11790582
385.04500,-1.202322597
385.04550,-1.507517004
385.04600,-3.033489043
385.04650,-5.169849897
385.04700,-6.390627528
385.04750,-5.475044304
385.04800,-3.643877858
385.04850,-1.812711412
385.04900,-0.897128189
385.04950,-1.202322597
385.05000,-2.423100227
385.05050,-3.338683451
385.05100,-3.338683451
385.05150,-3.033489043
385.05200,-2.728294635
385.05250,-2.423100227
385.05300,-0.897128189
385.05350,0.01845503415
385.05400,0.01845503415
385.05450,-0.897128189
385.05500,-1.507517004
385.05550,-1.507517004
385.05600,-1.507517004
385.05650,-1.812711412
385.05700,-1.812711412
385.05750,-1.202322597
385.05800,0.01845503415
385.05850,0.6288438496
385.05900,0.3236494419
385.05950,-0.2867393736
385.06000,-0.2867393736
385.06050,0.01845503415
385.06100,-0.2867393736
385.06150,-0.897128189
385.06200,-0.5919337813
385.06250,0.6288438496
385.06300,3.070399111
385.06350,4.291176742
385.06400,3.680787927
385.06450,0.9340382573
385.06500,-3.033489043
385.06550,-6.390627528
385.06600,-5.475044304
385.06650,0.01845503415
385.06700,6.427537596
385.06750,8.56389845
385.06800,4.59637115
385.06850,-0.2867393736
385.06900,-2.11790582
385.06950,0.6288438496
385.07000,4.291176742
385.07050,5.511954373
385.07100,4.901565557
385.07150,6.427537596
385.07200,11.61584253
385.07250,18.02492509
385.07300,19.85609153
385.07350,16.49895305
385.07400,11.61584253
385.07450,8.258704042
385.07500,3.985982334
385.07550,-3.338683451
385.07600,-13.1049045
385.07650,-20.12437587
385.07700,-22.26073673
385.07750,-21.0399591
385.07800,-17.3776262
385.07850,-10.66334924
385.07900,-2.423100227
385.07950,2.154815888
385.08000,0.01845503415
385.08050,-6.695821935
385.08100,-13.1049045
385.08150,-14.02048772
