"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",472.98000,2000,22000,"uV"

"time","value"
472.98000,-4.569832506
472.98050,-0.9074996131
472.98100,6.111971764
472.98150,9.469110249
472.98200,4.280805318
472.98250,-1.517888429
472.98300,3.670416502
472.98350,20.15091452
472.98400,29.91713556
472.98450,19.84572011
472.98500,-2.128277244
472.98550,-16.47241441
472.98600,-15.25163678
472.98650,-8.232165398
472.98700,-9.452943029
472.98750,-20.74513611
472.98800,-33.25810683
472.98850,-38.44641176
472.98900,-34.78407887
472.98950,-24.71266341
472.99000,-13.42047033
472.99050,-5.180221321
472.99100,-1.517888429
472.99150,0.008083609999
472.99200,3.365222095
472.99250,7.027554987
472.99300,8.858721433
472.99350,7.94313821
472.99400,5.501582949
472.99450,4.280805318
472.99500,5.501582949
472.99550,8.248332618
472.99600,9.469110249
472.99650,7.94313821
472.99700,4.280805318
472.99750,1.839250056
472.99800,1.839250056
472.99850,3.060027687
472.99900,3.670416502
472.99950,2.449638872
473.00000,0.9236668331
473.00050,0.008083609999
473.00100,0.3132780177
473.00150,1.839250056
473.00200,3.97561091
473.00250,5.196388541
473.00300,6.417166172
473.00350,8.248332618
473.00400,9.469110249
473.00450,8.248332618
473.00500,3.97561091
473.00550,0.008083609999
473.00600,-0.6023052054
473.00650,0.008083609999
473.00700,0.008083609999
473.00750,-0.6023052054
473.00800,-0.6023052054
473.00850,0.008083609999
473.00900,1.534055649
473.00950,4.585999726
473.01000,10.38469347
473.01050,16.18338722
473.01100,17.40416485
473.01150,13.13144314
473.01200,7.637943803
473.01250,3.97561091
473.01300,2.754833279
473.01350,2.144444464
473.01400,1.839250056
473.01450,0.6184724254
473.01500,-1.212694021
473.01550,-2.433471652
473.01600,-1.517888429
473.01650,-0.9074996131
473.01700,-5.180221321
473.01750,-11.89449829
473.01800,-11.28410947
473.01850,1.228861241
473.01900,16.79377603
473.01950,22.59246978
473.02000,18.01455366
473.02050,12.21585992
473.02100,11.30027669
473.02150,12.21585992
473.02200,9.163915841
473.02250,2.144444464
473.02300,-4.875026913
473.02350,-8.537359806
473.02400,-7.92697099
473.02450,-5.180221321
473.02500,-4.264638098
473.02550,-8.537359806
473.02600,-16.77760881
473.02650,-24.40746901
473.02700,-28.37499631
473.02750,-28.37499631
473.02800,-24.71266341
473.02850,-18.30358085
473.02900,-11.58930388
473.02950,-7.316582175
473.03000,-6.095804544
473.03050,-4.875026913
473.03100,-2.738666059
473.03150,-0.2971107977
473.03200,1.839250056
473.03250,5.501582949
473.03300,10.38469347
473.03350,12.82624873
473.03400,11.6054711
473.03450,7.94313821
473.03500,5.196388541
473.03550,3.97561091
473.03600,2.754833279
473.03650,1.839250056
473.03700,1.228861241
473.03750,0.6184724254
473.03800,0.3132780177
473.03850,0.6184724254
473.03900,1.839250056
473.03950,2.754833279
473.04000,2.449638872
473.04050,3.060027687
473.04100,4.585999726
473.04150,5.196388541
473.04200,3.060027687
473.04250,-0.2971107977
473.04300,-3.95944369
473.04350,-6.400998952
473.04400,-7.621776583
473.04450,-5.790610136
473.04500,0.008083609999
473.04550,6.417166172
473.04600,9.774304656
473.04650,9.469110249
473.04700,8.248332618
473.04750,8.248332618
473.04800,9.163915841
473.04850,8.553527026
473.04900,5.501582949
473.04950,3.97561091
473.05000,8.553527026
473.05050,16.18338722
473.05100,14.96260959
473.05150,-1.517888429
473.05200,-22.57630256
473.05250,-31.12174598
473.05300,-25.32305223
473.05350,-21.05033052
473.05400,-28.37499631
473.05450,-36.92043972
473.05500,-32.0373292
473.05550,-15.25163678
473.05600,0.008083609999
473.05650,6.417166172
473.05700,7.027554987
473.05750,5.806777356
473.05800,3.670416502
473.05850,2.449638872
473.05900,4.891194133
473.05950,9.774304656
473.06000,10.99508229
473.06050,7.027554987
473.06100,2.144444464
473.06150,0.3132780177
473.06200,1.228861241
473.06250,1.534055649
473.06300,0.3132780177
473.06350,-0.2971107977
473.06400,-0.9074996131
473.06450,-1.212694021
473.06500,-2.128277244
473.06550,-2.128277244
473.06600,-0.9074996131
473.06650,0.008083609999
473.06700,1.228861241
473.06750,2.449638872
473.06800,5.196388541
473.06850,7.027554987
473.06900,6.417166172
473.06950,4.585999726
473.07000,3.365222095
473.07050,3.365222095
473.07100,2.144444464
473.07150,0.9236668331
473.07200,3.365222095
473.07250,9.469110249
473.07300,13.43663755
473.07350,13.43663755
473.07400,15.87819281
473.07450,24.42363623
473.07500,32.96907964
473.07550,32.96907964
473.07600,26.25480267
473.07650,20.45610893
473.07700,17.40416485
473.07750,12.52105433
473.07800,5.501582949
473.07850,-0.2971107977
473.07900,-8.232165398
473.07950,-23.18669138
473.08000,-40.88796702
473.08050,-48.21263281
473.08100,-41.19316143
473.08150,-28.68019071
473.08200,-19.21916408
