"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",472.98000,2000,22000,"uV"

"time","value"
472.98000,-4.509281691
472.98050,-2.067726429
472.98100,-1.457337614
472.98150,-4.204087283
472.98200,-7.866420176
472.98250,-9.087197807
472.98300,-8.476808991
472.98350,-7.866420176
472.98400,-8.476808991
472.98450,-10.91836425
472.98500,-14.27550274
472.98550,-16.717058
472.98600,-15.49628037
472.98650,-11.52875307
472.98700,-7.866420176
472.98750,-6.645642545
472.98800,-6.950836953
472.98850,-6.03525373
472.98900,-2.678115245
472.98950,0.3738288322
472.99000,0.9842176476
472.99050,-0.8469487986
472.99100,-2.067726429
472.99150,0.06863442452
472.99200,3.730967317
472.99250,5.562133763
472.99300,4.341356132
472.99350,3.120578502
472.99400,4.951744948
472.99450,8.919272248
472.99500,10.44524429
472.99550,8.61407784
472.99600,6.477716986
472.99650,6.477716986
472.99700,7.088105802
472.99750,5.562133763
472.99800,2.510189686
472.99850,0.6790232399
472.99900,0.9842176476
472.99950,1.899800871
473.00000,1.289412055
473.00050,0.9842176476
473.00100,1.289412055
473.00150,1.289412055
473.00200,-0.5417543909
473.00250,-3.593698468
473.00300,-5.424864914
473.00350,-4.814476099
473.00400,-3.898892876
473.00450,-4.204087283
473.00500,-4.814476099
473.00550,-5.119670506
473.00600,-5.119670506
473.00650,-4.814476099
473.00700,-4.204087283
473.00750,-3.28850406
473.00800,-1.762532022
473.00850,0.3738288322
473.00900,4.951744948
473.00950,8.003689025
473.01000,7.088105802
473.01050,2.204995278
473.01100,-1.457337614
473.01150,-0.5417543909
473.01200,2.815384094
473.01250,5.256939355
473.01300,6.477716986
473.01350,8.61407784
473.01400,11.0556331
473.01450,11.66602192
473.01500,10.44524429
473.01550,8.919272248
473.01600,8.61407784
473.01650,8.61407784
473.01700,8.308883432
473.01750,8.308883432
473.01800,8.308883432
473.01850,6.782911394
473.01900,3.425772909
473.01950,0.6790232399
473.02000,1.289412055
473.02050,3.120578502
473.02100,1.289412055
473.02150,-4.814476099
473.02200,-11.22355866
473.02250,-13.35991951
473.02300,-11.52875307
473.02350,-9.392392214
473.02400,-8.476808991
473.02450,-7.561225768
473.02500,-5.424864914
473.02550,-4.204087283
473.02600,-5.119670506
473.02650,-6.950836953
473.02700,-8.171614583
473.02750,-8.782003399
473.02800,-9.087197807
473.02850,-7.561225768
473.02900,-3.898892876
473.02950,0.6790232399
473.03000,4.036161725
473.03050,4.951744948
473.03100,6.172522579
473.03150,8.308883432
473.03200,8.919272248
473.03250,6.782911394
473.03300,3.120578502
473.03350,1.289412055
473.03400,2.204995278
473.03450,4.951744948
473.03500,7.698494617
473.03550,8.919272248
473.03600,8.61407784
473.03650,7.088105802
473.03700,6.477716986
473.03750,7.393300209
473.03800,7.393300209
473.03850,5.562133763
473.03900,3.425772909
473.03950,2.815384094
473.04000,2.204995278
473.04050,0.6790232399
473.04100,-1.762532022
473.04150,-3.593698468
473.04200,-5.119670506
473.04250,-6.340448137
473.04300,-7.561225768
473.04350,-8.782003399
473.04400,-9.392392214
473.04450,-9.392392214
473.04500,-7.561225768
473.04550,-3.898892876
473.04600,-1.152143206
473.04650,-1.152143206
473.04700,-2.067726429
473.04750,-0.8469487986
473.04800,1.594606463
473.04850,2.510189686
473.04900,1.899800871
473.04950,1.594606463
473.05000,2.510189686
473.05050,2.204995278
473.05100,0.06863442452
473.05150,-1.457337614
473.05200,-1.152143206
473.05250,-0.2365599832
473.05300,0.06863442452
473.05350,-0.5417543909
473.05400,0.06863442452
473.05450,2.815384094
473.05500,5.562133763
473.05550,6.477716986
473.05600,4.951744948
473.05650,2.204995278
473.05700,0.9842176476
473.05750,2.510189686
473.05800,4.341356132
473.05850,2.815384094
473.05900,-2.067726429
473.05950,-6.645642545
473.06000,-6.950836953
473.06050,-4.814476099
473.06100,-2.983309652
473.06150,-2.983309652
473.06200,-3.593698468
473.06250,-3.28850406
473.06300,-3.593698468
473.06350,-4.814476099
473.06400,-6.645642545
473.06450,-7.866420176
473.06500,-8.171614583
473.06550,-8.171614583
473.06600,-8.476808991
473.06650,-8.171614583
473.06700,-6.645642545
473.06750,-4.509281691
473.06800,-2.067726429
473.06850,-0.2365599832
473.06900,0.06863442452
473.06950,0.3738288322
473.07000,0.9842176476
473.07050,3.730967317
473.07100,7.088105802
473.07150,8.61407784
473.07200,8.003689025
473.07250,7.698494617
473.07300,9.224466656
473.07350,10.44524429
473.07400,8.919272248
473.07450,5.867328171
473.07500,4.341356132
473.07550,4.951744948
473.07600,6.172522579
473.07650,6.477716986
473.07700,7.088105802
473.07750,8.308883432
473.07800,7.698494617
473.07850,3.425772909
473.07900,-2.678115245
473.07950,-7.866420176
473.08000,-10.00278103
473.08050,-10.00278103
473.08100,-9.392392214
473.08150,-8.782003399
473.08200,-8.171614583
473.08250,-7.25603136
473.08300,-6.950836953
473.08350,-6.950836953
473.08400,-6.645642545
473.08450,-5.730059322
473.08500,-5.424864914
473.08550,-5.424864914
473.08600,-4.814476099
473.08650,-2.983309652
473.08700,-1.457337614
473.08750,-1.152143206
473.08800,-1.152143206
473.08850,0.06863442452
473.08900,2.510189686
473.08950,4.341356132
473.09000,4.341356132
473.09050,4.64655054
473.09100,6.477716986
473.09150,8.003689025
473.09200,8.003689025
473.09250,7.393300209
473.09300,7.698494617
473.09350,8.003689025
473.09400,6.782911394
473.09450,4.951744948
473.09500,5.256939355
473.09550,6.782911394
473.09600,6.477716986
473.09650,1.899800871
473.09700,-2.983309652
473.09750,-5.424864914
473.09800,-4.204087283
473.09850,-2.067726429
473.09900,-0.5417543909
473.09950,-0.5417543909
473.10000,-0.8469487986
473.10050,-0.8469487986
473.10100,-0.8469487986
473.10150,-1.762532022
473.10200,-3.593698468
473.10250,-4.204087283
473.10300,-3.28850406
473.10350,-3.593698468
473.10400,-6.950836953
473.10450,-11.22355866
473.10500,-13.05472511
473.10550,-11.52875307
473.10600,-10.30797544
473.10650,-10.30797544
473.10700,-8.782003399
473.10750,-5.730059322
473.10800,-3.28850406
473.10850,-1.762532022
473.10900,0.06863442452
473.10950,2.510189686
473.11000,3.730967317
473.11050,3.120578502
473.11100,2.204995278
473.11150,3.120578502
473.11200,4.951744948
473.11250,7.088105802
473.11300,8.919272248
473.11350,10.14004988
473.11400,8.61407784
473.11450,4.951744948
473.11500,2.815384094
473.11550,4.341356132
473.11600,7.088105802
473.11650,7.088105802
473.11700,5.867328171
473.11750,4.951744948
473.11800,4.951744948
473.11850,4.64655054
473.11900,4.341356132
473.11950,3.730967317
473.12000,1.899800871
473.12050,-0.8469487986
473.12100,-3.593698468
473.12150,-3.28850406
473.12200,-1.457337614
473.12250,-0.5417543909
473.12300,-2.067726429
473.12350,-5.119670506
473.12400,-6.950836953
473.12450,-7.25603136
473.12500,-6.645642545
473.12550,-6.340448137
473.12600,-7.25603136
473.12650,-8.171614583
473.12700,-8.782003399
473.12750,-8.782003399
473.12800,-8.476808991
473.12850,-7.866420176
473.12900,-6.950836953
473.12950,-5.730059322
473.13000,-4.204087283
473.13050,-2.372920837
473.13100,0.06863442452
473.13150,3.120578502
473.13200,4.64655054
473.13250,5.867328171
473.13300,7.088105802
473.13350,8.919272248
473.13400,8.61407784
473.13450,6.782911394
473.13500,5.562133763
473.13550,6.477716986
473.13600,7.088105802
473.13650,5.256939355
473.13700,1.899800871
473.13750,0.3738288322
473.13800,1.594606463
473.13850,3.425772909
