"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",483.98000,2000,22000,"uV"

"time","value"
483.98000,1.544427073
483.98050,2.154815888
483.98100,3.070399111
483.98150,3.375593519
483.98200,2.765204703
483.98250,1.544427073
483.98300,0.9340382573
483.98350,0.6288438496
483.98400,0.01845503415
483.98450,-0.897128189
483.98500,-1.507517004
483.98550,-1.507517004
483.98600,-1.202322597
483.98650,-0.5919337813
483.98700,-0.2867393736
483.98750,-0.2867393736
483.98800,-0.5919337813
483.98850,-1.202322597
483.98900,-0.5919337813
483.98950,0.3236494419
483.99000,0.6288438496
483.99050,0.01845503415
483.99100,0.01845503415
483.99150,0.3236494419
483.99200,0.01845503415
483.99250,-2.728294635
483.99300,-6.08543312
483.99350,-7.001016343
483.99400,-4.559461081
483.99450,-0.5919337813
483.99500,2.460010296
483.99550,4.901565557
483.99600,6.122343188
483.99650,6.122343188
483.99700,5.206759965
483.99750,3.985982334
483.99800,3.375593519
483.99850,3.070399111
483.99900,3.070399111
483.99950,3.375593519
484.00000,3.375593519
484.00050,2.765204703
484.00100,2.460010296
484.00150,1.544427073
484.00200,0.6288438496
484.00250,-0.897128189
484.00300,-1.812711412
484.00350,-2.423100227
484.00400,-2.423100227
484.00450,-2.728294635
484.00500,-2.728294635
484.00550,-2.11790582
484.00600,-1.812711412
484.00650,-1.812711412
484.00700,-1.202322597
484.00750,0.01845503415
484.00800,0.01845503415
484.00850,-1.507517004
484.00900,-4.254266674
484.00950,-6.08543312
484.01000,-6.695821935
484.01050,-6.390627528
484.01100,-4.254266674
484.01150,-0.897128189
484.01200,0.01845503415
484.01250,-0.2867393736
484.01300,0.01845503415
484.01350,2.154815888
484.01400,3.375593519
484.01450,2.154815888
484.01500,1.544427073
484.01550,3.070399111
484.01600,3.375593519
484.01650,0.9340382573
484.01700,-0.5919337813
484.01750,-0.2867393736
484.01800,-2.728294635
484.01850,-10.96854364
484.01900,-18.90359824
484.01950,-19.81918147
484.02000,-16.15684857
484.02050,-14.93607094
484.02100,-14.93607094
484.02150,-11.88412687
484.02200,-9.137377197
484.02250,-10.96854364
484.02300,-10.35815483
484.02350,4.59637115
484.02400,29.62231258
484.02450,44.57683856
484.02500,38.4729504
484.02550,21.99245239
484.02600,12.22623134
484.02650,10.7002593
484.02700,10.7002593
484.02750,8.869092857
484.02800,8.258704042
484.02850,10.3950649
484.02900,12.53142575
484.02950,13.44700897
484.03000,12.22623134
484.03050,8.869092857
484.03100,3.985982334
484.03150,0.3236494419
484.03200,-0.5919337813
484.03250,-1.507517004
484.03300,-3.643877858
484.03350,-5.780238712
484.03400,-7.001016343
484.03450,-8.832182789
484.03500,-11.27373805
484.03550,-13.1049045
484.03600,-14.32568213
484.03650,-15.85165417
484.03700,-16.46204298
484.03750,-13.71529331
484.03800,-8.832182789
484.03850,-4.254266674
484.03900,-1.507517004
484.03950,1.544427073
484.04000,4.291176742
484.04050,4.59637115
484.04100,3.375593519
484.04150,5.511954373
484.04200,11.00545371
484.04250,14.3625922
484.04300,11.92103693
484.04350,9.174287265
484.04400,11.31064812
484.04450,16.19375864
484.04500,18.94050831
484.04550,18.02492509
484.04600,16.19375864
484.04650,14.05739779
484.04700,10.7002593
484.04750,5.206759965
484.04800,0.3236494419
484.04850,-2.423100227
484.04900,-4.559461081
484.04950,-7.306210751
484.05000,-10.05296042
484.05050,-11.57893246
484.05100,-11.88412687
484.05150,-12.49451568
484.05200,-14.93607094
484.05250,-19.20879265
484.05300,-21.95554232
484.05350,-19.51398706
484.05400,-11.88412687
484.05450,-1.812711412
484.05500,6.122343188
484.05550,8.56389845
484.05600,4.291176742
484.05650,-3.643877858
484.05700,-10.66334924
484.05750,-12.79971009
484.05800,-12.18932127
484.05850,-10.96854364
484.05900,-7.306210751
484.05950,2.460010296
484.06000,15.27817542
484.06050,23.21323002
484.06100,22.90803561
484.06150,17.71973068
484.06200,11.61584253
484.06250,4.291176742
484.06300,-3.338683451
484.06350,-8.832182789
484.06400,-9.137377197
484.06450,-6.390627528
484.06500,-1.812711412
484.06550,3.680787927
484.06600,10.7002593
484.06650,15.58336983
484.06700,16.49895305
484.06750,15.27817542
484.06800,13.75220338
484.06850,10.3950649
484.06900,5.81714878
484.06950,3.070399111
484.07000,4.901565557
484.07050,7.953509634
484.07100,7.953509634
484.07150,6.122343188
484.07200,5.206759965
484.07250,5.206759965
484.07300,3.680787927
484.07350,1.84962148
484.07400,2.460010296
484.07450,6.122343188
484.07500,8.56389845
484.07550,6.732732004
484.07600,0.9340382573
484.07650,-4.254266674
484.07700,-7.306210751
484.07750,-7.001016343
484.07800,-5.475044304
484.07850,-5.475044304
484.07900,-6.695821935
484.07950,-8.221793974
484.08000,-10.05296042
484.08050,-12.79971009
484.08100,-14.93607094
484.08150,-14.32568213
484.08200,-11.88412687
484.08250,-11.57893246
484.08300,-14.02048772
484.08350,-15.54645976
484.08400,-13.71529331
484.08450,-10.96854364
484.08500,-11.27373805
484.08550,-13.71529331
484.08600,-15.24126535
484.08650,-13.71529331
484.08700,-10.96854364
484.08750,-8.221793974
484.08800,-6.08543312
484.08850,-3.643877858
484.08900,-1.507517004
484.08950,-0.5919337813
484.09000,-0.2867393736
484.09050,-0.2867393736
484.09100,0.01845503415
484.09150,-0.5919337813
484.09200,-3.338683451
484.09250,-7.611405158
484.09300,-11.57893246
484.09350,-13.1049045
484.09400,-12.79971009
484.09450,-14.32568213
484.09500,-18.29320943
484.09550,-20.73476469
484.09600,-18.29320943
484.09650,-11.57893246
484.09700,-3.033489043
484.09750,5.511954373
484.09800,13.14181457
484.09850,18.02492509
484.09900,18.02492509
484.09950,13.44700897
484.10000,7.343120819
484.10050,2.460010296
484.10100,0.6288438496
484.10150,1.544427073
484.10200,3.985982334
484.10250,7.037926411
484.10300,9.784676081
484.10350,12.22623134
484.10400,12.83662016
484.10450,10.7002593
484.10500,7.037926411
484.10550,4.291176742
484.10600,3.375593519
484.10650,2.765204703
484.10700,1.239232665
484.10750,0.01845503415
484.10800,0.3236494419
484.10850,1.544427073
484.10900,2.765204703
484.10950,3.985982334
484.11000,4.901565557
484.11050,5.206759965
484.11100,3.680787927
484.11150,1.84962148
484.11200,0.3236494419
484.11250,-0.5919337813
484.11300,-1.812711412
484.11350,-3.033489043
484.11400,-3.643877858
484.11450,-3.643877858
484.11500,-4.254266674
484.11550,-5.169849897
484.11600,-4.864655489
484.11650,-3.643877858
484.11700,-2.423100227
484.11750,-2.11790582
484.11800,-2.11790582
484.11850,-0.5919337813
484.11900,1.239232665
484.11950,2.460010296
484.12000,2.154815888
484.12050,3.070399111
484.12100,5.81714878
484.12150,9.479481673
484.12200,10.7002593
484.12250,8.869092857
484.12300,4.291176742
484.12350,-0.5919337813
484.12400,-4.254266674
484.12450,-4.254266674
484.12500,-1.507517004
484.12550,1.239232665
484.12600,1.84962148
484.12650,1.544427073
484.12700,2.460010296
484.12750,4.901565557
484.12800,6.122343188
484.12850,5.206759965
484.12900,3.680787927
484.12950,3.070399111
484.13000,3.070399111
484.13050,1.84962148
484.13100,-0.5919337813
484.13150,-3.338683451
484.13200,-4.864655489
484.13250,-4.559461081
484.13300,-3.949072266
484.13350,-4.559461081
484.13400,-5.169849897
484.13450,-4.254266674
484.13500,-1.812711412
484.13550,0.01845503415
484.13600,1.239232665
484.13650,2.154815888
484.13700,2.460010296
484.13750,2.154815888
484.13800,1.544427073
484.13850,3.375593519
484.13900,7.037926411
484.13950,9.479481673
484.14000,7.648315227
484.14050,4.59637115
484.14100,2.765204703
484.14150,1.84962148
484.14200,0.01845503415
484.14250,-1.812711412
484.14300,-0.897128189
484.14350,1.84962148
484.14400,2.765204703
484.14450,0.3236494419
484.14500,-1.812711412
484.14550,-2.728294635
484.14600,-3.033489043
484.14650,-4.559461081
484.14700,-5.780238712
484.14750,-5.169849897
484.14800,-3.643877858
484.14850,-3.949072266
484.14900,-4.864655489
484.14950,-5.169849897
484.15000,-5.169849897
484.15050,-5.169849897
484.15100,-5.169849897
484.15150,-2.728294635
484.15200,1.239232665
484.15250,6.122343188
484.15300,9.784676081
484.15350,11.92103693
484.15400,11.92103693
484.15450,8.56389845
484.15500,4.291176742
484.15550,2.154815888
484.15600,3.375593519
484.15650,5.206759965
484.15700,5.206759965
484.15750,3.680787927
484.15800,1.84962148
484.15850,0.9340382573
484.15900,0.9340382573
484.15950,1.84962148
484.16000,2.765204703
484.16050,2.460010296
484.16100,1.544427073
484.16150,1.239232665
484.16200,1.239232665
484.16250,0.6288438496
484.16300,-0.5919337813
484.16350,-0.897128189
484.16400,0.01845503415
484.16450,1.239232665
484.16500,1.544427073
484.16550,2.460010296
484.16600,3.070399111
484.16650,1.84962148
484.16700,-1.812711412
484.16750,-6.390627528
484.16800,-9.442571605
484.16850,-10.96854364
484.16900,-10.05296042
484.16950,-5.169849897
484.17000,1.239232665
484.17050,4.901565557
484.17100,3.070399111
484.17150,-0.5919337813
484.17200,-3.643877858
484.17250,-5.169849897
484.17300,-4.864655489
484.17350,-1.202322597
484.17400,5.511954373
484.17450,12.22623134
484.17500,13.14181457
484.17550,9.479481673
484.17600,3.985982334
484.17650,-0.5919337813
484.17700,-3.949072266
484.17750,-6.390627528
484.17800,-7.916599566
484.17850,-8.832182789
484.17900,-9.137377197
484.17950,-8.221793974
484.18000,-5.780238712
484.18050,-2.423100227
484.18100,0.6288438496
484.18150,5.206759965
484.18200,10.7002593
484.18250,14.97298101
484.18300,15.27817542
484.18350,11.61584253
484.18400,6.122343188
484.18450,1.84962148
484.18500,0.01845503415
484.18550,0.6288438496
484.18600,2.765204703
484.18650,4.59637115
484.18700,5.206759965
484.18750,4.901565557
484.18800,3.985982334
484.18850,1.84962148
484.18900,0.01845503415
484.18950,-1.202322597
