time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
483.98,-0.2971107977,0.06863442452,1.544427073,-3.010763422,-2.743394209
483.9805,0.3132780177,3.425772909,2.154815888,-2.705569015,-3.964171839
483.981,2.144444464,8.003689025,3.070399111,-1.484791384,-4.574560655
483.9815,4.280805318,9.834855471,3.375593519,0.3463750624,-3.658977432
483.982,6.111971764,8.308883432,2.765204703,1.567152693,-1.827810985
483.9825,7.94313821,7.088105802,1.544427073,1.872347101,-1.21742217
483.983,10.07949906,7.088105802,0.9340382573,2.482735916,-1.827810985
483.9835,10.99508229,7.698494617,0.6288438496,3.703513547,-1.827810985
483.984,10.07949906,7.393300209,0.01845503415,4.008707955,-0.9122277624
483.9845,7.637943803,6.782911394,-0.897128189,2.787930324,0.003355460754
483.985,5.806777356,6.477716986,-1.507517004,0.9567638778,-0.3018389469
483.9855,4.280805318,6.172522579,-1.507517004,-0.264013753,-1.21742217
483.986,2.144444464,5.867328171,-1.202322597,-0.5692081607,-1.522616578
483.9865,0.3132780177,6.477716986,-0.5919337813,-1.179596976,-1.522616578
483.987,-0.2971107977,7.088105802,-0.2867393736,-1.789985791,-1.827810985
483.9875,-0.2971107977,5.867328171,-0.2867393736,-1.484791384,-2.133005393
483.988,0.008083609999,2.815384094,-0.5919337813,-0.264013753,-1.21742217
483.9885,-0.2971107977,0.06863442452,-1.202322597,0.04118065471,0.9189386839
483.989,-0.2971107977,-0.2365599832,-0.5919337813,-0.5692081607,3.055299538
483.9895,0.008083609999,-0.5417543909,0.3236494419,-1.179596976,2.75010513
483.99,0.6184724254,-2.372920837,0.6288438496,0.04118065471,1.224133092
483.9905,0.9236668331,-4.509281691,0.01845503415,1.567152693,0.9189386839
483.991,0.3132780177,-5.424864914,0.01845503415,1.567152693,1.834521907
483.9915,0.008083609999,-5.730059322,0.3236494419,0.3463750624,2.444910722
483.992,-0.2971107977,-6.645642545,0.01845503415,0.3463750624,1.834521907
483.9925,-0.2971107977,-7.561225768,-2.728294635,3.093124732,1.224133092
483.993,-1.212694021,-6.645642545,-6.08543312,5.839874401,1.834521907
483.9935,-2.738666059,-5.730059322,-7.001016343,5.839874401,2.444910722
483.994,-4.264638098,-6.950836953,-4.559461081,2.482735916,1.834521907
483.9945,-4.264638098,-9.392392214,-0.5919337813,-0.8744025684,0.003355460754
483.995,-3.349054875,-9.697586622,2.460010296,-1.789985791,-0.6070333546
483.9955,-1.517888429,-7.25603136,4.901565557,-0.5692081607,-0.6070333546
483.996,0.9236668331,-4.814476099,6.122343188,0.6515694701,0.003355460754
483.9965,3.365222095,-4.509281691,6.122343188,0.6515694701,-0.9122277624
483.997,3.670416502,-5.119670506,5.206759965,0.04118065471,-1.827810985
483.9975,2.449638872,-4.814476099,3.985982334,-0.264013753,-1.522616578
483.998,0.6184724254,-2.983309652,3.375593519,0.04118065471,0.003355460754
483.9985,0.008083609999,-1.762532022,3.070399111,1.567152693,1.834521907
483.999,0.008083609999,-1.457337614,3.070399111,2.482735916,1.834521907
483.9995,0.008083609999,-1.152143206,3.375593519,2.177541509,0.6137442762
484.0,0.008083609999,0.06863442452,3.375593519,1.872347101,0.3085498685
484.0005,0.3132780177,2.815384094,2.765204703,1.567152693,0.3085498685
484.001,0.008083609999,5.562133763,2.460010296,1.567152693,-0.6070333546
484.0015,-1.212694021,7.088105802,1.544427073,0.6515694701,-3.964171839
484.002,-1.823082836,7.088105802,0.6288438496,-0.5692081607,-5.795338286
484.0025,-1.212694021,7.088105802,-0.897128189,-1.789985791,-3.964171839
484.003,-0.9074996131,7.393300209,-1.812711412,-2.400374607,-0.6070333546
484.0035,-2.433471652,7.393300209,-2.423100227,-2.400374607,0.3085498685
484.004,-3.95944369,7.088105802,-2.423100227,-2.705569015,-0.9122277624
484.0045,-3.349054875,7.698494617,-2.728294635,-3.621152238,-2.743394209
484.005,-1.517888429,8.308883432,-2.728294635,-5.147124276,-2.743394209
484.0055,-0.6023052054,7.088105802,-2.11790582,-5.452318684,-1.21742217
484.006,-0.9074996131,4.036161725,-1.812711412,-3.31595783,0.003355460754
484.0065,-0.2971107977,1.289412055,-1.812711412,-0.8744025684,0.9189386839
484.007,1.534055649,1.289412055,-1.202322597,-0.8744025684,0.6137442762
484.0075,2.449638872,2.510189686,0.01845503415,-2.705569015,0.003355460754
484.008,1.228861241,1.594606463,0.01845503415,-3.621152238,-0.6070333546
484.0085,0.008083609999,0.06863442452,-1.507517004,-1.789985791,0.3085498685
484.009,0.3132780177,-0.5417543909,-4.254266674,-0.8744025684,1.834521907
484.0095,1.534055649,0.06863442452,-6.08543312,-2.400374607,1.834521907
484.01,0.6184724254,0.06863442452,-6.695821935,-4.536735461,1.224133092
484.0105,-1.517888429,-1.457337614,-6.390627528,-3.926346645,1.529327499
484.011,-2.738666059,-3.593698468,-4.254266674,-1.484791384,3.055299538
484.0115,-1.212694021,-5.424864914,-0.897128189,0.04118065471,4.276077169
484.012,-0.2971107977,-6.950836953,0.01845503415,0.04118065471,3.665688353
484.0125,-1.212694021,-7.561225768,-0.2867393736,-0.264013753,2.444910722
484.013,-3.043860467,-6.340448137,0.01845503415,-0.264013753,1.529327499
484.0135,-3.043860467,-4.814476099,2.154815888,-0.264013753,0.9189386839
484.014,-2.128277244,-5.424864914,3.375593519,-0.5692081607,0.9189386839
484.0145,-2.128277244,-7.866420176,2.154815888,-0.264013753,1.529327499
484.015,-4.264638098,-8.171614583,1.544427073,0.3463750624,2.75010513
484.0155,-6.095804544,-5.730059322,3.070399111,0.6515694701,2.75010513
484.016,-5.790610136,-2.372920837,3.375593519,0.6515694701,0.003355460754
484.0165,-4.875026913,-0.8469487986,0.9340382573,1.261958286,-2.438199801
484.017,-3.043860467,-0.2365599832,-0.5919337813,3.093124732,-3.658977432
484.0175,0.3132780177,0.6790232399,-0.2867393736,4.924291178,-2.438199801
484.018,4.280805318,1.594606463,-2.728294635,4.924291178,-0.9122277624
484.0185,7.332749395,1.289412055,-10.96854364,3.093124732,-0.3018389469
484.019,8.553527026,1.289412055,-18.90359824,1.261958286,-0.3018389469
484.0195,9.774304656,2.510189686,-19.81918147,1.261958286,0.003355460754
484.02,10.68988788,3.730967317,-16.15684857,3.093124732,0.6137442762
484.0205,10.07949906,3.120578502,-14.93607094,4.313902363,1.529327499
484.021,7.94313821,2.204995278,-14.93607094,3.398319139,1.529327499
484.0215,6.111971764,3.730967317,-11.88412687,1.872347101,1.224133092
484.022,5.501582949,7.088105802,-9.137377197,1.261958286,1.224133092
484.0225,4.585999726,8.61407784,-10.96854364,1.872347101,2.444910722
484.023,2.754833279,7.393300209,-10.35815483,2.482735916,2.75010513
484.0235,2.144444464,6.172522579,4.59637115,2.787930324,0.9189386839
484.024,1.534055649,7.088105802,29.62231258,3.703513547,-0.9122277624
484.0245,-1.823082836,8.308883432,44.57683856,2.787930324,-0.3018389469
484.025,-7.92697099,6.782911394,38.4729504,-2.095180199,1.529327499
484.0255,-10.97891507,3.120578502,21.99245239,-9.725040392,3.360493945
484.026,-7.011387767,0.06863442452,12.22623134,-13.38737328,3.360493945
484.0265,-0.6023052054,0.06863442452,10.7002593,-10.33542921,2.139716315
484.027,0.9236668331,2.204995278,10.7002593,-4.231541053,0.9189386839
484.0275,-0.2971107977,3.425772909,8.869092857,-1.179596976,0.003355460754
484.028,-1.212694021,3.425772909,8.258704042,-1.789985791,-0.3018389469
484.0285,0.3132780177,3.120578502,10.3950649,-1.789985791,0.003355460754
484.029,1.839250056,3.425772909,12.53142575,-0.264013753,-0.3018389469
484.0295,1.839250056,3.425772909,13.44700897,0.6515694701,-2.438199801
484.03,0.3132780177,2.510189686,12.22623134,0.04118065471,-3.964171839
484.0305,-2.128277244,0.06863442452,8.869092857,-1.179596976,-2.743394209
484.031,-4.875026913,-1.762532022,3.985982334,-0.8744025684,0.003355460754
484.0315,-5.485415729,-2.678115245,0.3236494419,-0.264013753,1.529327499
484.032,-3.654249282,-2.983309652,-0.5919337813,-0.5692081607,1.529327499
484.0325,-1.823082836,-3.593698468,-1.507517004,-0.8744025684,1.224133092
484.033,-2.738666059,-4.814476099,-3.643877858,0.04118065471,1.529327499
484.0335,-4.875026913,-5.730059322,-5.780238712,1.261958286,1.529327499
484.034,-4.875026913,-6.645642545,-7.001016343,1.567152693,1.224133092
484.0345,-3.95944369,-7.866420176,-8.832182789,0.04118065471,1.834521907
484.035,-3.95944369,-9.087197807,-11.27373805,-0.8744025684,2.444910722
484.0355,-6.095804544,-9.392392214,-13.1049045,-1.484791384,2.139716315
484.036,-9.452943029,-8.782003399,-14.32568213,-3.010763422,1.834521907
484.0365,-13.11527592,-8.171614583,-15.85165417,-6.062707499,3.055299538
484.037,-15.86202559,-8.476808991,-16.46204298,-7.893873946,4.886465984
484.0375,-14.33605355,-7.866420176,-13.71529331,-6.978290722,3.665688353
484.038,-8.842554213,-4.509281691,-8.832182789,-3.621152238,0.003355460754
484.0385,-3.349054875,-0.8469487986,-4.254266674,-0.8744025684,-2.133005393
484.039,-0.9074996131,0.9842176476,-1.507517004,-0.264013753,-2.133005393
484.0395,0.008083609999,0.6790232399,1.544427073,-1.789985791,-1.21742217
484.04,2.449638872,0.06863442452,4.291176742,-3.31595783,-1.522616578
484.0405,4.585999726,0.06863442452,4.59637115,-3.926346645,-1.522616578
484.041,5.501582949,0.9842176476,3.375593519,-2.705569015,-0.9122277624
484.0415,6.722360579,3.425772909,5.511954373,0.04118065471,-0.9122277624
484.042,8.858721433,7.393300209,11.00545371,3.703513547,-2.743394209
484.0425,10.07949906,10.75043869,14.3625922,5.839874401,-4.269366247
484.043,8.248332618,10.75043869,11.92103693,5.229485586,-3.964171839
484.0435,7.027554987,8.003689025,9.174287265,3.093124732,-2.743394209
484.044,8.858721433,6.477716986,11.31064812,2.482735916,-1.21742217
484.0445,11.30027669,7.088105802,16.19375864,3.703513547,-0.6070333546
484.045,10.99508229,8.003689025,18.94050831,4.61909677,-0.3018389469
484.0455,9.774304656,7.393300209,18.02492509,3.398319139,-0.9122277624
484.046,10.68988788,6.172522579,16.19375864,2.177541509,-2.438199801
484.0465,13.13144314,6.477716986,14.05739779,3.398319139,-2.743394209
484.047,13.43663755,7.393300209,10.7002593,6.450263216,-1.827810985
484.0475,11.6054711,6.782911394,5.206759965,7.976235255,-0.3018389469
484.048,9.163915841,4.64655054,0.3236494419,6.450263216,0.9189386839
484.0485,5.806777356,2.510189686,-2.423100227,3.398319139,1.834521907
484.049,0.6184724254,1.594606463,-4.559461081,1.261958286,2.139716315
484.0495,-4.569832506,0.3738288322,-7.306210751,-0.264013753,2.139716315
484.05,-7.316582175,-1.152143206,-10.05296042,-2.705569015,1.224133092
484.0505,-8.842554213,-2.983309652,-11.57893246,-4.841929869,0.6137442762
484.051,-12.50488711,-3.593698468,-11.88412687,-5.452318684,0.003355460754
484.0515,-17.38799763,-4.204087283,-12.49451568,-5.147124276,-0.3018389469
484.052,-21.35552493,-5.424864914,-14.93607094,-7.28348513,-0.6070333546
484.0525,-23.49188578,-6.950836953,-19.20879265,-11.25101243,0.3085498685
484.053,-23.79708019,-8.171614583,-21.95554232,-11.86140125,2.75010513
484.0535,-18.60877526,-7.25603136,-19.51398706,-6.062707499,3.360493945
484.054,-6.400998952,-4.509281691,-11.88412687,2.787930324,1.224133092
484.0545,6.417166172,-1.152143206,-1.812711412,8.58662407,-2.743394209
484.055,10.68988788,0.06863442452,6.122343188,8.891818478,-5.795338286
484.0555,5.501582949,-1.457337614,8.56389845,6.450263216,-5.490143878
484.056,-1.823082836,-3.593698468,4.291176742,4.924291178,-2.743394209
484.0565,-7.011387767,-4.509281691,-3.643877858,4.008707955,0.003355460754
484.057,-13.11527592,-4.814476099,-10.66334924,0.3463750624,1.834521907
484.0575,-20.74513611,-6.340448137,-12.79971009,-3.926346645,3.055299538
484.058,-25.01785782,-8.171614583,-12.18932127,-6.062707499,3.970882761
484.0585,-21.96591374,-7.866420176,-10.96854364,-4.231541053,3.970882761
484.059,-14.64124796,-4.204087283,-7.306210751,-1.179596976,2.444910722
484.0595,-6.400998952,0.6790232399,2.460010296,2.177541509,-1.21742217
484.06,4.280805318,5.256939355,15.27817542,8.281429663,-5.490143878
484.0605,18.01455366,8.61407784,23.21323002,15.91128986,-7.931699139
484.061,29.61194116,11.66602192,22.90803561,21.7099836,-8.542087955
484.0615,32.96907964,13.19199396,17.71973068,21.09959479,-7.931699139
484.062,29.00155234,13.19199396,11.61584253,15.30090104,-5.795338286
484.0625,21.67688656,10.75043869,4.291176742,7.976235255,-2.438199801
484.063,12.82624873,6.782911394,-3.338683451,2.482735916,1.224133092
484.0635,4.891194133,3.425772909,-8.832182789,-0.5692081607,3.665688353
484.064,1.534055649,1.899800871,-9.137377197,-2.095180199,3.055299538
484.0645,4.280805318,2.204995278,-6.390627528,-3.31595783,1.529327499
484.065,8.248332618,3.425772909,-1.812711412,-6.367901907,0.6137442762
484.0655,9.163915841,4.036161725,3.680787927,-11.86140125,-0.3018389469
484.066,9.774304656,4.951744948,10.7002593,-15.21853973,-3.353783024
484.0665,14.35222077,6.782911394,15.58336983,-12.16659565,-6.405727101
484.067,21.06649774,8.308883432,16.49895305,-3.926346645,-7.321310324
484.0675,24.72883063,8.308883432,15.27817542,3.398319139,-5.795338286
484.068,23.2028586,6.782911394,13.75220338,6.450263216,-4.879755062
484.0685,18.01455366,4.951744948,10.3950649,4.61909677,-5.795338286
484.069,10.68988788,2.815384094,5.81714878,0.9567638778,-7.321310324
484.0695,2.144444464,0.06863442452,3.070399111,-3.31595783,-7.016115916
484.07,-4.569832506,-2.067726429,4.901565557,-6.367901907,-4.879755062
484.0705,-7.316582175,-3.28850406,7.953509634,-7.893873946,-2.438199801
484.071,-7.621776583,-4.204087283,7.953509634,-7.893873946,-0.3018389469
484.0715,-8.842554213,-6.03525373,6.122343188,-7.893873946,0.3085498685
484.072,-9.452943029,-7.25603136,5.206759965,-6.367901907,-0.3018389469
484.0725,-7.316582175,-6.340448137,5.206759965,-2.705569015,-2.743394209
484.073,-5.790610136,-4.204087283,3.680787927,0.04118065471,-4.574560655
484.0735,-7.621776583,-3.28850406,1.84962148,-0.5692081607,-3.658977432
484.074,-10.97891507,-5.119670506,2.460010296,-4.231541053,-1.827810985
484.0745,-10.36852625,-7.561225768,6.122343188,-6.062707499,-1.827810985
484.075,-6.400998952,-8.476808991,8.56389845,-5.147124276,-3.353783024
484.0755,-4.264638098,-8.171614583,6.732732004,-3.621152238,-3.048588616
484.076,-5.790610136,-7.866420176,0.9340382573,-4.231541053,0.003355460754
484.0765,-6.400998952,-8.171614583,-4.254266674,-4.536735461,3.055299538
484.077,-3.95944369,-8.782003399,-7.306210751,-2.400374607,3.665688353
484.0775,-1.212694021,-7.866420176,-7.001016343,1.261958286,2.139716315
484.078,-0.6023052054,-5.424864914,-5.475044304,3.093124732,1.834521907
484.0785,-1.212694021,-2.372920837,-5.475044304,2.482735916,2.75010513
484.079,-0.2971107977,-0.8469487986,-6.695821935,1.261958286,3.970882761
484.0795,1.228861241,-1.457337614,-8.221793974,0.6515694701,3.970882761
484.08,1.228861241,-2.678115245,-10.05296042,0.9567638778,4.581271576
484.0805,0.008083609999,-2.372920837,-12.79971009,1.261958286,5.802049207
484.081,-0.9074996131,-0.2365599832,-14.93607094,2.177541509,5.496854799
484.0815,0.9236668331,1.899800871,-14.32568213,3.398319139,2.75010513
484.082,3.97561091,3.425772909,-11.88412687,4.008707955,0.003355460754
484.0825,4.280805318,4.341356132,-11.57893246,3.398319139,0.003355460754
484.083,0.3132780177,4.036161725,-14.02048772,2.177541509,2.75010513
484.0835,-4.875026913,3.730967317,-15.54645976,0.04118065471,3.970882761
484.084,-7.316582175,3.730967317,-13.71529331,-2.705569015,2.444910722
484.0845,-5.790610136,4.64655054,-10.96854364,-4.536735461,1.529327499
484.085,-3.349054875,5.256939355,-11.27373805,-4.536735461,2.444910722
484.0855,-3.043860467,4.64655054,-13.71529331,-2.705569015,3.665688353
484.086,-3.95944369,4.341356132,-15.24126535,-0.8744025684,3.360493945
484.0865,-4.264638098,5.562133763,-13.71529331,0.3463750624,2.444910722
484.087,-3.349054875,6.172522579,-10.96854364,1.872347101,2.75010513
484.0875,-2.433471652,5.256939355,-8.221793974,4.008707955,3.360493945
484.088,-1.517888429,3.425772909,-6.08543312,6.450263216,2.75010513
484.0885,-0.6023052054,2.510189686,-3.643877858,7.976235255,1.834521907
484.089,-0.6023052054,1.899800871,-1.507517004,7.976235255,1.529327499
484.0895,-1.212694021,0.3738288322,-0.5919337813,6.755457624,1.834521907
484.09,-1.212694021,-1.152143206,-0.2867393736,5.229485586,1.529327499
484.0905,0.008083609999,-1.762532022,-0.2867393736,4.61909677,0.6137442762
484.091,1.228861241,-2.678115245,0.01845503415,4.008707955,0.6137442762
484.0915,0.6184724254,-5.119670506,-0.5919337813,3.093124732,2.139716315
484.092,-1.823082836,-7.866420176,-3.338683451,2.482735916,4.276077169
484.0925,-4.569832506,-9.087197807,-7.611405158,2.177541509,6.107243615
484.093,-7.316582175,-9.697586622,-11.57893246,0.04118065471,7.328021246
484.0935,-8.842554213,-11.52875307,-13.1049045,-5.147124276,7.022826838
484.094,-9.758137436,-13.35991951,-12.79971009,-11.25101243,5.802049207
484.0945,-10.67372066,-13.05472511,-14.32568213,-13.9977621,5.191660392
484.095,-13.11527592,-10.61316985,-18.29320943,-12.47179006,5.802049207
484.0955,-16.77760881,-9.392392214,-20.73476469,-10.0302348,6.107243615
484.096,-18.30358085,-10.30797544,-18.29320943,-10.0302348,4.886465984
484.0965,-15.55683118,-10.30797544,-11.57893246,-10.94581802,2.75010513
484.097,-9.758137436,-7.561225768,-3.033489043,-9.114651576,0.3085498685
484.0975,-2.738666059,-2.983309652,5.511954373,-4.231541053,-1.827810985
484.098,4.280805318,0.9842176476,13.14181457,1.872347101,-4.269366247
484.0985,11.30027669,4.341356132,18.02492509,6.450263216,-5.795338286
484.099,15.87819281,6.782911394,18.02492509,8.281429663,-4.879755062
484.0995,16.48858163,7.088105802,13.44700897,6.755457624,-2.438199801
484.1,13.74183196,5.562133763,7.343120819,2.787930324,0.003355460754
484.1005,8.858721433,4.341356132,2.460010296,0.04118065471,0.003355460754
484.101,4.280805318,4.951744948,0.6288438496,-0.8744025684,-0.9122277624
484.1015,1.839250056,6.172522579,1.544427073,0.04118065471,-1.522616578
484.102,2.449638872,7.088105802,3.985982334,1.872347101,-1.21742217
484.1025,4.891194133,7.088105802,7.037926411,3.398319139,-0.6070333546
484.103,6.417166172,7.088105802,9.784676081,4.924291178,-1.522616578
484.1035,6.111971764,8.003689025,12.22623134,5.839874401,-3.353783024
484.104,5.806777356,9.224466656,12.83662016,4.924291178,-3.964171839
484.1045,6.417166172,9.224466656,10.7002593,2.177541509,-3.048588616
484.105,6.417166172,7.088105802,7.037926411,0.04118065471,-1.827810985
484.1055,4.585999726,4.64655054,4.291176742,-0.264013753,-1.522616578
484.106,1.534055649,4.036161725,3.375593519,0.3463750624,-1.827810985
484.1065,-0.6023052054,5.562133763,2.765204703,0.04118065471,-1.827810985
484.107,-2.128277244,5.562133763,1.239232665,-2.095180199,-1.827810985
484.1075,-3.654249282,3.425772909,0.01845503415,-5.452318684,-2.133005393
484.108,-5.485415729,0.6790232399,0.3236494419,-6.978290722,-2.743394209
484.1085,-6.706193359,0.06863442452,1.544427073,-6.673096315,-2.743394209
484.109,-5.790610136,0.9842176476,2.765204703,-3.926346645,-2.438199801
484.1095,-2.433471652,0.9842176476,3.985982334,0.04118065471,-2.743394209
484.11,1.534055649,0.3738288322,4.901565557,4.008707955,-3.353783024
484.1105,3.97561091,0.3738288322,5.206759965,5.839874401,-3.658977432
484.111,3.060027687,0.6790232399,3.680787927,5.229485586,-3.048588616
484.1115,0.3132780177,-0.5417543909,1.84962148,4.313902363,-1.522616578
484.112,-1.212694021,-3.593698468,0.3236494419,4.313902363,0.6137442762
