"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",0.00000,2000,21960,"uV"

"time","value"
0.00000,2.444910722
0.00050,1.529327499
0.00100,0.003355460754
0.00150,-1.21742217
0.00200,-1.522616578
0.00250,-0.9122277624
0.00300,0.003355460754
0.00350,0.6137442762
0.00400,0.6137442762
0.00450,1.224133092
0.00500,1.834521907
0.00550,2.139716315
0.00600,1.529327499
0.00650,1.224133092
0.00700,1.529327499
0.00750,1.834521907
0.00800,1.529327499
0.00850,0.9189386839
0.00900,0.9189386839
0.00950,1.529327499
0.01000,1.834521907
0.01050,0.9189386839
0.01100,0.6137442762
0.01150,0.6137442762
0.01200,0.6137442762
0.01250,0.3085498685
0.01300,0.003355460754
0.01350,0.6137442762
0.01400,2.444910722
0.01450,3.970882761
0.01500,4.581271576
0.01550,4.581271576
0.01600,3.970882761
0.01650,3.360493945
0.01700,3.055299538
0.01750,3.360493945
0.01800,3.970882761
0.01850,3.360493945
0.01900,2.139716315
0.01950,0.9189386839
0.02000,0.3085498685
0.02050,0.003355460754
0.02100,0.3085498685
0.02150,0.9189386839
0.02200,1.529327499
0.02250,0.6137442762
0.02300,-1.522616578
0.02350,-3.353783024
0.02400,-3.658977432
0.02450,-3.353783024
0.02500,-3.353783024
0.02550,-3.048588616
0.02600,-1.522616578
0.02650,-0.3018389469
0.02700,0.003355460754
0.02750,-0.6070333546
0.02800,-0.3018389469
0.02850,0.003355460754
0.02900,-0.3018389469
0.02950,-1.21742217
0.03000,-0.6070333546
0.03050,0.003355460754
0.03100,0.003355460754
0.03150,-0.9122277624
0.03200,-0.9122277624
0.03250,0.003355460754
0.03300,1.224133092
0.03350,0.9189386839
0.03400,0.003355460754
0.03450,0.003355460754
0.03500,0.3085498685
0.03550,0.3085498685
0.03600,-0.9122277624
0.03650,-3.048588616
0.03700,-4.574560655
0.03750,-4.574560655
0.03800,-3.353783024
0.03850,-1.21742217
0.03900,1.224133092
0.03950,3.055299538
0.04000,2.75010513
0.04050,0.3085498685
0.04100,-1.522616578
0.04150,-1.827810985
0.04200,-1.21742217
0.04250,-0.9122277624
0.04300,-0.9122277624
0.04350,0.003355460754
0.04400,2.75010513
0.04450,4.886465984
0.04500,4.581271576
0.04550,2.75010513
0.04600,0.9189386839
0.04650,0.3085498685
0.04700,0.003355460754
0.04750,-1.21742217
0.04800,-2.133005393
0.04850,-1.21742217
0.04900,0.9189386839
0.04950,3.055299538
0.05000,3.055299538
0.05050,0.9189386839
0.05100,-1.522616578
0.05150,-4.574560655
0.05200,-7.626504732
0.05250,-10.06805999
0.05300,-9.457671178
0.05350,-6.100532693
0.05400,-2.438199801
0.05450,-1.21742217
0.05500,-1.827810985
0.05550,-2.133005393
0.05600,-0.9122277624
0.05650,0.6137442762
0.05700,1.529327499
0.05750,2.139716315
0.05800,3.360493945
0.05850,5.802049207
0.05900,7.022826838
0.05950,5.496854799
0.06000,2.139716315
0.06050,-0.3018389469
0.06100,-0.6070333546
0.06150,-0.3018389469
0.06200,-1.21742217
0.06250,-3.048588616
0.06300,-3.658977432
0.06350,-2.743394209
0.06400,-2.133005393
0.06450,-2.743394209
0.06500,-3.964171839
0.06550,-4.879755062
0.06600,-5.18494947
0.06650,-4.269366247
0.06700,-1.21742217
0.06750,1.529327499
0.06800,2.444910722
0.06850,0.6137442762
0.06900,-0.9122277624
0.06950,-0.6070333546
0.07000,1.224133092
0.07050,2.75010513
0.07100,2.75010513
0.07150,1.834521907
0.07200,0.6137442762
0.07250,-0.3018389469
0.07300,-0.9122277624
0.07350,-0.9122277624
0.07400,-1.21742217
0.07450,-1.827810985
0.07500,-1.522616578
0.07550,0.003355460754
0.07600,1.529327499
0.07650,0.9189386839
0.07700,-0.6070333546
0.07750,-1.522616578
0.07800,-0.6070333546
0.07850,0.003355460754
0.07900,1.224133092
0.07950,2.139716315
0.08000,2.139716315
0.08050,0.9189386839
0.08100,-0.3018389469
0.08150,0.003355460754
