"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",10.98000,2000,22000,"uV"

"time","value"
10.98000,-9.114651576
10.98050,-3.926346645
10.98100,0.3463750624
10.98150,4.61909677
10.98200,7.976235255
10.98250,8.281429663
10.98300,4.313902363
10.98350,-0.264013753
10.98400,-1.179596976
10.98450,2.787930324
10.98500,7.976235255
10.98550,8.891818478
10.98600,6.145068809
10.98650,4.61909677
10.98700,6.450263216
10.98750,8.58662407
10.98800,7.36584644
10.98850,3.093124732
10.98900,-0.5692081607
10.98950,-2.400374607
10.99000,-0.5692081607
10.99050,4.313902363
10.99100,9.197012886
10.99150,10.41779052
10.99200,7.671040847
10.99250,4.61909677
10.99300,4.61909677
10.99350,5.534679993
10.99400,2.787930324
10.99450,-3.621152238
10.99500,-8.809457169
10.99550,-7.588679538
10.99600,0.04118065471
10.99650,7.976235255
10.99700,12.55415137
10.99750,12.55415137
10.99800,7.36584644
10.99850,-0.264013753
10.99900,-7.28348513
10.99950,-10.33542921
11.00000,-9.419845984
11.00050,-6.367901907
11.00100,-3.926346645
11.00150,-1.789985791
11.00200,-0.264013753
11.00250,0.9567638778
11.00300,3.703513547
11.00350,8.281429663
11.00400,12.85934578
11.00450,15.60609545
11.00500,16.52167867
11.00550,15.60609545
11.00600,11.63856815
11.00650,5.229485586
11.00700,-0.5692081607
11.00750,-3.010763422
11.00800,-3.010763422
11.00850,-4.841929869
11.00900,-9.114651576
11.00950,-11.55620684
11.01000,-10.0302348
11.01050,-7.28348513
11.01100,-5.452318684
11.01150,-3.926346645
11.01200,-1.484791384
11.01250,-0.5692081607
11.01300,-1.484791384
11.01350,-2.400374607
11.01400,-0.5692081607
11.01450,1.567152693
11.01500,2.482735916
11.01550,1.567152693
11.01600,0.04118065471
11.01650,-1.789985791
11.01700,-4.536735461
11.01750,-6.367901907
11.01800,-6.673096315
11.01850,-6.062707499
11.01900,-5.757513092
11.01950,-5.452318684
11.02000,-3.621152238
11.02050,-0.5692081607
11.02100,3.398319139
11.02150,7.060652032
11.02200,6.755457624
11.02250,2.482735916
11.02300,-0.264013753
11.02350,2.177541509
11.02400,5.839874401
11.02450,2.787930324
11.02500,-4.231541053
11.02550,-5.147124276
11.02600,4.008707955
11.02650,13.16454019
11.02700,9.807401701
11.02750,-4.231541053
11.02800,-16.43931736
11.02850,-18.27048381
11.02900,-11.55620684
11.02950,-2.705569015
11.03000,2.787930324
11.03050,3.093124732
11.03100,0.04118065471
11.03150,-0.8744025684
11.03200,2.177541509
11.03250,6.145068809
11.03300,6.450263216
11.03350,3.398319139
11.03400,0.9567638778
11.03450,0.04118065471
11.03500,-1.789985791
11.03550,-6.673096315
11.03600,-10.64062361
11.03650,-8.504262761
11.03700,0.04118065471
11.03750,7.976235255
11.03800,9.502207293
11.03850,7.060652032
11.03900,6.450263216
11.03950,8.58662407
11.04000,7.671040847
11.04050,3.398319139
11.04100,2.787930324
11.04150,7.976235255
11.04200,9.197012886
11.04250,-1.179596976
11.04300,-15.21853973
11.04350,-19.18606703
11.04400,-11.55620684
11.04450,-3.926346645
11.04500,-2.400374607
11.04550,-2.095180199
11.04600,0.9567638778
11.04650,3.398319139
11.04700,1.567152693
11.04750,-1.789985791
11.04800,-2.400374607
11.04850,-1.179596976
11.04900,0.04118065471
11.04950,0.9567638778
11.05000,1.872347101
11.05050,1.261958286
11.05100,0.04118065471
11.05150,0.04118065471
11.05200,1.872347101
11.05250,2.177541509
11.05300,0.3463750624
11.05350,-0.264013753
11.05400,0.04118065471
11.05450,-1.179596976
11.05500,-5.452318684
11.05550,-9.419845984
11.05600,-11.25101243
11.05650,-12.16659565
11.05700,-10.0302348
11.05750,-0.8744025684
11.05800,12.85934578
11.05850,20.79440038
11.05900,16.21648426
11.05950,6.755457624
11.06000,2.787930324
11.06050,4.61909677
11.06100,4.008707955
11.06150,0.04118065471
11.06200,-3.010763422
11.06250,-1.484791384
11.06300,-0.264013753
11.06350,-3.31595783
11.06400,-9.114651576
11.06450,-13.08217888
11.06500,-12.77698447
11.06550,-9.419845984
11.06600,-6.978290722
11.06650,-7.893873946
11.06700,-10.0302348
11.06750,-9.114651576
11.06800,-4.536735461
11.06850,-0.264013753
11.06900,0.9567638778
11.06950,3.093124732
11.07000,8.891818478
11.07050,14.08012341
11.07100,11.94376256
11.07150,3.398319139
11.07200,-3.926346645
11.07250,-6.367901907
11.07300,-5.452318684
11.07350,-3.010763422
11.07400,1.261958286
11.07450,5.839874401
11.07500,6.755457624
11.07550,3.093124732
11.07600,-0.8744025684
11.07650,-2.095180199
11.07700,-0.5692081607
11.07750,0.9567638778
11.07800,4.008707955
11.07850,8.891818478
11.07900,13.46973459
11.07950,15.60609545
11.08000,14.38531782
11.08050,11.02817933
11.08100,4.313902363
11.08150,-4.231541053
11.08200,-11.25101243
11.08250,-13.08217888
11.08300,-12.16659565
11.08350,-12.16659565
11.08400,-11.25101243
11.08450,-6.062707499
11.08500,2.482735916
11.08550,8.891818478
11.08600,8.281429663
11.08650,4.313902363
11.08700,2.177541509
11.08750,2.177541509
11.08800,1.261958286
11.08850,-1.179596976
11.08900,-4.536735461
11.08950,-6.673096315
11.09000,-7.28348513
11.09050,-6.062707499
11.09100,-1.484791384
11.09150,4.924291178
11.09200,9.807401701
11.09250,9.502207293
11.09300,5.534679993
11.09350,0.04118065471
11.09400,-6.367901907
11.09450,-11.86140125
11.09500,-14.91334532
11.09550,-14.60815091
11.09600,-13.08217888
11.09650,-12.16659565
11.09700,-11.25101243
11.09750,-8.504262761
11.09800,-3.010763422
11.09850,2.787930324
11.09900,7.671040847
11.09950,9.197012886
11.10000,5.839874401
11.10050,0.6515694701
11.10100,-1.789985791
11.10150,0.3463750624
11.10200,4.61909677
11.10250,4.61909677
11.10300,-0.264013753
11.10350,-4.231541053
11.10400,-3.010763422
11.10450,-0.264013753
11.10500,0.3463750624
11.10550,0.3463750624
11.10600,4.313902363
11.10650,11.33337374
11.10700,15.30090104
11.10750,14.08012341
11.10800,11.02817933
11.10850,10.72298492
11.10900,13.46973459
11.10950,15.30090104
11.11000,14.08012341
11.11050,9.197012886
11.11100,2.787930324
11.11150,-2.095180199
11.11200,-3.621152238
11.11250,-2.095180199
11.11300,0.04118065471
11.11350,0.04118065471
11.11400,-2.095180199
11.11450,-6.062707499
11.11500,-9.725040392
11.11550,-10.0302348
11.11600,-6.062707499
11.11650,-0.5692081607
11.11700,4.008707955
11.11750,7.36584644
11.11800,8.891818478
11.11850,7.976235255
11.11900,5.839874401
11.11950,4.924291178
11.12000,5.229485586
11.12050,2.177541509
11.12100,-6.062707499
11.12150,-14.60815091
11.12200,-14.91334532
11.12250,-7.28348513
11.12300,-1.179596976
11.12350,-1.484791384
11.12400,-4.536735461
11.12450,-4.231541053
11.12500,-1.484791384
11.12550,0.04118065471
11.12600,-0.264013753
11.12650,0.3463750624
11.12700,3.398319139
11.12750,6.145068809
11.12800,5.229485586
11.12850,1.567152693
11.12900,-2.095180199
11.12950,-2.705569015
11.13000,0.04118065471
11.13050,3.398319139
11.13100,5.229485586
11.13150,5.229485586
11.13200,4.61909677
11.13250,4.313902363
11.13300,4.313902363
11.13350,4.924291178
11.13400,5.229485586
11.13450,4.008707955
11.13500,0.3463750624
11.13550,-3.621152238
11.13600,-5.452318684
11.13650,-3.621152238
11.13700,0.04118065471
11.13750,2.787930324
11.13800,4.008707955
11.13850,5.839874401
11.13900,7.060652032
11.13950,5.839874401
11.14000,0.6515694701
11.14050,-4.231541053
11.14100,-4.841929869
11.14150,-0.5692081607
11.14200,3.093124732
11.14250,2.787930324
11.14300,0.6515694701
11.14350,-0.5692081607
11.14400,-2.705569015
11.14450,-7.588679538
11.14500,-11.86140125
11.14550,-10.33542921
11.14600,-3.621152238
11.14650,2.177541509
11.14700,4.313902363
11.14750,3.398319139
11.14800,1.261958286
11.14850,-3.010763422
11.14900,-9.114651576
11.14950,-11.55620684
11.15000,-6.978290722
11.15050,1.872347101
11.15100,8.58662407
11.15150,8.281429663
11.15200,3.398319139
11.15250,0.6515694701
11.15300,1.567152693
11.15350,4.008707955
11.15400,4.313902363
11.15450,2.787930324
11.15500,2.482735916
11.15550,2.787930324
11.15600,1.261958286
11.15650,-0.8744025684
11.15700,0.6515694701
11.15750,6.450263216
11.15800,9.502207293
11.15850,5.534679993
11.15900,0.04118065471
11.15950,-0.264013753
11.16000,1.872347101
11.16050,2.787930324
11.16100,0.6515694701
11.16150,-0.8744025684
11.16200,-0.5692081607
11.16250,0.04118065471
11.16300,-0.8744025684
11.16350,-3.31595783
11.16400,-6.062707499
11.16450,-6.673096315
11.16500,-4.841929869
11.16550,-2.400374607
11.16600,-1.789985791
11.16650,-2.400374607
11.16700,0.04118065471
11.16750,5.229485586
11.16800,10.72298492
11.16850,13.774929
11.16900,15.30090104
11.16950,15.91128986
11.17000,14.08012341
11.17050,11.02817933
11.17100,9.502207293
11.17150,8.58662407
11.17200,0.6515694701
11.17250,-15.82892855
11.17300,-33.22500978
11.17350,-40.85486998
11.17400,-38.71850912
11.17450,-32.30942656
11.17500,-24.67956637
11.17550,-15.52373414
11.17600,-6.978290722
11.17650,-2.705569015
11.17700,-3.31595783
11.17750,-5.452318684
11.17800,-6.978290722
11.17850,-6.367901907
11.17900,-3.31595783
11.17950,1.567152693
11.18000,5.229485586
11.18050,5.839874401
11.18100,5.229485586
11.18150,5.839874401
11.18200,7.671040847
11.18250,8.281429663
11.18300,7.976235255
11.18350,8.281429663
11.18400,9.502207293
11.18450,10.11259611
11.18500,10.41779052
11.18550,11.02817933
11.18600,11.33337374
11.18650,11.33337374
11.18700,11.33337374
11.18750,11.33337374
11.18800,9.502207293
11.18850,5.839874401
11.18900,2.787930324
11.18950,-0.8744025684
11.19000,-7.588679538
11.19050,-14.91334532
11.19100,-17.04970618
11.19150,-11.25101243
11.19200,-2.400374607
11.19250,2.482735916
11.19300,3.093124732
11.19350,1.567152693
11.19400,-0.264013753
11.19450,-2.400374607
11.19500,-2.705569015
11.19550,-1.789985791
11.19600,-2.705569015
11.19650,-7.28348513
11.19700,-10.64062361
11.19750,-9.419845984
11.19800,-5.147124276
11.19850,-2.095180199
11.19900,-1.179596976
11.19950,0.04118065471
11.20000,1.567152693
11.20050,0.9567638778
11.20100,-2.705569015
11.20150,-7.893873946
11.20200,-11.86140125
11.20250,-11.86140125
11.20300,-7.588679538
11.20350,-2.095180199
11.20400,-1.179596976
11.20450,-5.757513092
11.20500,-10.0302348
11.20550,-9.419845984
11.20600,-5.452318684
11.20650,-2.095180199
11.20700,-0.5692081607
11.20750,-1.179596976
11.20800,-2.705569015
11.20850,-2.705569015
11.20900,1.872347101
11.20950,9.197012886
11.21000,12.85934578
11.21050,9.807401701
11.21100,5.229485586
11.21150,3.703513547
11.21200,2.482735916
11.21250,-1.789985791
11.21300,-6.978290722
11.21350,-6.978290722
11.21400,-0.8744025684
11.21450,4.008707955
11.21500,3.398319139
11.21550,-0.5692081607
11.21600,-3.010763422
