"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",21.98000,2000,22000,"uV"

"time","value"
21.98000,-1.457337614
21.98050,1.899800871
21.98100,5.256939355
21.98150,4.951744948
21.98200,2.510189686
21.98250,0.6790232399
21.98300,0.3738288322
21.98350,0.9842176476
21.98400,0.3738288322
21.98450,-2.372920837
21.98500,-6.645642545
21.98550,-9.087197807
21.98600,-7.25603136
21.98650,-2.067726429
21.98700,1.289412055
21.98750,2.510189686
21.98800,2.510189686
21.98850,2.815384094
21.98900,1.594606463
21.98950,-1.152143206
21.99000,-3.28850406
21.99050,-2.983309652
21.99100,-2.372920837
21.99150,-4.204087283
21.99200,-8.171614583
21.99250,-9.697586622
21.99300,-6.950836953
21.99350,-2.372920837
21.99400,1.289412055
21.99450,4.64655054
21.99500,7.698494617
21.99550,9.224466656
21.99600,7.088105802
21.99650,3.730967317
21.99700,2.510189686
21.99750,3.425772909
21.99800,4.036161725
21.99850,1.594606463
21.99900,-2.983309652
21.99950,-6.950836953
22.00000,-6.645642545
22.00050,-2.678115245
22.00100,1.899800871
22.00150,4.64655054
22.00200,4.951744948
22.00250,3.730967317
22.00300,2.510189686
22.00350,0.3738288322
22.00400,-2.983309652
22.00450,-6.03525373
22.00500,-6.645642545
22.00550,-4.814476099
22.00600,-2.678115245
22.00650,-1.762532022
22.00700,-2.678115245
22.00750,-4.509281691
22.00800,-5.730059322
22.00850,-5.424864914
22.00900,-4.509281691
22.00950,-4.509281691
22.01000,-5.424864914
22.01050,-4.814476099
22.01100,-2.678115245
22.01150,-0.2365599832
22.01200,1.289412055
22.01250,2.204995278
22.01300,2.510189686
22.01350,1.594606463
22.01400,0.6790232399
22.01450,1.899800871
22.01500,5.867328171
22.01550,9.224466656
22.01600,9.529661063
22.01650,8.308883432
22.01700,7.698494617
22.01750,8.308883432
22.01800,8.308883432
22.01850,7.698494617
22.01900,8.61407784
22.01950,10.44524429
22.02000,9.834855471
22.02050,5.867328171
22.02100,1.899800871
22.02150,0.06863442452
22.02200,0.3738288322
22.02250,0.3738288322
22.02300,-0.5417543909
22.02350,-2.372920837
22.02400,-4.204087283
22.02450,-4.814476099
22.02500,-3.593698468
22.02550,-2.067726429
22.02600,-2.067726429
22.02650,-4.204087283
22.02700,-5.424864914
22.02750,-4.509281691
22.02800,-2.372920837
22.02850,-2.983309652
22.02900,-6.03525373
22.02950,-7.866420176
22.03000,-5.119670506
22.03050,0.06863442452
22.03100,3.730967317
22.03150,3.120578502
22.03200,0.06863442452
22.03250,-1.152143206
22.03300,-0.8469487986
22.03350,-0.2365599832
22.03400,-0.5417543909
22.03450,0.6790232399
22.03500,4.64655054
22.03550,8.919272248
22.03600,8.919272248
22.03650,3.730967317
22.03700,-1.457337614
22.03750,-3.593698468
22.03800,-2.372920837
22.03850,-0.8469487986
22.03900,0.9842176476
22.03950,3.730967317
22.04000,6.172522579
22.04050,4.951744948
22.04100,0.6790232399
22.04150,-2.678115245
22.04200,-4.814476099
22.04250,-6.950836953
22.04300,-8.782003399
22.04350,-7.25603136
22.04400,-0.8469487986
22.04450,4.64655054
22.04500,5.256939355
22.04550,2.510189686
22.04600,1.289412055
22.04650,2.204995278
22.04700,1.594606463
22.04750,-1.152143206
22.04800,-3.593698468
22.04850,-2.067726429
22.04900,2.815384094
22.04950,10.44524429
22.05000,17.76991007
22.05050,18.9906877
22.05100,8.308883432
22.05150,-11.22355866
22.05200,-27.70405668
22.05250,-31.97677838
22.05300,-25.56769582
22.05350,-15.80147478
22.05400,-6.950836953
22.05450,0.9842176476
22.05500,5.256939355
22.05550,2.815384094
22.05600,-3.593698468
22.05650,-6.340448137
22.05700,-2.067726429
22.05750,4.036161725
22.05800,5.867328171
22.05850,3.120578502
22.05900,0.9842176476
22.05950,2.204995278
22.06000,4.951744948
22.06050,5.562133763
22.06100,3.730967317
22.06150,3.120578502
22.06200,5.256939355
22.06250,8.919272248
22.06300,9.529661063
22.06350,4.951744948
22.06400,-2.067726429
22.06450,-6.950836953
22.06500,-8.171614583
22.06550,-6.03525373
22.06600,-3.593698468
22.06650,-3.593698468
22.06700,-5.730059322
22.06750,-7.866420176
22.06800,-8.476808991
22.06850,-8.782003399
22.06900,-9.087197807
22.06950,-8.782003399
22.07000,-6.645642545
22.07050,-2.678115245
22.07100,0.3738288322
22.07150,2.204995278
22.07200,3.425772909
22.07250,4.64655054
22.07300,4.64655054
22.07350,3.120578502
22.07400,3.120578502
22.07450,5.867328171
22.07500,7.698494617
22.07550,4.036161725
22.07600,-2.372920837
22.07650,-4.814476099
22.07700,-1.457337614
22.07750,1.594606463
22.07800,1.594606463
22.07850,0.06863442452
22.07900,0.6790232399
22.07950,2.204995278
22.08000,2.204995278
22.08050,2.204995278
22.08100,5.867328171
22.08150,11.0556331
22.08200,12.27641073
22.08250,7.393300209
22.08300,1.289412055
22.08350,-1.762532022
22.08400,-2.067726429
22.08450,-1.457337614
22.08500,-1.152143206
22.08550,-0.5417543909
22.08600,-1.152143206
22.08650,-3.28850406
22.08700,-6.03525373
22.08750,-6.645642545
22.08800,-4.814476099
22.08850,-2.983309652
22.08900,-2.983309652
22.08950,-2.067726429
22.09000,0.9842176476
22.09050,4.341356132
22.09100,2.815384094
22.09150,-2.983309652
22.09200,-7.561225768
22.09250,-5.424864914
22.09300,0.06863442452
22.09350,1.899800871
22.09400,-0.2365599832
22.09450,-3.593698468
22.09500,-4.509281691
22.09550,-3.898892876
22.09600,-2.067726429
22.09650,0.6790232399
22.09700,4.341356132
22.09750,7.393300209
22.09800,9.529661063
22.09850,11.36082751
22.09900,12.27641073
22.09950,9.834855471
22.10000,6.477716986
22.10050,4.951744948
22.10100,5.256939355
22.10150,4.036161725
22.10200,1.289412055
22.10250,0.3738288322
22.10300,1.594606463
22.10350,0.6790232399
22.10400,-2.983309652
22.10450,-5.119670506
22.10500,-1.762532022
22.10550,2.815384094
22.10600,2.204995278
22.10650,-2.983309652
22.10700,-7.25603136
22.10750,-7.25603136
22.10800,-5.730059322
22.10850,-4.509281691
22.10900,-3.898892876
22.10950,-4.814476099
22.11000,-7.561225768
22.11050,-11.22355866
22.11100,-11.83394748
22.11150,-8.476808991
22.11200,-3.898892876
22.11250,-0.5417543909
22.11300,1.289412055
22.11350,2.815384094
22.11400,3.425772909
22.11450,4.036161725
22.11500,5.562133763
22.11550,8.308883432
22.11600,10.14004988
22.11650,10.14004988
22.11700,9.224466656
22.11750,8.61407784
22.11800,8.61407784
22.11850,9.224466656
22.11900,10.14004988
22.11950,10.44524429
22.12000,8.919272248
22.12050,6.782911394
22.12100,5.562133763
22.12150,4.64655054
22.12200,3.425772909
22.12250,2.815384094
22.12300,2.815384094
22.12350,1.289412055
22.12400,-2.372920837
22.12450,-5.424864914
22.12500,-2.983309652
22.12550,0.6790232399
22.12600,0.06863442452
22.12650,-5.424864914
22.12700,-8.782003399
22.12750,-7.561225768
22.12800,-5.424864914
22.12850,-5.119670506
22.12900,-4.204087283
22.12950,-1.152143206
22.13000,0.06863442452
22.13050,-1.457337614
22.13100,-4.204087283
22.13150,-4.204087283
22.13200,-3.28850406
22.13250,-2.983309652
22.13300,-0.5417543909
22.13350,4.341356132
22.13400,6.782911394
22.13450,3.120578502
22.13500,0.06863442452
22.13550,5.256939355
22.13600,13.80238277
22.13650,15.0231604
22.13700,5.867328171
22.13750,-3.898892876
22.13800,-6.950836953
22.13850,-6.03525373
22.13900,-4.814476099
22.13950,-3.593698468
22.14000,0.06863442452
22.14050,2.510189686
22.14100,1.289412055
22.14150,-1.762532022
22.14200,-3.28850406
22.14250,-2.067726429
22.14300,0.06863442452
22.14350,1.289412055
22.14400,1.594606463
22.14450,0.06863442452
22.14500,-3.593698468
22.14550,-6.950836953
22.14600,-7.561225768
22.14650,-5.730059322
22.14700,-4.509281691
22.14750,-4.814476099
22.14800,-6.03525373
22.14850,-6.950836953
22.14900,-6.950836953
22.14950,-5.424864914
22.15000,-3.28850406
22.15050,-3.28850406
22.15100,-5.730059322
22.15150,-8.476808991
22.15200,-8.476808991
22.15250,-5.730059322
22.15300,-0.5417543909
22.15350,4.951744948
22.15400,8.919272248
22.15450,6.782911394
22.15500,0.06863442452
22.15550,-5.119670506
22.15600,-4.204087283
22.15650,1.594606463
22.15700,6.477716986
22.15750,6.782911394
22.15800,5.256939355
22.15850,5.256939355
22.15900,8.308883432
22.15950,11.36082751
22.16000,11.97121632
22.16050,9.529661063
22.16100,6.782911394
22.16150,6.172522579
22.16200,6.782911394
22.16250,5.256939355
22.16300,0.06863442452
22.16350,-6.03525373
22.16400,-10.00278103
22.16450,-10.00278103
22.16500,-8.171614583
22.16550,-6.340448137
22.16600,-5.119670506
22.16650,-3.593698468
22.16700,-2.067726429
22.16750,-2.067726429
22.16800,-4.814476099
22.16850,-8.476808991
22.16900,-10.91836425
22.16950,-11.83394748
22.17000,-11.22355866
22.17050,-8.171614583
22.17100,-2.372920837
22.17150,3.425772909
22.17200,5.867328171
22.17250,4.341356132
22.17300,3.730967317
22.17350,6.172522579
22.17400,7.698494617
22.17450,4.951744948
22.17500,2.204995278
22.17550,3.120578502
22.17600,5.867328171
22.17650,5.256939355
22.17700,1.899800871
22.17750,2.204995278
22.17800,7.698494617
22.17850,11.97121632
22.17900,11.0556331
22.17950,6.782911394
22.18000,3.120578502
22.18050,1.594606463
22.18100,1.594606463
22.18150,2.510189686
22.18200,3.730967317
22.18250,1.899800871
22.18300,-2.678115245
22.18350,-6.03525373
22.18400,-4.204087283
22.18450,1.289412055
22.18500,4.951744948
22.18550,4.341356132
22.18600,0.6790232399
22.18650,-3.898892876
22.18700,-7.866420176
22.18750,-10.00278103
22.18800,-9.697586622
22.18850,-8.782003399
22.18900,-8.782003399
22.18950,-9.392392214
22.19000,-9.697586622
22.19050,-9.087197807
22.19100,-7.561225768
22.19150,-5.119670506
22.19200,-1.762532022
22.19250,0.9842176476
22.19300,1.899800871
22.19350,0.06863442452
22.19400,-3.593698468
22.19450,-4.814476099
22.19500,-2.067726429
22.19550,0.6790232399
22.19600,1.289412055
22.19650,0.6790232399
22.19700,1.899800871
22.19750,5.562133763
22.19800,8.308883432
22.19850,8.61407784
22.19900,8.61407784
22.19950,9.529661063
22.20000,10.14004988
22.20050,8.919272248
22.20100,6.477716986
22.20150,5.256939355
22.20200,4.64655054
22.20250,4.341356132
22.20300,3.425772909
22.20350,2.204995278
22.20400,0.3738288322
22.20450,0.06863442452
22.20500,2.815384094
22.20550,6.172522579
22.20600,4.341356132
22.20650,-3.28850406
22.20700,-10.30797544
22.20750,-10.00278103
22.20800,-4.814476099
22.20850,-2.678115245
22.20900,-7.561225768
22.20950,-13.97030833
22.21000,-16.10666918
22.21050,-13.35991951
22.21100,-9.697586622
22.21150,-6.645642545
22.21200,-3.898892876
22.21250,-0.5417543909
22.21300,2.204995278
22.21350,3.730967317
22.21400,4.341356132
22.21450,3.425772909
22.21500,2.510189686
22.21550,2.815384094
22.21600,4.64655054
22.21650,6.172522579
22.21700,6.477716986
22.21750,6.172522579
22.21800,8.003689025
22.21850,10.75043869
22.21900,10.75043869
22.21950,7.088105802
22.22000,3.120578502
22.22050,3.120578502
22.22100,6.477716986
22.22150,8.919272248
22.22200,8.003689025
22.22250,4.64655054
22.22300,1.594606463
22.22350,0.06863442452
22.22400,-0.8469487986
22.22450,-2.678115245
22.22500,-5.424864914
22.22550,-7.561225768
22.22600,-7.561225768
22.22650,-6.03525373
22.22700,-5.424864914
22.22750,-6.340448137
22.22800,-6.340448137
22.22850,-4.814476099
22.22900,-4.204087283
22.22950,-5.730059322
22.23000,-7.561225768
22.23050,-6.340448137
22.23100,-2.678115245
22.23150,0.06863442452
22.23200,1.289412055
22.23250,3.120578502
22.23300,4.036161725
22.23350,3.120578502
22.23400,2.510189686
22.23450,5.562133763
22.23500,10.14004988
22.23550,10.75043869
22.23600,6.172522579
22.23650,0.9842176476
22.23700,-0.8469487986
22.23750,0.06863442452
22.23800,1.289412055
22.23850,2.204995278
22.23900,0.06863442452
22.23950,-4.814476099
22.24000,-7.866420176
22.24050,-3.593698468
22.24100,4.036161725
22.24150,8.308883432
22.24200,7.088105802
22.24250,5.562133763
22.24300,5.562133763
22.24350,4.341356132
22.24400,0.3738288322
22.24450,-1.457337614
22.24500,0.06863442452
22.24550,0.6790232399
22.24600,-3.28850406
22.24650,-8.782003399
22.24700,-10.30797544
22.24750,-8.782003399
22.24800,-7.866420176
22.24850,-8.476808991
22.24900,-7.561225768
22.24950,-5.119670506
22.25000,-4.509281691
22.25050,-5.730059322
22.25100,-5.730059322
22.25150,-3.593698468
22.25200,-2.067726429
22.25250,-2.372920837
22.25300,-3.28850406
22.25350,-2.678115245
22.25400,-1.152143206
22.25450,0.06863442452
22.25500,1.594606463
22.25550,4.951744948
22.25600,7.393300209
22.25650,7.393300209
22.25700,6.172522579
22.25750,6.172522579
22.25800,6.782911394
22.25850,5.562133763
22.25900,3.120578502
22.25950,2.815384094
22.26000,5.867328171
22.26050,8.003689025
22.26100,5.562133763
22.26150,2.510189686
22.26200,3.120578502
22.26250,5.562133763
22.26300,4.036161725
22.26350,-2.067726429
22.26400,-7.25603136
22.26450,-6.340448137
22.26500,-1.152143206
22.26550,4.036161725
22.26600,6.477716986
22.26650,3.120578502
22.26700,-4.814476099
22.26750,-13.05472511
22.26800,-14.58069715
22.26850,-9.087197807
22.26900,-2.678115245
22.26950,0.06863442452
22.27000,0.06863442452
22.27050,0.06863442452
22.27100,1.289412055
22.27150,3.425772909
22.27200,5.256939355
22.27250,5.256939355
22.27300,3.425772909
22.27350,0.9842176476
22.27400,-0.8469487986
22.27450,-2.067726429
22.27500,-2.067726429
22.27550,-1.152143206
22.27600,0.3738288322
22.27650,1.289412055
22.27700,0.6790232399
22.27750,0.6790232399
22.27800,2.510189686
22.27850,4.036161725
22.27900,5.256939355
22.27950,6.782911394
22.28000,8.61407784
22.28050,8.003689025
22.28100,5.867328171
22.28150,5.562133763
22.28200,8.919272248
22.28250,10.44524429
22.28300,5.256939355
22.28350,-4.509281691
22.28400,-12.13914188
22.28450,-13.35991951
22.28500,-11.52875307
22.28550,-10.00278103
22.28600,-9.392392214
22.28650,-10.30797544
22.28700,-11.22355866
22.28750,-10.61316985
22.28800,-8.782003399
22.28850,-7.25603136
22.28900,-5.119670506
22.28950,-0.8469487986
22.29000,3.120578502
22.29050,1.899800871
22.29100,-4.204087283
22.29150,-10.30797544
22.29200,-9.392392214
22.29250,-5.119670506
22.29300,-2.983309652
22.29350,-4.814476099
22.29400,-7.561225768
22.29450,-8.782003399
22.29500,-7.866420176
22.29550,-3.593698468
22.29600,2.510189686
22.29650,8.003689025
22.29700,9.529661063
22.29750,7.088105802
22.29800,4.341356132
22.29850,4.036161725
22.29900,6.172522579
22.29950,8.919272248
22.30000,10.14004988
22.30050,10.44524429
22.30100,10.75043869
22.30150,10.75043869
22.30200,9.834855471
