"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",21.98000,2000,22000,"uV"

"time","value"
21.98000,7.953509634
21.98050,17.10934187
21.98100,25.95997969
21.98150,27.79114613
21.98200,23.51842443
21.98250,18.3301195
21.98300,17.10934187
21.98350,18.6353139
21.98400,16.49895305
21.98450,8.56389845
21.98500,-0.2867393736
21.98550,-3.949072266
21.98600,-1.202322597
21.98650,1.84962148
21.98700,2.154815888
21.98750,0.9340382573
21.98800,0.9340382573
21.98850,1.544427073
21.98900,1.239232665
21.98950,0.3236494419
21.99000,0.01845503415
21.99050,0.9340382573
21.99100,1.84962148
21.99150,0.9340382573
21.99200,-2.11790582
21.99250,-4.254266674
21.99300,-3.643877858
21.99350,-3.949072266
21.99400,-10.96854364
21.99450,-20.12437587
21.99500,-16.15684857
21.99550,4.291176742
21.99600,25.95997969
21.99650,29.01192377
21.99700,15.88856423
21.99750,4.59637115
21.99800,4.59637115
21.99850,7.343120819
21.99900,4.291176742
21.99950,-1.202322597
22.00000,-2.423100227
22.00050,0.3236494419
22.00100,2.765204703
22.00150,3.070399111
22.00200,3.680787927
22.00250,7.037926411
22.00300,10.7002593
22.00350,11.31064812
22.00400,8.56389845
22.00450,7.343120819
22.00500,11.00545371
22.00550,14.97298101
22.00600,10.3950649
22.00650,-3.338683451
22.00700,-15.24126535
22.00750,-15.54645976
22.00800,-9.442571605
22.00850,-6.695821935
22.00900,-9.137377197
22.00950,-10.66334924
22.01000,-8.526988381
22.01050,-4.559461081
22.01100,-0.897128189
22.01150,1.84962148
22.01200,1.84962148
22.01250,-3.033489043
22.01300,-9.137377197
22.01350,-9.747766012
22.01400,-3.643877858
22.01450,3.680787927
22.01500,7.343120819
22.01550,6.732732004
22.01600,5.206759965
22.01650,6.122343188
22.01700,8.258704042
22.01750,6.122343188
22.01800,-2.423100227
22.01850,-11.57893246
22.01900,-12.49451568
22.01950,-7.611405158
22.02000,-6.08543312
22.02050,-10.35815483
22.02100,-14.32568213
22.02150,-15.24126535
22.02200,-15.24126535
22.02250,-14.32568213
22.02300,-7.611405158
22.02350,0.01845503415
22.02400,-1.507517004
22.02450,-14.02048772
22.02500,-22.26073673
22.02550,-18.90359824
22.02600,-14.93607094
22.02650,-19.20879265
22.02700,-19.81918147
22.02750,-1.812711412
22.02800,24.43400765
22.02850,37.25217277
22.02900,31.45347903
22.02950,22.90803561
22.03000,19.85609153
22.03050,14.97298101
22.03100,0.6288438496
22.03150,-17.3776262
22.03200,-28.05943047
22.03250,-25.31268081
22.03300,-13.71529331
22.03350,-4.254266674
22.03400,-4.864655489
22.03450,-7.306210751
22.03500,6.122343188
22.03550,38.4729504
22.03600,64.10928065
22.03650,58.0053925
22.03700,30.2327014
22.03750,12.53142575
22.03800,16.49895305
22.03850,22.2976468
22.03900,14.6677866
22.03950,3.985982334
22.04000,5.81714878
22.04050,13.44700897
22.04100,8.869092857
22.04150,-7.916599566
22.04200,-21.95554232
22.04250,-23.17631995
22.04300,-18.90359824
22.04350,-19.20879265
22.04400,-24.70229199
22.04450,-28.36462488
22.04500,-27.44904166
22.04550,-26.53345844
22.04600,-28.66981929
22.04650,-32.63734659
22.04700,-32.942541
22.04750,-27.44904166
22.04800,-17.3776262
22.04850,-4.254266674
22.04900,10.08987049
22.04950,21.99245239
22.05000,26.5703685
22.05050,24.12881324
22.05100,18.3301195
22.05150,10.7002593
22.05200,1.84962148
22.05250,-3.949072266
22.05300,0.01845503415
22.05350,12.83662016
22.05400,26.2651741
22.05450,33.89503429
22.05500,37.55736718
22.05550,39.69372804
22.05600,36.94697837
22.05650,28.40153495
22.05700,19.55089713
22.05750,13.14181457
22.05800,3.680787927
22.05850,-13.71529331
22.05900,-32.63734659
22.05950,-40.57240119
22.06000,-35.38409626
22.06050,-25.31268081
22.06100,-18.59840384
22.06150,-16.76723739
22.06200,-17.0724318
22.06250,-15.85165417
22.06300,-9.137377197
22.06350,2.154815888
22.06400,11.00545371
22.06450,10.08987049
22.06500,0.6288438496
22.06550,-10.05296042
22.06600,-16.76723739
22.06650,-17.98801502
22.06700,-15.54645976
22.06750,-12.18932127
22.06800,-11.27373805
22.06850,-12.18932127
22.06900,-11.27373805
22.06950,-6.390627528
22.07000,0.01845503415
22.07050,4.59637115
22.07100,5.206759965
22.07150,3.375593519
22.07200,2.154815888
22.07250,1.84962148
22.07300,0.3236494419
22.07350,-5.169849897
22.07400,-12.79971009
22.07450,-12.79971009
22.07500,-1.812711412
22.07550,11.31064812
22.07600,14.6677866
22.07650,7.648315227
22.07700,-0.2867393736
22.07750,-4.559461081
22.07800,-6.390627528
22.07850,-8.221793974
22.07900,-8.832182789
22.07950,-9.747766012
22.08000,-11.88412687
22.08050,-10.66334924
22.08100,0.6288438496
22.08150,15.88856423
22.08200,21.38206357
22.08250,14.3625922
22.08300,7.648315227
22.08350,10.08987049
22.08400,14.05739779
22.08450,8.258704042
22.08500,-2.423100227
22.08550,-7.001016343
22.08600,-2.728294635
22.08650,3.070399111
22.08700,7.953509634
22.08750,12.22623134
22.08800,14.6677866
22.08850,12.53142575
22.08900,7.648315227
22.08950,3.985982334
22.09000,0.3236494419
22.09050,-7.001016343
22.09100,-16.15684857
22.09150,-17.3776262
22.09200,-8.832182789
22.09250,0.01845503415
22.09300,1.544427073
22.09350,-0.5919337813
22.09400,0.01845503415
22.09450,2.154815888
22.09500,2.765204703
22.09550,1.84962148
22.09600,3.680787927
22.09650,7.037926411
22.09700,6.427537596
22.09750,1.544427073
22.09800,-1.507517004
22.09850,-0.2867393736
22.09900,2.765204703
22.09950,5.206759965
22.10000,5.81714878
22.10050,4.291176742
22.10100,1.544427073
22.10150,-0.5919337813
22.10200,0.01845503415
22.10250,0.9340382573
22.10300,-2.11790582
22.10350,-10.05296042
22.10400,-13.71529331
22.10450,-6.695821935
22.10500,5.81714878
22.10550,11.92103693
22.10600,7.343120819
22.10650,-1.202322597
22.10700,-5.475044304
22.10750,-4.559461081
22.10800,-3.643877858
22.10850,-5.475044304
22.10900,-7.306210751
22.10950,-5.169849897
22.11000,-0.5919337813
22.11050,1.544427073
22.11100,0.3236494419
22.11150,1.544427073
22.11200,9.479481673
22.11250,19.55089713
22.11300,20.16128594
22.11350,8.56389845
22.11400,-3.949072266
22.11450,-6.08543312
22.11500,0.3236494419
22.11550,6.732732004
22.11600,6.732732004
