time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
32.98,58.9106043,12.58160514,6.732732004,18.35284512,-8.847282363
32.9805,54.02749377,11.97121632,9.479481673,16.52167867,-7.931699139
32.981,44.87166154,12.88679955,14.05739779,6.450263216,5.191660392
32.9815,41.51452306,17.76991007,29.62231258,0.6515694701,18.92540874
32.982,39.68335661,21.73743737,53.12228197,4.924291178,22.28254722
32.9825,25.94960826,17.46471566,65.63525269,8.58662407,23.80851926
32.983,-7.92697099,6.172522579,48.84956027,0.6515694701,36.01629557
32.9835,-50.04379925,-1.457337614,7.037926411,-13.08217888,44.56173899
32.984,-76.90090713,1.594606463,-35.68929067,-19.49126144,23.50332485
32.9845,-74.15415746,12.88679955,-56.44251039,-13.69256769,-18.61350341
32.985,-53.70613215,21.43224296,-52.7801775,-5.452318684,-41.50308399
32.9855,-38.75160617,21.12704856,-39.35162356,-3.31595783,-25.63297479
32.986,-37.83602294,13.19199396,-29.28020811,-4.536735461,-0.6070333546
32.9865,-37.53082854,0.6790232399,-21.95554232,-4.231541053,-3.353783024
32.987,-23.79708019,-11.22355866,-10.35815483,-1.179596976,-28.68491886
32.9875,-1.517888429,-18.85341885,6.732732004,2.177541509,-44.86022247
32.988,12.52105433,-20.07419648,22.6028412,5.839874401,-39.36672313
32.9885,12.52105433,-19.15861326,29.92750699,7.671040847,-26.54855801
32.989,5.806777356,-19.46380767,28.40153495,3.703513547,-16.78233696
32.9895,1.534055649,-19.76900208,23.21323002,-5.757513092,-7.626504732
32.99,0.9236668331,-16.10666918,18.02492509,-15.82892855,1.529327499
32.9905,2.449638872,-10.30797544,14.97298101,-19.49126144,5.191660392
32.991,4.280805318,-8.476808991,11.92103693,-18.27048381,0.6137442762
32.9915,4.585999726,-12.13914188,8.258704042,-18.27048381,-3.048588616
32.992,2.449638872,-15.19108596,5.511954373,-21.62762229,-1.21742217
32.9925,1.534055649,-13.05472511,6.427537596,-22.84839992,0.9189386839
32.993,3.365222095,-6.950836953,10.7002593,-18.27048381,-0.3018389469
32.9935,5.501582949,-2.678115245,12.22623134,-10.33542921,-3.658977432
32.994,4.891194133,-1.762532022,7.037926411,-3.926346645,-4.574560655
32.9945,3.365222095,-1.457337614,0.01845503415,-0.8744025684,-3.658977432
32.995,4.280805318,-0.2365599832,-1.507517004,0.6515694701,-3.353783024
32.9955,6.722360579,0.06863442452,2.460010296,2.482735916,-2.438199801
32.996,8.248332618,-0.2365599832,5.511954373,3.703513547,0.003355460754
32.9965,9.163915841,-0.2365599832,3.985982334,4.61909677,1.224133092
32.997,8.858721433,0.9842176476,-0.897128189,6.755457624,0.003355460754
32.9975,3.670416502,1.899800871,-8.221793974,7.976235255,-1.522616578
32.998,-4.264638098,0.9842176476,-16.46204298,6.450263216,0.003355460754
32.9985,-5.180221321,0.9842176476,-19.20879265,3.398319139,4.581271576
32.999,4.585999726,3.120578502,-12.79971009,3.093124732,6.412438022
32.9995,16.48858163,5.562133763,-4.864655489,5.229485586,3.970882761
33.0,20.76130333,6.172522579,-4.254266674,5.839874401,0.9189386839
33.0005,21.06649774,7.088105802,-7.001016343,5.229485586,0.9189386839
