"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",54.98000,2000,22000,"uV"

"time","value"
54.98000,-0.9074996131
54.98050,1.228861241
54.98100,0.6184724254
54.98150,-4.264638098
54.98200,-9.147748621
54.98250,-7.92697099
54.98300,-2.433471652
54.98350,0.3132780177
54.98400,1.839250056
54.98450,5.806777356
54.98500,9.774304656
54.98550,7.94313821
54.98600,3.365222095
54.98650,3.670416502
54.98700,7.637943803
54.98750,5.806777356
54.98800,-1.823082836
54.98850,-6.095804544
54.98900,-2.433471652
54.98950,6.111971764
54.99000,19.5405257
54.99050,38.46257898
54.99100,49.75477207
54.99150,36.93660694
54.99200,7.637943803
54.99250,-11.58930388
54.99300,-11.58930388
54.99350,-12.81008151
54.99400,-29.29057953
54.99450,-42.71913347
54.99500,-31.73213479
54.99550,-9.758137436
54.99600,-8.842554213
54.99650,-33.86849564
54.99700,-56.45288181
54.99750,-53.40093774
54.99800,-32.34252361
54.99850,-13.42047033
54.99900,-5.180221321
54.99950,-2.128277244
55.00000,1.534055649
55.00050,9.163915841
55.00100,18.62494248
55.00150,24.42363623
55.00200,22.89766419
55.00250,16.79377603
55.00300,10.68988788
55.00350,5.196388541
55.00400,-3.654249282
55.00450,-13.11527592
55.00500,-12.50488711
55.00550,0.6184724254
55.00600,14.04702636
55.00650,13.13144314
55.00700,0.008083609999
55.00750,-10.67372066
55.00800,-11.89449829
55.00850,-7.621776583
55.00900,-4.569832506
55.00950,-2.433471652
55.01000,-0.2971107977
55.01050,0.9236668331
55.01100,0.9236668331
55.01150,1.228861241
55.01200,1.839250056
55.01250,1.228861241
55.01300,0.9236668331
55.01350,3.97561091
55.01400,10.38469347
55.01450,14.04702636
55.01500,12.82624873
55.01550,11.6054711
55.01600,12.82624873
55.01650,11.30027669
55.01700,5.806777356
55.01750,3.670416502
55.01800,8.248332618
55.01850,12.21585992
55.01900,7.027554987
55.01950,-0.9074996131
55.02000,-1.517888429
55.02050,3.365222095
55.02100,3.97561091
55.02150,-0.2971107977
55.02200,-0.9074996131
55.02250,5.196388541
55.02300,10.38469347
55.02350,9.163915841
55.02400,6.722360579
55.02450,4.585999726
55.02500,-5.180221321
55.02550,-25.62824664
55.02600,-44.24510551
55.02650,-45.46588314
55.02700,-30.20616275
55.02750,-14.03085914
55.02800,-7.316582175
55.02850,-5.485415729
55.02900,-1.212694021
55.02950,3.365222095
55.03000,4.585999726
55.03050,3.97561091
55.03100,7.637943803
55.03150,13.74183196
55.03200,15.267804
55.03250,9.469110249
55.03300,3.670416502
55.03350,3.670416502
55.03400,5.501582949
55.03450,2.449638872
55.03500,-3.349054875
55.03550,-3.654249282
55.03600,3.365222095
55.03650,10.68988788
55.03700,12.21585992
55.03750,10.07949906
55.03800,7.637943803
55.03850,5.501582949
55.03900,2.754833279
55.03950,0.3132780177
55.04000,-4.264638098
55.04050,-13.72566474
55.04100,-22.57630256
55.04150,-22.27110815
55.04200,-11.58930388
55.04250,-1.517888429
55.04300,1.534055649
55.04350,2.449638872
55.04400,6.111971764
55.04450,8.553527026
55.04500,3.97561091
55.04550,-3.043860467
55.04600,-4.569832506
55.04650,-2.128277244
55.04700,-3.043860467
55.04750,-8.232165398
55.04800,-9.758137436
55.04850,-3.95944369
55.04900,6.111971764
55.04950,15.87819281
55.05000,22.28727537
55.05050,22.89766419
55.05100,16.48858163
55.05150,7.637943803
55.05200,2.144444464
55.05250,-1.823082836
55.05300,-8.537359806
55.05350,-13.11527592
55.05400,-6.095804544
55.05450,9.774304656
55.05500,21.67688656
55.05550,20.76130333
55.05600,15.5729984
55.05650,17.40416485
55.05700,25.33921945
55.05750,29.61194116
55.05800,24.11844182
55.05850,13.13144314
55.05900,2.449638872
55.05950,-3.043860467
55.06000,-1.823082836
55.06050,3.060027687
55.06100,7.94313821
55.06150,10.07949906
55.06200,8.553527026
55.06250,1.228861241
55.06300,-11.58930388
55.06350,-25.93344104
55.06400,-31.73213479
55.06450,-26.84902427
55.06500,-17.69319204
