"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",241.98000,2000,22000,"uV"

"time","value"
241.98000,1.567152693
241.98050,0.04118065471
241.98100,-3.010763422
241.98150,-5.452318684
241.98200,-4.536735461
241.98250,-0.264013753
241.98300,2.482735916
241.98350,0.9567638778
241.98400,-2.095180199
241.98450,-4.536735461
241.98500,-4.841929869
241.98550,-3.621152238
241.98600,-2.400374607
241.98650,-1.179596976
241.98700,-0.264013753
241.98750,0.04118065471
241.98800,0.9567638778
241.98850,2.482735916
241.98900,3.093124732
241.98950,2.482735916
241.99000,1.261958286
241.99050,1.567152693
241.99100,2.177541509
241.99150,2.787930324
241.99200,3.703513547
241.99250,5.839874401
241.99300,7.060652032
241.99350,5.839874401
241.99400,3.398319139
241.99450,2.177541509
241.99500,1.567152693
241.99550,-0.8744025684
241.99600,-7.28348513
241.99650,-13.38737328
241.99700,-14.60815091
241.99750,-9.419845984
241.99800,-2.400374607
241.99850,1.261958286
241.99900,0.9567638778
241.99950,-0.5692081607
242.00000,-1.179596976
242.00050,0.04118065471
242.00100,2.177541509
242.00150,3.398319139
242.00200,1.261958286
242.00250,-3.010763422
242.00300,-6.062707499
242.00350,-4.536735461
242.00400,-2.095180199
242.00450,-1.789985791
242.00500,-2.095180199
242.00550,2.177541509
242.00600,9.502207293
242.00650,12.24895696
242.00700,7.671040847
242.00750,1.872347101
242.00800,2.177541509
242.00850,5.839874401
242.00900,6.450263216
242.00950,2.482735916
242.01000,-1.789985791
242.01050,-5.147124276
242.01100,-6.367901907
242.01150,-5.147124276
242.01200,-2.705569015
242.01250,-0.8744025684
242.01300,-2.400374607
242.01350,-4.841929869
242.01400,-4.841929869
242.01450,-1.789985791
242.01500,1.261958286
242.01550,3.093124732
242.01600,4.008707955
242.01650,4.924291178
242.01700,4.924291178
242.01750,4.313902363
242.01800,3.093124732
242.01850,1.261958286
242.01900,-0.264013753
242.01950,-1.484791384
242.02000,-2.400374607
242.02050,-2.400374607
242.02100,-1.179596976
242.02150,0.3463750624
242.02200,1.567152693
242.02250,0.6515694701
242.02300,-0.8744025684
242.02350,-0.264013753
242.02400,1.567152693
242.02450,3.093124732
242.02500,3.703513547
242.02550,5.839874401
242.02600,9.502207293
242.02650,9.502207293
242.02700,4.313902363
242.02750,-0.264013753
242.02800,0.04118065471
242.02850,3.703513547
242.02900,4.008707955
242.02950,0.04118065471
242.03000,-3.31595783
242.03050,-2.400374607
242.03100,0.04118065471
242.03150,0.9567638778
242.03200,0.3463750624
242.03250,0.3463750624
242.03300,0.6515694701
242.03350,0.04118065471
242.03400,-0.264013753
242.03450,-0.264013753
242.03500,-0.264013753
242.03550,-0.8744025684
242.03600,-1.789985791
242.03650,-3.010763422
242.03700,-3.926346645
242.03750,-4.536735461
242.03800,-3.926346645
242.03850,-2.400374607
242.03900,-0.5692081607
242.03950,0.6515694701
242.04000,1.872347101
242.04050,1.872347101
242.04100,0.9567638778
242.04150,-0.5692081607
242.04200,-0.8744025684
242.04250,-0.5692081607
242.04300,-0.264013753
242.04350,-0.8744025684
242.04400,-2.095180199
242.04450,-2.400374607
242.04500,-2.400374607
242.04550,-1.789985791
242.04600,0.04118065471
242.04650,3.703513547
242.04700,5.839874401
242.04750,4.61909677
242.04800,1.567152693
242.04850,0.04118065471
242.04900,0.6515694701
242.04950,1.261958286
242.05000,0.04118065471
242.05050,-1.789985791
242.05100,-2.400374607
242.05150,-3.010763422
242.05200,-4.841929869
242.05250,-5.757513092
242.05300,-3.926346645
242.05350,-0.5692081607
242.05400,0.9567638778
242.05450,0.6515694701
242.05500,1.567152693
242.05550,4.313902363
242.05600,5.534679993
242.05650,3.703513547
242.05700,2.787930324
242.05750,5.534679993
242.05800,7.36584644
242.05850,3.093124732
242.05900,-4.536735461
242.05950,-8.504262761
242.06000,-6.062707499
242.06050,-2.095180199
242.06100,-2.400374607
242.06150,-5.757513092
242.06200,-7.588679538
242.06250,-6.062707499
242.06300,-3.010763422
242.06350,-0.8744025684
242.06400,-0.5692081607
242.06450,-1.179596976
242.06500,-1.179596976
242.06550,-0.264013753
242.06600,1.261958286
242.06650,2.177541509
242.06700,2.482735916
242.06750,2.177541509
242.06800,2.177541509
242.06850,3.093124732
242.06900,4.61909677
242.06950,4.61909677
242.07000,3.093124732
242.07050,1.261958286
242.07100,0.9567638778
242.07150,1.261958286
242.07200,0.04118065471
242.07250,-2.705569015
242.07300,-5.147124276
242.07350,-4.536735461
242.07400,-2.705569015
242.07450,-1.484791384
242.07500,-2.705569015
242.07550,-4.231541053
242.07600,-4.536735461
242.07650,-3.010763422
242.07700,0.04118065471
242.07750,1.567152693
242.07800,0.6515694701
242.07850,-0.8744025684
242.07900,-1.179596976
242.07950,0.3463750624
242.08000,1.872347101
242.08050,1.872347101
242.08100,0.9567638778
242.08150,-0.264013753
242.08200,-2.705569015
242.08250,-5.147124276
242.08300,-4.536735461
242.08350,-2.095180199
242.08400,0.04118065471
242.08450,1.261958286
242.08500,2.787930324
242.08550,4.313902363
242.08600,2.482735916
242.08650,-0.8744025684
242.08700,-1.179596976
242.08750,1.872347101
242.08800,3.703513547
242.08850,0.04118065471
242.08900,-3.621152238
242.08950,-2.400374607
242.09000,1.872347101
242.09050,4.924291178
242.09100,4.313902363
242.09150,3.093124732
242.09200,3.398319139
242.09250,4.924291178
242.09300,4.924291178
242.09350,3.093124732
242.09400,-0.8744025684
242.09450,-4.536735461
242.09500,-5.757513092
242.09550,-5.757513092
242.09600,-6.978290722
242.09650,-9.725040392
242.09700,-8.504262761
242.09750,-0.8744025684
242.09800,6.755457624
242.09850,8.281429663
242.09900,4.008707955
242.09950,0.04118065471
242.10000,-0.8744025684
242.10050,0.04118065471
242.10100,0.04118065471
242.10150,0.04118065471
242.10200,0.3463750624
242.10250,0.3463750624
242.10300,-0.264013753
242.10350,0.04118065471
242.10400,2.482735916
242.10450,6.145068809
242.10500,7.060652032
242.10550,4.008707955
242.10600,-1.179596976
