"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",252.98000,2000,22000,"uV"

"time","value"
252.98000,-0.5417543909
252.98050,-1.762532022
252.98100,-3.593698468
252.98150,-3.28850406
252.98200,-1.152143206
252.98250,-0.2365599832
252.98300,-3.28850406
252.98350,-8.171614583
252.98400,-10.30797544
252.98450,-8.171614583
252.98500,-3.593698468
252.98550,0.06863442452
252.98600,0.06863442452
252.98650,-1.457337614
252.98700,-3.593698468
252.98750,-3.898892876
252.98800,-2.067726429
252.98850,0.06863442452
252.98900,1.289412055
252.98950,1.289412055
252.99000,0.9842176476
252.99050,1.289412055
252.99100,2.510189686
252.99150,4.64655054
252.99200,7.088105802
252.99250,7.698494617
252.99300,6.172522579
252.99350,2.815384094
252.99400,0.06863442452
252.99450,0.06863442452
252.99500,0.3738288322
252.99550,0.6790232399
252.99600,0.3738288322
252.99650,0.06863442452
252.99700,-0.2365599832
252.99750,-1.152143206
252.99800,-1.762532022
252.99850,-2.678115245
252.99900,-3.593698468
252.99950,-4.509281691
253.00000,-4.204087283
253.00050,-2.372920837
253.00100,-1.457337614
253.00150,-3.28850406
253.00200,-5.119670506
253.00250,-3.898892876
253.00300,-0.5417543909
253.00350,1.289412055
253.00400,0.3738288322
253.00450,-0.8469487986
253.00500,-0.8469487986
253.00550,-1.152143206
253.00600,-2.983309652
253.00650,-4.204087283
253.00700,-2.983309652
253.00750,-0.5417543909
253.00800,1.594606463
253.00850,4.951744948
253.00900,7.393300209
253.00950,6.477716986
253.01000,1.899800871
253.01050,-0.5417543909
253.01100,1.899800871
253.01150,6.172522579
253.01200,6.782911394
253.01250,4.951744948
253.01300,4.64655054
253.01350,4.341356132
253.01400,0.9842176476
253.01450,-4.814476099
253.01500,-6.950836953
253.01550,-2.983309652
253.01600,1.594606463
253.01650,3.120578502
253.01700,1.899800871
253.01750,1.899800871
253.01800,2.510189686
253.01850,1.899800871
253.01900,-0.5417543909
253.01950,-2.372920837
253.02000,-2.372920837
253.02050,-1.762532022
253.02100,-2.067726429
253.02150,-3.28850406
253.02200,-3.898892876
253.02250,-3.593698468
253.02300,-2.983309652
253.02350,-3.593698468
253.02400,-5.730059322
253.02450,-7.25603136
253.02500,-6.950836953
253.02550,-6.340448137
253.02600,-6.03525373
253.02650,-4.814476099
253.02700,-0.8469487986
253.02750,3.120578502
253.02800,3.120578502
253.02850,-0.5417543909
253.02900,-2.372920837
253.02950,0.9842176476
253.03000,5.256939355
253.03050,4.64655054
253.03100,0.9842176476
253.03150,-0.2365599832
253.03200,1.899800871
253.03250,4.341356132
253.03300,5.256939355
253.03350,6.172522579
253.03400,7.698494617
253.03450,7.393300209
253.03500,4.036161725
253.03550,1.289412055
253.03600,0.6790232399
253.03650,0.9842176476
253.03700,0.6790232399
253.03750,0.06863442452
253.03800,0.6790232399
253.03850,0.9842176476
253.03900,0.06863442452
