"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",252.98000,2000,22000,"uV"

"time","value"
252.98000,-0.3018389469
252.98050,0.003355460754
252.98100,-0.6070333546
252.98150,-1.827810985
252.98200,-3.353783024
252.98250,-4.574560655
252.98300,-3.048588616
252.98350,0.003355460754
252.98400,2.139716315
252.98450,0.9189386839
252.98500,-0.6070333546
252.98550,-1.827810985
252.98600,-2.438199801
252.98650,-3.048588616
252.98700,-2.743394209
252.98750,-0.9122277624
252.98800,0.3085498685
252.98850,0.6137442762
252.98900,0.003355460754
252.98950,-0.3018389469
252.99000,-0.6070333546
252.99050,-1.522616578
252.99100,-1.827810985
252.99150,-1.522616578
252.99200,-1.522616578
252.99250,-2.133005393
252.99300,-1.827810985
252.99350,0.003355460754
252.99400,1.529327499
252.99450,0.003355460754
252.99500,-2.438199801
252.99550,-2.743394209
252.99600,0.003355460754
252.99650,2.139716315
252.99700,1.834521907
252.99750,0.3085498685
252.99800,0.3085498685
252.99850,2.139716315
252.99900,3.360493945
252.99950,2.75010513
253.00000,1.529327499
253.00050,0.003355460754
253.00100,-0.6070333546
253.00150,-0.6070333546
253.00200,0.003355460754
253.00250,1.529327499
253.00300,2.75010513
253.00350,2.444910722
253.00400,0.6137442762
253.00450,-1.522616578
253.00500,-2.133005393
253.00550,-1.21742217
253.00600,0.6137442762
253.00650,1.834521907
253.00700,2.139716315
253.00750,1.529327499
253.00800,0.003355460754
253.00850,-2.743394209
253.00900,-4.574560655
253.00950,-3.964171839
253.01000,-1.21742217
253.01050,0.6137442762
253.01100,0.9189386839
253.01150,0.003355460754
253.01200,-0.9122277624
253.01250,-1.522616578
253.01300,-1.21742217
253.01350,-0.3018389469
253.01400,1.224133092
253.01450,3.055299538
253.01500,4.581271576
253.01550,3.665688353
253.01600,0.6137442762
253.01650,-2.133005393
253.01700,-3.048588616
253.01750,-1.522616578
253.01800,-0.9122277624
253.01850,-1.827810985
253.01900,-1.827810985
253.01950,0.003355460754
253.02000,2.75010513
253.02050,3.055299538
253.02100,2.75010513
253.02150,2.75010513
253.02200,2.75010513
253.02250,0.9189386839
253.02300,-0.9122277624
253.02350,-1.522616578
253.02400,-0.6070333546
253.02450,-0.3018389469
253.02500,-0.3018389469
253.02550,0.3085498685
253.02600,1.834521907
253.02650,1.529327499
253.02700,-0.3018389469
253.02750,-1.522616578
253.02800,-0.3018389469
253.02850,1.224133092
253.02900,1.834521907
253.02950,1.834521907
253.03000,1.834521907
253.03050,2.139716315
253.03100,1.224133092
253.03150,0.003355460754
253.03200,-1.21742217
253.03250,-1.21742217
253.03300,-0.6070333546
253.03350,-0.6070333546
253.03400,-1.827810985
253.03450,-3.048588616
253.03500,-2.743394209
253.03550,-1.21742217
253.03600,0.003355460754
253.03650,-0.9122277624
253.03700,-1.827810985
253.03750,-1.827810985
253.03800,-0.6070333546
253.03850,-0.3018389469
253.03900,-0.6070333546
253.03950,-0.9122277624
253.04000,-1.21742217
253.04050,-1.21742217
253.04100,-0.6070333546
253.04150,0.3085498685
253.04200,1.224133092
253.04250,0.9189386839
253.04300,0.003355460754
253.04350,0.003355460754
253.04400,0.3085498685
253.04450,0.003355460754
253.04500,-0.6070333546
253.04550,-0.6070333546
253.04600,1.224133092
253.04650,2.75010513
253.04700,3.055299538
253.04750,2.139716315
253.04800,0.9189386839
253.04850,-0.6070333546
253.04900,-2.133005393
253.04950,-2.438199801
253.05000,-1.827810985
253.05050,-1.827810985
253.05100,-2.133005393
253.05150,-1.827810985
253.05200,-0.3018389469
253.05250,0.3085498685
253.05300,0.003355460754
253.05350,-0.3018389469
253.05400,0.6137442762
253.05450,2.444910722
253.05500,3.055299538
253.05550,2.75010513
253.05600,2.75010513
253.05650,2.139716315
253.05700,0.9189386839
253.05750,0.3085498685
253.05800,0.9189386839
253.05850,1.834521907
253.05900,1.834521907
253.05950,1.834521907
253.06000,2.75010513
253.06050,3.665688353
253.06100,2.75010513
253.06150,1.529327499
253.06200,1.529327499
253.06250,2.139716315
253.06300,1.529327499
253.06350,0.3085498685
253.06400,0.6137442762
253.06450,1.529327499
253.06500,1.529327499
253.06550,0.003355460754
253.06600,-0.6070333546
253.06650,-0.9122277624
253.06700,-1.827810985
253.06750,-3.353783024
253.06800,-3.353783024
253.06850,-2.133005393
253.06900,-1.21742217
253.06950,-0.3018389469
253.07000,0.6137442762
253.07050,2.444910722
253.07100,2.139716315
253.07150,0.003355460754
253.07200,-1.827810985
253.07250,-0.9122277624
253.07300,0.6137442762
253.07350,0.6137442762
253.07400,-0.9122277624
253.07450,-2.438199801
253.07500,-2.438199801
253.07550,-0.9122277624
253.07600,0.003355460754
253.07650,0.6137442762
253.07700,0.003355460754
253.07750,-1.522616578
253.07800,-2.438199801
253.07850,-1.827810985
253.07900,-0.6070333546
253.07950,0.3085498685
253.08000,0.6137442762
253.08050,0.6137442762
253.08100,0.3085498685
253.08150,0.003355460754
253.08200,0.3085498685
253.08250,0.3085498685
