"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",263.98000,2000,22000,"uV"

"time","value"
263.98000,-14.63087654
263.98050,-10.96854364
263.98100,-4.254266674
263.98150,-0.897128189
263.98200,-3.033489043
263.98250,-9.442571605
263.98300,-13.4100989
263.98350,-8.832182789
263.98400,1.84962148
263.98450,7.648315227
263.98500,4.291176742
263.98550,0.01845503415
263.98600,2.460010296
263.98650,9.784676081
263.98700,13.75220338
263.98750,14.97298101
263.98800,18.3301195
263.98850,22.90803561
263.98900,21.99245239
263.98950,13.75220338
263.99000,3.375593519
263.99050,-5.169849897
263.99100,-13.1049045
263.99150,-21.3451535
263.99200,-29.89059692
263.99250,-39.96201237
263.99300,-49.72823342
263.99350,-53.39056631
263.99400,-48.50745579
263.99450,-41.18279001
263.99500,-35.38409626
263.99550,-27.75423607
263.99600,-14.02048772
263.99650,-2.11790582
263.99700,-2.11790582
263.99750,-10.35815483
263.99800,-12.79971009
263.99850,-3.338683451
263.99900,9.784676081
263.99950,16.49895305
264.00000,16.49895305
264.00050,14.3625922
264.00100,13.44700897
264.00150,14.97298101
264.00200,18.94050831
264.00250,21.68725798
264.00300,18.94050831
264.00350,13.44700897
264.00400,10.3950649
264.00450,9.174287265
264.00500,4.291176742
264.00550,-5.475044304
264.00600,-16.15684857
264.00650,-23.48151436
264.00700,-27.44904166
264.00750,-27.14384725
264.00800,-19.51398706
264.00850,-5.780238712
264.00900,6.122343188
264.00950,8.56389845
264.01000,-0.897128189
264.01050,-18.29320943
264.01100,-28.36462488
264.01150,-13.4100989
264.01200,26.2651741
264.01250,64.71966947
264.01300,72.04433525
264.01350,46.71319941
264.01400,14.97298101
264.01450,-0.5919337813
264.01500,-1.812711412
264.01550,-0.897128189
264.01600,-2.423100227
264.01650,-3.949072266
264.01700,-3.338683451
264.01750,-1.202322597
264.01800,0.01845503415
264.01850,-2.423100227
264.01900,-9.442571605
264.01950,-15.85165417
264.02000,-14.32568213
264.02050,-6.390627528
264.02100,-0.5919337813
264.02150,-0.897128189
264.02200,-1.507517004
264.02250,2.460010296
264.02300,6.732732004
264.02350,2.765204703
264.02400,-8.221793974
264.02450,-18.29320943
264.02500,-22.87112554
264.02550,-28.9750137
264.02600,-37.21526271
264.02650,-34.77370744
264.02700,-6.695821935
264.02750,38.167756
264.02800,67.77161354
264.02850,60.14175335
264.02900,28.09634054
264.02950,2.154815888
264.03000,-6.390627528
264.03050,-10.66334924
264.03100,-17.0724318
264.03150,-15.24126535
264.03200,0.01845503415
264.03250,15.88856423
264.03300,16.49895305
264.03350,5.206759965
264.03400,-4.864655489
264.03450,-11.88412687
264.03500,-20.12437587
264.03550,-24.09190317
264.03600,-17.0724318
264.03650,-5.780238712
264.03700,-2.423100227
264.03750,-1.812711412
264.03800,12.22623134
264.03850,36.64178396
264.03900,44.88203297
264.03950,24.43400765
264.04000,-1.507517004
264.04050,-6.08543312
264.04100,5.206759965
264.04150,7.037926411
264.04200,-7.916599566
264.04250,-23.48151436
264.04300,-25.61787521
264.04350,-20.12437587
264.04400,-12.49451568
264.04450,-0.897128189
264.04500,13.75220338
264.04550,21.99245239
264.04600,18.94050831
264.04650,14.6677866
264.04700,17.10934187
264.04750,19.85609153
264.04800,11.61584253
264.04850,-2.728294635
264.04900,-10.96854364
264.04950,-10.05296042
264.05000,-7.001016343
264.05050,-6.390627528
264.05100,-3.949072266
264.05150,1.544427073
264.05200,4.59637115
264.05250,2.154815888
264.05300,-1.202322597
264.05350,-1.202322597
264.05400,-0.2867393736
264.05450,-3.033489043
264.05500,-8.526988381
264.05550,-10.05296042
264.05600,-3.643877858
264.05650,6.732732004
264.05700,12.83662016
264.05750,10.7002593
264.05800,4.901565557
264.05850,3.985982334
264.05900,8.258704042
264.05950,11.92103693
264.06000,11.61584253
264.06050,11.31064812
264.06100,15.27817542
264.06150,20.46648035
264.06200,20.16128594
264.06250,14.05739779
264.06300,7.648315227
264.06350,3.680787927
264.06400,-3.643877858
264.06450,-18.90359824
264.06500,-37.82565152
264.06550,-47.59187257
264.06600,-42.09837323
264.06650,-27.75423607
264.06700,-16.46204298
264.06750,-12.49451568
264.06800,-10.66334924
264.06850,-6.695821935
264.06900,-3.949072266
264.06950,-5.475044304
264.07000,-8.526988381
264.07050,-5.780238712
264.07100,4.901565557
264.07150,17.10934187
264.07200,22.6028412
264.07250,19.55089713
264.07300,12.22623134
264.07350,6.732732004
264.07400,5.81714878
264.07450,7.343120819
264.07500,7.037926411
264.07550,3.070399111
264.07600,-2.423100227
264.07650,-6.695821935
264.07700,-8.221793974
264.07750,-7.306210751
264.07800,-7.001016343
264.07850,-10.66334924
264.07900,-16.76723739
264.07950,-19.20879265
264.08000,-14.02048772
264.08050,-6.08543312
264.08100,-4.559461081
264.08150,-7.916599566
264.08200,-5.169849897
264.08250,7.648315227
264.08300,21.07686917
264.08350,21.38206357
264.08400,11.61584253
264.08450,3.985982334
264.08500,3.985982334
264.08550,6.122343188
264.08600,4.291176742
264.08650,0.9340382573
264.08700,1.239232665
264.08750,5.206759965
264.08800,7.953509634
264.08850,6.122343188
264.08900,1.239232665
264.08950,-0.897128189
264.09000,0.6288438496
264.09050,3.070399111
264.09100,1.239232665
264.09150,-3.338683451
264.09200,-5.780238712
264.09250,-3.033489043
264.09300,0.6288438496
264.09350,-1.202322597
264.09400,-11.57893246
264.09450,-26.83865284
264.09500,-38.74123474
264.09550,-40.26720678
264.09600,-30.19579133
264.09650,-14.02048772
264.09700,2.154815888
264.09750,18.3301195
264.09800,35.42100633
264.09850,48.23917145
264.09900,47.93397704
264.09950,34.2002287
264.10000,19.55089713
264.10050,15.27817542
264.10100,19.24570272
264.10150,19.55089713
264.10200,8.56389845
264.10250,-9.442571605
264.10300,-27.14384725
264.10350,-38.43604034
264.10400,-41.79317882
264.10450,-38.43604034
264.10500,-33.55292981
264.10550,-31.11137455
264.10600,-29.58540251
264.10650,-20.73476469
264.10700,-1.812711412
264.10750,19.24570272
264.10800,31.14828462
264.10850,29.01192377
264.10900,15.88856423
264.10950,-1.812711412
264.11000,-17.3776262
264.11050,-21.95554232
264.11100,-15.85165417
264.11150,-11.57893246
264.11200,-15.85165417
264.11250,-15.85165417
264.11300,4.291176742
264.11350,33.58983988
264.11400,44.57683856
264.11450,32.67425666
264.11500,22.6028412
264.11550,27.18075732
264.11600,29.31711817
264.11650,14.6677866
264.11700,-2.11790582
264.11750,-1.507517004
264.11800,11.61584253
264.11850,17.10934187
264.11900,12.83662016
264.11950,11.61584253
264.12000,14.97298101
264.12050,12.53142575
264.12100,2.765204703
264.12150,-5.475044304
264.12200,-10.05296042
264.12250,-17.3776262
264.12300,-28.05943047
264.12350,-33.55292981
264.12400,-27.14384725
264.12450,-11.57893246
264.12500,7.037926411
264.12550,22.6028412
264.12600,24.73920206
264.12650,11.00545371
264.12700,-7.306210751
264.12750,-15.54645976
264.12800,-10.96854364
264.12850,-3.338683451
264.12900,0.6288438496
264.12950,3.375593519
264.13000,3.680787927
264.13050,-1.812711412
264.13100,-10.35815483
264.13150,-11.88412687
264.13200,-2.423100227
264.13250,8.258704042
264.13300,12.83662016
264.13350,11.92103693
264.13400,12.83662016
264.13450,16.49895305
264.13500,19.24570272
264.13550,19.55089713
264.13600,18.94050831
264.13650,16.80414746
264.13700,13.44700897
264.13750,11.92103693
264.13800,14.3625922
264.13850,15.88856423
264.13900,8.869092857
264.13950,-6.390627528
264.14000,-19.81918147
264.14050,-23.78670877
264.14100,-21.3451535
264.14150,-18.90359824
264.14200,-17.0724318
264.14250,-13.71529331
264.14300,-10.66334924
264.14350,-10.96854364
264.14400,-13.4100989
264.14450,-12.49451568
264.14500,-7.916599566
264.14550,-6.08543312
264.14600,-9.137377197
264.14650,-12.18932127
264.14700,-11.57893246
264.14750,-8.832182789
264.14800,-7.916599566
264.14850,-9.137377197
264.14900,-11.27373805
264.14950,-13.71529331
264.15000,-14.93607094
264.15050,-13.4100989
264.15100,-9.442571605
264.15150,-6.390627528
264.15200,-5.475044304
264.15250,-5.169849897
264.15300,-3.949072266
264.15350,-2.11790582
264.15400,-0.2867393736
264.15450,1.544427073
264.15500,4.901565557
264.15550,8.56389845
264.15600,10.3950649
264.15650,9.479481673
264.15700,5.206759965
264.15750,0.01845503415
264.15800,-0.5919337813
264.15850,4.901565557
264.15900,12.53142575
264.15950,13.44700897
264.16000,7.953509634
264.16050,4.291176742
264.16100,7.343120819
264.16150,11.31064812
264.16200,7.037926411
264.16250,-2.728294635
264.16300,-9.747766012
264.16350,-9.442571605
264.16400,-5.169849897
264.16450,-0.5919337813
264.16500,1.84962148
264.16550,1.84962148
264.16600,0.3236494419
264.16650,3.070399111
264.16700,8.258704042
264.16750,3.070399111
264.16800,-19.20879265
264.16850,-41.18279001
264.16900,-38.43604034
264.16950,-18.59840384
264.17000,-14.63087654
264.17050,-31.72176337
264.17100,-34.16331863
264.17150,3.375593519
264.17200,51.29111553
264.17250,59.53136454
264.17300,25.95997969
264.17350,-6.390627528
264.17400,-11.88412687
264.17450,-6.695821935
264.17500,-11.57893246
264.17550,-17.68282061
264.17600,-4.864655489
264.17650,23.82361883
264.17700,48.23917145
264.17750,53.42747638
264.17800,43.66125534
264.17850,30.84309021
264.17900,21.68725798
264.17950,17.41453627
264.18000,16.19375864
264.18050,15.27817542
264.18100,14.05739779
264.18150,11.92103693
264.18200,6.427537596
264.18250,-2.11790582
264.18300,-7.916599566
264.18350,-5.475044304
264.18400,0.01845503415
264.18450,-0.5919337813
264.18500,-9.137377197
264.18550,-14.32568213
264.18600,-11.57893246
264.18650,-7.916599566
264.18700,-10.66334924
264.18750,-15.54645976
264.18800,-16.76723739
264.18850,-15.85165417
264.18900,-19.20879265
264.18950,-25.61787521
264.19000,-30.50098574
264.19050,-31.41656896
264.19100,-25.31268081
264.19150,-5.780238712
264.19200,25.95997969
264.19250,53.12228197
264.19300,56.17422605
264.19350,38.77814481
264.19400,23.51842443
264.19450,19.85609153
264.19500,14.6677866
264.19550,0.01845503415
264.19600,-10.35815483
264.19650,-3.338683451
264.19700,8.869092857
264.19750,7.648315227
264.19800,-4.254266674
264.19850,-9.137377197
264.19900,-3.033489043
264.19950,0.9340382573
264.20000,-2.11790582
264.20050,-3.338683451
264.20100,1.544427073
264.20150,3.375593519
264.20200,-3.338683451
264.20250,-13.4100989
264.20300,-20.42957028
264.20350,-26.53345844
264.20400,-27.44904166
264.20450,-13.71529331
264.20500,9.479481673
264.20550,21.68725798
264.20600,12.83662016
264.20650,0.01845503415
264.20700,2.460010296
264.20750,15.88856423
264.20800,23.82361883
264.20850,21.38206357
264.20900,16.19375864
264.20950,9.479481673
264.21000,-1.812711412
264.21050,-15.85165417
264.21100,-27.44904166
264.21150,-36.29967948
264.21200,-43.92953967
264.21250,-46.06590053
264.21300,-36.29967948
264.21350,-20.12437587
264.21400,-9.442571605
264.21450,-8.221793974
264.21500,-9.747766012
264.21550,-8.221793974
264.21600,-4.864655489
264.21650,-3.033489043
264.21700,-1.812711412
264.21750,0.01845503415
264.21800,0.3236494419
264.21850,-0.5919337813
264.21900,-2.423100227
264.21950,-2.11790582
264.22000,0.01845503415
264.22050,1.544427073
264.22100,2.154815888
264.22150,3.375593519
264.22200,7.953509634
264.22250,14.97298101
264.22300,16.80414746
264.22350,8.869092857
264.22400,-3.338683451
264.22450,-8.221793974
264.22500,-2.728294635
264.22550,3.070399111
264.22600,3.070399111
264.22650,-0.2867393736
264.22700,0.3236494419
264.22750,5.206759965
264.22800,9.479481673
264.22850,9.479481673
264.22900,7.037926411
264.22950,4.59637115
264.23000,3.985982334
264.23050,5.206759965
264.23100,7.037926411
264.23150,7.343120819
