"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",274.98000,2000,22000,"uV"

"time","value"
274.98000,0.008083609999
274.98050,0.6184724254
274.98100,-0.2971107977
274.98150,-3.349054875
274.98200,-6.400998952
274.98250,-8.537359806
274.98300,-9.452943029
274.98350,-8.842554213
274.98400,-5.485415729
274.98450,-0.2971107977
274.98500,4.280805318
274.98550,6.417166172
274.98600,5.501582949
274.98650,3.670416502
274.98700,1.839250056
274.98750,0.008083609999
274.98800,-0.9074996131
274.98850,-0.9074996131
274.98900,0.008083609999
274.98950,0.9236668331
274.99000,0.3132780177
274.99050,-0.9074996131
274.99100,-2.433471652
274.99150,-2.128277244
274.99200,0.008083609999
274.99250,3.060027687
274.99300,3.97561091
274.99350,2.449638872
274.99400,0.9236668331
274.99450,0.008083609999
274.99500,-2.433471652
274.99550,-7.011387767
274.99600,-10.06333184
274.99650,-7.316582175
274.99700,0.3132780177
274.99750,7.332749395
274.99800,10.07949906
274.99850,9.163915841
274.99900,7.027554987
274.99950,5.806777356
275.00000,4.891194133
275.00050,4.891194133
275.00100,4.585999726
275.00150,3.060027687
275.00200,-0.2971107977
275.00250,-7.011387767
275.00300,-15.86202559
275.00350,-22.57630256
275.00400,-22.57630256
275.00450,-15.86202559
275.00500,-7.316582175
275.00550,-1.823082836
275.00600,0.6184724254
275.00650,3.365222095
275.00700,7.637943803
275.00750,11.91066551
275.00800,13.74183196
275.00850,12.21585992
275.00900,9.774304656
275.00950,9.163915841
275.01000,13.13144314
275.01050,18.93013689
275.01100,20.15091452
275.01150,13.43663755
275.01200,0.6184724254
275.01250,-12.1996927
275.01300,-21.05033052
275.01350,-24.40746901
275.01400,-22.57630256
275.01450,-17.99838644
275.01500,-13.72566474
275.01550,-10.67372066
275.01600,-8.232165398
275.01650,-4.569832506
275.01700,-0.9074996131
275.01750,1.534055649
275.01800,2.449638872
275.01850,2.449638872
275.01900,3.060027687
275.01950,4.891194133
275.02000,7.637943803
275.02050,9.163915841
275.02100,10.38469347
275.02150,11.91066551
275.02200,11.91066551
275.02250,4.585999726
275.02300,-10.67372066
275.02350,-25.32305223
275.02400,-27.45941308
275.02450,-16.77760881
275.02500,-4.569832506
275.02550,-0.6023052054
275.02600,-3.043860467
275.02650,-2.738666059
275.02700,3.060027687
275.02750,9.774304656
275.02800,12.21585992
275.02850,9.469110249
275.02900,4.891194133
275.02950,2.144444464
275.03000,0.6184724254
275.03050,0.008083609999
275.03100,-0.2971107977
275.03150,-1.212694021
275.03200,-2.433471652
275.03250,-3.654249282
275.03300,-4.264638098
275.03350,-3.043860467
275.03400,-0.9074996131
275.03450,0.6184724254
275.03500,0.3132780177
275.03550,-0.6023052054
275.03600,-1.212694021
275.03650,0.008083609999
275.03700,1.228861241
275.03750,1.534055649
275.03800,0.008083609999
275.03850,-2.128277244
275.03900,-3.043860467
275.03950,-2.433471652
275.04000,-1.823082836
275.04050,-1.517888429
275.04100,-0.6023052054
275.04150,1.839250056
275.04200,5.196388541
275.04250,7.027554987
275.04300,5.806777356
275.04350,3.97561091
275.04400,3.365222095
275.04450,3.97561091
275.04500,3.97561091
275.04550,3.060027687
275.04600,2.754833279
275.04650,3.670416502
275.04700,4.891194133
275.04750,5.196388541
275.04800,5.501582949
275.04850,6.111971764
