time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
285.98,2.754833279,8.308883432,3.070399111,-3.010763422,0.9189386839
285.9805,0.6184724254,11.0556331,3.375593519,-4.231541053,0.003355460754
285.981,-1.517888429,11.36082751,3.070399111,-3.31595783,0.003355460754
285.9815,-5.180221321,10.75043869,3.375593519,-2.705569015,0.6137442762
285.982,-9.147748621,11.66602192,5.511954373,-4.536735461,-1.21742217
285.9825,-10.97891507,13.49718836,7.953509634,-6.673096315,-4.879755062
285.983,-7.92697099,12.58160514,8.56389845,-6.673096315,-6.100532693
285.9835,0.008083609999,6.782911394,6.427537596,-3.621152238,-3.353783024
285.984,8.553527026,-0.5417543909,2.765204703,0.04118065471,0.3085498685
285.9845,12.52105433,-3.898892876,1.239232665,1.567152693,2.444910722
285.985,12.21585992,-2.372920837,2.460010296,0.04118065471,1.224133092
285.9855,14.65741518,-0.5417543909,3.985982334,-2.095180199,-0.6070333546
285.986,23.508053,-2.372920837,1.84962148,-1.179596976,-0.6070333546
285.9865,32.96907964,-6.950836953,-2.423100227,4.313902363,0.9189386839
285.987,33.57946846,-10.61316985,-5.169849897,10.72298492,2.444910722
285.9875,25.33921945,-10.91836425,-3.338683451,12.85934578,2.139716315
285.988,19.5405257,-10.30797544,0.6288438496,11.94376256,0.9189386839
285.9885,24.11844182,-11.22355866,2.154815888,11.33337374,1.529327499
285.989,31.1379132,-13.35991951,0.01845503415,12.24895696,3.970882761
285.9895,25.94960826,-13.35991951,-2.423100227,10.72298492,5.496854799
285.99,4.891194133,-11.22355866,-3.033489043,5.534679993,3.665688353
285.9905,-19.52435848,-8.782003399,-1.507517004,0.04118065471,0.9189386839
285.991,-35.69966209,-9.087197807,-1.202322597,-4.841929869,0.3085498685
285.9915,-41.80355025,-10.91836425,-4.559461081,-8.809457169,2.139716315
285.992,-40.88796702,-11.52875307,-10.35815483,-12.16659565,3.665688353
285.9925,-34.17369005,-10.00278103,-14.63087654,-12.16659565,3.665688353
285.993,-22.88149697,-8.171614583,-15.24126535,-10.0302348,2.75010513
285.9935,-12.81008151,-8.476808991,-12.79971009,-7.893873946,1.834521907
