"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",340.98000,2000,22000,"uV"

"time","value"
340.98000,0.3132780177
340.98050,0.6184724254
340.98100,1.534055649
340.98150,3.060027687
340.98200,3.97561091
340.98250,2.754833279
340.98300,0.9236668331
340.98350,0.6184724254
340.98400,1.839250056
340.98450,2.754833279
340.98500,3.97561091
340.98550,4.891194133
340.98600,6.417166172
340.98650,7.332749395
340.98700,7.94313821
340.98750,8.553527026
340.98800,7.94313821
340.98850,5.806777356
340.98900,1.839250056
340.98950,-0.6023052054
340.99000,-0.9074996131
340.99050,0.008083609999
340.99100,1.534055649
340.99150,3.670416502
340.99200,6.722360579
340.99250,7.332749395
340.99300,2.144444464
340.99350,-6.400998952
340.99400,-11.89449829
340.99450,-9.758137436
340.99500,-4.875026913
340.99550,-5.180221321
340.99600,-11.28410947
340.99650,-15.55683118
340.99700,-13.72566474
340.99750,-8.537359806
340.99800,-3.349054875
340.99850,0.3132780177
340.99900,4.280805318
340.99950,6.111971764
341.00000,4.585999726
341.00050,1.534055649
341.00100,0.9236668331
341.00150,3.670416502
341.00200,6.111971764
341.00250,5.501582949
341.00300,2.449638872
341.00350,-0.2971107977
341.00400,-0.2971107977
341.00450,1.228861241
341.00500,1.839250056
341.00550,0.6184724254
341.00600,0.6184724254
341.00650,3.365222095
341.00700,7.027554987
341.00750,7.637943803
341.00800,5.196388541
341.00850,3.365222095
341.00900,2.754833279
341.00950,2.449638872
341.01000,0.3132780177
341.01050,-0.9074996131
341.01100,-0.9074996131
341.01150,0.008083609999
341.01200,0.6184724254
341.01250,0.3132780177
341.01300,-0.2971107977
341.01350,-2.433471652
341.01400,-5.485415729
341.01450,-7.92697099
341.01500,-7.316582175
341.01550,-4.264638098
341.01600,-2.433471652
341.01650,-3.043860467
341.01700,-3.654249282
341.01750,-2.433471652
341.01800,-0.6023052054
341.01850,0.008083609999
341.01900,-0.2971107977
341.01950,-0.9074996131
341.02000,-1.517888429
341.02050,-1.517888429
341.02100,-0.6023052054
341.02150,1.839250056
341.02200,5.501582949
341.02250,7.637943803
341.02300,8.248332618
341.02350,7.94313821
341.02400,7.027554987
341.02450,4.891194133
341.02500,2.754833279
341.02550,3.365222095
341.02600,5.501582949
341.02650,3.97561091
341.02700,-1.517888429
341.02750,-5.485415729
341.02800,-3.654249282
341.02850,-0.2971107977
341.02900,-1.823082836
341.02950,-7.316582175
341.03000,-10.67372066
341.03050,-9.758137436
341.03100,-7.92697099
341.03150,-5.485415729
341.03200,-0.6023052054
341.03250,4.280805318
341.03300,5.806777356
341.03350,1.839250056
341.03400,-1.823082836
341.03450,-3.043860467
341.03500,-4.264638098
341.03550,-8.232165398
341.03600,-11.89449829
341.03650,-10.36852625
341.03700,-5.485415729
341.03750,-2.433471652
341.03800,-3.654249282
341.03850,-4.264638098
341.03900,-2.738666059
341.03950,-0.6023052054
341.04000,-0.2971107977
341.04050,0.008083609999
341.04100,1.839250056
341.04150,3.97561091
341.04200,4.280805318
341.04250,4.585999726
341.04300,6.417166172
341.04350,7.027554987
341.04400,2.144444464
341.04450,-4.569832506
341.04500,-6.400998952
341.04550,-1.212694021
341.04600,5.501582949
341.04650,7.637943803
341.04700,5.501582949
341.04750,2.754833279
341.04800,0.9236668331
341.04850,0.008083609999
341.04900,-0.9074996131
341.04950,-0.9074996131
341.05000,-0.2971107977
341.05050,0.008083609999
341.05100,0.3132780177
341.05150,-0.2971107977
341.05200,-1.517888429
341.05250,-1.823082836
341.05300,-0.9074996131
341.05350,-0.6023052054
341.05400,-2.128277244
341.05450,-4.264638098
341.05500,-3.654249282
341.05550,-1.517888429
341.05600,-0.6023052054
341.05650,-1.517888429
341.05700,-1.212694021
341.05750,1.839250056
341.05800,5.806777356
341.05850,6.722360579
341.05900,5.501582949
341.05950,4.585999726
341.06000,5.196388541
341.06050,5.501582949
341.06100,5.196388541
341.06150,3.97561091
341.06200,3.365222095
341.06250,4.280805318
341.06300,6.111971764
341.06350,5.196388541
341.06400,0.9236668331
341.06450,-2.738666059
341.06500,-3.349054875
341.06550,-1.212694021
341.06600,0.008083609999
341.06650,-0.9074996131
341.06700,-1.517888429
341.06750,-0.6023052054
341.06800,0.008083609999
341.06850,-0.6023052054
341.06900,-2.128277244
341.06950,-3.95944369
341.07000,-5.485415729
341.07050,-5.180221321
341.07100,-3.043860467
341.07150,-0.6023052054
341.07200,0.008083609999
341.07250,-1.212694021
341.07300,-2.738666059
341.07350,-4.264638098
341.07400,-5.485415729
341.07450,-4.569832506
341.07500,-0.2971107977
341.07550,4.280805318
341.07600,4.891194133
341.07650,0.9236668331
341.07700,-2.128277244
341.07750,-1.517888429
341.07800,1.534055649
341.07850,3.97561091
341.07900,3.97561091
341.07950,3.97561091
341.08000,5.196388541
341.08050,7.94313821
341.08100,10.68988788
341.08150,11.6054711
341.08200,10.38469347
341.08250,7.94313821
341.08300,4.280805318
341.08350,2.144444464
341.08400,2.449638872
341.08450,4.891194133
341.08500,6.417166172
341.08550,4.891194133
341.08600,1.534055649
341.08650,0.3132780177
341.08700,1.839250056
341.08750,3.365222095
341.08800,2.144444464
341.08850,0.008083609999
341.08900,-1.823082836
341.08950,-2.738666059
341.09000,-4.264638098
341.09050,-5.790610136
341.09100,-5.790610136
341.09150,-5.180221321
341.09200,-3.95944369
341.09250,-2.433471652
341.09300,0.008083609999
341.09350,0.6184724254
341.09400,-0.6023052054
341.09450,-3.349054875
341.09500,-4.264638098
341.09550,-2.738666059
341.09600,-1.517888429
341.09650,-2.433471652
341.09700,-3.95944369
341.09750,-4.875026913
341.09800,-5.180221321
341.09850,-5.485415729
341.09900,-5.180221321
341.09950,-3.349054875
341.10000,-1.823082836
341.10050,-1.823082836
341.10100,-2.433471652
341.10150,-1.517888429
341.10200,-0.2971107977
341.10250,-0.6023052054
341.10300,-1.823082836
341.10350,-2.433471652
341.10400,-1.823082836
341.10450,-2.433471652
341.10500,-4.875026913
341.10550,-6.400998952
341.10600,-5.485415729
341.10650,-5.180221321
341.10700,-7.621776583
341.10750,-10.06333184
341.10800,-7.011387767
341.10850,0.008083609999
341.10900,4.585999726
341.10950,3.060027687
341.11000,-0.9074996131
341.11050,-2.738666059
341.11100,-3.043860467
341.11150,-3.043860467
341.11200,-2.738666059
341.11250,0.008083609999
341.11300,4.280805318
341.11350,5.196388541
341.11400,2.754833279
341.11450,0.008083609999
341.11500,0.008083609999
341.11550,1.228861241
341.11600,1.534055649
341.11650,0.6184724254
341.11700,-0.2971107977
341.11750,-0.9074996131
341.11800,-0.9074996131
341.11850,-1.212694021
341.11900,-1.517888429
341.11950,-0.9074996131
341.12000,0.3132780177
341.12050,1.534055649
341.12100,1.228861241
341.12150,0.008083609999
341.12200,-0.6023052054
341.12250,0.008083609999
341.12300,1.534055649
341.12350,2.754833279
341.12400,3.670416502
341.12450,4.280805318
341.12500,4.891194133
341.12550,4.280805318
341.12600,2.754833279
341.12650,1.534055649
