time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
340.98,0.3132780177,4.341356132,2.765204703,0.6515694701,-2.133005393
340.9805,0.6184724254,4.951744948,5.81714878,0.9567638778,-2.743394209
340.981,1.534055649,5.562133763,7.343120819,0.9567638778,-3.048588616
340.9815,3.060027687,6.782911394,6.732732004,0.04118065471,-3.048588616
340.982,3.97561091,8.003689025,4.59637115,-0.5692081607,-1.827810985
340.9825,2.754833279,8.308883432,3.985982334,-0.8744025684,-0.9122277624
340.983,0.9236668331,7.393300209,4.901565557,-1.179596976,-1.522616578
340.9835,0.6184724254,7.698494617,5.206759965,-1.789985791,-2.743394209
340.984,1.839250056,9.529661063,4.291176742,-1.484791384,-2.133005393
340.9845,2.754833279,11.36082751,3.070399111,0.04118065471,-0.6070333546
340.985,3.97561091,11.36082751,3.375593519,0.9567638778,0.003355460754
340.9855,4.891194133,9.834855471,3.070399111,0.9567638778,0.9189386839
340.986,6.417166172,8.61407784,1.239232665,0.6515694701,3.055299538
340.9865,7.332749395,7.088105802,0.3236494419,0.6515694701,4.886465984
340.987,7.94313821,3.425772909,3.070399111,0.04118065471,4.276077169
340.9875,8.553527026,-2.372920837,7.648315227,-0.8744025684,2.75010513
340.988,7.94313821,-7.561225768,9.784676081,-2.095180199,2.75010513
340.9885,5.806777356,-9.697586622,8.258704042,-3.010763422,1.834521907
340.989,1.839250056,-10.00278103,6.732732004,-3.31595783,-3.353783024
340.9895,-0.6023052054,-9.392392214,8.258704042,-3.010763422,-10.06805999
340.99,-0.9074996131,-7.25603136,10.7002593,-2.095180199,-11.59403203
340.9905,0.008083609999,-2.983309652,8.56389845,0.04118065471,-6.405727101
340.991,1.534055649,1.289412055,1.84962148,2.482735916,-0.3018389469
340.9915,3.670416502,2.815384094,-5.475044304,5.534679993,2.444910722
340.992,6.722360579,0.9842176476,-11.27373805,8.891818478,4.276077169
340.9925,7.332749395,-0.2365599832,-15.54645976,9.807401701,6.107243615
340.993,2.144444464,0.06863442452,-19.20879265,6.755457624,6.412438022
