"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",351.98000,2000,22000,"uV"

"time","value"
351.98000,-0.8469487986
351.98050,-3.898892876
351.98100,-8.782003399
351.98150,-11.83394748
351.98200,-11.52875307
351.98250,-9.392392214
351.98300,-7.866420176
351.98350,-7.561225768
351.98400,-7.866420176
351.98450,-9.087197807
351.98500,-11.83394748
351.98550,-15.19108596
351.98600,-16.717058
351.98650,-14.88589155
351.98700,-12.13914188
351.98750,-10.91836425
351.98800,-9.392392214
351.98850,-3.593698468
351.98900,5.867328171
351.98950,12.58160514
351.99000,12.88679955
351.99050,10.44524429
351.99100,11.0556331
351.99150,12.88679955
351.99200,11.36082751
351.99250,6.782911394
351.99300,5.256939355
351.99350,7.698494617
351.99400,10.14004988
351.99450,9.834855471
351.99500,9.224466656
351.99550,9.224466656
351.99600,8.003689025
351.99650,5.256939355
351.99700,4.036161725
351.99750,5.256939355
351.99800,5.256939355
351.99850,1.899800871
351.99900,-1.152143206
351.99950,-2.372920837
352.00000,-2.372920837
352.00050,-1.457337614
352.00100,-0.5417543909
352.00150,-0.8469487986
352.00200,-5.730059322
352.00250,-12.44433629
352.00300,-13.66511392
352.00350,-7.866420176
352.00400,-1.152143206
352.00450,2.204995278
352.00500,4.036161725
352.00550,5.562133763
352.00600,4.036161725
352.00650,1.289412055
352.00700,2.510189686
352.00750,7.698494617
352.00800,10.44524429
352.00850,8.003689025
352.00900,7.393300209
352.00950,10.75043869
352.01000,9.834855471
352.01050,-0.2365599832
352.01100,-11.52875307
352.01150,-13.97030833
352.01200,-10.30797544
352.01250,-10.00278103
352.01300,-12.44433629
352.01350,-10.91836425
352.01400,-4.814476099
352.01450,1.594606463
352.01500,5.562133763
352.01550,6.477716986
352.01600,0.6790232399
352.01650,-11.83394748
352.01700,-22.82094615
352.01750,-22.82094615
352.01800,-15.80147478
352.01850,-12.7495307
352.01900,-15.19108596
352.01950,-14.27550274
352.02000,-6.645642545
352.02050,0.3738288322
352.02100,0.06863442452
352.02150,-4.509281691
352.02200,-8.171614583
352.02250,-7.866420176
352.02300,-5.730059322
352.02350,-3.28850406
352.02400,-3.593698468
352.02450,-6.645642545
352.02500,-9.697586622
352.02550,-8.782003399
352.02600,-4.509281691
352.02650,-1.152143206
352.02700,0.06863442452
352.02750,1.289412055
352.02800,3.120578502
352.02850,4.64655054
352.02900,6.477716986
352.02950,10.14004988
352.03000,13.19199396
352.03050,13.19199396
352.03100,10.14004988
352.03150,7.393300209
352.03200,4.951744948
352.03250,-0.2365599832
352.03300,-5.730059322
352.03350,-3.898892876
352.03400,5.867328171
352.03450,15.32835481
352.03500,16.85432685
352.03550,12.88679955
352.03600,10.44524429
352.03650,10.44524429
352.03700,9.529661063
352.03750,6.782911394
352.03800,4.341356132
352.03850,2.510189686
352.03900,1.289412055
352.03950,1.289412055
352.04000,1.289412055
352.04050,-1.152143206
352.04100,-5.730059322
352.04150,-7.25603136
352.04200,-2.983309652
352.04250,1.594606463
352.04300,0.6790232399
352.04350,-4.509281691
352.04400,-6.950836953
352.04450,-5.119670506
352.04500,-4.204087283
352.04550,-6.340448137
352.04600,-7.561225768
352.04650,-4.814476099
352.04700,0.06863442452
352.04750,3.730967317
352.04800,4.951744948
352.04850,4.64655054
352.04900,4.341356132
352.04950,5.256939355
352.05000,6.782911394
352.05050,8.003689025
352.05100,8.003689025
352.05150,7.393300209
352.05200,7.698494617
352.05250,8.308883432
352.05300,8.61407784
352.05350,8.61407784
352.05400,8.308883432
352.05450,7.698494617
352.05500,7.698494617
352.05550,9.224466656
352.05600,10.75043869
352.05650,9.834855471
352.05700,8.003689025
352.05750,9.529661063
352.05800,16.54913244
352.05850,23.26340941
352.05900,22.04263178
352.05950,12.58160514
352.06000,0.3738288322
352.06050,-5.730059322
352.06100,-4.814476099
352.06150,0.06863442452
352.06200,4.341356132
352.06250,5.867328171
352.06300,4.64655054
352.06350,-1.152143206
352.06400,-14.88589155
352.06450,-32.28197279
352.06500,-41.13261062
352.06550,-34.72352805
352.06600,-20.37939089
352.06650,-12.44433629
352.06700,-13.05472511
352.06750,-12.13914188
352.06800,-3.898892876
352.06850,4.64655054
352.06900,6.172522579
352.06950,1.594606463
352.07000,-0.8469487986
352.07050,-1.457337614
352.07100,-2.678115245
352.07150,-2.983309652
352.07200,0.06863442452
352.07250,4.036161725
352.07300,4.951744948
352.07350,3.120578502
352.07400,3.730967317
352.07450,6.477716986
352.07500,7.393300209
352.07550,6.172522579
352.07600,5.867328171
352.07650,4.64655054
352.07700,-0.8469487986
352.07750,-9.392392214
352.07800,-12.7495307
352.07850,-7.561225768
352.07900,-0.5417543909
352.07950,0.3738288322
352.08000,-1.762532022
352.08050,-2.067726429
352.08100,0.06863442452
352.08150,-0.2365599832
352.08200,-2.983309652
352.08250,-5.119670506
352.08300,-4.204087283
352.08350,-2.983309652
352.08400,-3.593698468
352.08450,-5.730059322
352.08500,-8.476808991
352.08550,-10.91836425
352.08600,-12.44433629
352.08650,-10.91836425
352.08700,-6.340448137
352.08750,-2.067726429
352.08800,-0.8469487986
352.08850,-1.457337614
352.08900,-0.2365599832
352.08950,3.730967317
352.09000,9.529661063
352.09050,14.10757718
352.09100,16.24393803
352.09150,16.24393803
352.09200,15.32835481
352.09250,14.10757718
352.09300,13.80238277
352.09350,15.0231604
352.09400,17.46471566
352.09450,18.68549329
352.09500,16.54913244
352.09550,10.75043869
352.09600,4.036161725
352.09650,0.06863442452
352.09700,-1.457337614
352.09750,-2.983309652
352.09800,-6.03525373
352.09850,-9.697586622
352.09900,-12.7495307
352.09950,-13.66511392
352.10000,-12.7495307
352.10050,-9.697586622
352.10100,-6.950836953
352.10150,-5.730059322
352.10200,-6.950836953
352.10250,-8.476808991
352.10300,-8.782003399
352.10350,-8.171614583
352.10400,-7.25603136
352.10450,-6.340448137
352.10500,-4.814476099
352.10550,-3.593698468
352.10600,-2.983309652
352.10650,-2.678115245
352.10700,-1.457337614
352.10750,0.9842176476
352.10800,3.425772909
352.10850,4.036161725
352.10900,3.425772909
352.10950,2.815384094
352.11000,2.510189686
352.11050,2.204995278
352.11100,2.510189686
352.11150,3.425772909
352.11200,4.64655054
352.11250,4.951744948
352.11300,5.562133763
352.11350,7.088105802
352.11400,9.529661063
352.11450,11.36082751
352.11500,11.0556331
352.11550,9.224466656
352.11600,6.782911394
352.11650,4.341356132
352.11700,2.815384094
352.11750,2.815384094
352.11800,3.120578502
352.11850,0.3738288322
352.11900,-6.03525373
352.11950,-12.44433629
352.12000,-13.35991951
352.12050,-10.00278103
352.12100,-8.171614583
352.12150,-10.00278103
352.12200,-10.91836425
352.12250,-7.866420176
352.12300,-4.509281691
352.12350,-4.509281691
352.12400,-6.03525373
352.12450,-6.340448137
352.12500,-5.730059322
352.12550,-6.645642545
352.12600,-8.171614583
352.12650,-7.561225768
352.12700,-5.119670506
352.12750,-2.983309652
352.12800,-0.5417543909
352.12850,2.510189686
352.12900,4.64655054
352.12950,3.425772909
352.13000,0.3738288322
352.13050,0.06863442452
352.13100,2.815384094
352.13150,6.172522579
352.13200,8.308883432
352.13250,9.529661063
352.13300,10.14004988
352.13350,9.834855471
352.13400,9.224466656
352.13450,9.224466656
352.13500,9.834855471
352.13550,10.44524429
352.13600,9.529661063
352.13650,8.003689025
352.13700,5.867328171
352.13750,4.036161725
352.13800,2.815384094
352.13850,2.510189686
352.13900,1.594606463
352.13950,0.3738288322
352.14000,-0.8469487986
352.14050,-4.204087283
352.14100,-9.697586622
352.14150,-15.80147478
352.14200,-17.63264122
352.14250,-13.97030833
352.14300,-9.087197807
352.14350,-6.950836953
352.14400,-7.561225768
352.14450,-7.25603136
352.14500,-5.730059322
352.14550,-4.814476099
352.14600,-5.730059322
352.14650,-6.645642545
352.14700,-5.119670506
352.14750,-1.152143206
352.14800,2.510189686
352.14850,4.64655054
352.14900,4.341356132
352.14950,4.036161725
352.15000,4.64655054
352.15050,6.782911394
352.15100,8.308883432
352.15150,8.61407784
352.15200,8.61407784
352.15250,9.224466656
352.15300,9.529661063
352.15350,8.61407784
352.15400,7.393300209
352.15450,6.782911394
352.15500,6.782911394
352.15550,6.172522579
352.15600,5.562133763
352.15650,4.951744948
352.15700,4.341356132
352.15750,2.815384094
352.15800,1.289412055
352.15850,1.289412055
352.15900,1.594606463
352.15950,0.6790232399
352.16000,-1.762532022
352.16050,-4.204087283
352.16100,-5.730059322
352.16150,-6.03525373
352.16200,-6.645642545
352.16250,-7.561225768
352.16300,-9.392392214
352.16350,-12.44433629
352.16400,-15.19108596
352.16450,-15.49628037
352.16500,-14.58069715
352.16550,-14.27550274
352.16600,-13.05472511
352.16650,-8.171614583
352.16700,0.06863442452
352.16750,4.951744948
352.16800,2.510189686
352.16850,-2.067726429
352.16900,-2.372920837
352.16950,0.6790232399
352.17000,1.289412055
352.17050,-0.8469487986
352.17100,0.9842176476
352.17150,10.75043869
352.17200,18.9906877
352.17250,18.07510448
352.17300,11.66602192
352.17350,9.224466656
352.17400,13.80238277
352.17450,18.38029889
352.17500,16.24393803
352.17550,10.14004988
352.17600,5.867328171
352.17650,5.562133763
352.17700,7.393300209
352.17750,8.308883432
352.17800,6.172522579
352.17850,1.899800871
352.17900,-2.067726429
352.17950,-3.593698468
352.18000,-2.983309652
352.18050,-2.983309652
352.18100,-5.730059322
352.18150,-7.866420176
352.18200,-5.424864914
352.18250,-1.457337614
352.18300,-2.678115245
352.18350,-10.91836425
352.18400,-17.93783563
352.18450,-15.80147478
352.18500,-6.950836953
352.18550,0.3738288322
352.18600,4.951744948
352.18650,8.308883432
352.18700,6.782911394
352.18750,-3.898892876
352.18800,-19.76900208
352.18850,-27.70405668
352.18900,-22.82094615
352.18950,-14.27550274
352.19000,-10.61316985
352.19050,-8.782003399
352.19100,-2.983309652
352.19150,4.951744948
352.19200,8.003689025
352.19250,5.867328171
352.19300,4.341356132
352.19350,5.867328171
352.19400,8.308883432
352.19450,8.919272248
352.19500,8.308883432
352.19550,7.088105802
352.19600,5.562133763
352.19650,4.951744948
352.19700,5.256939355
352.19750,4.64655054
352.19800,2.204995278
352.19850,-0.2365599832
352.19900,-1.457337614
352.19950,-0.5417543909
352.20000,0.06863442452
352.20050,-0.5417543909
352.20100,-2.678115245
352.20150,-5.424864914
352.20200,-8.171614583
352.20250,-9.392392214
352.20300,-9.087197807
352.20350,-7.866420176
352.20400,-7.561225768
352.20450,-7.866420176
352.20500,-6.950836953
352.20550,-4.814476099
352.20600,-2.678115245
352.20650,-1.457337614
352.20700,-1.457337614
352.20750,-0.8469487986
