"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",351.98000,2000,22000,"uV"

"time","value"
351.98000,5.229485586
351.98050,6.145068809
351.98100,4.924291178
351.98150,2.787930324
351.98200,1.872347101
351.98250,1.261958286
351.98300,0.04118065471
351.98350,-1.179596976
351.98400,-1.179596976
351.98450,-0.264013753
351.98500,-0.5692081607
351.98550,-1.789985791
351.98600,-2.705569015
351.98650,-2.705569015
351.98700,-2.705569015
351.98750,-2.705569015
351.98800,-1.179596976
351.98850,0.9567638778
351.98900,3.398319139
351.98950,4.924291178
351.99000,6.145068809
351.99050,6.145068809
351.99100,4.313902363
351.99150,0.6515694701
351.99200,-1.484791384
351.99250,-1.789985791
351.99300,-1.179596976
351.99350,-1.179596976
351.99400,-2.095180199
351.99450,-3.010763422
351.99500,-2.095180199
351.99550,-0.5692081607
351.99600,0.6515694701
351.99650,0.04118065471
351.99700,-1.484791384
351.99750,-3.010763422
351.99800,-3.010763422
351.99850,-1.179596976
351.99900,0.04118065471
351.99950,0.6515694701
352.00000,0.04118065471
352.00050,-0.5692081607
352.00100,0.6515694701
352.00150,2.177541509
352.00200,1.567152693
352.00250,-0.8744025684
352.00300,-2.400374607
352.00350,-0.264013753
352.00400,1.872347101
352.00450,2.177541509
352.00500,1.567152693
352.00550,1.872347101
352.00600,2.787930324
352.00650,1.872347101
352.00700,0.9567638778
352.00750,3.093124732
352.00800,7.36584644
352.00850,8.891818478
352.00900,6.755457624
352.00950,4.313902363
352.01000,4.61909677
352.01050,5.534679993
352.01100,4.924291178
352.01150,2.482735916
352.01200,-0.8744025684
352.01250,-5.452318684
352.01300,-7.28348513
352.01350,-3.621152238
352.01400,3.398319139
352.01450,8.58662407
352.01500,7.671040847
352.01550,2.482735916
352.01600,-2.705569015
352.01650,-7.28348513
352.01700,-9.725040392
352.01750,-11.86140125
352.01800,-16.74451177
352.01850,-26.81592722
352.01900,-36.27695386
352.01950,-35.05617623
352.02000,-21.9328167
352.02050,-7.28348513
352.02100,-1.484791384
352.02150,-2.400374607
352.02200,-2.095180199
352.02250,1.261958286
352.02300,3.703513547
352.02350,2.787930324
352.02400,1.567152693
352.02450,2.787930324
352.02500,3.398319139
352.02550,1.261958286
352.02600,-1.179596976
352.02650,-0.5692081607
352.02700,3.093124732
352.02750,4.924291178
352.02800,3.703513547
352.02850,2.177541509
352.02900,3.398319139
352.02950,7.671040847
352.03000,12.24895696
352.03050,14.99570663
352.03100,15.30090104
352.03150,12.55415137
352.03200,7.36584644
352.03250,2.177541509
352.03300,0.04118065471
352.03350,2.177541509
352.03400,6.450263216
352.03450,9.197012886
352.03500,7.36584644
352.03550,2.482735916
352.03600,-1.484791384
352.03650,-3.621152238
352.03700,-3.926346645
352.03750,-4.536735461
352.03800,-5.757513092
352.03850,-5.757513092
352.03900,-3.621152238
352.03950,-0.264013753
352.04000,3.398319139
352.04050,4.313902363
352.04100,1.261958286
352.04150,-3.621152238
352.04200,-5.452318684
352.04250,-1.789985791
352.04300,3.093124732
352.04350,4.924291178
352.04400,4.008707955
352.04450,2.787930324
352.04500,1.872347101
352.04550,0.04118065471
352.04600,-1.484791384
352.04650,-0.5692081607
352.04700,2.177541509
352.04750,4.008707955
352.04800,3.398319139
352.04850,2.787930324
352.04900,4.008707955
352.04950,4.924291178
352.05000,3.703513547
352.05050,1.567152693
352.05100,1.261958286
352.05150,2.787930324
352.05200,3.703513547
352.05250,2.787930324
352.05300,1.261958286
352.05350,0.04118065471
352.05400,0.04118065471
352.05450,0.04118065471
352.05500,-0.264013753
352.05550,0.3463750624
352.05600,3.093124732
352.05650,6.450263216
352.05700,6.755457624
352.05750,3.398319139
352.05800,0.04118065471
352.05850,-0.5692081607
352.05900,0.9567638778
352.05950,2.177541509
352.06000,0.6515694701
352.06050,-1.484791384
352.06100,-3.31595783
352.06150,-3.31595783
352.06200,-2.095180199
352.06250,-0.264013753
352.06300,1.567152693
352.06350,2.787930324
352.06400,0.6515694701
352.06450,-3.621152238
352.06500,-7.28348513
352.06550,-6.673096315
352.06600,-3.010763422
352.06650,0.04118065471
352.06700,1.567152693
352.06750,4.61909677
352.06800,7.976235255
352.06850,8.58662407
352.06900,4.008707955
352.06950,-1.789985791
352.07000,-4.841929869
