"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",351.98000,2000,22000,"uV"

"time","value"
351.98000,-17.39272578
351.98050,-7.626504732
351.98100,-2.133005393
351.98150,-2.743394209
351.98200,-3.964171839
351.98250,-2.438199801
351.98300,-3.353783024
351.98350,-6.405727101
351.98400,-6.100532693
351.98450,-0.9122277624
351.98500,2.139716315
351.98550,0.003355460754
351.98600,-2.743394209
351.98650,-1.827810985
351.98700,-0.9122277624
351.98750,-5.18494947
351.98800,-9.15247677
351.98850,-6.100532693
351.98900,0.6137442762
351.98950,3.055299538
351.99000,0.6137442762
351.99050,0.003355460754
351.99100,2.75010513
351.99150,4.581271576
351.99200,3.360493945
351.99250,1.834521907
351.99300,2.444910722
351.99350,4.276077169
351.99400,4.581271576
351.99450,3.360493945
351.99500,2.75010513
351.99550,2.75010513
351.99600,2.444910722
351.99650,1.529327499
351.99700,0.9189386839
351.99750,1.529327499
351.99800,3.665688353
351.99850,3.970882761
351.99900,1.834521907
351.99950,-1.522616578
352.00000,-3.964171839
352.00050,-5.795338286
352.00100,-7.931699139
352.00150,-7.016115916
352.00200,-0.3018389469
352.00250,9.159187692
352.00300,17.70463111
352.00350,26.55526893
352.00400,41.2046005
352.00450,58.29548733
352.00500,69.28248601
352.00550,72.33443009
352.00600,74.47079094
352.00650,73.25001331
352.00700,52.19159918
352.00750,1.529327499
352.00800,-57.983582
352.00850,-93.3861333
352.00900,-92.47055007
352.00950,-73.5484968
352.01000,-61.9511093
352.01050,-62.86669253
352.01100,-67.44460864
352.01150,-68.05499746
352.01200,-61.64591489
352.01250,-43.33425043
352.01300,-11.28883762
352.01350,22.28254722
352.01400,38.45785083
352.01450,29.60721301
352.01500,10.99035414
352.01550,3.055299538
352.01600,10.07477091
352.01650,17.3994367
352.01700,12.51632618
352.01750,-1.21742217
352.01800,-12.50961526
352.01850,-12.81480966
352.01900,-4.879755062
352.01950,2.139716315
352.02000,4.276077169
352.02050,3.055299538
352.02100,3.970882761
352.02150,6.71763243
352.02200,7.938410061
352.02250,7.022826838
352.02300,6.412438022
352.02350,6.412438022
352.02400,5.802049207
352.02450,6.107243615
352.02500,8.548798876
352.02550,10.07477091
352.02600,6.107243615
352.02650,4.276077169
352.02700,15.26307585
352.02750,32.65915708
352.02800,34.79551794
352.02850,16.78904788
352.02900,-2.438199801
352.02950,-5.795338286
352.03000,0.003355460754
352.03050,0.9189386839
352.03100,-1.522616578
352.03150,-1.522616578
352.03200,-4.879755062
352.03250,-17.69792019
352.03300,-29.29530768
352.03350,-24.41219716
352.03400,-8.236893547
352.03450,-0.9122277624
352.03500,-6.100532693
352.03550,-10.98364322
352.03600,-7.931699139
352.03650,-4.574560655
352.03700,-5.490143878
352.03750,-5.795338286
352.03800,-2.743394209
352.03850,0.003355460754
352.03900,0.003355460754
352.03950,1.834521907
352.04000,5.191660392
352.04050,5.802049207
352.04100,2.139716315
352.04150,-0.9122277624
352.04200,-1.522616578
352.04250,0.003355460754
352.04300,2.139716315
352.04350,5.802049207
352.04400,7.938410061
352.04450,6.412438022
352.04500,4.276077169
352.04550,6.107243615
352.04600,9.4643821
352.04650,10.37996532
352.04700,8.853993284
352.04750,9.769576507
352.04800,12.82152058
352.04850,14.04229822
352.04900,12.21113177
352.04950,8.853993284
352.05000,5.496854799
352.05050,1.529327499
352.05100,-0.6070333546
352.05150,0.6137442762
352.05200,3.665688353
352.05250,3.665688353
352.05300,1.834521907
352.05350,2.139716315
352.05400,4.886465984
352.05450,6.107243615
352.05500,6.412438022
352.05550,8.548798876
352.05600,10.68515973
352.05650,7.633215653
352.05700,0.003355460754
352.05750,-4.879755062
352.05800,-2.743394209
352.05850,1.834521907
352.05900,0.003355460754
352.05950,-11.89922644
352.06000,-28.07453005
352.06050,-39.97711195
352.06100,-45.77580569
352.06150,-49.43813859
352.06200,-49.74333299
352.06250,-37.84075109
352.06300,-8.542087955
352.06350,25.94488012
352.06400,44.86693339
352.06450,39.37343405
352.06500,20.75657518
352.06550,5.496854799
352.06600,0.003355460754
352.06650,0.6137442762
352.06700,4.886465984
352.06750,9.4643821
352.06800,10.07477091
352.06850,3.665688353
352.06900,-5.18494947
352.06950,-11.28883762
352.07000,-11.89922644
352.07050,-4.269366247
352.07100,10.68515973
352.07150,26.86046334
352.07200,30.52279623
352.07250,17.09424229
352.07300,-0.3018389469
352.07350,-6.405727101
352.07400,0.003355460754
352.07450,5.496854799
352.07500,3.055299538
352.07550,-0.9122277624
352.07600,-0.6070333546
352.07650,0.9189386839
352.07700,-1.522616578
352.07750,-7.016115916
352.07800,-8.236893547
352.07850,-3.048588616
352.07900,1.834521907
352.07950,2.139716315
352.08000,-0.6070333546
352.08050,-3.048588616
352.08100,-3.964171839
352.08150,-4.879755062
352.08200,-5.18494947
352.08250,-4.574560655
352.08300,-3.048588616
352.08350,-3.048588616
352.08400,-4.574560655
352.08450,-5.490143878
352.08500,-3.964171839
352.08550,-1.21742217
352.08600,0.6137442762
352.08650,0.3085498685
352.08700,-1.522616578
352.08750,-3.353783024
352.08800,-2.743394209
352.08850,-1.827810985
352.08900,-3.658977432
352.08950,-8.542087955
352.09000,-12.81480966
352.09050,-13.12000407
352.09100,-12.20442085
352.09150,-12.81480966
352.09200,-12.50961526
352.09250,-5.18494947
352.09300,8.853993284
352.09350,21.06176959
352.09400,24.11371367
352.09450,20.14618637
352.09500,18.00982552
352.09550,20.75657518
352.09600,22.58774163
352.09650,14.65268703
352.09700,-2.743394209
352.09750,-20.44466986
352.09800,-29.90569649
352.09850,-29.90569649
352.09900,-25.02258597
352.09950,-17.69792019
352.10000,-9.762865586
352.10050,-2.743394209
352.10100,-0.3018389469
352.10150,-1.21742217
352.10200,-2.438199801
352.10250,-2.133005393
352.10300,-3.048588616
352.10350,-4.879755062
352.10400,-6.100532693
352.10450,-6.405727101
352.10500,-7.626504732
352.10550,-9.15247677
352.10600,-7.931699139
352.10650,-4.574560655
352.10700,-2.438199801
352.10750,-3.048588616
352.10800,-3.658977432
352.10850,-2.133005393
352.10900,-0.6070333546
352.10950,0.003355460754
352.11000,1.834521907
352.11050,5.496854799
352.11100,8.548798876
352.11150,9.769576507
352.11200,10.68515973
352.11250,12.21113177
352.11300,11.90593736
352.11350,9.769576507
352.11400,10.07477091
352.11450,13.4319094
352.11500,15.87346466
352.11550,13.73710381
352.11600,10.68515973
352.11650,11.29554855
352.11700,10.07477091
352.11750,1.224133092
352.11800,-11.28883762
352.11850,-16.78233696
352.11900,-10.3732544
352.11950,-0.6070333546
352.12000,2.75010513
352.12050,1.224133092
352.12100,0.6137442762
352.12150,3.360493945
352.12200,5.496854799
352.12250,5.496854799
352.12300,4.276077169
352.12350,3.360493945
352.12400,2.139716315
352.12450,0.6137442762
352.12500,0.6137442762
352.12550,1.529327499
352.12600,2.139716315
352.12650,1.224133092
352.12700,0.9189386839
352.12750,1.224133092
352.12800,0.9189386839
352.12850,-0.3018389469
352.12900,-0.3018389469
352.12950,1.529327499
352.13000,3.360493945
352.13050,3.360493945
352.13100,2.75010513
352.13150,3.360493945
352.13200,3.055299538
352.13250,1.834521907
352.13300,1.224133092
352.13350,2.75010513
352.13400,3.055299538
352.13450,-0.3018389469
352.13500,-3.658977432
352.13550,-0.3018389469
352.13600,7.328021246
352.13650,14.04229822
352.13700,17.3994367
352.13750,18.92540874
352.13800,18.92540874
352.13850,17.70463111
352.13900,17.70463111
352.13950,19.84099196
352.14000,16.17865907
352.14050,0.003355460754
352.14100,-22.2758363
352.14150,-33.26283498
352.14200,-26.54855801
352.14250,-13.12000407
352.14300,-5.795338286
352.14350,-5.795338286
352.14400,-5.490143878
352.14450,-2.743394209
352.14500,-0.9122277624
352.14550,-0.9122277624
352.14600,-0.9122277624
352.14650,-0.6070333546
352.14700,-1.522616578
352.14750,-3.658977432
352.14800,-4.574560655
352.14850,-4.574560655
352.14900,-4.574560655
352.14950,-4.879755062
352.15000,-4.574560655
352.15050,-3.658977432
352.15100,-3.353783024
352.15150,-4.269366247
352.15200,-4.574560655
352.15250,-4.269366247
352.15300,-4.269366247
352.15350,-3.964171839
352.15400,-3.048588616
352.15450,-2.438199801
352.15500,-2.438199801
352.15550,-2.438199801
352.15600,-1.21742217
352.15650,-0.6070333546
352.15700,-2.133005393
352.15750,-3.048588616
352.15800,-1.827810985
352.15850,-0.6070333546
352.15900,-2.438199801
352.15950,-4.269366247
352.16000,-1.827810985
352.16050,3.665688353
352.16100,5.496854799
352.16150,2.75010513
352.16200,3.055299538
352.16250,9.159187692
352.16300,13.73710381
352.16350,11.60074295
352.16400,7.022826838
352.16450,6.71763243
352.16500,7.328021246
352.16550,0.9189386839
352.16600,-9.457671178
352.16650,-14.95117052
352.16700,-12.50961526
352.16750,-7.321310324
352.16800,-4.574560655
352.16850,-3.048588616
352.16900,-1.522616578
352.16950,-1.827810985
352.17000,-3.353783024
352.17050,-2.743394209
352.17100,0.9189386839
352.17150,3.665688353
352.17200,1.834521907
352.17250,-2.743394209
352.17300,-7.931699139
352.17350,-12.20442085
352.17400,-15.56155933
352.17450,-17.08753137
352.17500,-14.3407817
352.17550,-8.236893547
352.17600,-2.743394209
352.17650,-1.21742217
352.17700,-2.133005393
352.17750,-2.133005393
352.17800,0.6137442762
352.17850,5.802049207
352.17900,10.37996532
352.17950,11.60074295
352.18000,8.853993284
352.18050,6.107243615
352.18100,9.4643821
352.18150,19.53579755
352.18200,28.99682419
352.18250,31.74357386
352.18300,32.65915708
352.18350,39.67862846
352.18400,44.25654458
352.18450,28.99682419
352.18500,-6.100532693
352.18550,-35.39919583
352.18600,-35.39919583
352.18650,-16.17194815
352.18700,-5.490143878
352.18750,-14.64597611
352.18800,-29.29530768
352.18850,-33.56802939
352.18900,-27.76933564
352.18950,-20.13947545
352.19000,-14.95117052
352.19050,-11.89922644
352.19100,-10.67844881
352.19150,-10.67844881
352.19200,-8.542087955
352.19250,-4.269366247
352.19300,-1.827810985
352.19350,-2.743394209
352.19400,-3.964171839
352.19450,-2.438199801
352.19500,0.003355460754
352.19550,0.003355460754
352.19600,-0.9122277624
352.19650,-0.9122277624
352.19700,0.003355460754
352.19750,0.3085498685
352.19800,0.9189386839
352.19850,0.9189386839
352.19900,0.9189386839
352.19950,1.224133092
352.20000,1.834521907
352.20050,3.055299538
