"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",362.98000,2000,22000,"uV"

"time","value"
362.98000,3.680787927
362.98050,3.985982334
362.98100,3.680787927
362.98150,3.375593519
362.98200,3.070399111
362.98250,2.460010296
362.98300,1.84962148
362.98350,1.84962148
362.98400,2.460010296
362.98450,2.460010296
362.98500,1.239232665
362.98550,-0.2867393736
362.98600,-0.5919337813
362.98650,0.3236494419
362.98700,0.9340382573
362.98750,-0.2867393736
362.98800,-3.338683451
362.98850,-4.559461081
362.98900,-3.338683451
362.98950,-1.812711412
362.99000,-1.812711412
362.99050,-1.507517004
362.99100,0.01845503415
362.99150,0.6288438496
362.99200,0.01845503415
362.99250,-0.897128189
362.99300,0.01845503415
362.99350,1.239232665
362.99400,0.9340382573
362.99450,0.01845503415
362.99500,0.01845503415
362.99550,1.84962148
362.99600,2.154815888
362.99650,0.6288438496
362.99700,0.01845503415
362.99750,1.239232665
362.99800,2.154815888
362.99850,2.154815888
362.99900,1.84962148
362.99950,3.070399111
363.00000,4.291176742
363.00050,3.680787927
363.00100,2.460010296
363.00150,2.154815888
363.00200,2.765204703
363.00250,3.070399111
363.00300,2.460010296
363.00350,2.154815888
363.00400,2.154815888
363.00450,2.765204703
363.00500,2.460010296
363.00550,1.84962148
363.00600,1.239232665
363.00650,1.544427073
363.00700,1.544427073
363.00750,1.239232665
363.00800,0.01845503415
363.00850,-0.5919337813
363.00900,-0.5919337813
363.00950,-0.897128189
363.01000,-1.507517004
363.01050,-1.202322597
363.01100,0.3236494419
363.01150,2.154815888
363.01200,0.3236494419
363.01250,-3.949072266
363.01300,-7.306210751
363.01350,-5.780238712
363.01400,-2.11790582
363.01450,-1.202322597
363.01500,-3.643877858
363.01550,-6.08543312
363.01600,-5.169849897
363.01650,-2.728294635
363.01700,-1.202322597
363.01750,-0.897128189
363.01800,-0.5919337813
363.01850,-0.2867393736
363.01900,-0.897128189
363.01950,-1.812711412
363.02000,-0.5919337813
363.02050,2.154815888
363.02100,3.680787927
363.02150,2.765204703
