time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
153.98,22.28727537,-7.866420176,18.94050831,7.060652032,-4.879755062
153.9805,12.21585992,-11.52875307,17.10934187,2.177541509,-2.133005393
153.981,-4.264638098,-14.88589155,15.27817542,-5.147124276,-0.9122277624
153.9815,-17.08280322,-14.27550274,23.21323002,-10.33542921,0.9189386839
153.982,-20.1347473,-11.22355866,31.45347903,-11.55620684,1.529327499
153.9825,-17.08280322,-8.476808991,27.48595173,-9.114651576,0.6137442762
153.983,-12.50488711,-5.730059322,15.27817542,-5.452318684,-0.6070333546
153.9835,-8.842554213,-2.678115245,7.648315227,-2.400374607,-1.522616578
153.984,-6.706193359,-0.8469487986,7.648315227,-2.400374607,-1.522616578
153.9845,-4.569832506,-2.067726429,6.427537596,-3.926346645,-0.3018389469
153.985,0.008083609999,-3.898892876,1.239232665,-3.621152238,1.224133092
153.9855,7.332749395,-1.762532022,-1.812711412,0.04118065471,2.139716315
153.986,10.68988788,3.425772909,0.01845503415,3.703513547,0.003355460754
153.9865,5.806777356,8.308883432,3.680787927,3.703513547,-2.743394209
153.987,-2.128277244,9.834855471,3.985982334,0.6515694701,-4.269366247
153.9875,-5.485415729,9.834855471,3.070399111,-0.8744025684,-3.658977432
153.988,-3.349054875,9.224466656,3.070399111,-0.8744025684,-2.743394209
153.9885,-0.2971107977,8.003689025,4.291176742,-0.5692081607,-2.743394209
153.989,0.008083609999,7.088105802,4.291176742,-0.8744025684,-2.743394209
153.9895,0.3132780177,7.393300209,3.375593519,-0.8744025684,-2.133005393
153.99,1.839250056,8.919272248,1.84962148,0.04118065471,-1.522616578
153.9905,1.228861241,9.834855471,0.6288438496,0.04118065471,-1.21742217
153.991,-0.2971107977,10.14004988,0.01845503415,0.04118065471,-0.9122277624
153.9915,0.3132780177,9.834855471,-0.2867393736,1.261958286,0.003355460754
153.992,6.111971764,9.224466656,-1.202322597,4.924291178,0.9189386839
153.9925,10.07949906,7.698494617,-2.728294635,7.671040847,1.834521907
153.993,7.94313821,6.477716986,-2.728294635,7.36584644,2.139716315
153.9935,2.754833279,7.393300209,-1.507517004,6.145068809,2.139716315
