"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",164.98000,2000,22000,"uV"

"time","value"
164.98000,-1.212694021
164.98050,-2.128277244
164.98100,-4.264638098
164.98150,-7.316582175
164.98200,-8.537359806
164.98250,-6.706193359
164.98300,-1.212694021
164.98350,3.97561091
164.98400,6.417166172
164.98450,5.501582949
164.98500,2.144444464
164.98550,-0.9074996131
164.98600,-1.517888429
164.98650,0.9236668331
164.98700,4.280805318
164.98750,4.280805318
164.98800,1.839250056
164.98850,0.9236668331
164.98900,3.97561091
164.98950,7.332749395
164.99000,7.027554987
164.99050,4.280805318
164.99100,2.449638872
164.99150,2.449638872
164.99200,0.6184724254
164.99250,-3.043860467
164.99300,-4.569832506
164.99350,-1.212694021
164.99400,3.060027687
164.99450,4.280805318
164.99500,2.449638872
164.99550,0.008083609999
164.99600,-3.043860467
164.99650,-5.790610136
164.99700,-5.790610136
164.99750,-3.043860467
164.99800,0.008083609999
164.99850,0.6184724254
164.99900,0.008083609999
164.99950,0.3132780177
165.00000,1.839250056
165.00050,3.97561091
165.00100,7.027554987
165.00150,10.38469347
165.00200,10.68988788
165.00250,6.417166172
165.00300,0.008083609999
165.00350,-5.180221321
165.00400,-7.316582175
165.00450,-7.316582175
165.00500,-5.485415729
165.00550,-1.823082836
165.00600,1.534055649
165.00650,3.365222095
165.00700,2.754833279
165.00750,1.534055649
165.00800,0.3132780177
165.00850,-0.2971107977
165.00900,-1.212694021
165.00950,-1.212694021
165.01000,-1.517888429
165.01050,-1.517888429
165.01100,-0.6023052054
165.01150,1.228861241
165.01200,2.754833279
165.01250,2.144444464
165.01300,0.3132780177
165.01350,-1.212694021
165.01400,-1.823082836
165.01450,-1.517888429
165.01500,-0.2971107977
165.01550,0.6184724254
165.01600,0.9236668331
165.01650,0.008083609999
165.01700,-2.128277244
165.01750,-3.349054875
165.01800,-3.349054875
165.01850,-4.264638098
165.01900,-5.790610136
165.01950,-7.621776583
165.02000,-7.316582175
165.02050,-3.95944369
165.02100,1.228861241
165.02150,6.111971764
165.02200,8.248332618
165.02250,7.332749395
165.02300,4.891194133
165.02350,2.449638872
165.02400,0.3132780177
165.02450,0.6184724254
165.02500,2.754833279
165.02550,2.754833279
165.02600,-2.738666059
165.02650,-8.842554213
165.02700,-7.316582175
165.02750,2.144444464
165.02800,10.38469347
165.02850,10.38469347
165.02900,5.501582949
165.02950,2.144444464
165.03000,0.3132780177
165.03050,-3.349054875
165.03100,-7.92697099
165.03150,-7.92697099
165.03200,-3.349054875
