"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",175.98000,2000,22000,"uV"

"time","value"
175.98000,-1.152143206
175.98050,-5.119670506
175.98100,-5.119670506
175.98150,-3.593698468
175.98200,-3.593698468
175.98250,-3.898892876
175.98300,-1.762532022
175.98350,2.815384094
175.98400,5.867328171
175.98450,5.256939355
175.98500,1.899800871
175.98550,-1.457337614
175.98600,-4.814476099
175.98650,-7.561225768
175.98700,-9.392392214
175.98750,-9.697586622
175.98800,-8.476808991
175.98850,-5.119670506
175.98900,-0.5417543909
175.98950,1.594606463
175.99000,0.9842176476
175.99050,-0.8469487986
175.99100,-1.152143206
175.99150,0.06863442452
175.99200,-1.152143206
175.99250,-5.730059322
175.99300,-9.392392214
175.99350,-7.561225768
175.99400,-2.067726429
175.99450,1.289412055
175.99500,0.6790232399
175.99550,-0.8469487986
175.99600,-0.2365599832
175.99650,2.510189686
175.99700,4.951744948
175.99750,5.867328171
175.99800,6.172522579
175.99850,6.782911394
175.99900,7.698494617
175.99950,7.698494617
176.00000,9.224466656
176.00050,11.66602192
176.00100,11.97121632
176.00150,5.562133763
176.00200,-2.983309652
176.00250,-6.645642545
176.00300,-3.28850406
176.00350,-0.5417543909
176.00400,-2.372920837
176.00450,-2.983309652
176.00500,1.289412055
176.00550,5.562133763
176.00600,2.510189686
176.00650,-4.204087283
176.00700,-5.730059322
176.00750,-1.457337614
176.00800,0.3738288322
176.00850,-2.983309652
176.00900,-7.561225768
176.00950,-10.30797544
176.01000,-12.7495307
176.01050,-17.02225241
176.01100,-19.46380767
176.01150,-16.41186359
176.01200,-10.00278103
176.01250,-5.424864914
176.01300,-2.678115245
176.01350,-0.5417543909
176.01400,2.204995278
176.01450,4.951744948
176.01500,5.867328171
176.01550,6.172522579
176.01600,7.088105802
176.01650,8.919272248
176.01700,9.834855471
176.01750,8.308883432
176.01800,7.088105802
176.01850,9.224466656
176.01900,12.58160514
176.01950,9.834855471
176.02000,-0.5417543909
176.02050,-10.61316985
176.02100,-11.52875307
176.02150,-7.561225768
176.02200,-6.340448137
176.02250,-9.087197807
176.02300,-10.30797544
176.02350,-8.782003399
176.02400,-7.866420176
176.02450,-8.476808991
176.02500,-6.645642545
176.02550,-2.372920837
176.02600,-0.2365599832
176.02650,-0.8469487986
176.02700,-1.152143206
176.02750,0.3738288322
176.02800,1.289412055
176.02850,0.06863442452
176.02900,0.06863442452
176.02950,2.510189686
176.03000,4.64655054
176.03050,3.730967317
176.03100,0.3738288322
176.03150,-1.152143206
176.03200,-0.2365599832
176.03250,2.510189686
176.03300,5.867328171
176.03350,6.782911394
176.03400,3.730967317
176.03450,-0.8469487986
176.03500,-1.457337614
176.03550,3.120578502
176.03600,9.224466656
176.03650,12.27641073
176.03700,12.88679955
176.03750,12.88679955
176.03800,13.49718836
176.03850,15.0231604
176.03900,17.46471566
176.03950,18.38029889
176.04000,14.10757718
176.04050,5.562133763
176.04100,-0.8469487986
176.04150,-1.762532022
176.04200,-0.8469487986
176.04250,-3.28850406
176.04300,-8.171614583
176.04350,-11.22355866
176.04400,-9.087197807
176.04450,-5.119670506
176.04500,-2.067726429
176.04550,-1.457337614
176.04600,-3.28850406
176.04650,-6.645642545
176.04700,-8.171614583
176.04750,-6.03525373
176.04800,-3.28850406
176.04850,-2.678115245
176.04900,-4.509281691
176.04950,-5.730059322
176.05000,-4.509281691
176.05050,-2.372920837
176.05100,-0.8469487986
176.05150,0.3738288322
176.05200,3.425772909
176.05250,6.172522579
176.05300,7.698494617
176.05350,7.088105802
176.05400,6.477716986
176.05450,6.782911394
176.05500,8.308883432
176.05550,9.529661063
176.05600,8.919272248
176.05650,6.782911394
176.05700,4.036161725
176.05750,1.899800871
176.05800,0.6790232399
176.05850,0.9842176476
176.05900,2.204995278
176.05950,3.120578502
176.06000,3.120578502
176.06050,3.425772909
176.06100,4.64655054
176.06150,4.036161725
176.06200,-0.2365599832
176.06250,-5.730059322
176.06300,-7.866420176
176.06350,-6.340448137
176.06400,-5.119670506
176.06450,-6.645642545
176.06500,-7.866420176
176.06550,-7.561225768
176.06600,-7.25603136
176.06650,-8.171614583
176.06700,-8.171614583
176.06750,-6.340448137
176.06800,-3.898892876
176.06850,-2.983309652
176.06900,-3.28850406
176.06950,-4.814476099
176.07000,-7.561225768
176.07050,-9.697586622
176.07100,-9.087197807
176.07150,-4.814476099
176.07200,0.6790232399
176.07250,4.951744948
176.07300,8.61407784
176.07350,10.14004988
176.07400,8.919272248
176.07450,4.64655054
176.07500,1.289412055
176.07550,2.204995278
176.07600,5.867328171
176.07650,10.44524429
176.07700,13.19199396
176.07750,14.10757718
176.07800,12.88679955
176.07850,10.14004988
176.07900,6.782911394
176.07950,2.510189686
176.08000,-0.2365599832
176.08050,0.06863442452
176.08100,3.120578502
176.08150,5.562133763
176.08200,4.64655054
176.08250,0.6790232399
176.08300,-2.678115245
176.08350,-5.424864914
176.08400,-8.782003399
176.08450,-13.35991951
176.08500,-18.54822445
176.08550,-21.90536293
176.08600,-21.29497411
176.08650,-16.10666918
176.08700,-8.171614583
176.08750,-2.983309652
176.08800,-3.28850406
176.08850,-6.03525373
176.08900,-8.476808991
176.08950,-9.697586622
176.09000,-8.782003399
176.09050,-3.593698468
176.09100,4.036161725
176.09150,8.919272248
176.09200,6.477716986
176.09250,0.9842176476
176.09300,-0.8469487986
176.09350,0.9842176476
176.09400,3.120578502
176.09450,3.425772909
176.09500,4.036161725
176.09550,5.562133763
176.09600,6.172522579
176.09650,5.256939355
176.09700,4.64655054
176.09750,5.256939355
176.09800,6.477716986
176.09850,5.562133763
176.09900,2.510189686
176.09950,-0.2365599832
176.10000,-0.8469487986
176.10050,0.06863442452
176.10100,2.510189686
176.10150,3.425772909
176.10200,3.120578502
176.10250,1.594606463
176.10300,0.06863442452
176.10350,-0.8469487986
176.10400,1.289412055
176.10450,6.477716986
176.10500,8.919272248
176.10550,4.036161725
176.10600,-3.28850406
176.10650,-6.03525373
176.10700,-2.983309652
176.10750,-1.762532022
176.10800,-5.424864914
176.10850,-8.782003399
176.10900,-5.730059322
176.10950,0.6790232399
176.11000,4.951744948
176.11050,4.036161725
176.11100,0.3738288322
176.11150,-3.898892876
176.11200,-8.782003399
176.11250,-10.30797544
