"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",208.98000,2000,22000,"uV"

"time","value"
208.98000,8.853993284
208.98050,6.71763243
208.98100,3.360493945
208.98150,-0.9122277624
208.98200,-3.964171839
208.98250,-4.269366247
208.98300,-3.353783024
208.98350,-2.133005393
208.98400,0.003355460754
208.98450,2.444910722
208.98500,3.055299538
208.98550,0.003355460754
208.98600,-2.743394209
208.98650,-3.048588616
208.98700,-0.6070333546
208.98750,0.3085498685
208.98800,-0.6070333546
208.98850,-1.522616578
208.98900,0.3085498685
208.98950,4.276077169
208.99000,6.412438022
208.99050,4.886465984
208.99100,2.444910722
208.99150,1.834521907
208.99200,3.055299538
208.99250,3.665688353
208.99300,3.055299538
208.99350,1.834521907
208.99400,0.9189386839
208.99450,0.6137442762
208.99500,0.9189386839
208.99550,1.529327499
208.99600,1.834521907
208.99650,0.9189386839
208.99700,0.6137442762
208.99750,1.224133092
208.99800,0.9189386839
208.99850,-1.827810985
208.99900,-4.879755062
208.99950,-3.658977432
209.00000,0.003355460754
209.00050,1.834521907
209.00100,0.6137442762
209.00150,0.003355460754
209.00200,1.224133092
209.00250,2.444910722
209.00300,2.139716315
209.00350,2.139716315
209.00400,3.970882761
209.00450,5.496854799
209.00500,5.191660392
209.00550,5.496854799
209.00600,5.496854799
209.00650,0.6137442762
209.00700,-10.67844881
209.00750,-20.13947545
209.00800,-18.61350341
209.00850,-8.847282363
209.00900,-2.133005393
209.00950,-2.743394209
209.01000,-5.490143878
209.01050,-5.490143878
209.01100,-3.353783024
209.01150,-1.522616578
209.01200,0.6137442762
209.01250,3.055299538
209.01300,4.276077169
209.01350,2.75010513
209.01400,1.224133092
209.01450,0.6137442762
209.01500,0.3085498685
209.01550,-0.6070333546
209.01600,-0.6070333546
209.01650,0.9189386839
209.01700,1.834521907
209.01750,0.3085498685
209.01800,-2.133005393
209.01850,-3.048588616
209.01900,-2.133005393
209.01950,-1.21742217
209.02000,-1.522616578
209.02050,-0.9122277624
209.02100,0.3085498685
209.02150,0.6137442762
209.02200,-1.21742217
209.02250,-3.964171839
209.02300,-4.269366247
209.02350,-2.133005393
209.02400,0.003355460754
209.02450,0.003355460754
209.02500,-0.6070333546
209.02550,-0.3018389469
209.02600,-0.3018389469
209.02650,-1.21742217
209.02700,-2.438199801
209.02750,-1.522616578
209.02800,0.9189386839
209.02850,1.834521907
209.02900,0.9189386839
209.02950,0.003355460754
209.03000,0.3085498685
209.03050,1.224133092
209.03100,0.9189386839
209.03150,0.3085498685
209.03200,0.003355460754
209.03250,0.003355460754
209.03300,0.003355460754
209.03350,0.6137442762
209.03400,3.055299538
209.03450,4.581271576
209.03500,3.970882761
209.03550,2.75010513
209.03600,2.444910722
209.03650,2.139716315
209.03700,0.6137442762
209.03750,0.9189386839
209.03800,3.665688353
209.03850,5.802049207
209.03900,3.360493945
209.03950,-0.9122277624
209.04000,-2.438199801
209.04050,-1.522616578
209.04100,-3.353783024
209.04150,-6.710921509
209.04200,-5.18494947
209.04250,0.6137442762
209.04300,1.529327499
209.04350,-6.100532693
209.04400,-11.89922644
209.04450,-5.795338286
209.04500,6.107243615
209.04550,11.90593736
209.04600,8.548798876
209.04650,3.970882761
209.04700,3.055299538
209.04750,3.665688353
209.04800,2.75010513
209.04850,2.444910722
209.04900,3.665688353
209.04950,3.970882761
209.05000,1.834521907
209.05050,0.003355460754
209.05100,0.6137442762
209.05150,1.529327499
209.05200,0.9189386839
209.05250,0.003355460754
209.05300,0.003355460754
209.05350,1.834521907
209.05400,2.139716315
209.05450,0.3085498685
209.05500,-1.21742217
209.05550,-0.6070333546
209.05600,2.444910722
209.05650,5.802049207
209.05700,6.107243615
209.05750,3.665688353
209.05800,1.529327499
209.05850,1.224133092
209.05900,2.139716315
209.05950,2.444910722
209.06000,3.055299538
209.06050,3.360493945
209.06100,1.834521907
209.06150,-0.9122277624
209.06200,-3.048588616
209.06250,-3.048588616
209.06300,-2.743394209
209.06350,-3.048588616
209.06400,-2.133005393
209.06450,-0.3018389469
209.06500,0.003355460754
209.06550,-3.353783024
209.06600,-7.016115916
209.06650,-8.236893547
209.06700,-7.626504732
209.06750,-7.321310324
209.06800,-6.710921509
209.06850,-4.269366247
209.06900,-0.3018389469
209.06950,3.055299538
209.07000,6.412438022
209.07050,10.37996532
209.07100,12.82152058
209.07150,11.60074295
209.07200,7.633215653
209.07250,4.886465984
209.07300,4.276077169
209.07350,4.276077169
209.07400,2.75010513
209.07450,1.224133092
209.07500,0.6137442762
209.07550,0.9189386839
209.07600,3.055299538
209.07650,6.107243615
209.07700,7.022826838
209.07750,4.886465984
209.07800,4.276077169
209.07850,7.938410061
209.07900,9.159187692
209.07950,0.9189386839
209.08000,-13.42519848
209.08050,-22.2758363
209.08100,-18.61350341
209.08150,-10.06805999
209.08200,-5.490143878
209.08250,-5.795338286
