"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",109.98000,2000,22000,"uV"

"time","value"
109.98000,-3.373000663
109.98050,-2.762611847
109.98100,-2.762611847
109.98150,-2.45741744
109.98200,-1.541834217
109.98250,-0.9314454012
109.98300,-0.9314454012
109.98350,-1.236639809
109.98400,-1.541834217
109.98450,-2.45741744
109.98500,-3.067806255
109.98550,-2.45741744
109.98600,-0.3210565858
109.98650,1.51010986
109.98700,3.341276307
109.98750,3.951665122
109.98800,3.341276307
109.98850,2.730887491
109.98900,3.036081899
109.98950,2.730887491
109.99000,-0.01586217811
109.99050,-5.509361517
109.99100,-10.08727763
109.99150,-11.00286086
109.99200,-9.171694409
109.99250,-7.035333555
109.99300,-5.814555924
109.99350,-3.678195071
109.99400,1.204915453
109.99450,8.834775645
109.99500,16.15944143
109.99550,17.99060788
109.99600,12.49710854
109.99650,3.036081899
109.99700,-2.762611847
109.99750,-1.847028624
109.99800,3.341276307
109.99850,7.003609199
109.99900,5.172442753
109.99950,0.2893322296
110.00000,-1.847028624
110.00050,-0.01586217811
110.00100,3.951665122
110.00150,6.088025976
110.00200,6.698414791
110.00250,6.088025976
110.00300,0.899721045
110.00350,-11.30805526
110.00400,-25.34699802
110.00450,-31.14569176
110.00500,-29.92491413
110.00550,-30.53530295
110.00600,-30.53530295
110.00650,-14.05480493
110.00700,22.8737184
110.00750,58.5814641
110.00800,64.99054666
110.00850,43.93213253
110.00900,20.73735755
110.00950,12.49710854
110.01000,13.71788617
110.01050,14.02308058
110.01100,13.71788617
110.01150,15.24385821
110.01200,14.02308058
110.01250,6.393220384
110.01300,-1.847028624
110.01350,-6.119750332
110.01400,-9.171694409
110.01450,-14.66519375
110.01500,-19.54830427
110.01550,-17.71713782
110.01600,-11.91844408
110.01650,-8.256111186
110.01700,-7.340527963
110.01750,-5.814555924
110.01800,-4.898972701
110.01850,-6.119750332
110.01900,-6.42494474
110.01950,-2.762611847
110.02000,1.51010986
110.02050,-0.01586217811
110.02100,-7.340527963
110.02150,-14.05480493
110.02200,-17.41194342
110.02250,-18.63272105
110.02300,-17.41194342
110.02350,-10.39247204
110.02400,-0.9314454012
110.02450,3.341276307
110.02500,1.815304268
110.02550,3.036081899
110.02600,10.05555328
110.02650,16.15944143
110.02700,12.80230295
110.02750,2.120498676
110.02800,-6.42494474
110.02850,-9.171694409
110.02900,-6.730139148
110.02950,-1.541834217
110.03000,3.036081899
110.03050,3.646470714
110.03100,-0.6262509935
110.03150,-5.204167109
110.03200,-5.814555924
110.03250,-2.762611847
110.03300,-0.01586217811
110.03350,2.425693084
110.03400,4.562053937
110.03450,7.919192422
110.03500,11.88671972
110.03550,13.41269176
110.03600,7.003609199
110.03650,-7.035333555
110.03700,-17.10674901
110.03750,-12.52883289
110.03800,-0.01586217811
110.03850,3.646470714
110.03900,-5.204167109
110.03950,-14.05480493
110.04000,-14.05480493
110.04050,-13.44441612
110.04100,-20.15869309
110.04150,-27.48335887
110.04200,-25.34699802
110.04250,-16.49636019
110.04300,-10.39247204
110.04350,-6.730139148
110.04400,-0.01586217811
110.04450,9.139970053
110.04500,14.32827498
110.04550,14.32827498
110.04600,12.80230295
110.04650,10.9711365
110.04700,6.698414791
110.04750,3.036081899
110.04800,4.25685953
110.04850,7.613998014
110.04900,7.003609199
110.04950,2.730887491
110.05000,0.899721045
110.05050,2.425693084
110.05100,3.951665122
110.05150,5.477637161
110.05200,8.22438683
110.05250,10.9711365
110.05300,10.05555328
110.05350,7.308803607
110.05400,6.698414791
110.05450,6.698414791
110.05500,3.341276307
110.05550,-2.152223032
110.05600,-3.067806255
110.05650,0.5945266373
110.05700,2.120498676
110.05750,-1.847028624
110.05800,-6.42494474
110.05850,-6.119750332
110.05900,-2.762611847
110.05950,-1.541834217
110.06000,-3.983389478
110.06050,-7.950916778
110.06100,-10.08727763
110.06150,-9.476888817
110.06200,-6.730139148
110.06250,-4.593778294
110.06300,-3.373000663
110.06350,-0.01586217811
110.06400,6.088025976
110.06450,10.66594209
110.06500,8.834775645
110.06550,3.646470714
110.06600,0.899721045
110.06650,1.51010986
110.06700,3.646470714
110.06750,6.088025976
110.06800,7.919192422
110.06850,6.088025976
110.06900,0.2893322296
110.06950,-3.678195071
110.07000,-3.067806255
110.07050,-2.45741744
110.07100,-7.645722371
110.07150,-14.66519375
110.07200,-15.27558256
110.07250,-8.256111186
110.07300,1.51010986
110.07350,12.19191413
110.07400,23.17891281
110.07450,26.8412457
110.07500,13.71788617
110.07550,-11.30805526
110.07600,-30.84049736
110.07650,-32.06127499
110.07700,-21.68466512
110.07750,-13.44441612
110.07800,-12.8340273
110.07850,-14.35999934
110.07900,-11.91844408
110.07950,-2.45741744
110.08000,10.66594209
110.08050,21.95813518
110.08100,25.62046807
110.08150,21.95813518
110.08200,17.38021906
110.08250,16.15944143
110.08300,16.76983025
110.08350,15.85424702
110.08400,11.58152531
110.08450,5.172442753
110.08500,-0.3210565858
110.08550,-2.45741744
110.08600,-0.3210565858
110.08650,1.204915453
110.08700,-0.6262509935
110.08750,-1.847028624
110.08800,4.867248345
110.08850,17.68541347
110.08900,24.39969044
110.08950,19.51657991
110.09000,9.445164461
110.09050,2.120498676
110.09100,-2.152223032
110.09150,-5.204167109
110.09200,-6.730139148
110.09250,-6.119750332
110.09300,-6.119750332
110.09350,-7.645722371
110.09400,-9.782083225
110.09450,-11.30805526
110.09500,-11.91844408
110.09550,-10.69766645
110.09600,-6.42494474
110.09650,-5.814555924
110.09700,-14.97038816
110.09750,-24.43141479
