"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",131.98000,2000,22000,"uV"

"time","value"
131.98000,4.293006993
131.98050,5.818979032
131.98100,6.124173439
131.98150,7.34495107
131.98200,7.955339886
131.98250,5.818979032
131.98300,1.546257324
131.98350,-1.810881161
131.98400,-2.116075568
131.98450,-0.2849091222
131.98500,2.156646139
131.98550,4.293006993
131.98600,4.293006993
131.98650,2.156646139
131.98700,-0.5901035299
131.98750,-3.031658792
131.98800,-3.947242015
131.98850,-4.252436422
131.98900,-5.473214053
131.98950,-8.52515813
131.99000,-12.79787984
131.99050,-18.59657358
131.99100,-22.86929529
131.99150,-22.86929529
131.99200,-17.98618477
131.99250,-10.66151898
131.99300,-5.473214053
131.99350,-2.421269976
131.99400,0.9358685086
131.99450,7.650145478
131.99500,15.28000567
131.99550,18.94233856
131.99600,16.80597771
131.99650,12.22806159
131.99700,8.870923109
131.99750,8.565728701
131.99800,10.09170074
131.99850,12.22806159
131.99900,13.75403363
131.99950,13.14364482
132.00000,9.786506332
132.00050,5.208590216
132.00100,1.546257324
132.00150,0.02028528547
132.00200,-0.5901035299
132.00250,0.02028528547
132.00300,0.9358685086
132.00350,0.3254796932
132.00400,-3.336853199
132.00450,-8.219963722
132.00500,-9.745935761
132.00550,-6.388797276
132.00600,-2.116075568
132.00650,0.02028528547
132.00700,0.02028528547
132.00750,-0.8952979376
132.00800,-0.8952979376
132.00850,-0.8952979376
132.00900,-0.8952979376
132.00950,0.02028528547
132.01000,2.767034955
132.01050,6.124173439
132.01100,6.429367847
132.01150,1.546257324
132.01200,-8.52515813
132.01250,-20.12254562
132.01300,-30.19396108
132.01350,-37.82382127
132.01400,-44.53809824
132.01450,-48.81081995
132.01500,-49.11601435
132.01550,-43.92770942
132.01600,-34.46668278
132.01650,-24.39526733
132.01700,-17.37579595
132.01750,-10.66151898
132.01800,2.156646139
132.01850,24.74103231
132.01900,49.76697374
132.01950,65.94227735
132.02000,68.99422143
132.02050,65.33188853
132.02100,61.66955564
132.02150,58.00722275
132.02200,50.07216815
132.02250,38.16958625
132.02300,26.57219876
132.02350,18.02675534
132.02400,11.61767278
132.02450,5.513784624
132.02500,-0.5901035299
132.02550,-5.168019645
132.02600,-7.914769315
132.02650,-9.440741353
132.02700,-10.35632458
132.02750,-10.05113017
132.02800,-8.219963722
132.02850,-6.999186092
132.02900,-7.304380499
132.02950,-6.693991684
132.03000,-2.421269976
132.03050,2.156646139
132.03100,2.461840547
132.03150,-1.505686753
132.03200,-3.336853199
132.03250,0.6306741009
132.03300,5.818979032
132.03350,6.124173439
132.03400,0.6306741009
132.03450,-5.168019645
132.03500,-8.52515813
132.03550,-8.52515813
132.03600,-6.083602869
132.03650,-3.642047607
132.03700,-3.947242015
132.03750,-6.388797276
132.03800,-6.388797276
132.03850,-2.421269976
132.03900,0.02028528547
132.03950,-3.336853199
132.04000,-10.05113017
132.04050,-13.40826865
132.04100,-12.18749102
132.04150,-10.35632458
132.04200,-9.440741353
132.04250,-8.219963722
132.04300,-7.304380499
132.04350,-8.52515813
132.04400,-11.2719078
132.04450,-10.96671339
132.04500,-8.219963722
132.04550,-6.083602869
132.04600,-7.304380499
132.04650,-8.830352538
132.04700,-8.219963722
132.04750,-6.388797276
132.04800,-6.083602869
132.04850,-6.693991684
132.04900,-6.693991684
132.04950,-5.778408461
132.05000,-5.168019645
132.05050,-4.252436422
132.05100,-2.421269976
132.05150,0.02028528547
132.05200,0.6306741009
132.05250,0.02028528547
132.05300,-0.8952979376
132.05350,-1.505686753
132.05400,-2.116075568
132.05450,-3.031658792
132.05500,-3.031658792
132.05550,-1.200492345
132.05600,0.9358685086
132.05650,2.461840547
132.05700,3.072229362
132.05750,2.767034955
132.05800,2.156646139
132.05850,1.851451732
132.05900,1.546257324
132.05950,0.3254796932
132.06000,-1.505686753
132.06050,-3.947242015
132.06100,-5.473214053
132.06150,-5.473214053
132.06200,-6.388797276
132.06250,-8.52515813
132.06300,-10.66151898
132.06350,-12.49268543
132.06400,-14.32385188
132.06450,-14.62904628
132.06500,-10.96671339
132.06550,-3.947242015
132.06600,2.156646139
132.06650,5.208590216
132.06700,6.734562255
132.06750,8.870923109
132.06800,10.09170074
132.06850,7.650145478
132.06900,1.546257324
132.06950,-3.336853199
132.07000,-4.862825238
132.07050,-3.642047607
132.07100,-1.810881161
132.07150,0.02028528547
132.07200,1.241062916
132.07250,3.37742377
132.07300,5.208590216
132.07350,5.208590216
132.07400,3.682618178
132.07450,3.072229362
132.07500,5.208590216
132.07550,9.176117517
132.07600,11.92286719
132.07650,11.00728396
132.07700,7.955339886
132.07750,6.429367847
132.07800,8.260534293
132.07850,11.61767278
132.07900,12.83845041
132.07950,9.786506332
132.08000,5.513784624
132.08050,3.987812586
132.08100,5.818979032
132.08150,5.818979032
132.08200,1.546257324
132.08250,-1.810881161
132.08300,-1.200492345
132.08350,1.241062916
132.08400,1.851451732
132.08450,0.6306741009
132.08500,0.02028528547
132.08550,-0.5901035299
132.08600,-4.252436422
132.08650,-6.999186092
132.08700,-3.642047607
132.08750,3.37742377
132.08800,7.34495107
132.08850,7.34495107
132.08900,8.870923109
132.08950,14.05922804
132.09000,17.72156093
132.09050,15.89039449
132.09100,12.533256
132.09150,11.61767278
132.09200,11.00728396
132.09250,7.34495107
132.09300,1.546257324
132.09350,-2.116075568
132.09400,-2.421269976
132.09450,-2.116075568
132.09500,-2.116075568
132.09550,-1.810881161
132.09600,0.02028528547
132.09650,3.682618178
132.09700,8.260534293
132.09750,11.61767278
132.09800,11.61767278
132.09850,7.955339886
132.09900,3.37742377
132.09950,2.156646139
132.10000,3.987812586
132.10050,5.208590216
132.10100,3.37742377
132.10150,1.546257324
132.10200,1.851451732
132.10250,3.987812586
132.10300,3.682618178
132.10350,0.6306741009
132.10400,-1.810881161
132.10450,-2.726464384
132.10500,-4.252436422
132.10550,-7.914769315
132.10600,-11.57710221
132.10650,-14.32385188
132.10700,-17.98618477
132.10750,-24.39526733
132.10800,-29.27837785
132.10850,-28.05760022
132.10900,-23.1744897
132.10950,-19.81735122
132.11000,-18.29137918
132.11050,-13.40826865
132.11100,-6.083602869
132.11150,-0.8952979376
132.11200,0.02028528547
132.11250,2.461840547
132.11300,9.786506332
132.11350,18.33194975
132.11400,23.21506027
132.11450,25.04622672
132.11500,26.57219876
132.11550,27.79297639
132.11600,24.74103231
132.11650,16.19558889
132.11700,3.682618178
132.11750,-10.96671339
132.11800,-25.61604496
132.11850,-35.0770716
132.11900,-37.51862686
132.11950,-35.38226601
132.12000,-31.71993312
132.12050,-27.142017
132.12100,-19.81735122
132.12150,-12.79787984
132.12200,-9.135546946
132.12250,-7.304380499
132.12300,1.546257324
132.12350,21.68908823
132.12400,45.18905763
132.12450,60.1435836
132.12500,61.66955564
132.12550,54.95527867
132.12600,46.10464085
132.12650,36.03322539
132.12700,24.4358379
132.12750,14.97481126
132.12800,11.61767278
132.12850,12.533256
132.12900,11.61767278
132.12950,5.208590216
132.13000,-3.031658792
132.13050,-7.914769315
132.13100,-7.609574907
132.13150,-5.778408461
132.13200,-5.473214053
132.13250,-5.778408461
132.13300,-4.55763083
132.13350,-1.810881161
132.13400,0.02028528547
132.13450,0.6306741009
132.13500,0.3254796932
132.13550,-1.810881161
132.13600,-6.693991684
132.13650,-10.66151898
132.13700,-9.745935761
132.13750,-5.778408461
132.13800,-6.083602869
132.13850,-12.49268543
132.13900,-16.46021273
132.13950,-11.2719078
132.14000,-2.421269976
132.14050,-0.5901035299
132.14100,-7.609574907
132.14150,-14.01865747
132.14200,-14.01865747
132.14250,-11.88229661
132.14300,-13.71346306
132.14350,-18.29137918
132.14400,-19.81735122
132.14450,-17.07060155
132.14500,-12.49268543
132.14550,-8.830352538
132.14600,-6.083602869
132.14650,-4.252436422
132.14700,-3.336853199
132.14750,-3.031658792
132.14800,-2.421269976
132.14850,-1.810881161
132.14900,-2.421269976
132.14950,-3.031658792
132.15000,-2.421269976
132.15050,-0.5901035299
132.15100,0.02028528547
132.15150,0.02028528547
132.15200,-1.505686753
132.15250,-3.336853199
132.15300,-5.168019645
132.15350,-5.473214053
132.15400,-4.252436422
132.15450,-4.252436422
132.15500,-7.304380499
132.15550,-10.35632458
132.15600,-9.135546946
132.15650,-3.642047607
132.15700,0.6306741009
132.15750,1.241062916
132.15800,0.9358685086
132.15850,2.461840547
132.15900,4.903395809
132.15950,5.208590216
132.16000,3.682618178
132.16050,2.767034955
132.16100,3.682618178
132.16150,4.903395809
132.16200,4.598201401
132.16250,3.37742377
132.16300,1.546257324
