"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",76.98000,2000,22000,"uV"

"time","value"
76.98000,21.85899656
76.98050,14.22913637
76.98100,-6.218888945
76.98150,-17.51108203
76.98200,-15.98510999
76.98250,-12.3227771
76.98300,-8.050055392
76.98350,-0.1150007913
76.98400,2.631748878
76.98450,-6.524083353
76.98500,-12.93316591
76.98550,3.242137693
76.98600,31.93041202
76.98650,39.86546662
76.98700,18.50185808
76.98750,-5.303305722
76.98800,-10.18641625
76.98850,-3.777333684
76.98900,-1.946167238
76.98950,-4.387722499
76.99000,-2.556556053
76.99050,0.1901936164
76.99100,-1.335778422
76.99150,-5.303305722
76.99200,-4.692916907
76.99250,-0.1150007913
76.99300,3.547332101
76.99350,5.988887363
76.99400,7.820053809
76.99450,8.125248217
76.99500,5.683692955
76.99550,3.547332101
76.99600,3.547332101
76.99650,2.631748878
76.99700,-0.1150007913
76.99750,-2.556556053
76.99800,-1.946167238
76.99850,-0.7253896067
76.99900,-1.64097283
76.99950,-3.166944868
77.00000,-2.251361645
77.00050,1.410971247
77.00100,5.07330414
77.00150,8.125248217
77.00200,10.87199789
77.00250,14.83952519
77.00300,18.80705249
77.00350,19.4174413
77.00400,14.83952519
77.00450,6.904470586
77.00500,-0.1150007913
77.00550,-4.082528091
77.00600,-8.965638615
77.00650,-17.20588762
77.00700,-27.27730308
77.00750,-33.07599682
77.00800,-31.55002478
77.00850,-23.92016459
77.00900,-16.2903044
77.00950,-12.93316591
77.01000,-10.79680506
77.01050,-5.913694538
77.01100,0.4953880241
77.01150,2.32655447
77.01200,-0.1150007913
77.01250,0.1901936164
77.01300,5.988887363
77.01350,6.599276178
77.01400,-4.692916907
77.01450,-19.34224848
77.01500,-24.53055341
77.01550,-22.39419255
77.01600,-24.53055341
77.01650,-32.1604136
77.01700,-37.04352412
77.01750,-37.34871853
77.01800,-39.79027379
77.01850,-44.0629955
77.01900,-35.51755208
77.01950,-1.64097283
77.02000,52.37843733
77.02050,103.6510978
77.02100,126.235484
77.02150,107.6186251
77.02200,59.70310312
77.02250,8.430442624
77.02300,-25.14094222
77.02350,-37.95910735
77.02400,-39.79027379
77.02450,-44.36818991
77.02500,-59.01752148
77.02550,-77.63438035
77.02600,-83.43307409
77.02650,-68.78374252
77.02700,-49.55649484
77.02750,-43.75780109
77.02800,-40.0954682
77.02850,-4.998111315
77.02900,69.16412976
77.02950,143.3263708
77.03000,173.5406172
77.03050,157.3653136
77.03100,123.4887343
77.03150,90.22254389
77.03200,59.39790871
77.03250,34.67716169
77.03300,24.91094064
77.03350,24.60574623
77.03400,16.97588604
77.03450,-1.335778422
77.03500,-15.37472118
