"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",87.98000,2000,22000,"uV"

"time","value"
87.98000,-6.379798541
87.98050,-7.905770579
87.98100,-7.600576171
87.98150,-6.990187356
87.98200,-6.074604133
87.98250,-4.243437687
87.98300,-1.19149361
87.98350,0.6396728365
87.98400,0.9448672442
87.98450,0.9448672442
87.98500,2.77603369
87.98550,5.52278336
87.98600,6.743560991
87.98650,5.827977767
87.98700,3.996811321
87.98750,3.386422506
87.98800,3.081228098
87.98850,2.470839283
87.98900,1.860450467
87.98950,1.55525606
87.99000,1.55525606
87.99050,1.860450467
87.99100,1.860450467
87.99150,1.860450467
87.99200,1.860450467
87.99250,1.55525606
87.99300,0.6396728365
87.99350,0.3344784288
87.99400,0.3344784288
87.99450,0.02928402113
87.99500,-1.19149361
87.99550,-3.327854464
87.99600,-4.548632094
87.99650,-5.15902091
87.99700,-4.853826502
87.99750,-4.548632094
87.99800,-4.853826502
87.99850,-5.15902091
87.99900,-5.464215317
87.99950,-5.15902091
88.00000,-4.548632094
88.00050,-2.717465648
88.00100,-1.19149361
88.00150,0.02928402113
88.00200,1.250061652
88.00250,3.081228098
88.00300,3.996811321
88.00350,2.77603369
88.00400,0.02928402113
88.00450,-1.496688017
88.00500,-0.2759103866
88.00550,1.55525606
88.00600,2.470839283
88.00650,1.860450467
88.00700,1.860450467
88.00750,2.470839283
88.00800,3.386422506
88.00850,3.386422506
88.00900,3.691616914
88.00950,4.302005729
88.01000,4.607200137
88.01050,3.996811321
88.01100,3.386422506
88.01150,3.386422506
88.01200,3.386422506
88.01250,3.386422506
88.01300,3.691616914
88.01350,3.996811321
88.01400,3.691616914
88.01450,2.77603369
88.01500,1.250061652
88.01550,-0.5811047943
88.01600,-3.633048871
88.01650,-5.769409725
88.01700,-5.464215317
88.01750,-3.938243279
88.01800,-3.022660056
88.01850,-2.717465648
88.01900,-1.801882425
88.01950,-0.886299202
88.02000,-1.496688017
88.02050,-4.243437687
88.02100,-6.379798541
88.02150,-6.379798541
88.02200,-5.15902091
88.02250,-4.853826502
88.02300,-4.853826502
88.02350,-3.938243279
88.02400,-2.107076833
88.02450,-0.5811047943
88.02500,0.02928402113
88.02550,0.3344784288
88.02600,0.6396728365
88.02650,1.860450467
88.02700,3.996811321
88.02750,4.912394544
88.02800,2.77603369
88.02850,-0.5811047943
88.02900,-1.496688017
88.02950,2.470839283
88.03000,7.353949806
88.03050,9.49031066
88.03100,9.185116252
88.03150,9.185116252
88.03200,8.269533029
88.03250,4.912394544
88.03300,0.3344784288
88.03350,-0.5811047943
88.03400,1.55525606
88.03450,3.081228098
88.03500,0.02928402113
88.03550,-4.548632094
88.03600,-6.990187356
88.03650,-5.769409725
88.03700,-3.327854464
88.03750,-1.801882425
88.03800,-2.41227124
88.03850,-5.15902091
88.03900,-7.295381764
88.03950,-7.295381764
88.04000,-4.853826502
88.04050,-3.327854464
88.04100,-3.938243279
88.04150,-5.464215317
88.04200,-4.853826502
88.04250,-2.41227124
88.04300,0.3344784288
88.04350,2.77603369
88.04400,3.386422506
88.04450,1.860450467
88.04500,-0.2759103866
88.04550,-1.19149361
88.04600,0.02928402113
88.04650,2.165644875
88.04700,3.996811321
88.04750,4.912394544
88.04800,5.827977767
88.04850,6.133172175
88.04900,5.52278336
88.04950,4.607200137
88.05000,3.691616914
88.05050,3.386422506
88.05100,2.77603369
88.05150,2.470839283
88.05200,1.860450467
88.05250,0.02928402113
88.05300,-2.107076833
88.05350,-3.633048871
88.05400,-3.022660056
88.05450,-3.022660056
88.05500,-4.853826502
88.05550,-7.295381764
88.05600,-7.905770579
88.05650,-6.990187356
88.05700,-5.769409725
88.05750,-3.938243279
88.05800,-1.496688017
88.05850,0.02928402113
88.05900,-0.5811047943
88.05950,-1.801882425
88.06000,-1.19149361
88.06050,0.3344784288
88.06100,1.250061652
88.06150,0.9448672442
88.06200,1.55525606
88.06250,2.470839283
88.06300,2.470839283
88.06350,1.860450467
88.06400,1.860450467
88.06450,3.386422506
88.06500,4.912394544
88.06550,6.133172175
88.06600,7.048755398
88.06650,7.659144214
88.06700,7.353949806
88.06750,6.438366583
88.06800,6.133172175
88.06850,6.133172175
88.06900,5.827977767
88.06950,4.912394544
88.07000,3.996811321
88.07050,3.081228098
88.07100,1.860450467
88.07150,0.02928402113
88.07200,-0.886299202
88.07250,-2.107076833
88.07300,-3.938243279
88.07350,-5.769409725
88.07400,-6.684992948
88.07450,-6.990187356
88.07500,-7.600576171
88.07550,-8.821353802
88.07600,-9.736937025
88.07650,-9.431742618
88.07700,-9.12654821
88.07750,-9.431742618
88.07800,-10.04213143
88.07850,-8.516159395
88.07900,-3.938243279
88.07950,2.77603369
88.08000,9.49031066
88.08050,13.76303237
88.08100,14.67861559
88.08150,13.76303237
88.08200,11.93186592
88.08250,9.185116252
88.08300,6.438366583
88.08350,4.607200137
88.08400,3.081228098
88.08450,1.55525606
88.08500,0.02928402113
88.08550,0.02928402113
88.08600,2.165644875
88.08650,4.302005729
88.08700,4.912394544
88.08750,3.691616914
88.08800,3.386422506
88.08850,5.52278336
88.08900,7.353949806
88.08950,5.52278336
88.09000,1.55525606
88.09050,-0.2759103866
88.09100,0.02928402113
88.09150,0.02928402113
88.09200,-2.41227124
88.09250,-4.853826502
88.09300,-4.243437687
88.09350,-2.107076833
88.09400,-2.717465648
88.09450,-6.684992948
88.09500,-9.12654821
88.09550,-9.12654821
88.09600,-7.905770579
88.09650,-6.990187356
88.09700,-5.769409725
88.09750,-3.633048871
88.09800,-1.801882425
88.09850,-0.5811047943
88.09900,0.02928402113
88.09950,-0.5811047943
88.10000,-3.633048871
88.10050,-6.990187356
88.10100,-7.600576171
88.10150,-5.15902091
88.10200,-2.717465648
88.10250,-1.496688017
88.10300,0.02928402113
88.10350,2.165644875
88.10400,1.860450467
88.10450,-1.19149361
88.10500,-4.243437687
88.10550,-3.938243279
88.10600,-1.19149361
88.10650,0.3344784288
88.10700,0.3344784288
88.10750,-0.2759103866
88.10800,-0.886299202
88.10850,-1.19149361
88.10900,-0.5811047943
88.10950,0.6396728365
88.11000,1.250061652
88.11050,0.3344784288
88.11100,-1.19149361
88.11150,-1.801882425
88.11200,-0.2759103866
88.11250,2.77603369
88.11300,5.52278336
88.11350,6.438366583
88.11400,5.52278336
88.11450,3.996811321
88.11500,3.081228098
88.11550,1.860450467
88.11600,0.3344784288
88.11650,0.02928402113
88.11700,0.9448672442
88.11750,1.860450467
88.11800,0.02928402113
88.11850,-3.633048871
88.11900,-6.379798541
88.11950,-8.210964987
88.12000,-11.26290906
88.12050,-15.23043636
88.12100,-16.45121399
88.12150,-13.70446433
88.12200,-9.431742618
88.12250,-7.295381764
88.12300,-6.684992948
88.12350,-5.769409725
88.12400,-4.243437687
88.12450,-2.41227124
88.12500,0.02928402113
