"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",384.98000,2000,22000,"uV"

"time","value"
384.98000,6.438366583
384.98050,9.185116252
384.98100,10.10069948
384.98150,8.879921844
384.98200,7.353949806
384.98250,6.438366583
384.98300,5.827977767
384.98350,4.912394544
384.98400,4.302005729
384.98450,3.691616914
384.98500,2.77603369
384.98550,1.250061652
384.98600,0.02928402113
384.98650,-1.19149361
384.98700,-2.41227124
384.98750,-3.022660056
384.98800,-2.41227124
384.98850,-1.19149361
384.98900,-1.19149361
384.98950,-1.496688017
384.99000,-1.801882425
384.99050,-1.801882425
384.99100,-3.022660056
384.99150,-4.853826502
384.99200,-5.15902091
384.99250,-3.633048871
384.99300,-2.41227124
384.99350,-3.327854464
384.99400,-4.548632094
384.99450,-3.633048871
384.99500,-1.801882425
384.99550,-1.496688017
384.99600,-3.327854464
384.99650,-3.938243279
384.99700,-1.801882425
384.99750,1.860450467
384.99800,4.607200137
384.99850,4.912394544
384.99900,4.607200137
384.99950,4.912394544
385.00000,5.52278336
385.00050,5.217588952
385.00100,4.607200137
385.00150,4.302005729
385.00200,4.302005729
385.00250,3.691616914
385.00300,3.081228098
385.00350,3.081228098
385.00400,3.691616914
385.00450,3.386422506
385.00500,1.250061652
385.00550,-2.107076833
385.00600,-4.853826502
385.00650,-4.243437687
385.00700,-0.886299202
385.00750,1.860450467
385.00800,1.860450467
385.00850,-0.2759103866
385.00900,-2.41227124
385.00950,-3.022660056
385.01000,-2.717465648
385.01050,-2.717465648
385.01100,-2.107076833
385.01150,-0.886299202
385.01200,-0.2759103866
385.01250,-1.496688017
385.01300,-3.938243279
385.01350,-4.853826502
385.01400,-3.938243279
385.01450,-2.717465648
385.01500,-2.717465648
385.01550,-3.022660056
385.01600,-2.41227124
385.01650,-0.886299202
385.01700,0.02928402113
385.01750,0.3344784288
385.01800,0.02928402113
385.01850,0.02928402113
385.01900,0.02928402113
385.01950,1.250061652
385.02000,2.470839283
385.02050,3.081228098
385.02100,3.081228098
385.02150,3.691616914
385.02200,4.302005729
385.02250,4.302005729
385.02300,3.386422506
385.02350,2.470839283
385.02400,2.165644875
385.02450,2.77603369
385.02500,3.386422506
385.02550,3.081228098
385.02600,1.860450467
385.02650,0.02928402113
385.02700,-0.886299202
385.02750,-1.496688017
385.02800,-2.41227124
385.02850,-4.548632094
385.02900,-7.295381764
385.02950,-8.210964987
385.03000,-6.684992948
385.03050,-5.769409725
385.03100,-5.769409725
385.03150,-5.464215317
385.03200,-3.022660056
385.03250,-0.5811047943
385.03300,-0.5811047943
385.03350,-2.107076833
385.03400,-2.107076833
385.03450,-0.2759103866
385.03500,0.02928402113
385.03550,-0.886299202
385.03600,-0.5811047943
385.03650,0.9448672442
385.03700,0.9448672442
385.03750,-1.19149361
385.03800,-2.717465648
385.03850,0.02928402113
385.03900,5.217588952
385.03950,7.659144214
385.04000,6.438366583
385.04050,4.607200137
385.04100,5.217588952
385.04150,6.438366583
385.04200,7.353949806
385.04250,7.048755398
385.04300,6.133172175
385.04350,3.996811321
385.04400,1.55525606
385.04450,0.02928402113
385.04500,-0.5811047943
385.04550,-0.5811047943
385.04600,0.02928402113
385.04650,0.3344784288
385.04700,0.9448672442
385.04750,0.02928402113
385.04800,-1.801882425
385.04850,-3.633048871
385.04900,-3.633048871
385.04950,-2.107076833
385.05000,-1.19149361
385.05050,-2.41227124
385.05100,-5.15902091
385.05150,-6.990187356
385.05200,-7.600576171
385.05250,-7.905770579
385.05300,-8.821353802
385.05350,-9.736937025
385.05400,-8.516159395
385.05450,-5.464215317
385.05500,-3.022660056
385.05550,-1.496688017
385.05600,-0.2759103866
385.05650,1.55525606
385.05700,3.386422506
385.05750,2.77603369
385.05800,0.3344784288
385.05850,-0.5811047943
385.05900,0.3344784288
385.05950,2.77603369
385.06000,3.691616914
385.06050,3.691616914
385.06100,5.217588952
385.06150,9.49031066
385.06200,13.15264355
385.06250,12.84744914
385.06300,8.269533029
385.06350,4.302005729
385.06400,2.470839283
385.06450,2.470839283
385.06500,2.165644875
385.06550,2.470839283
385.06600,3.996811321
385.06650,5.217588952
385.06700,3.996811321
385.06750,1.860450467
385.06800,0.9448672442
385.06850,0.9448672442
385.06900,0.3344784288
385.06950,-2.107076833
385.07000,-4.243437687
385.07050,-5.15902091
385.07100,-5.464215317
385.07150,-6.074604133
385.07200,-5.769409725
385.07250,-3.938243279
385.07300,-0.886299202
385.07350,0.6396728365
385.07400,0.9448672442
385.07450,0.3344784288
385.07500,-0.5811047943
385.07550,-1.496688017
385.07600,-2.107076833
385.07650,-1.19149361
385.07700,0.02928402113
385.07750,1.250061652
385.07800,2.470839283
385.07850,3.691616914
385.07900,4.607200137
385.07950,4.912394544
385.08000,4.607200137
385.08050,3.691616914
385.08100,2.77603369
385.08150,2.165644875
385.08200,2.77603369
385.08250,4.302005729
385.08300,5.217588952
385.08350,3.996811321
385.08400,1.860450467
385.08450,1.250061652
385.08500,2.470839283
385.08550,3.386422506
385.08600,1.55525606
385.08650,-1.19149361
385.08700,-3.022660056
385.08750,-2.717465648
385.08800,-1.801882425
385.08850,-2.107076833
385.08900,-3.327854464
385.08950,-4.548632094
385.09000,-4.243437687
385.09050,-3.938243279
385.09100,-4.243437687
385.09150,-5.769409725
385.09200,-6.990187356
385.09250,-7.295381764
385.09300,-6.379798541
385.09350,-5.464215317
385.09400,-5.15902091
385.09450,-5.15902091
385.09500,-4.548632094
385.09550,-3.327854464
385.09600,-2.41227124
385.09650,-2.107076833
385.09700,-2.107076833
385.09750,-0.5811047943
385.09800,1.55525606
385.09850,3.996811321
385.09900,4.607200137
385.09950,4.302005729
385.10000,3.386422506
385.10050,3.081228098
385.10100,3.996811321
385.10150,5.217588952
385.10200,6.133172175
385.10250,5.827977767
385.10300,4.912394544
385.10350,3.386422506
385.10400,2.165644875
385.10450,1.55525606
385.10500,1.55525606
385.10550,1.860450467
385.10600,2.470839283
385.10650,2.470839283
385.10700,2.165644875
385.10750,1.860450467
385.10800,0.9448672442
385.10850,-0.5811047943
385.10900,-2.717465648
385.10950,-4.243437687
385.11000,-4.853826502
385.11050,-5.769409725
385.11100,-6.379798541
385.11150,-5.769409725
385.11200,-4.243437687
385.11250,-3.327854464
385.11300,-4.548632094
385.11350,-6.074604133
385.11400,-5.464215317
385.11450,-2.717465648
385.11500,-0.886299202
385.11550,-0.2759103866
385.11600,-0.2759103866
385.11650,0.02928402113
385.11700,-0.2759103866
385.11750,0.02928402113
385.11800,1.250061652
385.11850,3.691616914
385.11900,5.217588952
385.11950,5.217588952
385.12000,4.912394544
385.12050,4.912394544
385.12100,4.302005729
385.12150,3.081228098
385.12200,2.77603369
385.12250,3.996811321
385.12300,5.827977767
385.12350,5.827977767
385.12400,4.302005729
385.12450,2.77603369
385.12500,1.55525606
385.12550,0.6396728365
385.12600,-0.886299202
385.12650,-2.717465648
385.12700,-3.938243279
385.12750,-4.243437687
385.12800,-3.938243279
385.12850,-4.243437687
385.12900,-5.769409725
385.12950,-7.295381764
385.13000,-7.600576171
385.13050,-6.379798541
385.13100,-6.074604133
385.13150,-9.12654821
385.13200,-13.09407551
385.13250,-13.39926992
385.13300,-8.210964987
385.13350,-1.801882425
385.13400,0.02928402113
385.13450,-2.41227124
385.13500,-5.15902091
385.13550,-3.633048871
385.13600,0.3344784288
385.13650,3.081228098
385.13700,3.996811321
385.13750,4.302005729
385.13800,5.217588952
385.13850,5.52278336
385.13900,5.217588952
385.13950,5.52278336
385.14000,6.133172175
385.14050,6.743560991
385.14100,6.743560991
385.14150,6.743560991
385.14200,7.659144214
385.14250,7.964338621
385.14300,6.743560991
385.14350,5.217588952
385.14400,3.996811321
385.14450,3.691616914
385.14500,2.470839283
385.14550,1.55525606
385.14600,0.9448672442
385.14650,0.9448672442
385.14700,0.9448672442
385.14750,0.6396728365
385.14800,0.02928402113
385.14850,-0.886299202
385.14900,-2.717465648
385.14950,-4.853826502
385.15000,-5.769409725
385.15050,-5.769409725
385.15100,-5.769409725
385.15150,-6.684992948
385.15200,-7.295381764
385.15250,-6.379798541
385.15300,-3.633048871
385.15350,-0.5811047943
385.15400,0.3344784288
385.15450,0.3344784288
385.15500,0.02928402113
385.15550,0.3344784288
385.15600,0.6396728365
385.15650,1.250061652
385.15700,2.165644875
385.15750,3.996811321
385.15800,4.912394544
385.15850,4.912394544
385.15900,4.607200137
385.15950,4.912394544
385.16000,4.607200137
385.16050,3.386422506
385.16100,3.386422506
385.16150,5.217588952
385.16200,6.133172175
385.16250,4.607200137
385.16300,2.77603369
385.16350,3.081228098
385.16400,4.607200137
385.16450,4.302005729
385.16500,1.55525606
385.16550,0.02928402113
385.16600,0.6396728365
385.16650,1.860450467
385.16700,1.55525606
385.16750,0.9448672442
385.16800,0.6396728365
385.16850,0.02928402113
385.16900,-1.801882425
385.16950,-3.327854464
385.17000,-3.938243279
385.17050,-3.633048871
385.17100,-3.327854464
385.17150,-3.022660056
385.17200,-3.022660056
385.17250,-4.243437687
385.17300,-5.464215317
385.17350,-4.548632094
385.17400,-2.717465648
385.17450,-1.801882425
385.17500,-2.717465648
385.17550,-3.327854464
385.17600,-2.41227124
385.17650,-1.496688017
385.17700,-1.801882425
385.17750,-1.801882425
385.17800,-0.2759103866
385.17850,0.9448672442
385.17900,1.250061652
385.17950,1.250061652
385.18000,2.165644875
385.18050,3.691616914
385.18100,4.607200137
385.18150,4.607200137
385.18200,4.302005729
385.18250,3.691616914
385.18300,3.996811321
385.18350,4.912394544
385.18400,6.133172175
385.18450,5.827977767
385.18500,4.302005729
385.18550,3.386422506
385.18600,2.77603369
385.18650,1.55525606
385.18700,0.02928402113
385.18750,-0.5811047943
385.18800,-0.2759103866
385.18850,-1.19149361
385.18900,-3.633048871
385.18950,-5.769409725
385.19000,-5.769409725
385.19050,-5.15902091
385.19100,-5.769409725
385.19150,-6.379798541
385.19200,-5.769409725
385.19250,-4.243437687
385.19300,-3.022660056
385.19350,-3.022660056
385.19400,-3.938243279
385.19450,-5.15902091
385.19500,-6.379798541
385.19550,-6.379798541
385.19600,-4.853826502
385.19650,-2.41227124
385.19700,0.3344784288
385.19750,1.860450467
385.19800,1.55525606
385.19850,0.3344784288
385.19900,0.02928402113
385.19950,0.02928402113
385.20000,0.6396728365
385.20050,0.9448672442
385.20100,1.250061652
385.20150,0.3344784288
385.20200,-0.886299202
385.20250,-1.496688017
385.20300,-0.5811047943
385.20350,0.02928402113
385.20400,-0.5811047943
385.20450,-1.496688017
385.20500,0.02928402113
385.20550,2.470839283
385.20600,3.081228098
385.20650,1.55525606
385.20700,2.165644875
385.20750,5.827977767
385.20800,8.574727437
385.20850,6.133172175
385.20900,1.250061652
385.20950,-1.801882425
385.21000,-2.717465648
385.21050,-3.327854464
385.21100,-4.548632094
385.21150,-5.464215317
385.21200,-4.853826502
385.21250,-3.327854464
385.21300,-1.801882425
385.21350,-0.2759103866
385.21400,0.02928402113
385.21450,-0.886299202
385.21500,-2.717465648
385.21550,-3.022660056
385.21600,-2.107076833
385.21650,-1.801882425
385.21700,-2.41227124
385.21750,-3.327854464
385.21800,-3.022660056
385.21850,-1.19149361
385.21900,0.6396728365
385.21950,1.860450467
385.22000,1.860450467
385.22050,1.55525606
385.22100,2.165644875
385.22150,4.302005729
385.22200,6.438366583
385.22250,7.659144214
385.22300,7.353949806
385.22350,5.52278336
