"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",406.98000,2000,22000,"uV"

"time","value"
406.98000,-1.335778422
406.98050,0.1901936164
406.98100,2.021360063
406.98150,5.07330414
406.98200,7.514859401
406.98250,6.904470586
406.98300,2.936943286
406.98350,-0.420195199
406.98400,-1.64097283
406.98450,-0.7253896067
406.98500,0.4953880241
406.98550,1.410971247
406.98600,1.410971247
406.98650,1.105776839
406.98700,0.8005824318
406.98750,0.1901936164
406.98800,-0.1150007913
406.98850,0.1901936164
406.98900,1.410971247
406.98950,2.32655447
406.99000,1.410971247
406.99050,0.4953880241
406.99100,2.32655447
406.99150,6.904470586
406.99200,9.956414663
406.99250,9.346025847
406.99300,7.514859401
406.99350,6.29408177
406.99400,5.378498547
406.99450,3.852526509
406.99500,3.852526509
406.99550,5.07330414
406.99600,2.021360063
406.99650,-5.60850013
406.99700,-10.79680506
406.99750,-4.998111315
406.99800,6.29408177
406.99850,10.56680348
406.99900,5.683692955
406.99950,1.105776839
407.00000,3.242137693
407.00050,7.820053809
407.00100,8.735637032
407.00150,7.209664994
407.00200,6.904470586
407.00250,6.599276178
407.00300,4.157720917
407.00350,0.8005824318
407.00400,0.1901936164
407.00450,1.716165655
407.00500,2.32655447
407.00550,1.716165655
407.00600,1.105776839
407.00650,0.1901936164
407.00700,-2.556556053
407.00750,-8.050055392
407.00800,-15.06952677
407.00850,-21.47860933
407.00900,-24.83574782
407.00950,-21.17341492
407.01000,-12.62797151
407.01050,-6.218888945
407.01100,-7.134472168
407.01150,-10.49161065
407.01200,-8.050055392
407.01250,-1.030584014
407.01300,3.547332101
407.01350,4.157720917
407.01400,5.988887363
407.01450,8.735637032
407.01500,6.599276178
407.01550,-2.556556053
407.01600,-11.40719388
407.01650,-12.3227771
407.01700,-8.050055392
407.01750,-6.829277761
407.01800,-9.57602743
407.01850,-10.49161065
407.01900,-7.439666576
407.01950,-3.472139276
407.02000,-2.251361645
407.02050,-3.166944868
407.02100,-3.472139276
407.02150,-2.861750461
407.02200,-1.946167238
407.02250,-1.946167238
407.02300,-3.166944868
407.02350,-4.998111315
407.02400,-6.218888945
407.02450,-6.829277761
407.02500,-6.829277761
407.02550,-6.829277761
407.02600,-7.439666576
407.02650,-7.439666576
407.02700,-6.524083353
407.02750,-1.335778422
407.02800,8.735637032
407.02850,20.63821893
407.02900,25.52132946
407.02950,20.94341334
407.03000,12.39796992
407.03050,7.209664994
407.03100,5.988887363
407.03150,5.07330414
407.03200,3.242137693
407.03250,2.32655447
407.03300,2.936943286
407.03350,2.936943286
407.03400,1.716165655
407.03450,1.410971247
407.03500,2.631748878
407.03550,3.852526509
407.03600,4.157720917
407.03650,5.07330414
407.03700,5.378498547
407.03750,3.852526509
407.03800,1.716165655
407.03850,1.410971247
407.03900,2.631748878
407.03950,2.936943286
407.04000,2.021360063
407.04050,2.32655447
407.04100,3.852526509
407.04150,4.157720917
407.04200,2.936943286
407.04250,3.242137693
407.04300,5.07330414
407.04350,5.07330414
407.04400,3.242137693
407.04450,3.242137693
407.04500,3.852526509
407.04550,2.32655447
407.04600,1.410971247
407.04650,3.547332101
407.04700,5.683692955
407.04750,2.021360063
407.04800,-1.335778422
407.04850,2.32655447
407.04900,6.599276178
407.04950,-6.218888945
407.05000,-37.95910735
407.05050,-68.17335371
407.05100,-81.29671324
407.05150,-80.07593561
407.05200,-72.14088101
407.05250,-59.62791029
407.05300,-48.64091162
407.05350,-43.14741228
407.05400,-27.58249748
407.05450,23.99535742
407.05500,102.7355146
407.05550,155.2289527
407.05600,141.19001
407.05650,84.42385014
407.05700,40.17066103
407.05750,29.48885676
407.05800,30.70963439
407.05850,23.99535742
407.05900,15.14471959
407.05950,13.31355315
407.06000,14.53433078
407.06050,11.78758111
407.06100,3.242137693
407.06150,-8.965638615
407.06200,-22.69938696
407.06250,-30.63444156
407.06300,-26.97210867
407.06350,-16.59549881
407.06400,-11.40719388
407.06450,-13.54355473
407.06500,-15.06952677
407.06550,-11.40719388
407.06600,-6.829277761
407.06650,-5.60850013
407.06700,-5.913694538
407.06750,-4.998111315
407.06800,-3.166944868
407.06850,-2.556556053
407.06900,-3.777333684
407.06950,-5.303305722
407.07000,-7.134472168
407.07050,-8.050055392
407.07100,-7.439666576
407.07150,-6.218888945
407.07200,-4.692916907
407.07250,-2.251361645
407.07300,-0.420195199
407.07350,-0.1150007913
407.07400,-0.7253896067
407.07450,-0.7253896067
407.07500,-0.1150007913
407.07550,0.4953880241
407.07600,-0.1150007913
407.07650,-0.1150007913
407.07700,0.8005824318
407.07750,1.105776839
407.07800,-0.420195199
407.07850,-1.946167238
407.07900,-1.64097283
407.07950,-0.420195199
407.08000,-0.420195199
407.08050,-1.030584014
407.08100,-0.420195199
407.08150,0.4953880241
407.08200,0.4953880241
407.08250,-0.1150007913
407.08300,-0.1150007913
407.08350,-0.1150007913
407.08400,-1.64097283
407.08450,-3.472139276
407.08500,-3.777333684
407.08550,-2.556556053
407.08600,-1.64097283
407.08650,-2.556556053
407.08700,-2.861750461
407.08750,-1.335778422
407.08800,0.1901936164
407.08850,-0.1150007913
407.08900,-1.335778422
407.08950,-1.946167238
407.09000,-1.335778422
407.09050,-1.335778422
407.09100,-2.556556053
407.09150,-3.472139276
407.09200,-3.472139276
407.09250,-3.777333684
407.09300,-3.777333684
407.09350,-3.472139276
407.09400,-3.166944868
407.09450,-3.472139276
407.09500,-4.082528091
407.09550,-3.472139276
407.09600,-2.251361645
407.09650,-2.251361645
407.09700,-3.472139276
407.09750,-4.387722499
407.09800,-4.082528091
407.09850,-3.166944868
407.09900,-2.556556053
407.09950,-1.946167238
407.10000,-1.946167238
407.10050,-2.556556053
407.10100,-2.251361645
407.10150,-1.335778422
407.10200,-0.7253896067
407.10250,-1.030584014
407.10300,-1.64097283
407.10350,-1.030584014
407.10400,-0.420195199
407.10450,-0.7253896067
407.10500,-1.335778422
407.10550,0.1901936164
407.10600,4.462915324
407.10650,8.430442624
407.10700,9.651220255
407.10750,7.820053809
407.10800,6.599276178
407.10850,7.820053809
407.10900,9.651220255
407.10950,6.904470586
407.11000,-0.420195199
407.11050,-7.744860984
407.11100,-8.965638615
407.11150,-4.692916907
407.11200,-1.946167238
407.11250,-4.387722499
407.11300,-8.660444207
407.11350,-10.18641625
407.11400,-8.050055392
407.11450,-4.387722499
407.11500,-1.64097283
407.11550,-0.420195199
407.11600,-0.1150007913
407.11650,1.105776839
407.11700,4.768109732
407.11750,7.209664994
407.11800,3.242137693
407.11850,-4.692916907
407.11900,-9.881221838
407.11950,-7.134472168
407.12000,-1.030584014
407.12050,1.716165655
407.12100,0.8005824318
407.12150,-0.1150007913
407.12200,1.105776839
407.12250,2.631748878
407.12300,2.631748878
407.12350,2.631748878
407.12400,2.936943286
407.12450,3.242137693
407.12500,3.242137693
407.12550,2.32655447
407.12600,1.105776839
407.12650,-0.1150007913
407.12700,-1.030584014
407.12750,-0.1150007913
407.12800,1.105776839
407.12850,1.410971247
407.12900,-0.1150007913
407.12950,-1.335778422
407.13000,-1.64097283
407.13050,-1.946167238
407.13100,-2.556556053
407.13150,-2.861750461
407.13200,-2.251361645
407.13250,-1.335778422
407.13300,-1.946167238
407.13350,-1.946167238
407.13400,0.1901936164
407.13450,4.768109732
407.13500,7.209664994
407.13550,6.904470586
407.13600,5.683692955
407.13650,5.683692955
407.13700,5.683692955
407.13750,4.157720917
407.13800,2.631748878
407.13850,2.32655447
407.13900,3.242137693
407.13950,3.547332101
407.14000,4.157720917
407.14050,4.768109732
407.14100,4.768109732
407.14150,2.936943286
407.14200,0.8005824318
407.14250,0.4953880241
407.14300,1.410971247
407.14350,1.105776839
407.14400,-0.1150007913
407.14450,-0.1150007913
407.14500,-0.1150007913
407.14550,0.1901936164
407.14600,-0.1150007913
407.14650,-0.1150007913
407.14700,-0.1150007913
407.14750,-0.1150007913
407.14800,-0.1150007913
407.14850,0.1901936164
407.14900,-0.1150007913
407.14950,-0.7253896067
407.15000,-1.335778422
407.15050,-0.420195199
407.15100,0.1901936164
407.15150,0.1901936164
407.15200,-1.030584014
407.15250,-1.64097283
407.15300,-0.7253896067
407.15350,0.4953880241
407.15400,0.8005824318
407.15450,2.021360063
407.15500,5.378498547
407.15550,9.04083144
407.15600,9.651220255
407.15650,6.599276178
407.15700,3.242137693
407.15750,2.631748878
407.15800,3.547332101
407.15850,4.157720917
407.15900,5.378498547
407.15950,6.904470586
407.16000,7.514859401
407.16050,5.378498547
407.16100,2.021360063
407.16150,-1.64097283
407.16200,-6.524083353
407.16250,-10.49161065
407.16300,-10.49161065
407.16350,-5.60850013
407.16400,-1.030584014
407.16450,-1.335778422
407.16500,-4.387722499
407.16550,-6.524083353
407.16600,-7.744860984
407.16650,-10.79680506
407.16700,-14.76433236
407.16750,-17.20588762
407.16800,-17.20588762
407.16850,-16.2903044
407.16900,-13.23836032
407.16950,-8.660444207
407.17000,-7.744860984
407.17050,-13.54355473
407.17100,-20.86822052
407.17150,-22.08899815
407.17200,-15.67991558
407.17250,-7.134472168
407.17300,1.716165655
407.17350,12.39796992
407.17400,21.55380216
407.17450,22.77457979
407.17500,16.36549722
407.17550,9.346025847
407.17600,7.514859401
407.17650,8.125248217
407.17700,7.209664994
407.17750,5.988887363
407.17800,5.988887363
407.17850,6.599276178
407.17900,5.683692955
407.17950,4.462915324
407.18000,3.852526509
407.18050,3.547332101
407.18100,1.716165655
407.18150,-0.1150007913
407.18200,-0.1150007913
407.18250,1.410971247
407.18300,2.32655447
407.18350,2.32655447
407.18400,2.32655447
407.18450,2.936943286
407.18500,3.547332101
407.18550,3.547332101
407.18600,3.547332101
407.18650,4.157720917
407.18700,5.07330414
407.18750,5.988887363
407.18800,5.683692955
407.18850,4.462915324
407.18900,4.157720917
407.18950,4.768109732
407.19000,5.378498547
407.19050,4.462915324
407.19100,2.936943286
407.19150,2.631748878
407.19200,2.32655447
407.19250,1.410971247
407.19300,0.4953880241
407.19350,0.4953880241
407.19400,0.8005824318
407.19450,0.8005824318
407.19500,0.4953880241
407.19550,1.105776839
407.19600,1.716165655
407.19650,1.105776839
407.19700,1.410971247
407.19750,2.32655447
407.19800,1.716165655
407.19850,-0.7253896067
407.19900,-2.861750461
407.19950,-1.946167238
407.20000,-1.335778422
407.20050,-2.556556053
407.20100,-3.472139276
407.20150,-1.946167238
407.20200,-1.335778422
407.20250,-3.166944868
407.20300,-2.556556053
407.20350,2.32655447
407.20400,3.242137693
407.20450,-6.829277761
407.20500,-21.17341492
407.20550,-28.1928863
407.20600,-27.88769189
407.20650,-28.49808071
407.20700,-31.55002478
407.20750,-33.07599682
407.20800,-33.07599682
407.20850,-30.93963597
407.20900,-14.76433236
407.20950,23.99535742
407.21000,67.63815772
