"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",406.98000,2000,22000,"uV"

"time","value"
406.98000,-0.3210565858
406.98050,-1.236639809
406.98100,-0.01586217811
406.98150,4.562053937
406.98200,8.834775645
406.98250,8.22438683
406.98300,3.646470714
406.98350,-0.3210565858
406.98400,-2.45741744
406.98450,-2.152223032
406.98500,-1.236639809
406.98550,-0.6262509935
406.98600,-1.236639809
406.98650,-2.45741744
406.98700,-3.067806255
406.98750,-2.152223032
406.98800,-1.541834217
406.98850,-1.847028624
406.98900,-2.45741744
406.98950,-1.847028624
406.99000,-1.847028624
406.99050,-2.152223032
406.99100,-1.541834217
406.99150,-0.01586217811
406.99200,-0.01586217811
406.99250,-1.847028624
406.99300,-2.762611847
406.99350,-1.541834217
406.99400,-0.3210565858
406.99450,-0.3210565858
406.99500,-0.01586217811
406.99550,-0.3210565858
406.99600,-3.067806255
406.99650,-7.035333555
406.99700,-6.42494474
406.99750,0.2893322296
406.99800,7.308803607
406.99850,7.613998014
406.99900,3.341276307
406.99950,0.5945266373
407.00000,0.2893322296
407.00050,-0.01586217811
407.00100,-0.3210565858
407.00150,0.5945266373
407.00200,1.51010986
407.00250,0.2893322296
407.00300,-1.847028624
407.00350,-1.236639809
407.00400,1.51010986
407.00450,4.562053937
407.00500,7.003609199
407.00550,9.750358868
407.00600,10.9711365
407.00650,9.445164461
407.00700,7.919192422
407.00750,7.919192422
407.00800,3.951665122
407.00850,-7.645722371
407.00900,-20.7690819
407.00950,-23.82102598
407.01000,-14.66519375
407.01050,-5.204167109
407.01100,-3.983389478
407.01150,-6.730139148
407.01200,-5.509361517
407.01250,-1.236639809
407.01300,0.5945266373
407.01350,-0.01586217811
407.01400,-0.01586217811
407.01450,3.036081899
407.01500,4.562053937
407.01550,2.120498676
407.01600,-2.152223032
407.01650,-4.593778294
407.01700,-3.983389478
407.01750,-2.152223032
407.01800,-0.9314454012
407.01850,-0.01586217811
407.01900,0.899721045
407.01950,1.815304268
407.02000,2.120498676
407.02050,1.815304268
407.02100,1.815304268
407.02150,1.204915453
407.02200,-0.3210565858
407.02250,-3.067806255
407.02300,-3.983389478
407.02350,-2.762611847
407.02400,-1.236639809
407.02450,-0.3210565858
407.02500,0.2893322296
407.02550,0.5945266373
407.02600,0.2893322296
407.02650,-0.6262509935
407.02700,-0.9314454012
407.02750,-0.01586217811
407.02800,1.204915453
407.02850,1.204915453
407.02900,1.204915453
407.02950,2.120498676
407.03000,2.730887491
407.03050,1.815304268
407.03100,0.5945266373
407.03150,0.5945266373
407.03200,1.204915453
407.03250,1.51010986
407.03300,1.51010986
407.03350,1.815304268
407.03400,3.036081899
407.03450,3.646470714
407.03500,3.341276307
407.03550,1.815304268
407.03600,0.5945266373
407.03650,1.204915453
407.03700,3.036081899
407.03750,5.172442753
407.03800,5.172442753
407.03850,3.646470714
407.03900,1.815304268
407.03950,0.899721045
407.04000,0.899721045
407.04050,1.815304268
407.04100,2.730887491
407.04150,3.036081899
407.04200,3.036081899
407.04250,2.730887491
407.04300,2.425693084
407.04350,1.204915453
407.04400,-0.01586217811
407.04450,-0.01586217811
407.04500,1.204915453
407.04550,2.425693084
407.04600,2.120498676
407.04650,2.425693084
407.04700,4.25685953
407.04750,5.782831568
407.04800,4.867248345
407.04850,4.25685953
407.04900,6.393220384
407.04950,7.308803607
407.05000,1.51010986
407.05050,-10.39247204
407.05100,-21.37947072
407.05150,-25.65219243
407.05200,-23.21063716
407.05250,-18.63272105
407.05300,-13.13922171
407.05350,-6.730139148
407.05400,1.51010986
407.05450,12.19191413
407.05500,21.34774636
407.05550,25.31527366
407.05600,21.34774636
407.05650,13.10749735
407.05700,6.393220384
407.05750,3.951665122
407.05800,3.951665122
407.05850,3.951665122
407.05900,3.036081899
407.05950,2.120498676
407.06000,2.425693084
407.06050,3.646470714
407.06100,3.646470714
407.06150,-0.3210565858
407.06200,-7.340527963
407.06250,-12.22363849
407.06300,-11.91844408
407.06350,-8.256111186
407.06400,-5.509361517
407.06450,-4.898972701
407.06500,-4.288583886
407.06550,-3.067806255
407.06600,-2.762611847
407.06650,-3.373000663
407.06700,-4.288583886
407.06750,-4.593778294
407.06800,-3.983389478
407.06850,-3.373000663
407.06900,-2.762611847
407.06950,-2.45741744
407.07000,-3.067806255
407.07050,-3.678195071
407.07100,-3.067806255
407.07150,-1.236639809
407.07200,-0.01586217811
407.07250,0.2893322296
407.07300,-0.01586217811
407.07350,-0.6262509935
407.07400,-0.9314454012
407.07450,-0.9314454012
407.07500,-0.6262509935
407.07550,-0.9314454012
407.07600,-0.9314454012
407.07650,-0.9314454012
407.07700,-0.01586217811
407.07750,0.899721045
407.07800,2.120498676
407.07850,2.120498676
407.07900,1.204915453
407.07950,-0.01586217811
407.08000,-0.01586217811
407.08050,0.2893322296
407.08100,0.2893322296
407.08150,-0.3210565858
407.08200,-0.6262509935
407.08250,-0.3210565858
407.08300,-0.01586217811
407.08350,-0.01586217811
407.08400,0.2893322296
407.08450,0.5945266373
407.08500,0.5945266373
407.08550,-0.01586217811
407.08600,-0.01586217811
407.08650,0.899721045
407.08700,2.120498676
407.08750,1.815304268
407.08800,0.2893322296
407.08850,0.2893322296
407.08900,1.815304268
407.08950,3.036081899
407.09000,2.425693084
407.09050,0.899721045
407.09100,-0.01586217811
407.09150,-0.01586217811
407.09200,-0.01586217811
407.09250,-0.01586217811
407.09300,-0.6262509935
407.09350,-0.6262509935
407.09400,-0.01586217811
407.09450,1.815304268
407.09500,2.120498676
407.09550,1.51010986
407.09600,1.815304268
407.09650,3.951665122
407.09700,5.172442753
407.09750,3.646470714
407.09800,1.204915453
407.09850,0.899721045
407.09900,2.120498676
407.09950,1.815304268
407.10000,-0.01586217811
407.10050,-1.847028624
407.10100,-1.541834217
407.10150,-0.3210565858
407.10200,-0.01586217811
407.10250,-0.01586217811
407.10300,-0.3210565858
407.10350,-1.847028624
407.10400,-3.373000663
407.10450,-3.067806255
407.10500,-2.152223032
407.10550,-2.152223032
407.10600,-3.983389478
407.10650,-6.119750332
407.10700,-7.950916778
407.10750,-8.561305594
407.10800,-8.561305594
407.10850,-7.035333555
407.10900,-4.288583886
407.10950,-3.067806255
407.11000,-2.152223032
407.11050,0.899721045
407.11100,7.308803607
407.11150,12.19191413
407.11200,12.80230295
407.11250,10.66594209
407.11300,8.22438683
407.11350,6.393220384
407.11400,3.951665122
407.11450,1.815304268
407.11500,1.815304268
407.11550,1.51010986
407.11600,0.2893322296
407.11650,-0.01586217811
407.11700,1.51010986
407.11750,3.036081899
407.11800,0.2893322296
407.11850,-5.204167109
407.11900,-8.561305594
407.11950,-7.645722371
407.12000,-4.593778294
407.12050,-2.762611847
407.12100,-2.152223032
407.12150,-1.847028624
407.12200,-2.152223032
407.12250,-2.762611847
407.12300,-3.067806255
407.12350,-3.067806255
407.12400,-3.067806255
407.12450,-3.067806255
407.12500,-2.762611847
407.12550,-2.152223032
407.12600,-2.152223032
407.12650,-1.847028624
407.12700,-1.236639809
407.12750,-0.3210565858
407.12800,-0.3210565858
407.12850,-1.541834217
407.12900,-2.762611847
407.12950,-2.45741744
407.13000,-1.236639809
407.13050,-0.6262509935
407.13100,-1.541834217
407.13150,-2.45741744
407.13200,-2.45741744
407.13250,-1.541834217
407.13300,-0.9314454012
407.13350,-1.541834217
407.13400,-1.541834217
407.13450,0.2893322296
407.13500,2.730887491
407.13550,3.036081899
407.13600,2.120498676
407.13650,1.51010986
407.13700,1.815304268
407.13750,1.815304268
407.13800,1.204915453
407.13850,1.204915453
407.13900,1.815304268
407.13950,1.815304268
407.14000,1.815304268
407.14050,2.120498676
407.14100,2.120498676
407.14150,1.204915453
407.14200,0.2893322296
407.14250,0.2893322296
407.14300,0.5945266373
407.14350,-0.01586217811
407.14400,-1.541834217
407.14450,-1.847028624
407.14500,-0.3210565858
407.14550,0.2893322296
407.14600,-0.01586217811
407.14650,-0.3210565858
407.14700,-0.3210565858
407.14750,-0.3210565858
407.14800,-0.6262509935
407.14850,-0.6262509935
407.14900,-0.01586217811
407.14950,-0.01586217811
407.15000,-0.6262509935
407.15050,-0.9314454012
407.15100,-0.01586217811
407.15150,1.204915453
407.15200,0.899721045
407.15250,-0.01586217811
407.15300,-0.01586217811
407.15350,-0.01586217811
407.15400,-0.9314454012
407.15450,-1.541834217
407.15500,-0.6262509935
407.15550,0.899721045
407.15600,1.51010986
407.15650,0.5945266373
407.15700,0.5945266373
407.15750,1.51010986
407.15800,1.51010986
407.15850,-0.01586217811
407.15900,-0.01586217811
407.15950,0.5945266373
407.16000,1.51010986
407.16050,-0.01586217811
407.16100,-1.541834217
407.16150,-0.9314454012
407.16200,0.2893322296
407.16250,0.5945266373
407.16300,-0.01586217811
407.16350,1.204915453
407.16400,3.036081899
407.16450,2.730887491
407.16500,1.204915453
407.16550,1.51010986
407.16600,3.646470714
407.16650,4.562053937
407.16700,2.730887491
407.16750,-0.01586217811
407.16800,-1.541834217
407.16850,-3.067806255
407.16900,-4.593778294
407.16950,-3.983389478
407.17000,-1.541834217
407.17050,-1.236639809
407.17100,-4.288583886
407.17150,-7.950916778
407.17200,-7.950916778
407.17250,-5.509361517
407.17300,-3.067806255
407.17350,-0.9314454012
407.17400,1.51010986
407.17450,3.341276307
407.17500,2.425693084
407.17550,-0.01586217811
407.17600,-0.3210565858
407.17650,0.5945266373
407.17700,1.51010986
407.17750,2.730887491
407.17800,4.25685953
407.17850,5.477637161
407.17900,4.562053937
407.17950,2.730887491
407.18000,2.730887491
407.18050,3.341276307
407.18100,2.730887491
407.18150,0.5945266373
407.18200,-0.01586217811
407.18250,0.2893322296
407.18300,0.5945266373
407.18350,-0.3210565858
407.18400,-1.236639809
407.18450,-0.3210565858
407.18500,0.899721045
407.18550,0.5945266373
407.18600,-0.3210565858
407.18650,-0.3210565858
407.18700,0.899721045
407.18750,1.815304268
407.18800,1.51010986
407.18850,1.204915453
407.18900,1.204915453
407.18950,1.204915453
407.19000,0.2893322296
407.19050,-0.3210565858
407.19100,-0.01586217811
407.19150,0.899721045
407.19200,1.204915453
407.19250,0.899721045
407.19300,0.899721045
407.19350,1.51010986
407.19400,1.51010986
407.19450,0.2893322296
407.19500,-0.01586217811
407.19550,-0.01586217811
407.19600,0.5945266373
407.19650,0.899721045
407.19700,2.425693084
407.19750,4.25685953
407.19800,5.172442753
407.19850,4.25685953
407.19900,3.646470714
407.19950,3.646470714
407.20000,3.646470714
407.20050,2.120498676
407.20100,0.899721045
407.20150,1.51010986
407.20200,2.425693084
407.20250,2.120498676
407.20300,0.899721045
407.20350,0.5945266373
407.20400,1.204915453
407.20450,1.51010986
407.20500,-0.01586217811
407.20550,-2.45741744
407.20600,-5.204167109
407.20650,-7.035333555
407.20700,-7.035333555
407.20750,-6.119750332
407.20800,-7.035333555
407.20850,-8.866500001
407.20900,-6.42494474
407.20950,0.899721045
407.21000,8.529581238
407.21050,10.05555328
407.21100,6.088025976
407.21150,2.730887491
407.21200,1.815304268
407.21250,0.899721045
407.21300,-0.6262509935
407.21350,-0.9314454012
407.21400,0.899721045
407.21450,3.341276307
407.21500,4.867248345
407.21550,6.393220384
407.21600,8.22438683
407.21650,9.139970053
407.21700,8.22438683
407.21750,7.613998014
407.21800,8.22438683
407.21850,7.003609199
407.21900,1.51010986
407.21950,-7.340527963
407.22000,-14.66519375
407.22050,-16.8015546
407.22100,-14.35999934
407.22150,-11.61324967
407.22200,-10.39247204
407.22250,-10.08727763
407.22300,-8.561305594
407.22350,-5.814555924
407.22400,-3.983389478
407.22450,-3.678195071
407.22500,-2.762611847
407.22550,-1.847028624
407.22600,-2.152223032
407.22650,-4.288583886
407.22700,-5.204167109
407.22750,-2.762611847
407.22800,-0.01586217811
407.22850,-0.01586217811
407.22900,-1.236639809
407.22950,-1.541834217
407.23000,-0.6262509935
407.23050,-0.01586217811
407.23100,-0.9314454012
407.23150,-1.236639809
407.23200,-0.3210565858
407.23250,0.2893322296
407.23300,-0.01586217811
407.23350,-0.3210565858
407.23400,-0.01586217811
407.23450,1.51010986
407.23500,2.730887491
407.23550,3.646470714
407.23600,3.951665122
407.23650,4.25685953
407.23700,4.25685953
407.23750,3.951665122
407.23800,3.341276307
407.23850,2.730887491
407.23900,3.036081899
407.23950,3.646470714
407.24000,3.951665122
407.24050,3.646470714
407.24100,3.646470714
407.24150,4.25685953
407.24200,4.562053937
407.24250,4.867248345
407.24300,4.867248345
407.24350,4.25685953
407.24400,2.120498676
407.24450,-0.6262509935
407.24500,-3.678195071
407.24550,-5.509361517
407.24600,-6.730139148
407.24650,-7.645722371
407.24700,-7.950916778
407.24750,-7.340527963
407.24800,-4.593778294
407.24850,1.204915453
407.24900,8.834775645
407.24950,13.10749735
407.25000,11.58152531
407.25050,6.698414791
407.25100,3.951665122
407.25150,3.951665122
407.25200,3.646470714
407.25250,1.204915453
407.25300,-0.3210565858
407.25350,-0.01586217811
407.25400,0.2893322296
407.25450,-0.6262509935
407.25500,-1.847028624
407.25550,-1.236639809
407.25600,0.5945266373
407.25650,1.204915453
407.25700,-0.01586217811
407.25750,-1.236639809
407.25800,-0.9314454012
407.25850,-0.3210565858
407.25900,-0.6262509935
407.25950,-0.3210565858
407.26000,-0.01586217811
407.26050,0.2893322296
407.26100,-0.01586217811
407.26150,-1.236639809
407.26200,-1.541834217
407.26250,-0.9314454012
407.26300,-0.01586217811
407.26350,-0.01586217811
407.26400,-1.541834217
407.26450,-3.067806255
407.26500,-3.678195071
407.26550,-3.678195071
407.26600,-3.373000663
407.26650,-3.373000663
407.26700,-3.067806255
407.26750,-2.45741744
407.26800,-1.847028624
407.26850,-1.847028624
407.26900,-2.152223032
407.26950,-1.541834217
407.27000,-0.3210565858
407.27050,-0.01586217811
407.27100,-0.6262509935
407.27150,-0.9314454012
407.27200,-0.01586217811
407.27250,0.5945266373
407.27300,0.5945266373
407.27350,0.899721045
407.27400,1.51010986
407.27450,2.425693084
407.27500,3.951665122
407.27550,5.172442753
407.27600,4.867248345
407.27650,2.120498676
407.27700,-1.236639809
407.27750,-3.067806255
407.27800,-2.45741744
407.27850,-1.847028624
407.27900,-2.762611847
407.27950,-3.373000663
407.28000,-1.847028624
407.28050,0.2893322296
407.28100,0.899721045
407.28150,-0.3210565858
407.28200,-1.541834217
407.28250,-1.541834217
407.28300,-1.236639809
407.28350,-1.541834217
407.28400,-1.847028624
407.28450,-2.45741744
407.28500,-3.373000663
407.28550,-3.983389478
407.28600,-3.373000663
407.28650,-2.45741744
407.28700,-2.762611847
407.28750,-3.678195071
407.28800,-3.373000663
407.28850,-2.762611847
407.28900,-2.762611847
407.28950,-3.067806255
407.29000,-2.152223032
407.29050,-0.01586217811
407.29100,-0.01586217811
407.29150,-2.152223032
407.29200,-3.067806255
407.29250,-1.847028624
407.29300,-1.236639809
407.29350,-1.541834217
407.29400,0.5945266373
407.29450,5.782831568
407.29500,8.529581238
407.29550,5.172442753
407.29600,-0.01586217811
407.29650,-0.6262509935
407.29700,1.51010986
407.29750,1.204915453
407.29800,-2.45741744
407.29850,-4.898972701
407.29900,-4.898972701
407.29950,-5.814555924
407.30000,-7.950916778
407.30050,-7.340527963
407.30100,-4.288583886
407.30150,-3.678195071
407.30200,-7.035333555
407.30250,-7.035333555
407.30300,-0.01586217811
407.30350,8.22438683
407.30400,9.445164461
407.30450,3.951665122
407.30500,-0.6262509935
407.30550,-0.9314454012
407.30600,0.2893322296
407.30650,0.899721045
407.30700,1.204915453
407.30750,1.51010986
407.30800,1.204915453
407.30850,0.2893322296
407.30900,0.2893322296
407.30950,1.204915453
407.31000,1.204915453
407.31050,0.2893322296
407.31100,0.2893322296
407.31150,2.425693084
407.31200,4.562053937
407.31250,4.867248345
407.31300,4.25685953
407.31350,3.646470714
407.31400,2.425693084
407.31450,1.204915453
407.31500,0.5945266373
407.31550,0.2893322296
407.31600,0.2893322296
407.31650,-0.01586217811
407.31700,0.2893322296
407.31750,1.204915453
407.31800,2.120498676
407.31850,1.51010986
407.31900,1.204915453
407.31950,1.51010986
407.32000,2.120498676
407.32050,1.815304268
407.32100,1.51010986
407.32150,2.120498676
407.32200,3.036081899
407.32250,3.341276307
407.32300,1.815304268
407.32350,-0.3210565858
407.32400,-2.45741744
407.32450,-2.762611847
407.32500,-1.541834217
407.32550,-0.9314454012
407.32600,-0.9314454012
407.32650,-0.6262509935
407.32700,0.5945266373
407.32750,1.204915453
407.32800,-1.541834217
407.32850,-5.509361517
407.32900,-5.509361517
407.32950,-2.152223032
407.33000,-0.01586217811
407.33050,-0.3210565858
407.33100,-0.9314454012
407.33150,-0.3210565858
407.33200,-0.6262509935
407.33250,-2.45741744
407.33300,-3.373000663
407.33350,-2.45741744
407.33400,-2.45741744
407.33450,-5.814555924
407.33500,-9.171694409
407.33550,-9.171694409
407.33600,-5.204167109
407.33650,1.204915453
407.33700,8.22438683
407.33750,12.80230295
407.33800,11.58152531
407.33850,5.477637161
407.33900,-0.01586217811
407.33950,-1.541834217
407.34000,-0.6262509935
407.34050,0.2893322296
407.34100,1.204915453
407.34150,2.730887491
407.34200,3.036081899
407.34250,0.899721045
407.34300,-1.236639809
407.34350,-1.541834217
407.34400,-0.3210565858
407.34450,-0.01586217811
407.34500,0.2893322296
407.34550,1.51010986
407.34600,3.341276307
407.34650,3.951665122
407.34700,2.425693084
407.34750,0.2893322296
407.34800,-0.6262509935
407.34850,-1.236639809
407.34900,-1.236639809
407.34950,-1.541834217
407.35000,-1.847028624
407.35050,-1.847028624
407.35100,-1.847028624
407.35150,-2.152223032
407.35200,-2.762611847
407.35250,-3.373000663
407.35300,-3.067806255
407.35350,-1.541834217
407.35400,-0.6262509935
407.35450,-0.3210565858
407.35500,-0.3210565858
407.35550,-0.01586217811
