time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
406.98,12.53203583,-3.022660056,-1.335778422,0.02028528547,-0.3210565858
406.9805,9.785286164,-1.801882425,0.1901936164,-0.8952979376,-1.236639809
406.981,7.038536495,-1.801882425,2.021360063,-1.810881161,-0.01586217811
406.9815,3.071009195,-2.41227124,5.07330414,-2.421269976,4.562053937
406.982,-0.8965181052,-2.41227124,7.514859401,-2.726464384,8.834775645
406.9825,-6.084823036,-2.107076833,6.904470586,-2.421269976,8.22438683
406.983,-13.10429441,-2.41227124,2.936943286,-0.5901035299,3.646470714
406.9835,-18.90298816,-2.41227124,-0.420195199,1.241062916,-0.3210565858
406.984,-18.29259934,-1.19149361,-1.64097283,1.851451732,-2.45741744
406.9845,-10.96793356,0.6396728365,-0.7253896067,0.3254796932,-2.152223032
406.985,-3.032878959,1.250061652,0.4953880241,-1.200492345,-1.236639809
406.9855,0.01906511792,0.6396728365,1.410971247,-2.726464384,-0.6262509935
406.986,0.01906511792,0.6396728365,1.410971247,-3.031658792,-1.236639809
406.9865,0.6294539333,0.6396728365,1.105776839,-2.421269976,-2.45741744
406.987,2.155425972,0.02928402113,0.8005824318,0.02028528547,-3.067806255
406.9875,2.765814787,-0.2759103866,0.1901936164,2.156646139,-2.152223032
406.988,2.155425972,2.165644875,-0.1150007913,3.37742377,-1.541834217
406.9885,2.765814787,7.353949806,0.1901936164,3.072229362,-1.847028624
406.989,3.376203603,10.71108829,1.410971247,3.072229362,-2.45741744
406.9895,2.155425972,9.795505068,2.32655447,3.072229362,-1.847028624
406.99,0.6294539333,7.353949806,1.410971247,2.461840547,-1.847028624
406.9905,0.934648341,6.133172175,0.4953880241,1.241062916,-2.152223032
406.991,3.071009195,5.52278336,2.32655447,0.02028528547,-1.541834217
406.9915,3.986592418,3.691616914,6.904470586,-1.200492345,-0.01586217811
406.992,3.68139801,1.860450467,9.956414663,-2.421269976,-0.01586217811
406.9925,3.071009195,1.55525606,9.346025847,-2.726464384,-1.847028624
406.993,3.376203603,1.860450467,7.514859401,-1.505686753,-2.762611847
406.9935,3.986592418,1.860450467,6.29408177,0.02028528547,-1.541834217
406.994,4.596981233,0.9448672442,5.378498547,-0.2849091222,-0.3210565858
406.9945,5.207370049,0.3344784288,3.852526509,-2.726464384,-0.3210565858
406.995,6.733342087,0.02928402113,3.852526509,-4.862825238,-0.01586217811
406.9955,7.954119718,-0.886299202,5.07330414,-5.778408461,-0.3210565858
406.996,8.259314126,-1.801882425,2.021360063,-4.862825238,-3.067806255
406.9965,7.038536495,-1.496688017,-5.60850013,-3.947242015,-7.035333555
406.997,4.902175641,-1.19149361,-10.79680506,-3.642047607,-6.42494474
406.9975,3.376203603,-2.41227124,-4.998111315,-4.252436422,0.2893322296
406.998,3.071009195,-3.938243279,6.29408177,-3.947242015,7.308803607
406.9985,3.071009195,-4.548632094,10.56680348,-1.810881161,7.613998014
406.999,1.239842749,-4.548632094,5.683692955,0.6306741009,3.341276307
406.9995,-0.5913236975,-4.548632094,1.105776839,1.241062916,0.5945266373
407.0,-0.8965181052,-4.853826502,3.242137693,0.02028528547,0.2893322296
407.0005,2.46062038,-3.327854464,7.820053809,-1.505686753,-0.01586217811
407.001,7.343730903,-0.5811047943,8.735637032,-1.200492345,-0.3210565858
407.0015,11.0060638,0.9448672442,7.209664994,-0.2849091222,0.5945266373
407.002,13.14242465,0.3344784288,6.904470586,-0.5901035299,1.51010986
407.0025,14.36320228,-0.886299202,6.599276178,-0.8952979376,0.2893322296
407.003,14.05800787,-0.886299202,4.157720917,0.02028528547,-1.847028624
407.0035,11.61645261,0.02928402113,0.8005824318,1.546257324,-1.236639809
407.004,7.954119718,0.9448672442,0.1901936164,2.767034955,1.51010986
407.0045,4.291786826,1.250061652,1.716165655,2.767034955,4.562053937
407.005,2.46062038,1.860450467,2.32655447,4.293006993,7.003609199
407.0055,3.071009195,2.77603369,1.716165655,7.039756663,9.750358868
407.006,3.986592418,4.302005729,1.105776839,8.870923109,10.9711365
407.0065,-0.5913236975,5.217588952,0.1901936164,8.260534293,9.445164461
407.007,-15.54584967,5.217588952,-2.556556053,6.734562255,7.919192422
407.0075,-35.07829177,5.217588952,-8.050055392,7.039756663,7.919192422
407.008,-45.76009604,5.217588952,-15.06952677,8.870923109,3.951665122
407.0085,-40.87698551,4.912394544,-21.47860933,8.870923109,-7.645722371
407.009,-27.44843158,3.691616914,-24.83574782,6.124173439,-20.7690819
407.0095,-16.4614329,1.860450467,-21.17341492,3.072229362,-23.82102598
407.01,-12.4939056,0.9448672442,-12.62797151,2.156646139,-14.66519375
407.0105,-11.57832237,1.55525606,-6.218888945,2.767034955,-5.204167109
407.011,-10.66273915,3.386422506,-7.134472168,3.682618178,-3.983389478
407.0115,-10.35754474,4.302005729,-10.49161065,4.598201401,-6.730139148
407.012,-11.57832237,3.996811321,-8.050055392,5.513784624,-5.509361517
407.0125,-12.18871119,3.081228098,-1.030584014,5.818979032,-1.236639809
407.013,-10.66273915,1.860450467,3.547332101,4.598201401,0.5945266373
407.0135,-7.915989482,0.3344784288,4.157720917,2.767034955,-0.01586217811
407.014,-6.084823036,-0.886299202,5.988887363,1.546257324,-0.01586217811
407.0145,-5.169239813,-1.496688017,8.735637032,0.9358685086,3.036081899
407.015,-4.558850998,-1.19149361,6.599276178,0.02028528547,4.562053937
407.0155,-3.643267774,-0.886299202,-2.556556053,-0.2849091222,2.120498676
407.016,-2.117295736,-1.801882425,-11.40719388,-0.2849091222,-2.152223032
407.0165,0.01906511792,-3.327854464,-12.3227771,-0.2849091222,-4.593778294
407.017,2.155425972,-4.243437687,-8.050055392,-0.8952979376,-3.983389478
407.0175,3.071009195,-4.548632094,-6.829277761,-2.116075568,-2.152223032
407.018,2.46062038,-5.769409725,-9.57602743,-2.726464384,-0.9314454012
407.0185,2.155425972,-7.905770579,-10.49161065,-3.031658792,-0.01586217811
407.019,3.68139801,-8.821353802,-7.439666576,-3.336853199,0.899721045
407.0195,6.733342087,-6.684992948,-3.472139276,-4.252436422,1.815304268
407.02,9.480091757,-3.633048871,-2.251361645,-4.55763083,2.120498676
407.0205,8.564508534,-2.107076833,-3.166944868,-3.336853199,1.815304268
407.021,4.291786826,-3.327854464,-3.472139276,-2.116075568,1.815304268
