"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",461.98000,2000,22000,"uV"

"time","value"
461.98000,12.53203583
461.98050,7.64892531
461.98100,9.785286164
461.98150,18.33072958
461.98200,25.65539536
461.98250,26.57097859
461.98300,23.2138401
461.98350,18.9411184
461.98400,14.66839669
461.98450,11.3112582
461.98500,10.09048057
461.98550,10.09048057
461.98600,7.954119718
461.98650,4.596981233
461.98700,3.986592418
461.98750,4.902175641
461.98800,-2.117295736
461.98850,-21.34454342
461.98900,-40.87698551
461.98950,-46.06529045
461.99000,-36.2990694
461.99050,-23.48090428
461.99100,-14.32507204
461.99150,-6.695211852
461.99200,0.01906511792
461.99250,2.155425972
461.99300,0.01906511792
461.99350,-1.201712513
461.99400,0.934648341
461.99450,3.986592418
461.99500,5.207370049
461.99550,4.902175641
461.99600,3.68139801
461.99650,1.545037156
461.99700,1.239842749
461.99750,4.902175641
461.99800,9.785286164
461.99850,9.480091757
461.99900,4.596981233
461.99950,1.545037156
462.00000,3.68139801
462.00050,7.954119718
462.00100,11.0060638
462.00150,13.14242465
462.00200,14.66839669
462.00250,14.36320228
462.00300,14.36320228
462.00350,17.72034076
462.00400,22.9086457
462.00450,25.65539536
462.00500,23.82422892
462.00550,18.63592399
462.00600,6.42814768
462.00650,-15.54584967
462.00700,-40.57179111
462.00750,-53.69515064
462.00800,-47.89645689
462.00850,-32.63673651
462.00900,-19.81857138
462.00950,-10.96793356
462.01000,-1.506906921
462.01050,6.733342087
462.01100,7.64892531
462.01150,1.850231564
462.01200,-3.032878959
462.01250,-3.338073367
462.01300,-0.8965181052
462.01350,1.239842749
462.01400,3.68139801
462.01450,5.817758864
462.01500,6.122953272
462.01550,4.596981233
462.01600,2.765814787
462.01650,2.46062038
462.01700,3.986592418
462.01750,7.343730903
462.01800,11.92164702
462.01850,16.19436873
462.01900,16.49956313
462.01950,13.14242465
462.02000,11.3112582
462.02050,15.2787855
462.02100,22.29825688
462.02150,26.26578418
462.02200,24.43461773
462.02250,19.2463128
462.02300,12.83723024
462.02350,4.291786826
462.02400,-5.474434221
462.02450,-14.32507204
462.02500,-20.73415461
462.02550,-27.44843158
462.02600,-35.07829177
462.02650,-38.43543025
462.02700,-33.85751414
462.02750,-24.09129309
462.02800,-16.15623849
462.02850,-12.79910001
462.02900,-10.35754474
462.02950,-5.474434221
462.03000,0.934648341
462.03050,6.42814768
462.03100,9.174897349
462.03150,9.480091757
462.03200,7.038536495
462.03250,3.986592418
462.03300,2.765814787
462.03350,3.376203603
462.03400,3.071009195
462.03450,0.934648341
462.03500,0.01906511792
462.03550,1.239842749
462.03600,-1.201712513
462.03650,-13.40948882
462.03700,-29.88998684
462.03750,-38.74062466
462.03800,-33.55231973
462.03850,-21.34454342
462.03900,-11.57832237
462.03950,-6.084823036
462.04000,-2.117295736
462.04050,0.6294539333
462.04100,1.545037156
462.04150,0.6294539333
462.04200,-0.2861292898
462.04250,-0.8965181052
462.04300,-1.812101328
462.04350,-2.422490144
462.04400,-2.117295736
462.04450,-0.5913236975
462.04500,0.01906511792
462.04550,-0.8965181052
462.04600,-2.422490144
462.04650,-3.338073367
462.04700,-1.506906921
462.04750,4.596981233
462.04800,14.05800787
462.04850,22.9086457
462.04900,27.1813674
462.04950,27.79175622
462.05000,27.48656181
462.05050,27.1813674
462.05100,25.04500655
462.05150,21.38267366
462.05200,17.10995195
462.05250,14.05800787
462.05300,10.39567498
462.05350,0.934648341
462.05400,-17.37701612
462.05450,-43.62373518
462.05500,-69.87045425
462.05550,-84.82498022
462.05600,-81.77303615
462.05650,-65.29253813
462.05700,-44.84451281
462.05750,-28.05882039
462.05800,-15.54584967
462.05850,-7.000406259
462.05900,-3.338073367
462.05950,-3.643267774
462.06000,-2.422490144
462.06050,3.986592418
462.06100,12.22684143
462.06150,14.9735911
462.06200,10.70086939
462.06250,4.596981233
462.06300,2.46062038
462.06350,2.765814787
462.06400,1.545037156
462.06450,-0.5913236975
462.06500,-1.506906921
462.06550,0.3242595256
462.06600,3.986592418
462.06650,7.954119718
462.06700,12.53203583
462.06750,16.19436873
462.06800,17.41514636
462.06850,17.10995195
462.06900,17.10995195
462.06950,18.02553517
462.07000,18.02553517
462.07050,15.2787855
462.07100,11.92164702
462.07150,9.174897349
462.07200,7.954119718
462.07250,7.038536495
462.07300,6.122953272
462.07350,4.902175641
462.07400,4.291786826
462.07450,4.291786826
462.07500,4.596981233
462.07550,4.902175641
462.07600,5.512564457
462.07650,8.869702941
462.07700,14.05800787
462.07750,18.02553517
462.07800,18.02553517
462.07850,16.49956313
462.07900,17.10995195
462.07950,19.55150721
462.08000,20.77228484
462.08050,18.63592399
462.08100,15.58397991
462.08150,12.83723024
462.08200,8.869702941
462.08250,2.46062038
462.08300,-6.695211852
462.08350,-20.12376579
462.08400,-33.85751414
462.08450,-40.57179111
462.08500,-34.77309736
462.08550,-19.81857138
462.08600,-1.201712513
462.08650,18.63592399
462.08700,38.7787549
462.08750,52.51250324
462.08800,55.56444732
462.08850,54.6488641
462.08900,54.34366969
462.08950,47.93458713
462.09000,25.65539536
462.09050,-3.032878959
462.09100,-17.68221053
462.09150,-10.05235034
462.09200,7.038536495
462.09250,20.16189603
462.09300,21.99306247
462.09350,2.765814787
462.09400,-43.01334637
462.09450,-100.389895
462.09500,-133.0456966
462.09550,-122.3638924
462.09600,-82.99381378
462.09650,-41.18217992
462.09700,-9.441961521
462.09750,7.038536495
462.09800,1.850231564
462.09850,-22.56532105
462.09900,-44.53931841
462.09950,-43.92892959
462.10000,-24.09129309
462.10050,-4.864045405
462.10100,5.207370049
462.10150,10.09048057
462.10200,10.09048057
462.10250,1.545037156
462.10300,-9.441961521
462.10350,-11.57832237
462.10400,-3.338073367
462.10450,5.207370049
462.10500,8.259314126
462.10550,9.174897349
462.10600,12.53203583
462.10650,16.19436873
462.10700,17.10995195
462.10750,16.80475754
462.10800,17.72034076
462.10850,18.63592399
462.10900,16.80475754
462.10950,12.83723024
462.11000,10.70086939
462.11050,11.92164702
462.11100,14.66839669
462.11150,15.2787855
462.11200,14.9735911
462.11250,17.72034076
462.11300,23.82422892
462.11350,26.57097859
462.11400,20.16189603
462.11450,10.09048057
462.11500,4.902175641
462.11550,7.954119718
462.11600,11.61645261
462.11650,10.70086939
462.11700,7.343730903
462.11750,6.733342087
462.11800,8.259314126
462.11850,8.564508534
462.11900,6.733342087
462.11950,5.512564457
462.12000,6.122953272
462.12050,7.64892531
462.12100,8.564508534
462.12150,8.869702941
462.12200,9.174897349
462.12250,8.869702941
462.12300,7.64892531
462.12350,6.122953272
462.12400,4.291786826
462.12450,2.46062038
462.12500,0.6294539333
462.12550,0.01906511792
462.12600,0.01906511792
462.12650,-1.201712513
462.12700,-5.169239813
462.12750,-11.27312797
462.12800,-16.4614329
462.12850,-16.76662731
462.12900,-12.18871119
462.12950,-5.779628628
462.13000,-1.201712513
462.13050,-0.5913236975
462.13100,-2.727684551
462.13150,-5.169239813
462.13200,-6.390017444
462.13250,-5.779628628
462.13300,-3.948462182
462.13350,-2.117295736
462.13400,-0.8965181052
462.13450,-0.8965181052
462.13500,-1.812101328
462.13550,-1.812101328
462.13600,-0.5913236975
462.13650,1.239842749
462.13700,1.850231564
462.13750,-0.2861292898
462.13800,-3.948462182
462.13850,-5.169239813
462.13900,-1.812101328
462.13950,2.155425972
462.14000,2.765814787
462.14050,-0.5913236975
462.14100,-3.032878959
462.14150,-0.8965181052
462.14200,2.765814787
462.14250,3.986592418
462.14300,2.46062038
462.14350,0.934648341
462.14400,1.239842749
462.14450,1.239842749
462.14500,0.3242595256
462.14550,-1.506906921
462.14600,-4.864045405
462.14650,-7.915989482
462.14700,-8.22118389
462.14750,-5.169239813
462.14800,-0.2861292898
462.14850,3.68139801
462.14900,6.122953272
462.14950,6.122953272
