time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
461.98,12.53203583,-5.15902091,81.67710047,-6.388797276,0.2893322296
461.9805,7.64892531,-4.548632094,36.50832813,-1.200492345,-14.35999934
461.981,9.785286164,-2.717465648,10.56680348,2.156646139,-17.41194342
461.9815,18.33072958,-2.717465648,10.26160907,0.9358685086,2.425693084
461.982,25.65539536,-4.548632094,13.61874756,-2.726464384,36.30227234
461.9825,26.57097859,-6.379798541,11.4823867,-6.693991684,59.19185292
461.983,23.2138401,-6.379798541,11.17719229,-8.830352538,54.91913121
461.9835,18.9411184,-5.769409725,13.00835874,-10.66151898,33.25032826
461.984,14.66839669,-6.379798541,9.04083144,-13.10307425,15.85424702
461.9845,11.3112582,-6.684992948,3.242137693,-14.32385188,11.27633091
461.985,10.09048057,-6.074604133,4.462915324,-14.62904628,10.9711365
461.9855,10.09048057,-4.853826502,7.820053809,-16.15501832,6.088025976
461.986,7.954119718,-4.548632094,-0.1150007913,-18.90176799,-0.6262509935
461.9865,4.596981233,-4.853826502,-16.59549881,-19.2069624,-3.983389478
461.987,3.986592418,-5.15902091,-23.00458137,-16.15501832,-3.983389478
461.9875,4.902175641,-4.548632094,-13.84874914,-11.88229661,-3.373000663
461.988,-2.117295736,-3.633048871,-3.472139276,-7.609574907,-2.762611847
461.9885,-21.34454342,-1.496688017,-3.166944868,-2.116075568,-2.45741744
461.989,-40.87698551,0.6396728365,-8.660444207,4.903395809,-3.373000663
461.9895,-46.06529045,2.470839283,-12.3227771,10.39689515,-5.509361517
461.99,-36.2990694,3.386422506,-14.15394355,12.533256,-7.950916778
461.9905,-23.48090428,4.607200137,-15.37472118,14.66961686,-8.866500001
461.991,-14.32507204,7.353949806,-14.15394355,19.55272738,-8.256111186
461.9915,-6.695211852,9.795505068,-9.57602743,24.4358379,-7.645722371
461.992,0.01906511792,10.71108829,-5.60850013,24.74103231,-7.340527963
461.9925,2.155425972,10.40589388,-5.303305722,21.68908823,-7.645722371
461.993,0.01906511792,9.795505068,-5.303305722,18.94233856,-7.340527963
461.9935,-1.201712513,8.879921844,-3.777333684,17.41636652,-6.42494474
461.994,0.934648341,7.964338621,-2.556556053,13.44883922,-4.593778294
461.9945,3.986592418,7.048755398,-2.556556053,7.650145478,-3.373000663
461.995,5.207370049,6.438366583,-0.1150007913,3.072229362,-1.541834217
461.9955,4.902175641,5.217588952,5.378498547,1.546257324,0.899721045
461.996,3.68139801,4.302005729,10.26160907,1.851451732,3.951665122
461.9965,1.545037156,3.386422506,11.17719229,2.156646139,6.088025976
461.997,1.239842749,1.55525606,10.87199789,2.461840547,7.613998014
461.9975,4.902175641,-1.19149361,9.956414663,0.9358685086,7.613998014
461.998,9.785286164,-3.022660056,5.683692955,-2.421269976,3.341276307
461.9985,9.480091757,-2.717465648,-1.030584014,-5.473214053,-3.983389478
461.999,4.596981233,-0.886299202,-4.692916907,-4.862825238,-11.30805526
461.9995,1.545037156,-0.5811047943,-2.861750461,-2.421269976,-13.44441612
462.0,3.68139801,-1.801882425,-0.420195199,-2.421269976,-12.22363849
462.0005,7.954119718,-2.717465648,-1.030584014,-5.473214053,-12.8340273
462.001,11.0060638,-2.107076833,-2.251361645,-7.914769315,-14.05480493
462.0015,13.14242465,-2.107076833,-1.64097283,-7.304380499,-11.61324967
462.002,14.66839669,-3.633048871,-2.556556053,-5.778408461,-4.898972701
462.0025,14.36320228,-5.464215317,-6.218888945,-5.778408461,0.5945266373
462.003,14.36320228,-6.074604133,-9.57602743,-6.999186092,1.51010986
462.0035,17.72034076,-5.464215317,-10.49161065,-7.914769315,-0.3210565858
462.004,22.9086457,-4.243437687,-11.10199947,-8.219963722,-1.847028624
462.0045,25.65539536,-3.022660056,-11.10199947,-7.914769315,-2.45741744
462.005,23.82422892,-2.107076833,-6.218888945,-6.999186092,-1.847028624
462.0055,18.63592399,-1.801882425,3.242137693,-6.693991684,-0.01586217811
462.006,6.42814768,-1.801882425,9.651220255,-6.999186092,2.120498676
462.0065,-15.54584967,-1.801882425,5.683692955,-6.999186092,2.730887491
462.007,-40.57179111,-1.496688017,-3.777333684,-4.252436422,1.815304268
462.0075,-53.69515064,-0.5811047943,-9.881221838,0.3254796932,0.899721045
462.008,-47.89645689,0.3344784288,-9.270833022,5.513784624,-0.9314454012
462.0085,-32.63673651,2.165644875,-6.524083353,9.176117517,-4.898972701
462.009,-19.81857138,3.996811321,-5.303305722,10.70208956,-7.950916778
462.0095,-10.96793356,4.302005729,-3.777333684,9.481311924,-5.509361517
462.01,-1.506906921,3.081228098,-0.1150007913,5.513784624,1.204915453
462.0105,6.733342087,2.165644875,5.378498547,0.3254796932,6.698414791
462.011,7.64892531,3.996811321,10.56680348,-2.116075568,7.003609199
462.0115,1.850231564,7.353949806,12.70316433,-0.2849091222,5.477637161
462.012,-3.032878959,9.185116252,10.56680348,3.072229362,4.562053937
462.0125,-3.338073367,8.574727437,5.683692955,5.818979032,3.646470714
462.013,-0.8965181052,6.743560991,1.410971247,6.734562255,1.815304268
462.0135,1.239842749,5.52278336,-1.64097283,7.34495107,-0.01586217811
462.014,3.68139801,5.217588952,-5.303305722,7.039756663,-1.847028624
462.0145,5.817758864,4.302005729,-6.829277761,5.208590216,-3.678195071
462.015,6.122953272,3.081228098,-2.861750461,2.461840547,-4.288583886
462.0155,4.596981233,2.77603369,3.852526509,1.546257324,-3.067806255
462.016,2.765814787,3.081228098,6.29408177,3.682618178,-1.236639809
462.0165,2.46062038,3.691616914,3.242137693,5.818979032,0.2893322296
462.017,3.986592418,3.081228098,3.547332101,4.903395809,4.867248345
462.0175,7.343730903,1.860450467,10.26160907,0.3254796932,12.80230295
462.018,11.92164702,0.02928402113,13.61874756,-4.252436422,17.38021906
462.0185,16.19436873,-2.107076833,5.683692955,-7.609574907,10.05555328
462.019,16.49956313,-4.853826502,-6.218888945,-10.05113017,-6.42494474
462.0195,13.14242465,-6.684992948,-10.49161065,-11.88229661,-21.07427631
462.02,11.3112582,-7.295381764,-7.744860984,-12.18749102,-25.65219243
