"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",472.98000,2000,22000,"uV"

"time","value"
472.98000,0.9448672442
472.98050,1.250061652
472.98100,0.6396728365
472.98150,-1.801882425
472.98200,-4.853826502
472.98250,-6.990187356
472.98300,-6.990187356
472.98350,-5.15902091
472.98400,-3.633048871
472.98450,-3.633048871
472.98500,-3.633048871
472.98550,-3.633048871
472.98600,-4.243437687
472.98650,-5.464215317
472.98700,-5.464215317
472.98750,-4.243437687
472.98800,-2.717465648
472.98850,-1.801882425
472.98900,-1.19149361
472.98950,0.02928402113
472.99000,0.3344784288
472.99050,0.9448672442
472.99100,1.860450467
472.99150,3.386422506
472.99200,4.607200137
472.99250,4.302005729
472.99300,3.691616914
472.99350,3.996811321
472.99400,3.691616914
472.99450,3.081228098
472.99500,2.77603369
472.99550,3.386422506
472.99600,3.386422506
472.99650,2.470839283
472.99700,2.165644875
472.99750,3.691616914
472.99800,4.912394544
472.99850,3.691616914
472.99900,0.6396728365
472.99950,-2.41227124
473.00000,-4.853826502
473.00050,-5.769409725
473.00100,-4.853826502
473.00150,-2.717465648
473.00200,-2.107076833
473.00250,-3.327854464
473.00300,-3.938243279
473.00350,-3.022660056
473.00400,-3.938243279
473.00450,-7.600576171
473.00500,-10.04213143
473.00550,-7.905770579
473.00600,-3.938243279
473.00650,-3.022660056
473.00700,-4.853826502
473.00750,-5.464215317
473.00800,-3.633048871
473.00850,-1.19149361
473.00900,0.9448672442
473.00950,3.081228098
473.01000,3.691616914
473.01050,1.250061652
473.01100,-1.19149361
473.01150,-0.5811047943
473.01200,2.165644875
473.01250,3.081228098
473.01300,1.250061652
473.01350,0.9448672442
473.01400,3.996811321
473.01450,6.438366583
473.01500,6.133172175
473.01550,5.827977767
473.01600,7.353949806
473.01650,8.574727437
473.01700,7.964338621
473.01750,7.659144214
473.01800,8.879921844
473.01850,9.185116252
473.01900,5.52278336
473.01950,0.3344784288
473.02000,-2.107076833
473.02050,-2.41227124
473.02100,-3.022660056
473.02150,-3.938243279
473.02200,-4.243437687
473.02250,-5.15902091
473.02300,-6.684992948
473.02350,-8.210964987
473.02400,-7.905770579
473.02450,-6.379798541
473.02500,-4.853826502
473.02550,-4.243437687
473.02600,-3.938243279
473.02650,-4.853826502
473.02700,-5.769409725
473.02750,-4.548632094
473.02800,-1.496688017
473.02850,0.02928402113
473.02900,-0.2759103866
473.02950,-0.2759103866
473.03000,1.250061652
473.03050,2.470839283
473.03100,1.860450467
473.03150,0.6396728365
473.03200,1.250061652
473.03250,3.386422506
473.03300,4.607200137
473.03350,4.912394544
473.03400,5.217588952
473.03450,4.912394544
473.03500,4.302005729
473.03550,3.691616914
473.03600,3.386422506
473.03650,2.165644875
473.03700,0.02928402113
473.03750,-0.886299202
473.03800,-0.2759103866
473.03850,0.02928402113
473.03900,-0.2759103866
473.03950,-1.19149361
473.04000,-0.886299202
473.04050,0.6396728365
473.04100,0.9448672442
473.04150,0.02928402113
473.04200,-2.41227124
473.04250,-4.853826502
473.04300,-6.074604133
473.04350,-5.464215317
473.04400,-4.243437687
473.04450,-3.633048871
473.04500,-3.633048871
473.04550,-3.327854464
473.04600,-1.496688017
473.04650,-0.5811047943
473.04700,-1.801882425
473.04750,-3.633048871
473.04800,-3.327854464
473.04850,-0.886299202
473.04900,0.02928402113
473.04950,0.02928402113
473.05000,-0.5811047943
473.05050,0.02928402113
