"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",472.98000,2000,22000,"uV"

"time","value"
472.98000,-73.36165864
472.98050,-64.51102082
472.98100,-46.19935635
472.98150,-29.41366393
472.98200,-15.37472118
472.98250,10.56680348
472.98300,57.87193667
472.98350,101.514737
472.98400,107.0082363
472.98450,74.04724028
472.98500,38.94988339
472.98550,29.18366235
472.98600,33.15118965
472.98650,28.57327353
472.98700,16.67069163
472.98750,14.53433078
472.98800,19.11224689
472.98850,10.26160907
472.98900,-16.90069321
472.98950,-41.01105142
472.99000,-42.53702346
472.99050,-29.71885834
472.99100,-22.69938696
472.99150,-26.05652545
472.99200,-26.97210867
472.99250,-16.90069321
472.99300,-1.335778422
472.99350,13.31355315
472.99400,26.74210709
472.99450,36.50832813
472.99500,35.2875505
472.99550,20.02783012
472.99600,-0.7253896067
472.99650,-15.67991558
472.99700,-20.2578317
472.99750,-18.73185966
472.99800,-17.81627644
472.99850,-20.86822052
472.99900,-24.53055341
472.99950,-19.64744288
473.00000,-3.166944868
473.00050,14.53433078
473.00100,19.72263571
473.00150,12.09277552
473.00200,3.852526509
473.00250,-1.335778422
473.00300,-13.84874914
473.00350,-34.60196886
473.00400,-46.19935635
473.00450,-33.38119123
473.00500,-4.387722499
473.00550,19.4174413
473.00600,28.87846794
473.00650,27.3524959
473.00700,20.94341334
473.00750,14.22913637
473.00800,9.956414663
473.00850,6.29408177
473.00900,-3.166944868
473.00950,-15.37472118
473.01000,-16.2903044
473.01050,-2.556556053
473.01100,8.735637032
473.01150,2.021360063
473.01200,-14.76433236
473.01250,-20.86822052
473.01300,-13.23836032
473.01350,-5.60850013
473.01400,-5.913694538
473.01450,-6.829277761
473.01500,-2.861750461
473.01550,0.1901936164
473.01600,-1.030584014
473.01650,-3.166944868
473.01700,-3.472139276
473.01750,-4.692916907
473.01800,-8.965638615
473.01850,-11.10199947
473.01900,-7.439666576
473.01950,-1.335778422
473.02000,0.4953880241
473.02050,-1.64097283
473.02100,-6.829277761
473.02150,-12.3227771
473.02200,-14.76433236
473.02250,-11.10199947
473.02300,-3.777333684
473.02350,0.4953880241
473.02400,-1.335778422
473.02450,-5.913694538
473.02500,-7.439666576
473.02550,-4.998111315
473.02600,-0.420195199
473.02650,5.07330414
473.02700,10.26160907
473.02750,11.4823867
473.02800,11.17719229
473.02850,16.06030282
473.02900,27.65769031
473.02950,36.50832813
473.03000,32.23560643
473.03050,19.11224689
473.03100,8.430442624
473.03150,3.852526509
473.03200,-2.251361645
473.03250,-12.93316591
473.03300,-20.2578317
473.03350,-17.20588762
473.03400,-8.965638615
473.03450,-4.082528091
473.03500,-2.556556053
473.03550,1.410971247
473.03600,9.04083144
473.03650,13.92394196
473.03700,13.00835874
473.03750,9.346025847
473.03800,6.904470586
473.03850,5.988887363
473.03900,3.852526509
473.03950,-0.1150007913
473.04000,-5.303305722
473.04050,-8.050055392
473.04100,-5.303305722
473.04150,1.105776839
473.04200,7.209664994
473.04250,10.56680348
473.04300,11.78758111
473.04350,7.209664994
473.04400,-8.355249799
473.04450,-32.46560801
473.04500,-50.77727247
473.04550,-53.21882773
473.04600,-45.58896754
473.04650,-36.1279409
473.04700,-21.17341492
473.04750,5.988887363
473.04800,37.11871695
473.04850,53.29402056
473.04900,49.32649326
473.04950,37.72910576
473.05000,28.57327353
473.05050,21.55380216
473.05100,14.83952519
473.05150,13.61874756
473.05200,19.4174413
473.05250,24.30055182
473.05300,21.55380216
473.05350,15.75510841
473.05400,12.70316433
473.05450,11.78758111
473.05500,8.430442624
473.05550,2.32655447
473.05600,-4.387722499
473.05650,-13.84874914
473.05700,-25.75133104
473.05750,-35.82274649
473.05800,-41.31624583
473.05850,-44.97857872
473.05900,-48.94610602
473.05950,-50.47207806
473.06000,-47.72532839
473.06050,-39.48507938
473.06100,-20.56302611
473.06150,12.09277552
473.06200,44.74857714
473.06250,49.93688207
473.06300,22.46938538
473.06350,-4.998111315
473.06400,-2.251361645
473.06450,18.19666367
473.06500,23.99535742
473.06550,14.83952519
473.06600,27.04730149
473.06650,72.21607383
473.06700,110.3653748
473.06750,100.9043482
473.06800,57.87193667
473.06850,26.43691268
473.06900,22.16419097
473.06950,23.07977419
473.07000,11.78758111
473.07050,-3.166944868
473.07100,-13.84874914
473.07150,-28.80327512
473.07200,-55.04999418
473.07250,-78.85515798
473.07300,-80.07593561
473.07350,-57.79674385
473.07400,-28.80327512
473.07450,-6.829277761
473.07500,5.07330414
473.07550,8.125248217
473.07600,2.32655447
473.07650,-10.49161065
473.07700,-24.53055341
473.07750,-32.1604136
473.07800,-30.32924715
473.07850,-21.78380374
473.07900,-12.62797151
473.07950,-8.660444207
473.08000,-8.660444207
473.08050,-9.57602743
473.08100,-9.270833022
473.08150,-8.965638615
473.08200,-10.49161065
473.08250,-13.84874914
473.08300,-17.51108203
473.08350,-18.73185966
473.08400,-16.59549881
473.08450,-12.62797151
473.08500,-10.49161065
473.08550,-8.660444207
473.08600,-2.556556053
473.08650,5.07330414
473.08700,7.514859401
473.08750,2.936943286
473.08800,1.105776839
473.08850,9.346025847
473.08900,19.72263571
473.08950,21.85899656
473.09000,18.19666367
473.09050,20.33302452
473.09100,29.79405116
473.09150,37.42391136
473.09200,37.11871695
473.09250,32.23560643
473.09300,26.13171827
473.09350,18.19666367
473.09400,8.125248217
473.09450,-1.946167238
473.09500,-13.54355473
473.09550,-28.49808071
473.09600,-43.14741228
473.09650,-48.0305228
473.09700,-39.17988498
473.09750,-22.39419255
473.09800,-9.270833022
473.09850,-5.913694538
473.09900,-9.57602743
473.09950,-13.54355473
473.10000,-12.62797151
473.10050,-6.829277761
473.10100,-1.335778422
473.10150,0.4953880241
473.10200,0.4953880241
473.10250,4.462915324
473.10300,13.31355315
473.10350,22.46938538
473.10400,25.82652386
473.10450,23.07977419
473.10500,16.97588604
473.10550,10.56680348
473.10600,4.768109732
473.10650,-0.420195199
473.10700,-4.998111315
473.10750,-7.439666576
473.10800,-7.439666576
473.10850,-6.829277761
473.10900,-8.355249799
473.10950,-11.71238828
473.11000,-14.76433236
473.11050,-15.67991558
473.11100,-14.15394355
473.11150,-10.79680506
473.11200,-5.913694538
473.11250,-0.1150007913
473.11300,4.768109732
473.11350,8.125248217
473.11400,10.26160907
473.11450,12.70316433
473.11500,13.92394196
473.11550,11.17719229
473.11600,3.242137693
473.11650,-7.439666576
473.11700,-16.59549881
473.11750,-21.78380374
473.11800,-24.53055341
473.11850,-25.75133104
473.11900,-23.00458137
473.11950,-12.93316591
473.12000,0.4953880241
473.12050,11.17719229
473.12100,17.58627486
473.12150,28.26807912
473.12200,46.88493799
473.12250,63.0602416
473.12300,62.14465838
473.12350,45.96935477
473.12400,30.70963439
473.12450,27.3524959
473.12500,31.3200232
473.12550,34.37196728
473.12600,35.2875505
473.12650,34.98235609
473.12700,30.40443998
473.12750,21.24860775
473.12800,13.92394196
473.12850,9.346025847
473.12900,1.105776839
473.12950,-15.98510999
473.13000,-32.46560801
473.13050,-36.1279409
473.13100,-29.10846952
473.13150,-22.69938696
473.13200,-22.08899815
473.13250,-22.39419255
473.13300,-21.17341492
473.13350,-23.61497018
473.13400,-33.07599682
473.13450,-42.84221787
473.13500,-42.53702346
473.13550,-31.55002478
473.13600,-17.81627644
473.13650,-8.355249799
473.13700,-1.64097283
473.13750,5.378498547
473.13800,13.31355315
473.13850,17.58627486
473.13900,18.19666367
473.13950,20.94341334
473.14000,26.74210709
473.14050,31.3200232
473.14100,31.3200232
473.14150,29.18366235
473.14200,23.99535742
473.14250,9.04083144
473.14300,-15.98510999
473.14350,-36.1279409
473.14400,-35.82274649
473.14450,-20.56302611
473.14500,-11.10199947
473.14550,-17.81627644
473.14600,-29.41366393
473.14650,-30.32924715
473.14700,-19.64744288
473.14750,-9.270833022
473.14800,-7.134472168
473.14850,-8.965638615
473.14900,-6.829277761
473.14950,-0.1150007913
473.15000,4.768109732
473.15050,0.8005824318
473.15100,-11.71238828
473.15150,-29.41366393
473.15200,-46.50455076
473.15250,-57.49154944
473.15300,-58.10193825
473.15350,-51.9980501
473.15400,-43.75780109
473.15450,-24.53055341
473.15500,18.50185808
473.15550,74.6576291
473.15600,101.2095426
473.15650,73.13165706
473.15700,18.19666367
473.15750,-11.40719388
473.15800,-1.946167238
473.15850,15.75510841
473.15900,16.97588604
473.15950,8.735637032
473.16000,7.820053809
473.16050,11.78758111
473.16100,10.56680348
473.16150,4.157720917
473.16200,0.4953880241
473.16250,-0.1150007913
473.16300,-1.030584014
473.16350,-1.946167238
473.16400,-0.1150007913
473.16450,2.021360063
473.16500,1.410971247
473.16550,0.8005824318
473.16600,5.07330414
473.16650,13.31355315
473.16700,20.33302452
473.16750,24.30055182
473.16800,26.43691268
473.16850,26.74210709
473.16900,23.07977419
473.16950,14.53433078
473.17000,4.462915324
473.17050,-2.251361645
473.17100,-4.692916907
473.17150,-8.050055392
473.17200,-19.95263729
473.17250,-41.01105142
473.17300,-62.06946555
473.17350,-72.44607542
473.17400,-68.17335371
473.17450,-55.66038299
473.17500,-44.67338432
473.17550,-36.73832972
473.17600,-24.225359
473.17650,1.410971247
473.17700,37.11871695
473.17750,63.67063042
473.17800,64.58621364
473.17850,43.52779951
473.17900,20.33302452
473.17950,10.26160907
473.18000,9.651220255
473.18050,8.125248217
473.18100,2.32655447
473.18150,-2.251361645
473.18200,-1.946167238
473.18250,1.410971247
473.18300,3.852526509
473.18350,3.242137693
473.18400,0.4953880241
473.18450,-0.420195199
473.18500,2.021360063
473.18550,6.904470586
473.18600,8.430442624
473.18650,4.157720917
473.18700,-3.472139276
473.18750,-11.71238828
473.18800,-18.42666525
473.18850,-23.30977578
473.18900,-26.97210867
473.18950,-28.1928863
473.19000,-23.92016459
473.19050,-11.10199947
473.19100,8.125248217
473.19150,24.91094064
473.19200,29.48885676
473.19250,23.3849686
473.19300,15.75510841
473.19350,10.87199789
473.19400,6.599276178
473.19450,2.32655447
473.19500,2.021360063
473.19550,7.209664994
473.19600,11.78758111
473.19650,12.39796992
473.19700,10.26160907
473.19750,9.346025847
473.19800,9.04083144
473.19850,9.04083144
473.19900,10.26160907
473.19950,12.09277552
473.20000,11.78758111
473.20050,10.26160907
473.20100,10.87199789
473.20150,12.39796992
473.20200,6.29408177
473.20250,-7.439666576
473.20300,-16.59549881
473.20350,-11.71238828
473.20400,-0.1150007913
473.20450,5.378498547
473.20500,5.07330414
473.20550,8.125248217
473.20600,14.53433078
473.20650,16.97588604
473.20700,16.06030282
473.20750,23.3849686
473.20800,43.52779951
473.20850,63.67063042
473.20900,67.0277689
473.20950,49.32649326
473.21000,21.85899656
473.21050,-1.946167238
473.21100,-14.15394355
473.21150,-14.76433236
473.21200,-11.40719388
473.21250,-14.45913795
473.21300,-25.14094222
473.21350,-34.60196886
473.21400,-35.21235768
473.21450,-32.1604136
473.21500,-37.95910735
473.21550,-55.66038299
473.21600,-73.66685305
473.21650,-82.21229646
473.21700,-81.60190765
473.21750,-75.8032139
473.21800,-62.98504878
473.21850,-39.48507938
473.21900,-14.45913795
473.21950,-2.861750461
473.22000,-8.355249799
473.22050,-14.76433236
473.22100,-7.439666576
473.22150,9.346025847
473.22200,20.94341334
473.22250,20.33302452
473.22300,15.14471959
473.22350,11.78758111
473.22400,9.346025847
473.22450,6.29408177
473.22500,5.988887363
473.22550,10.56680348
473.22600,14.22913637
473.22650,9.04083144
473.22700,-2.861750461
473.22750,-10.79680506
473.22800,-7.134472168
473.22850,5.07330414
473.22900,15.449914
473.22950,17.58627486
473.23000,13.61874756
473.23050,9.956414663
473.23100,8.735637032
473.23150,7.820053809
473.23200,6.29408177
473.23250,4.768109732
473.23300,6.599276178
473.23350,11.4823867
473.23400,16.67069163
473.23450,17.89146926
473.23500,12.39796992
473.23550,2.936943286
473.23600,-1.946167238
473.23650,1.105776839
473.23700,8.430442624
473.23750,12.09277552
473.23800,13.00835874
473.23850,19.72263571
473.23900,33.76157846
473.23950,46.27454918
473.24000,46.27454918
473.24050,31.93041202
