"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",472.98000,2000,22000,"uV"

"time","value"
472.98000,-25.34699802
472.98050,-19.54830427
472.98100,-15.58077697
472.98150,-13.13922171
472.98200,-6.42494474
472.98250,6.088025976
472.98300,19.21138551
472.98350,26.23085688
472.98400,24.70488485
472.98450,18.60099669
472.98500,13.41269176
472.98550,13.10749735
472.98600,16.46463584
472.98650,17.68541347
472.98700,15.85424702
472.98750,17.07502465
472.98800,22.26332958
472.98850,20.73735755
472.98900,3.646470714
472.98950,-16.8015546
472.99000,-19.24310986
472.99050,-3.983389478
472.99100,6.088025976
472.99150,-0.6262509935
472.99200,-11.00286086
472.99250,-7.645722371
472.99300,2.730887491
472.99350,5.172442753
472.99400,1.815304268
472.99450,2.730887491
472.99500,4.867248345
472.99550,-3.678195071
472.99600,-19.85349868
472.99650,-27.17816446
472.99700,-22.90544276
472.99750,-19.54830427
472.99800,-20.7690819
472.99850,-14.35999934
472.99900,5.782831568
472.99950,26.53605129
473.00000,29.89318978
473.00050,13.71788617
473.00100,-8.256111186
473.00150,-22.29505394
473.00200,-21.68466512
473.00250,-13.74961052
473.00300,-12.8340273
473.00350,-21.37947072
473.00400,-21.07427631
473.00450,5.172442753
473.00500,43.93213253
473.00550,62.24379699
473.00600,46.6788822
473.00650,18.9061911
473.00700,3.341276307
473.00750,3.036081899
473.00800,5.477637161
473.00850,3.341276307
473.00900,-1.236639809
473.00950,-5.509361517
473.01000,-6.42494474
473.01050,-1.847028624
473.01100,4.562053937
473.01150,4.562053937
473.01200,-2.45741744
473.01250,-9.171694409
473.01300,-8.561305594
473.01350,-5.204167109
473.01400,-5.204167109
473.01450,-6.119750332
473.01500,-3.067806255
473.01550,2.730887491
473.01600,5.477637161
473.01650,4.25685953
473.01700,3.646470714
473.01750,4.867248345
473.01800,5.172442753
473.01850,0.5945266373
473.01900,-5.509361517
473.01950,-9.476888817
473.02000,-8.561305594
473.02050,-6.42494474
473.02100,-7.645722371
473.02150,-11.61324967
473.02200,-13.44441612
473.02250,-9.476888817
473.02300,-1.541834217
473.02350,3.646470714
473.02400,3.951665122
473.02450,-0.01586217811
473.02500,-3.678195071
473.02550,-3.983389478
473.02600,-0.3210565858
473.02650,1.815304268
473.02700,-0.01586217811
473.02750,-4.288583886
473.02800,-3.067806255
473.02850,3.951665122
473.02900,11.27633091
473.02950,12.19191413
473.03000,9.445164461
473.03050,7.613998014
473.03100,7.919192422
473.03150,6.393220384
473.03200,0.899721045
473.03250,-4.898972701
473.03300,-8.561305594
473.03350,-8.256111186
473.03400,-5.204167109
473.03450,-2.762611847
473.03500,-1.236639809
473.03550,-0.01586217811
473.03600,3.036081899
473.03650,5.782831568
473.03700,4.867248345
473.03750,0.899721045
473.03800,-2.762611847
473.03850,-3.373000663
473.03900,-1.541834217
473.03950,-1.847028624
473.04000,-6.42494474
473.04050,-12.22363849
473.04100,-12.8340273
473.04150,-5.204167109
473.04200,6.698414791
473.04250,16.46463584
473.04300,18.60099669
473.04350,13.71788617
473.04400,5.782831568
473.04450,-0.01586217811
473.04500,-1.847028624
473.04550,-2.152223032
473.04600,-3.373000663
473.04650,-4.593778294
473.04700,-1.236639809
473.04750,5.172442753
473.04800,8.834775645
473.04850,3.951665122
473.04900,-3.373000663
473.04950,-4.288583886
473.05000,1.815304268
473.05050,7.613998014
473.05100,8.834775645
473.05150,7.308803607
473.05200,5.782831568
473.05250,3.341276307
473.05300,-0.01586217811
473.05350,-1.847028624
473.05400,-1.236639809
473.05450,-2.45741744
473.05500,-8.256111186
473.05550,-16.19116579
473.05600,-21.68466512
473.05650,-23.82102598
473.05700,-21.37947072
473.05750,-12.22363849
473.05800,-0.3210565858
473.05850,5.782831568
473.05900,2.730887491
473.05950,-2.762611847
473.06000,-3.373000663
473.06050,0.899721045
473.06100,6.088025976
473.06150,9.750358868
473.06200,11.58152531
473.06250,10.36074768
473.06300,5.477637161
473.06350,3.341276307
473.06400,7.613998014
473.06450,13.10749735
473.06500,11.27633091
473.06550,3.951665122
473.06600,2.120498676
473.06650,8.22438683
473.06700,11.58152531
473.06750,3.951665122
473.06800,-7.950916778
473.06850,-13.44441612
473.06900,-9.476888817
473.06950,-2.45741744
473.07000,0.5945266373
473.07050,-0.9314454012
473.07100,-5.509361517
473.07150,-7.645722371
473.07200,-5.204167109
473.07250,-2.152223032
473.07300,-3.067806255
473.07350,-7.035333555
473.07400,-7.950916778
473.07450,-4.593778294
473.07500,-1.541834217
473.07550,-1.541834217
473.07600,-0.01586217811
473.07650,3.646470714
473.07700,1.51010986
473.07750,-8.866500001
473.07800,-18.93791546
473.07850,-18.93791546
473.07900,-9.476888817
473.07950,-0.9314454012
473.08000,-0.3210565858
473.08050,-7.645722371
473.08100,-16.8015546
473.08150,-17.10674901
473.08200,-3.983389478
473.08250,10.36074768
473.08300,11.58152531
473.08350,4.25685953
473.08400,9.139970053
473.08450,30.50357859
473.08500,45.15291016
473.08550,32.94513385
473.08600,7.613998014
473.08650,-6.119750332
473.08700,-4.593778294
473.08750,-1.847028624
473.08800,-2.45741744
473.08850,0.899721045
473.08900,7.308803607
473.08950,7.613998014
473.09000,1.204915453
473.09050,0.2893322296
473.09100,8.22438683
473.09150,15.24385821
473.09200,14.9386638
473.09250,11.58152531
473.09300,8.834775645
473.09350,2.425693084
473.09400,-9.171694409
473.09450,-18.32752664
473.09500,-17.71713782
473.09550,-11.91844408
473.09600,-9.782083225
473.09650,-10.39247204
473.09700,-7.035333555
