"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",494.98000,2000,22000,"uV"

"time","value"
494.98000,2.156646139
494.98050,-0.2849091222
494.98100,-3.642047607
494.98150,-6.999186092
494.98200,-10.96671339
494.98250,-14.93424069
494.98300,-16.46021273
494.98350,-14.93424069
494.98400,-13.10307425
494.98450,-11.2719078
494.98500,-9.440741353
494.98550,-7.304380499
494.98600,-5.473214053
494.98650,-2.421269976
494.98700,1.241062916
494.98750,4.293006993
494.98800,3.682618178
494.98850,2.767034955
494.98900,6.429367847
494.98950,13.75403363
494.99000,19.85792179
494.99050,21.07869942
494.99100,18.94233856
494.99150,15.89039449
494.99200,12.22806159
494.99250,10.39689515
494.99300,11.31247837
494.99350,13.44883922
494.99400,12.533256
494.99450,9.786506332
494.99500,7.650145478
494.99550,6.429367847
494.99600,3.072229362
494.99650,-2.726464384
494.99700,-7.609574907
494.99750,-8.830352538
494.99800,-8.219963722
494.99850,-7.914769315
494.99900,-7.914769315
494.99950,-7.304380499
495.00000,-6.999186092
495.00050,-7.609574907
495.00100,-7.609574907
495.00150,-6.083602869
495.00200,-4.55763083
495.00250,-3.947242015
495.00300,-3.642047607
495.00350,-3.336853199
495.00400,-3.031658792
495.00450,-3.642047607
495.00500,-3.947242015
495.00550,-2.421269976
495.00600,0.6306741009
495.00650,2.461840547
495.00700,2.156646139
495.00750,0.9358685086
495.00800,0.6306741009
495.00850,2.156646139
495.00900,2.767034955
495.00950,1.546257324
495.01000,0.3254796932
495.01050,1.241062916
495.01100,3.987812586
495.01150,3.682618178
495.01200,0.02028528547
495.01250,-4.252436422
495.01300,-3.947242015
495.01350,0.3254796932
495.01400,5.513784624
495.01450,7.955339886
495.01500,9.786506332
495.01550,12.533256
495.01600,13.44883922
495.01650,9.481311924
495.01700,2.156646139
495.01750,-3.336853199
495.01800,-4.55763083
495.01850,-3.947242015
495.01900,-3.336853199
495.01950,-2.726464384
495.02000,-1.505686753
495.02050,-1.505686753
495.02100,-4.252436422
495.02150,-6.999186092
495.02200,-7.304380499
495.02250,-5.778408461
495.02300,-4.55763083
495.02350,-4.55763083
495.02400,-4.252436422
495.02450,-3.947242015
495.02500,-4.252436422
495.02550,-4.862825238
495.02600,-3.642047607
495.02650,-0.8952979376
495.02700,0.02028528547
495.02750,-1.505686753
495.02800,-3.947242015
495.02850,-4.55763083
495.02900,-3.947242015
495.02950,-2.421269976
495.03000,-0.2849091222
495.03050,1.851451732
495.03100,3.987812586
495.03150,3.987812586
495.03200,1.851451732
495.03250,-0.2849091222
495.03300,-0.5901035299
495.03350,1.546257324
495.03400,4.903395809
495.03450,6.734562255
495.03500,6.429367847
495.03550,4.293006993
495.03600,1.546257324
495.03650,-0.5901035299
495.03700,-2.116075568
495.03750,-1.200492345
495.03800,0.02028528547
495.03850,0.02028528547
495.03900,-1.505686753
495.03950,-3.336853199
495.04000,-3.947242015
495.04050,-4.55763083
495.04100,-5.778408461
495.04150,-5.473214053
495.04200,-3.642047607
495.04250,-2.116075568
495.04300,-2.116075568
495.04350,-2.726464384
495.04400,-1.810881161
495.04450,-0.2849091222
495.04500,0.02028528547
495.04550,0.3254796932
495.04600,1.851451732
495.04650,5.208590216
495.04700,8.565728701
495.04750,10.39689515
495.04800,9.786506332
495.04850,7.039756663
495.04900,3.37742377
495.04950,-0.8952979376
495.05000,-3.947242015
495.05050,-5.168019645
495.05100,-5.778408461
495.05150,-8.219963722
495.05200,-12.18749102
495.05250,-13.71346306
495.05300,-10.35632458
495.05350,-4.862825238
495.05400,-3.336853199
495.05450,-4.862825238
495.05500,-4.55763083
495.05550,-0.2849091222
495.05600,3.072229362
495.05650,3.37742377
495.05700,4.598201401
495.05750,10.70208956
495.05800,17.11117212
495.05850,18.02675534
495.05900,14.97481126
495.05950,13.14364482
495.06000,12.22806159
495.06050,7.955339886
495.06100,1.546257324
495.06150,-1.810881161
495.06200,-1.810881161
495.06250,-3.336853199
495.06300,-7.304380499
495.06350,-8.52515813
495.06400,-5.168019645
495.06450,-2.116075568
495.06500,-2.726464384
495.06550,-2.726464384
495.06600,1.546257324
495.06650,7.650145478
495.06700,9.176117517
495.06750,6.429367847
495.06800,3.072229362
495.06850,2.156646139
495.06900,1.851451732
495.06950,0.6306741009
495.07000,-1.200492345
495.07050,-1.810881161
495.07100,0.02028528547
495.07150,3.37742377
495.07200,4.598201401
495.07250,2.461840547
495.07300,0.9358685086
495.07350,2.156646139
495.07400,2.767034955
495.07450,-0.5901035299
495.07500,-6.999186092
495.07550,-9.745935761
495.07600,-8.219963722
495.07650,-5.168019645
495.07700,-3.031658792
495.07750,-1.200492345
495.07800,-0.5901035299
495.07850,-3.642047607
495.07900,-7.914769315
495.07950,-7.914769315
495.08000,-3.642047607
495.08050,-1.810881161
495.08100,-3.336853199
495.08150,-4.55763083
495.08200,-3.031658792
495.08250,-3.336853199
495.08300,-8.219963722
495.08350,-10.96671339
495.08400,-6.693991684
495.08450,0.6306741009
495.08500,3.682618178
495.08550,1.851451732
495.08600,0.6306741009
495.08650,1.241062916
495.08700,0.9358685086
495.08750,-1.505686753
495.08800,-3.336853199
495.08850,-2.726464384
495.08900,-0.2849091222
495.08950,1.241062916
495.09000,2.156646139
495.09050,1.851451732
495.09100,0.9358685086
495.09150,0.3254796932
495.09200,0.3254796932
495.09250,-0.2849091222
495.09300,-2.116075568
495.09350,-2.421269976
495.09400,-0.5901035299
495.09450,1.546257324
495.09500,2.461840547
495.09550,2.156646139
495.09600,2.461840547
495.09650,2.461840547
495.09700,1.546257324
495.09750,0.6306741009
495.09800,1.241062916
495.09850,3.072229362
495.09900,3.987812586
495.09950,2.461840547
495.10000,-0.2849091222
495.10050,-3.642047607
495.10100,-6.388797276
495.10150,-7.304380499
495.10200,-6.388797276
495.10250,-6.083602869
495.10300,-7.304380499
495.10350,-8.52515813
495.10400,-6.693991684
495.10450,-3.336853199
495.10500,-1.810881161
495.10550,-1.810881161
495.10600,0.02028528547
495.10650,3.072229362
495.10700,4.598201401
495.10750,3.37742377
495.10800,2.156646139
495.10850,2.767034955
495.10900,1.546257324
495.10950,-1.810881161
495.11000,-4.862825238
495.11050,-4.55763083
495.11100,-4.55763083
495.11150,-6.388797276
495.11200,-7.914769315
495.11250,-5.778408461
495.11300,-2.421269976
495.11350,-1.200492345
495.11400,-0.8952979376
495.11450,0.6306741009
495.11500,2.156646139
495.11550,2.156646139
495.11600,2.461840547
495.11650,6.124173439
495.11700,12.533256
495.11750,17.11117212
495.11800,17.72156093
495.11850,15.28000567
495.11900,10.39689515
495.11950,4.293006993
495.12000,0.6306741009
495.12050,1.851451732
495.12100,6.734562255
495.12150,11.00728396
495.12200,11.92286719
495.12250,10.09170074
495.12300,6.429367847
495.12350,0.9358685086
495.12400,-3.642047607
495.12450,-5.473214053
495.12500,-3.947242015
495.12550,-1.810881161
495.12600,-0.2849091222
495.12650,0.02028528547
495.12700,0.02028528547
495.12750,0.02028528547
495.12800,1.241062916
495.12850,3.37742377
495.12900,4.903395809
495.12950,5.513784624
495.13000,5.818979032
495.13050,6.124173439
495.13100,4.903395809
495.13150,1.851451732
495.13200,0.02028528547
495.13250,-1.200492345
495.13300,-3.031658792
495.13350,-6.083602869
495.13400,-6.999186092
