time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
0.0,25.35020096,-4.853826502,3.242137693,-6.388797276,1.204915453
0.0005,24.43461773,-5.15902091,1.716165655,-7.304380499,0.2893322296
0.001,25.04500655,-4.853826502,1.105776839,-7.304380499,0.2893322296
0.0015,24.73981214,-3.022660056,1.716165655,-6.999186092,1.204915453
0.002,21.68786806,-2.41227124,3.852526509,-6.999186092,1.51010986
0.0025,18.33072958,-3.938243279,7.209664994,-7.304380499,0.899721045
0.003,16.80475754,-5.769409725,8.430442624,-6.999186092,-0.01586217811
0.0035,16.80475754,-4.853826502,6.29408177,-4.862825238,0.2893322296
0.004,16.80475754,-3.327854464,3.547332101,-2.421269976,1.51010986
0.0045,18.33072958,-3.327854464,4.462915324,-3.031658792,2.120498676
0.005,21.07747925,-4.853826502,7.820053809,-6.693991684,0.899721045
0.0055,21.38267366,-3.633048871,10.87199789,-10.66151898,-0.6262509935
0.006,18.33072958,-0.2759103866,12.09277552,-10.05113017,-0.9314454012
0.0065,14.66839669,0.6396728365,13.92394196,-5.778408461,-0.01586217811
0.007,14.05800787,-1.19149361,15.449914,-2.421269976,-0.3210565858
0.0075,14.36320228,-1.801882425,13.00835874,-3.642047607,-3.373000663
0.008,12.22684143,0.9448672442,5.683692955,-6.693991684,-6.42494474
0.0085,8.869702941,4.607200137,-1.64097283,-6.693991684,-6.119750332
0.009,7.954119718,4.302005729,-8.660444207,-4.55763083,-3.373000663
0.0095,8.259314126,0.6396728365,-18.42666525,-4.252436422,-0.3210565858
0.01,5.512564457,-2.41227124,-29.10846952,-7.609574907,1.815304268
0.0105,0.01906511792,-3.633048871,-34.60196886,-11.57710221,4.867248345
0.011,-4.558850998,-3.327854464,-33.38119123,-11.2719078,6.088025976
0.0115,-5.474434221,-2.717465648,-33.68638564,-7.914769315,3.341276307
0.012,-3.948462182,-3.022660056,-38.56949616,-5.778408461,-0.9314454012
0.0125,-0.5913236975,-4.548632094,-38.56949616,-7.609574907,-1.847028624
0.013,3.071009195,-5.464215317,-28.1928863,-10.96671339,0.2893322296
0.0135,6.122953272,-3.633048871,-18.42666525,-12.79787984,0.5945266373
0.014,7.343730903,0.02928402113,-19.95263729,-11.57710221,-3.983389478
0.0145,7.343730903,1.250061652,-26.36171985,-9.440741353,-9.171694409
0.015,8.564508534,-0.2759103866,-22.69938696,-8.830352538,-9.782083225
0.0155,10.39567498,-3.022660056,-8.660444207,-7.914769315,-7.340527963
0.016,9.785286164,-3.633048871,3.242137693,-5.168019645,-6.119750332
0.0165,6.733342087,-2.717465648,9.04083144,-1.505686753,-5.204167109
0.017,4.596981233,-2.41227124,17.89146926,0.6306741009,-1.236639809
0.0175,7.038536495,-1.19149361,32.23560643,1.241062916,4.867248345
0.018,14.9735911,1.55525606,42.91741069,0.3254796932,8.834775645
0.0185,25.35020096,5.217588952,44.13818833,-1.810881161,9.750358868
0.019,29.62292266,4.912394544,42.61221629,-5.778408461,11.88671972
0.0195,21.99306247,0.6396728365,43.83299392,-8.219963722,16.76983025
0.02,6.733342087,-2.717465648,40.17066103,-5.473214053,21.34774636
0.0205,-3.948462182,-2.107076833,22.77457979,0.6306741009,20.43216314
0.021,-5.169239813,1.250061652,-4.692916907,4.903395809,12.80230295
0.0215,-5.474434221,3.691616914,-29.71885834,3.987812586,2.425693084
0.022,-14.32507204,3.081228098,-42.23182905,2.156646139,-5.814555924
0.0225,-25.92245954,0.6396728365,-40.0954682,3.37742377,-11.00286086
0.023,-27.14323717,-0.886299202,-27.88769189,5.818979032,-12.52883289
0.0235,-16.15623849,0.02928402113,-13.54355473,5.513784624,-12.22363849
0.024,-5.779628628,2.165644875,-6.524083353,3.072229362,-10.69766645
0.0245,-4.25365659,3.996811321,-9.57602743,1.851451732,-8.256111186
0.025,-4.558850998,3.081228098,-15.98510999,2.156646139,-5.814555924
0.0255,1.545037156,0.6396728365,-17.51108203,1.241062916,-4.288583886
0.026,9.480091757,-0.5811047943,-12.62797151,-0.8952979376,-3.067806255
0.0265,9.785286164,0.3344784288,-6.524083353,-1.810881161,-1.847028624
0.027,2.765814787,2.165644875,-2.861750461,0.02028528547,-0.9314454012
0.0275,-2.422490144,3.691616914,-1.335778422,3.37742377,-1.541834217
0.028,-2.422490144,3.996811321,-0.1150007913,6.429367847,-2.152223032
0.0285,-1.506906921,3.691616914,-0.1150007913,8.870923109,-0.9314454012
0.029,-1.506906921,3.386422506,-0.1150007913,11.31247837,0.899721045
0.0295,1.239842749,3.081228098,0.4953880241,11.92286719,1.51010986
0.03,8.869702941,3.386422506,2.32655447,9.786506332,0.5945266373
0.0305,17.72034076,3.386422506,4.157720917,6.429367847,-0.01586217811
0.031,24.43461773,2.470839283,5.07330414,3.37742377,-0.01586217811
0.0315,29.31772826,0.02928402113,5.378498547,-0.2849091222,-0.01586217811
0.032,31.45408911,-2.717465648,5.07330414,-6.083602869,-0.01586217811
0.0325,27.1813674,-5.464215317,5.07330414,-11.57710221,0.2893322296
0.033,15.58397991,-6.379798541,5.683692955,-14.62904628,1.815304268
0.0335,4.291786826,-5.464215317,7.209664994,-14.93424069,2.730887491
0.034,0.01906511792,-3.938243279,9.346025847,-15.54462951,2.730887491
0.0345,2.155425972,-3.022660056,12.70316433,-18.59657358,2.730887491
0.035,3.68139801,-3.633048871,18.50185808,-23.1744897,4.25685953
0.0355,0.6294539333,-4.853826502,23.69016301,-24.70046174,6.088025976
0.036,-7.915989482,-4.243437687,24.91094064,-19.81735122,6.698414791
0.0365,-22.26012664,-1.19149361,20.63821893,-9.135546946,6.393220384
0.037,-37.51984703,1.55525606,14.53433078,1.851451732,6.088025976
0.0375,-46.67567926,2.165644875,9.956414663,9.481311924,6.088025976
0.038,-48.50684571,0.6396728365,3.852526509,12.83845041,5.782831568
0.0385,-48.50684571,0.02928402113,-7.744860984,14.97481126,4.25685953
0.039,-51.55878978,0.02928402113,-23.61497018,18.63714416,1.815304268
0.0395,-53.69515064,0.3344784288,-33.07599682,23.52025468,-1.236639809
0.04,-48.81204011,0.6396728365,-30.93963597,26.57219876,-3.067806255
0.0405,-38.43543025,0.3344784288,-22.69938696,25.96180994,-2.45741744
0.041,-28.97440361,0.3344784288,-16.2903044,21.68908823,-0.3210565858
0.0415,-24.09129309,0.6396728365,-12.62797151,16.5007833,0.2893322296
0.042,-20.73415461,2.165644875,-7.744860984,13.75403363,-0.9314454012
0.0425,-16.76662731,5.217588952,-2.251361645,13.75403363,-3.067806255
0.043,-13.40948882,7.964338621,-0.1150007913,13.75403363,-3.983389478
0.0435,-10.35754474,7.659144214,-1.030584014,10.39689515,-3.983389478
0.044,-6.390017444,4.912394544,-0.1150007913,3.987812586,-3.983389478
0.0445,-2.117295736,2.470839283,4.157720917,-0.8952979376,-3.983389478
0.045,0.3242595256,1.250061652,7.820053809,-2.421269976,-3.983389478
0.0455,0.6294539333,1.250061652,7.209664994,-0.8952979376,-3.983389478
0.046,0.01906511792,1.860450467,5.378498547,0.9358685086,-3.983389478
0.0465,0.01906511792,3.386422506,5.988887363,1.851451732,-2.762611847
0.047,0.6294539333,4.607200137,7.209664994,2.156646139,-0.6262509935
0.0475,2.155425972,4.302005729,6.29408177,4.598201401,0.2893322296
0.048,3.376203603,3.691616914,4.157720917,9.481311924,-0.3210565858
0.0485,3.986592418,4.912394544,2.936943286,13.75403363,-2.152223032
0.049,3.376203603,7.048755398,1.716165655,13.44883922,-2.762611847
0.0495,2.765814787,6.438366583,-1.335778422,9.786506332,-2.45741744
0.05,1.545037156,3.081228098,-5.913694538,6.734562255,-2.45741744
0.0505,0.3242595256,0.3344784288,-7.439666576,6.124173439,-2.152223032
0.051,-0.2861292898,0.02928402113,-5.303305722,4.903395809,-1.541834217
0.0515,0.01906511792,-0.2759103866,-2.861750461,0.6306741009,-0.01586217811
0.052,1.545037156,-2.107076833,-1.946167238,-4.55763083,0.2893322296
0.0525,2.155425972,-3.938243279,-1.335778422,-7.304380499,-0.01586217811
0.053,0.934648341,-3.633048871,0.8005824318,-6.999186092,-1.236639809
0.0535,0.6294539333,-2.717465648,4.462915324,-6.693991684,-2.762611847
0.054,1.850231564,-3.327854464,7.820053809,-7.304380499,-2.762611847
0.0545,3.376203603,-4.548632094,9.956414663,-7.304380499,-0.9314454012
0.055,3.68139801,-4.548632094,10.87199789,-5.778408461,1.204915453
0.0555,3.376203603,-2.717465648,9.651220255,-4.55763083,2.425693084
0.056,3.071009195,-1.19149361,6.904470586,-3.031658792,1.51010986
0.0565,1.850231564,-0.886299202,2.936943286,0.02028528547,-0.3210565858
0.057,-0.2861292898,-1.19149361,-0.420195199,3.37742377,-0.9314454012
0.0575,0.3242595256,-1.496688017,-2.861750461,4.598201401,0.5945266373
0.058,8.869702941,-1.19149361,-2.861750461,2.156646139,3.646470714
0.0585,21.07747925,0.02928402113,1.410971247,-1.200492345,4.867248345
0.059,27.79175622,1.250061652,9.651220255,-2.726464384,2.730887491
0.0595,24.73981214,0.9448672442,16.67069163,-2.726464384,-0.3210565858
0.06,16.80475754,-1.19149361,16.36549722,-3.031658792,-2.152223032
0.0605,10.39567498,-3.633048871,9.956414663,-4.252436422,-1.541834217
0.061,7.038536495,-3.938243279,4.462915324,-4.252436422,-0.3210565858
0.0615,3.68139801,-2.717465648,3.852526509,-3.336853199,-0.01586217811
0.062,-0.5913236975,-2.41227124,4.462915324,-2.726464384,0.5945266373
0.0625,-2.422490144,-2.717465648,-0.1150007913,-3.031658792,0.5945266373
0.063,-0.2861292898,-2.41227124,-11.40719388,-3.031658792,-0.9314454012
0.0635,2.155425972,-0.5811047943,-21.78380374,-1.810881161,-3.983389478
0.064,1.850231564,0.6396728365,-26.66691426,0.02028528547,-6.119750332
0.0645,-0.8965181052,0.9448672442,-27.88769189,0.02028528547,-5.814555924
0.065,-4.558850998,0.3344784288,-29.10846952,-0.5901035299,-3.983389478
0.0655,-6.084823036,0.02928402113,-30.02405275,-1.810881161,-2.152223032
0.066,-4.25365659,0.02928402113,-26.36171985,-2.421269976,-0.01586217811
0.0665,2.155425972,0.02928402113,-21.17341492,-3.336853199,1.815304268
0.067,12.22684143,1.250061652,-22.08899815,-5.778408461,0.5945266373
0.0675,21.38267366,2.77603369,-31.24483038,-7.609574907,-5.814555924
0.068,25.96058977,3.081228098,-37.34871853,-7.304380499,-13.13922171
0.0685,25.65539536,1.55525606,-27.88769189,-5.473214053,-14.05480493
0.069,23.82422892,0.3344784288,-4.082528091,-4.55763083,-7.645722371
0.0695,21.07747925,0.3344784288,19.11224689,-5.778408461,-0.01586217811
0.07,16.19436873,1.250061652,29.79405116,-6.388797276,2.120498676
0.0705,8.564508534,1.250061652,30.09924557,-5.473214053,0.2893322296
0.071,-0.2861292898,0.02928402113,28.26807912,-3.642047607,-1.541834217
0.0715,-9.136767113,-0.5811047943,27.04730149,-1.810881161,-1.847028624
0.072,-15.54584967,-0.886299202,23.69016301,-0.8952979376,-0.6262509935
0.0725,-18.90298816,-0.886299202,18.80705249,-0.5901035299,1.204915453
0.073,-22.26012664,-1.496688017,13.92394196,-1.810881161,2.425693084
0.0735,-30.19518124,-2.717465648,7.514859401,-3.642047607,2.120498676
0.074,-38.74062466,-3.938243279,-3.166944868,-3.947242015,2.730887491
0.0745,-37.82504144,-3.327854464,-13.84874914,-1.810881161,6.393220384
0.075,-23.78609868,-0.5811047943,-16.59549881,0.02028528547,11.27633091
0.0755,-7.610795075,2.165644875,-11.71238828,-0.8952979376,10.9711365
0.076,-0.8965181052,2.470839283,-9.881221838,-3.947242015,3.951665122
0.0765,-0.2861292898,0.02928402113,-15.06952677,-7.609574907,-3.373000663
0.077,3.071009195,-3.022660056,-20.56302611,-10.35632458,-4.288583886
0.0775,9.785286164,-4.548632094,-18.42666525,-12.49268543,-0.01586217811
0.078,11.3112582,-4.548632094,-10.49161065,-12.79787984,3.036081899
0.0785,10.39567498,-3.938243279,-3.472139276,-11.88229661,2.120498676
0.079,16.80475754,-3.022660056,-0.1150007913,-10.05113017,0.899721045
0.0795,27.48656181,-2.107076833,2.936943286,-8.52515813,1.815304268
0.08,20.46709043,-1.496688017,4.768109732,-6.388797276,3.341276307
