"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",21.98000,2000,22000,"uV"

"time","value"
21.98000,0.6396728365
21.98050,-0.886299202
21.98100,-1.801882425
21.98150,-1.19149361
21.98200,0.02928402113
21.98250,1.250061652
21.98300,1.55525606
21.98350,1.55525606
21.98400,0.6396728365
21.98450,-1.19149361
21.98500,-3.022660056
21.98550,-2.717465648
21.98600,-1.801882425
21.98650,-0.886299202
21.98700,-0.5811047943
21.98750,-1.801882425
21.98800,-3.938243279
21.98850,-6.684992948
21.98900,-8.210964987
21.98950,-7.600576171
21.99000,-6.074604133
21.99050,-4.853826502
21.99100,-3.633048871
21.99150,-2.107076833
21.99200,-0.5811047943
21.99250,-0.2759103866
21.99300,-0.5811047943
21.99350,0.02928402113
21.99400,2.165644875
21.99450,3.691616914
21.99500,2.470839283
21.99550,0.02928402113
21.99600,-0.886299202
21.99650,0.02928402113
21.99700,0.6396728365
21.99750,-0.2759103866
21.99800,-1.801882425
21.99850,-0.2759103866
21.99900,4.302005729
21.99950,7.353949806
22.00000,5.827977767
22.00050,2.165644875
22.00100,0.6396728365
22.00150,2.165644875
22.00200,3.386422506
22.00250,3.081228098
22.00300,1.250061652
22.00350,-0.5811047943
22.00400,-2.717465648
22.00450,-4.548632094
22.00500,-4.548632094
22.00550,-3.938243279
22.00600,-3.938243279
22.00650,-4.243437687
22.00700,-3.327854464
22.00750,-3.022660056
22.00800,-5.769409725
22.00850,-10.34732584
22.00900,-12.17849229
22.00950,-9.431742618
22.01000,-4.548632094
22.01050,-2.107076833
22.01100,-1.19149361
22.01150,0.02928402113
22.01200,1.860450467
22.01250,2.77603369
22.01300,3.386422506
22.01350,4.607200137
22.01400,5.217588952
22.01450,4.607200137
22.01500,3.691616914
22.01550,3.691616914
22.01600,3.081228098
22.01650,0.9448672442
22.01700,0.02928402113
22.01750,2.470839283
22.01800,5.52278336
22.01850,5.827977767
22.01900,3.691616914
22.01950,2.77603369
22.02000,3.691616914
22.02050,3.386422506
22.02100,1.860450467
22.02150,1.250061652
22.02200,1.55525606
22.02250,0.9448672442
22.02300,-0.5811047943
22.02350,-1.801882425
22.02400,-0.886299202
22.02450,-0.5811047943
22.02500,-0.886299202
22.02550,-0.2759103866
22.02600,1.55525606
22.02650,2.165644875
22.02700,0.02928402113
22.02750,-2.41227124
22.02800,-3.022660056
22.02850,-3.938243279
22.02900,-6.379798541
22.02950,-8.821353802
22.03000,-9.431742618
22.03050,-9.12654821
22.03100,-10.65252025
22.03150,-12.17849229
22.03200,-11.26290906
22.03250,-8.210964987
22.03300,-6.379798541
22.03350,-6.379798541
22.03400,-5.769409725
22.03450,-4.243437687
22.03500,-3.633048871
22.03550,-4.548632094
22.03600,-4.548632094
22.03650,-2.717465648
22.03700,0.02928402113
22.03750,3.081228098
22.03800,6.438366583
22.03850,10.71108829
22.03900,12.54225474
22.03950,9.49031066
22.04000,3.386422506
22.04050,-0.2759103866
22.04100,0.02928402113
22.04150,0.9448672442
22.04200,0.6396728365
22.04250,0.6396728365
22.04300,2.77603369
22.04350,5.217588952
22.04400,5.52278336
22.04450,5.217588952
22.04500,6.743560991
22.04550,8.574727437
22.04600,7.964338621
22.04650,3.996811321
22.04700,0.6396728365
22.04750,0.6396728365
22.04800,1.250061652
22.04850,0.02928402113
22.04900,-2.41227124
22.04950,-3.327854464
22.05000,-2.41227124
22.05050,-1.801882425
22.05100,-0.886299202
22.05150,0.9448672442
22.05200,3.996811321
22.05250,5.827977767
22.05300,5.217588952
22.05350,3.386422506
22.05400,1.55525606
22.05450,-0.5811047943
22.05500,-2.717465648
22.05550,-3.327854464
22.05600,-3.022660056
22.05650,-3.022660056
22.05700,-2.717465648
22.05750,-1.19149361
22.05800,0.02928402113
22.05850,-1.19149361
22.05900,-4.853826502
22.05950,-6.074604133
22.06000,-3.938243279
22.06050,0.02928402113
22.06100,3.081228098
22.06150,6.438366583
22.06200,9.49031066
22.06250,10.10069948
22.06300,7.964338621
22.06350,5.827977767
22.06400,4.607200137
22.06450,2.165644875
22.06500,-1.496688017
22.06550,-3.938243279
22.06600,-2.717465648
22.06650,-0.5811047943
22.06700,0.02928402113
22.06750,-0.886299202
22.06800,-1.19149361
22.06850,-1.19149361
22.06900,-2.41227124
22.06950,-3.938243279
22.07000,-4.243437687
22.07050,-2.717465648
22.07100,-0.5811047943
22.07150,0.3344784288
22.07200,0.02928402113
22.07250,-3.022660056
22.07300,-6.684992948
22.07350,-7.600576171
22.07400,-6.074604133
22.07450,-3.633048871
22.07500,-1.496688017
22.07550,0.3344784288
22.07600,2.470839283
22.07650,3.386422506
22.07700,3.386422506
22.07750,4.302005729
22.07800,4.607200137
22.07850,2.77603369
22.07900,0.3344784288
22.07950,0.6396728365
22.08000,3.386422506
22.08050,3.691616914
22.08100,0.9448672442
22.08150,-0.2759103866
22.08200,1.860450467
22.08250,4.607200137
22.08300,3.996811321
22.08350,1.55525606
22.08400,0.6396728365
22.08450,0.9448672442
22.08500,0.6396728365
22.08550,0.02928402113
22.08600,0.6396728365
22.08650,0.9448672442
22.08700,-0.5811047943
22.08750,-3.022660056
22.08800,-3.633048871
22.08850,-2.41227124
22.08900,-2.107076833
22.08950,-3.327854464
22.09000,-3.022660056
22.09050,-0.5811047943
22.09100,1.250061652
22.09150,1.860450467
22.09200,1.250061652
22.09250,0.9448672442
22.09300,0.6396728365
22.09350,0.02928402113
22.09400,-0.2759103866
22.09450,-0.2759103866
22.09500,-0.2759103866
22.09550,-0.2759103866
22.09600,0.02928402113
22.09650,0.3344784288
22.09700,1.860450467
22.09750,3.691616914
22.09800,5.827977767
22.09850,7.353949806
22.09900,6.133172175
22.09950,3.996811321
22.10000,3.386422506
22.10050,4.912394544
22.10100,5.217588952
22.10150,1.55525606
22.10200,-3.327854464
22.10250,-5.15902091
22.10300,-3.938243279
22.10350,-2.717465648
22.10400,-2.41227124
22.10450,0.02928402113
22.10500,3.996811321
22.10550,6.743560991
22.10600,5.52278336
22.10650,1.250061652
22.10700,-2.717465648
22.10750,-5.464215317
22.10800,-6.379798541
22.10850,-6.074604133
22.10900,-5.769409725
22.10950,-7.600576171
22.11000,-9.736937025
22.11050,-8.516159395
22.11100,-3.633048871
22.11150,0.9448672442
22.11200,2.77603369
22.11250,3.386422506
22.11300,4.912394544
22.11350,5.217588952
22.11400,2.77603369
22.11450,0.02928402113
22.11500,0.02928402113
22.11550,1.860450467
22.11600,3.081228098
22.11650,3.691616914
22.11700,4.607200137
22.11750,5.827977767
22.11800,5.217588952
22.11850,2.77603369
22.11900,1.55525606
22.11950,3.691616914
22.12000,7.048755398
22.12050,8.879921844
22.12100,7.353949806
22.12150,4.302005729
22.12200,1.55525606
22.12250,0.3344784288
22.12300,0.6396728365
22.12350,1.55525606
22.12400,1.860450467
22.12450,0.6396728365
22.12500,-2.107076833
22.12550,-4.243437687
22.12600,-3.327854464
22.12650,-1.19149361
22.12700,-1.496688017
22.12750,-5.15902091
22.12800,-7.600576171
22.12850,-6.379798541
22.12900,-4.548632094
22.12950,-5.769409725
22.13000,-8.821353802
22.13050,-9.431742618
22.13100,-7.905770579
22.13150,-6.379798541
22.13200,-5.769409725
22.13250,-5.15902091
22.13300,-4.243437687
22.13350,-3.938243279
22.13400,-3.022660056
22.13450,0.3344784288
22.13500,4.912394544
22.13550,6.133172175
22.13600,3.996811321
22.13650,2.77603369
22.13700,4.607200137
22.13750,6.133172175
22.13800,5.217588952
22.13850,2.77603369
22.13900,1.250061652
22.13950,0.02928402113
22.14000,-1.19149361
22.14050,-1.801882425
22.14100,0.3344784288
22.14150,2.77603369
22.14200,2.470839283
22.14250,-0.2759103866
22.14300,-1.496688017
22.14350,0.9448672442
22.14400,3.996811321
22.14450,4.607200137
22.14500,3.081228098
22.14550,1.250061652
22.14600,0.02928402113
22.14650,-2.107076833
22.14700,-3.938243279
22.14750,-4.548632094
22.14800,-4.243437687
22.14850,-3.938243279
22.14900,-4.548632094
22.14950,-5.769409725
22.15000,-7.295381764
22.15050,-8.210964987
22.15100,-7.905770579
22.15150,-6.379798541
22.15200,-5.15902091
22.15250,-5.15902091
22.15300,-4.853826502
22.15350,-3.022660056
22.15400,-0.2759103866
22.15450,1.860450467
22.15500,3.386422506
22.15550,4.912394544
22.15600,6.133172175
22.15650,6.438366583
22.15700,5.52278336
22.15750,4.607200137
22.15800,3.691616914
22.15850,3.081228098
22.15900,2.77603369
22.15950,3.081228098
22.16000,2.77603369
22.16050,0.9448672442
22.16100,-1.496688017
22.16150,-3.022660056
22.16200,-2.717465648
22.16250,-1.19149361
22.16300,0.02928402113
22.16350,2.165644875
22.16400,3.081228098
22.16450,0.9448672442
22.16500,-3.633048871
22.16550,-7.600576171
22.16600,-7.905770579
22.16650,-5.769409725
