"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",32.98000,2000,22000,"uV"

"time","value"
32.98000,-1.201712513
32.98050,-3.032878959
32.98100,-5.169239813
32.98150,-6.390017444
32.98200,-6.695211852
32.98250,-6.695211852
32.98300,-7.305600667
32.98350,-7.915989482
32.98400,-8.22118389
32.98450,-8.22118389
32.98500,-8.22118389
32.98550,-7.000406259
32.98600,-5.779628628
32.98650,-6.084823036
32.98700,-9.136767113
32.98750,-12.18871119
32.98800,-12.4939056
32.98850,-9.747155929
32.98900,-6.695211852
32.98950,-4.864045405
32.99000,-3.338073367
32.99050,-1.812101328
32.99100,-0.5913236975
32.99150,0.934648341
32.99200,3.68139801
32.99250,6.733342087
32.99300,6.42814768
32.99350,4.596981233
32.99400,4.902175641
32.99450,7.343730903
32.99500,7.64892531
32.99550,4.596981233
32.99600,1.239842749
32.99650,1.850231564
32.99700,5.512564457
32.99750,9.480091757
32.99800,11.92164702
32.99850,12.22684143
32.99900,10.09048057
32.99950,7.343730903
33.00000,5.817758864
33.00050,5.512564457
33.00100,4.596981233
33.00150,5.207370049
33.00200,9.480091757
33.00250,11.61645261
33.00300,1.545037156
33.00350,-21.64973783
33.00400,-44.53931841
33.00450,-51.86398419
33.00500,-43.31854078
33.00550,-29.58479243
33.00600,-18.59779375
33.00650,-9.441961521
33.00700,-0.8965181052
33.00750,5.207370049
33.00800,8.564508534
33.00850,11.3112582
33.00900,14.36320228
33.00950,15.88917432
33.01000,14.36320228
33.01050,12.22684143
33.01100,12.22684143
33.01150,14.05800787
33.01200,14.66839669
33.01250,11.92164702
33.01300,8.259314126
33.01350,6.42814768
33.01400,5.817758864
33.01450,4.902175641
33.01500,3.071009195
33.01550,2.155425972
33.01600,2.765814787
33.01650,4.291786826
33.01700,4.291786826
33.01750,2.765814787
33.01800,1.545037156
33.01850,0.934648341
33.01900,0.3242595256
33.01950,-0.5913236975
33.02000,-2.727684551
33.02050,-3.338073367
33.02100,-2.117295736
33.02150,0.934648341
33.02200,3.68139801
33.02250,3.986592418
33.02300,3.071009195
33.02350,3.071009195
33.02400,3.986592418
33.02450,4.902175641
33.02500,4.596981233
33.02550,3.986592418
33.02600,3.68139801
33.02650,3.376203603
33.02700,2.46062038
33.02750,1.850231564
33.02800,2.46062038
33.02850,3.376203603
33.02900,4.291786826
33.02950,5.207370049
33.03000,5.817758864
33.03050,5.512564457
33.03100,3.986592418
33.03150,2.765814787
33.03200,2.46062038
33.03250,4.291786826
33.03300,6.122953272
33.03350,7.038536495
33.03400,7.038536495
33.03450,7.038536495
33.03500,7.038536495
33.03550,6.733342087
33.03600,5.207370049
33.03650,3.071009195
33.03700,1.545037156
33.03750,1.850231564
33.03800,2.765814787
33.03850,2.155425972
33.03900,-1.201712513
33.03950,-5.169239813
33.04000,-6.084823036
33.04050,-3.948462182
33.04100,-2.117295736
33.04150,-3.643267774
33.04200,-7.000406259
33.04250,-8.526378298
33.04300,-7.610795075
33.04350,-6.084823036
33.04400,-4.558850998
33.04450,-3.338073367
33.04500,-2.117295736
33.04550,-1.506906921
33.04600,-1.201712513
33.04650,-0.2861292898
33.04700,1.239842749
33.04750,1.545037156
33.04800,0.01906511792
33.04850,-0.5913236975
33.04900,0.01906511792
33.04950,2.155425972
33.05000,3.071009195
33.05050,2.46062038
33.05100,1.545037156
33.05150,0.934648341
33.05200,-0.2861292898
33.05250,-0.8965181052
33.05300,0.01906511792
33.05350,2.46062038
33.05400,3.68139801
33.05450,1.850231564
33.05500,-0.2861292898
33.05550,-1.506906921
33.05600,-1.812101328
33.05650,-3.032878959
33.05700,-3.948462182
33.05750,-3.338073367
33.05800,-1.812101328
33.05850,-0.2861292898
33.05900,0.01906511792
33.05950,-0.8965181052
33.06000,-2.727684551
33.06050,-3.948462182
33.06100,-3.948462182
33.06150,-3.338073367
33.06200,-1.812101328
33.06250,0.01906511792
33.06300,2.46062038
33.06350,3.986592418
33.06400,3.986592418
33.06450,3.68139801
33.06500,3.68139801
33.06550,2.765814787
33.06600,1.850231564
33.06650,6.42814768
33.06700,18.63592399
33.06750,29.31772826
33.06800,25.35020096
33.06850,5.512564457
33.06900,-15.54584967
33.06950,-22.26012664
33.07000,-14.93546086
33.07050,-4.25365659
33.07100,1.850231564
33.07150,4.596981233
33.07200,6.122953272
33.07250,6.42814768
33.07300,5.512564457
33.07350,3.68139801
33.07400,1.239842749
33.07450,-0.8965181052
33.07500,-2.117295736
33.07550,-2.422490144
33.07600,-3.032878959
33.07650,-4.864045405
33.07700,-6.390017444
33.07750,-5.779628628
33.07800,-4.558850998
33.07850,-3.643267774
33.07900,-3.643267774
33.07950,-4.25365659
33.08000,-6.084823036
33.08050,-7.915989482
33.08100,-7.610795075
33.08150,-4.864045405
33.08200,-2.727684551
33.08250,-2.727684551
33.08300,-3.643267774
33.08350,-4.25365659
33.08400,-4.558850998
33.08450,-4.864045405
33.08500,-4.558850998
33.08550,-3.032878959
33.08600,-1.201712513
33.08650,0.01906511792
33.08700,0.3242595256
33.08750,-0.2861292898
33.08800,-3.032878959
33.08850,-5.779628628
33.08900,-6.084823036
33.08950,-3.948462182
33.09000,-2.727684551
33.09050,-3.032878959
33.09100,-3.643267774
33.09150,-3.032878959
33.09200,-2.422490144
33.09250,-2.422490144
33.09300,-2.117295736
33.09350,-0.8965181052
33.09400,-0.2861292898
33.09450,-1.812101328
33.09500,-3.643267774
33.09550,-4.558850998
33.09600,-3.948462182
33.09650,-3.032878959
33.09700,-3.032878959
33.09750,-3.338073367
33.09800,-3.643267774
33.09850,-2.727684551
33.09900,-0.5913236975
33.09950,0.3242595256
33.10000,0.01906511792
33.10050,-1.506906921
33.10100,-1.201712513
33.10150,0.01906511792
33.10200,0.934648341
33.10250,0.01906511792
33.10300,-2.117295736
33.10350,-5.779628628
33.10400,-9.441961521
33.10450,-10.96793356
33.10500,-9.136767113
33.10550,-5.474434221
33.10600,-2.117295736
33.10650,1.239842749
33.10700,5.817758864
33.10750,9.480091757
33.10800,9.174897349
33.10850,7.038536495
33.10900,6.122953272
33.10950,6.733342087
33.11000,6.42814768
33.11050,5.207370049
33.11100,6.733342087
33.11150,10.70086939
33.11200,12.22684143
33.11250,10.39567498
33.11300,8.869702941
33.11350,9.785286164
33.11400,10.09048057
33.11450,7.038536495
33.11500,3.68139801
33.11550,3.68139801
33.11600,5.817758864
33.11650,7.954119718
33.11700,10.09048057
33.11750,12.53203583
33.11800,13.44761906
33.11850,11.92164702
33.11900,11.0060638
33.11950,11.0060638
33.12000,9.785286164
33.12050,5.817758864
33.12100,4.291786826
33.12150,7.64892531
33.12200,7.954119718
33.12250,-4.864045405
33.12300,-28.05882039
33.12350,-45.76009604
33.12400,-48.2016513
33.12450,-38.43543025
33.12500,-26.83804276
33.12550,-17.68221053
33.12600,-10.05235034
33.12650,-3.338073367
33.12700,0.6294539333
33.12750,2.765814787
33.12800,3.376203603
33.12850,3.376203603
33.12900,3.376203603
33.12950,3.986592418
33.13000,4.596981233
33.13050,4.291786826
33.13100,3.376203603
33.13150,2.46062038
33.13200,2.765814787
33.13250,2.765814787
33.13300,2.155425972
33.13350,1.850231564
33.13400,2.155425972
33.13450,1.545037156
33.13500,0.3242595256
33.13550,0.01906511792
33.13600,1.239842749
33.13650,1.850231564
33.13700,1.239842749
33.13750,1.239842749
33.13800,2.46062038
33.13850,3.986592418
33.13900,3.68139801
33.13950,2.155425972
33.14000,1.239842749
33.14050,0.6294539333
33.14100,-0.5913236975
33.14150,-0.8965181052
33.14200,0.934648341
33.14250,3.986592418
33.14300,5.207370049
33.14350,2.46062038
33.14400,-2.727684551
33.14450,-8.22118389
33.14500,-10.35754474
33.14550,-9.136767113
33.14600,-7.000406259
33.14650,-7.305600667
33.14700,-8.526378298
33.14750,-6.084823036
33.14800,0.934648341
33.14850,8.564508534
33.14900,10.39567498
33.14950,7.343730903
33.15000,3.986592418
33.15050,3.68139801
33.15100,4.596981233
33.15150,4.902175641
33.15200,4.902175641
33.15250,5.512564457
33.15300,5.512564457
33.15350,4.596981233
33.15400,3.986592418
33.15450,3.986592418
33.15500,2.765814787
33.15550,0.01906511792
33.15600,-1.812101328
33.15650,-1.506906921
33.15700,0.01906511792
33.15750,-0.5913236975
33.15800,-2.422490144
33.15850,-3.338073367
33.15900,-2.422490144
33.15950,-1.812101328
33.16000,-3.032878959
33.16050,-4.864045405
33.16100,-5.474434221
33.16150,-4.25365659
33.16200,-3.032878959
33.16250,-4.25365659
33.16300,-6.390017444
33.16350,-7.305600667
33.16400,-7.000406259
33.16450,-6.695211852
33.16500,-6.390017444
33.16550,-5.779628628
33.16600,-3.948462182
33.16650,-2.117295736
33.16700,-0.5913236975
33.16750,0.01906511792
33.16800,0.01906511792
33.16850,-1.201712513
33.16900,-2.727684551
33.16950,-3.032878959
33.17000,-1.812101328
33.17050,0.01906511792
33.17100,0.01906511792
33.17150,-0.8965181052
33.17200,-2.117295736
33.17250,-2.727684551
33.17300,-1.812101328
33.17350,0.01906511792
33.17400,3.376203603
33.17450,5.207370049
33.17500,5.512564457
33.17550,4.902175641
33.17600,3.68139801
33.17650,2.155425972
33.17700,0.934648341
33.17750,3.68139801
33.17800,9.785286164
33.17850,14.05800787
33.17900,12.22684143
33.17950,6.733342087
33.18000,2.765814787
33.18050,2.155425972
33.18100,2.46062038
33.18150,1.850231564
33.18200,0.6294539333
33.18250,0.3242595256
33.18300,0.934648341
33.18350,1.850231564
33.18400,3.071009195
33.18450,3.68139801
33.18500,2.765814787
33.18550,1.239842749
33.18600,0.934648341
33.18650,2.155425972
33.18700,2.765814787
33.18750,2.155425972
33.18800,1.850231564
33.18850,2.155425972
33.18900,2.46062038
33.18950,1.545037156
33.19000,0.934648341
33.19050,1.239842749
33.19100,3.376203603
33.19150,6.733342087
33.19200,10.39567498
33.19250,12.83723024
33.19300,12.22684143
33.19350,8.564508534
33.19400,4.902175641
33.19450,3.68139801
33.19500,3.071009195
33.19550,2.46062038
33.19600,3.986592418
33.19650,7.343730903
33.19700,5.207370049
33.19750,-8.831572705
