"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",43.98000,2000,22000,"uV"

"time","value"
43.98000,1.241062916
43.98050,2.461840547
43.98100,3.987812586
43.98150,2.156646139
43.98200,-2.421269976
43.98250,-3.031658792
43.98300,3.072229362
43.98350,8.260534293
43.98400,4.293006993
43.98450,-4.55763083
43.98500,-8.219963722
43.98550,-5.168019645
43.98600,-3.336853199
43.98650,-5.778408461
43.98700,-8.219963722
43.98750,-7.609574907
43.98800,-6.388797276
43.98850,-6.083602869
43.98900,-4.252436422
43.98950,-1.505686753
43.99000,-1.200492345
43.99050,-2.726464384
43.99100,0.02028528547
43.99150,8.565728701
43.99200,16.80597771
43.99250,17.41636652
43.99300,12.533256
43.99350,9.481311924
43.99400,9.176117517
43.99450,8.870923109
43.99500,7.650145478
43.99550,7.650145478
43.99600,9.176117517
43.99650,8.870923109
43.99700,6.124173439
43.99750,3.987812586
43.99800,3.987812586
43.99850,4.293006993
43.99900,3.987812586
43.99950,3.987812586
44.00000,4.598201401
44.00050,3.987812586
44.00100,1.241062916
44.00150,-0.8952979376
44.00200,-0.5901035299
44.00250,1.546257324
44.00300,4.293006993
44.00350,4.903395809
44.00400,3.37742377
44.00450,0.6306741009
44.00500,-0.8952979376
44.00550,0.02028528547
44.00600,2.767034955
44.00650,3.987812586
44.00700,1.546257324
44.00750,-0.8952979376
44.00800,-1.200492345
44.00850,0.6306741009
44.00900,1.241062916
44.00950,0.3254796932
44.01000,-0.2849091222
44.01050,0.02028528547
44.01100,0.3254796932
44.01150,0.02028528547
44.01200,0.02028528547
44.01250,0.6306741009
44.01300,0.02028528547
44.01350,-2.726464384
44.01400,-6.388797276
44.01450,-7.609574907
44.01500,-5.168019645
44.01550,-1.810881161
44.01600,0.3254796932
44.01650,2.156646139
44.01700,3.072229362
44.01750,1.851451732
44.01800,-0.8952979376
44.01850,-3.031658792
44.01900,-1.810881161
44.01950,0.3254796932
44.02000,1.851451732
44.02050,2.156646139
44.02100,1.851451732
44.02150,0.3254796932
44.02200,-3.336853199
44.02250,-7.304380499
44.02300,-7.914769315
44.02350,-5.473214053
44.02400,-4.55763083
44.02450,-6.693991684
44.02500,-10.35632458
44.02550,-12.79787984
44.02600,-14.01865747
44.02650,-14.32385188
44.02700,-11.88229661
44.02750,-5.778408461
44.02800,2.156646139
44.02850,8.565728701
44.02900,11.31247837
44.02950,11.00728396
44.03000,8.870923109
44.03050,5.818979032
44.03100,3.072229362
44.03150,1.546257324
44.03200,0.6306741009
44.03250,-1.200492345
44.03300,-4.55763083
44.03350,-7.609574907
44.03400,-9.440741353
44.03450,-10.96671339
44.03500,-11.88229661
44.03550,-13.10307425
44.03600,-13.40826865
44.03650,-12.79787984
44.03700,-11.2719078
44.03750,-8.830352538
44.03800,-6.083602869
44.03850,-3.642047607
44.03900,-1.810881161
44.03950,0.02028528547
44.04000,0.6306741009
44.04050,-0.2849091222
44.04100,-4.252436422
44.04150,-8.219963722
44.04200,-7.609574907
44.04250,-1.810881161
44.04300,4.598201401
44.04350,8.260534293
44.04400,8.565728701
44.04450,7.650145478
44.04500,6.734562255
44.04550,5.513784624
44.04600,3.987812586
44.04650,2.461840547
44.04700,0.9358685086
44.04750,0.02028528547
44.04800,-1.810881161
44.04850,-3.947242015
44.04900,-6.999186092
44.04950,-9.135546946
44.05000,-8.52515813
44.05050,-5.168019645
44.05100,-3.031658792
44.05150,-3.947242015
44.05200,-5.778408461
44.05250,-4.55763083
44.05300,-0.5901035299
44.05350,1.241062916
44.05400,0.9358685086
44.05450,0.02028528547
44.05500,0.3254796932
44.05550,0.9358685086
44.05600,0.3254796932
44.05650,-0.2849091222
44.05700,0.02028528547
44.05750,0.9358685086
44.05800,0.9358685086
44.05850,-0.8952979376
44.05900,-3.947242015
44.05950,-4.862825238
44.06000,-3.642047607
44.06050,-1.505686753
44.06100,0.02028528547
44.06150,0.02028528547
44.06200,-0.5901035299
44.06250,-0.5901035299
44.06300,0.02028528547
44.06350,0.6306741009
44.06400,0.9358685086
44.06450,0.6306741009
44.06500,0.3254796932
44.06550,0.02028528547
44.06600,-0.5901035299
44.06650,-1.200492345
44.06700,-0.8952979376
44.06750,-0.5901035299
44.06800,-0.8952979376
44.06850,-1.200492345
44.06900,-0.2849091222
44.06950,1.546257324
44.07000,3.682618178
44.07050,5.208590216
44.07100,5.818979032
44.07150,5.513784624
44.07200,4.598201401
44.07250,3.072229362
44.07300,0.9358685086
44.07350,-1.505686753
44.07400,-5.168019645
44.07450,-8.830352538
44.07500,-11.2719078
44.07550,-12.79787984
44.07600,-13.71346306
44.07650,-14.32385188
44.07700,-14.01865747
44.07750,-12.49268543
44.07800,-10.05113017
44.07850,-6.999186092
44.07900,-3.031658792
44.07950,-0.2849091222
44.08000,-0.5901035299
44.08050,-1.810881161
44.08100,0.6306741009
44.08150,8.260534293
44.08200,14.97481126
44.08250,15.89039449
44.08300,12.83845041
44.08350,11.31247837
44.08400,12.533256
44.08450,11.61767278
44.08500,7.039756663
44.08550,2.461840547
44.08600,2.156646139
44.08650,3.987812586
44.08700,3.37742377
44.08750,-0.5901035299
44.08800,-4.55763083
44.08850,-5.168019645
44.08900,-3.642047607
44.08950,-3.031658792
44.09000,-3.031658792
44.09050,-0.8952979376
44.09100,3.37742377
44.09150,6.429367847
44.09200,6.429367847
44.09250,5.513784624
44.09300,5.513784624
44.09350,4.293006993
44.09400,-0.5901035299
44.09450,-6.083602869
44.09500,-6.693991684
44.09550,-2.421269976
44.09600,0.6306741009
