"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",43.98000,2000,22000,"uV"

"time","value"
43.98000,-6.730139148
43.98050,-41.52230163
43.98100,-81.19757463
43.98150,-96.45729501
43.98200,-71.43135358
43.98250,-17.71713782
43.98300,39.96460523
43.98350,75.97754534
43.98400,72.62040685
43.98450,38.43863319
43.98500,10.36074768
43.98550,18.9061911
43.98600,50.6464095
43.98650,65.90612989
43.98700,46.98407661
43.98750,16.15944143
43.98800,-0.6262509935
43.98850,-3.678195071
43.98900,-1.236639809
43.98950,6.393220384
43.99000,19.21138551
43.99050,24.09449603
43.99100,12.19191413
43.99150,-6.119750332
43.99200,-13.13922171
43.99250,-7.340527963
43.99300,-0.01586217811
43.99350,0.5945266373
43.99400,-1.236639809
43.99450,-1.541834217
43.99500,-0.01586217811
43.99550,1.204915453
43.99600,-0.01586217811
43.99650,-2.152223032
43.99700,-3.678195071
43.99750,-3.983389478
43.99800,-5.814555924
43.99850,-9.782083225
43.99900,-12.8340273
43.99950,-11.91844408
44.00000,-10.39247204
44.00050,-11.30805526
44.00100,-10.39247204
44.00150,-3.678195071
44.00200,3.951665122
44.00250,4.25685953
44.00300,-1.847028624
44.00350,-5.814555924
44.00400,-3.373000663
44.00450,-0.3210565858
44.00500,-0.9314454012
44.00550,-3.678195071
44.00600,-5.814555924
44.00650,-9.171694409
44.00700,-13.13922171
44.00750,-15.27558256
44.00800,-13.13922171
44.00850,-9.782083225
44.00900,-9.476888817
44.00950,-13.13922171
44.01000,-19.54830427
44.01050,-25.04180361
44.01100,-23.21063716
44.01150,-11.91844408
44.01200,3.341276307
44.01250,13.10749735
44.01300,12.19191413
44.01350,6.088025976
44.01400,3.341276307
44.01450,5.172442753
44.01500,7.919192422
44.01550,8.529581238
44.01600,5.477637161
44.01650,-0.9314454012
44.01700,-10.39247204
44.01750,-15.58077697
44.01800,-10.08727763
44.01850,3.646470714
44.01900,16.76983025
44.01950,20.73735755
44.02000,17.99060788
44.02050,13.71788617
44.02100,8.22438683
44.02150,0.5945266373
44.02200,-5.509361517
44.02250,-6.119750332
44.02300,-3.678195071
44.02350,-4.593778294
44.02400,-8.561305594
44.02450,-10.08727763
44.02500,-7.645722371
44.02550,-7.035333555
44.02600,-10.08727763
44.02650,-10.39247204
44.02700,-2.45741744
44.02750,7.919192422
44.02800,13.10749735
44.02850,10.36074768
44.02900,5.172442753
44.02950,1.51010986
44.03000,0.899721045
44.03050,3.036081899
44.03100,7.613998014
44.03150,10.66594209
44.03200,9.750358868
44.03250,6.698414791
44.03300,5.172442753
44.03350,5.477637161
44.03400,4.867248345
44.03450,2.120498676
44.03500,-3.373000663
44.03550,-10.39247204
44.03600,-14.35999934
44.03650,-11.30805526
44.03700,-3.373000663
44.03750,2.730887491
44.03800,5.477637161
44.03850,8.529581238
44.03900,12.19191413
44.03950,10.66594209
44.04000,2.730887491
44.04050,-2.45741744
44.04100,2.730887491
44.04150,11.58152531
44.04200,10.66594209
44.04250,-0.9314454012
44.04300,-12.22363849
44.04350,-13.44441612
44.04400,-8.866500001
44.04450,-5.814555924
44.04500,-6.730139148
44.04550,-7.950916778
44.04600,-7.340527963
44.04650,-5.204167109
44.04700,-3.678195071
44.04750,-4.593778294
44.04800,-8.256111186
44.04850,-11.61324967
44.04900,-11.61324967
44.04950,-8.866500001
44.05000,-5.814555924
44.05050,-2.45741744
44.05100,0.5945266373
44.05150,3.036081899
44.05200,2.425693084
44.05250,0.899721045
44.05300,-0.3210565858
44.05350,-4.593778294
44.05400,-10.69766645
44.05450,-11.91844408
44.05500,-5.814555924
44.05550,-1.541834217
44.05600,-5.509361517
44.05650,-8.561305594
44.05700,3.951665122
44.05750,27.45163452
44.05800,39.65941082
44.05850,30.19838418
44.05900,11.88671972
44.05950,1.815304268
44.06000,0.899721045
44.06050,-0.3210565858
44.06100,-7.950916778
44.06150,-18.63272105
44.06200,-25.95738683
44.06250,-25.95738683
44.06300,-19.85349868
44.06350,-15.58077697
44.06400,-16.19116579
44.06450,-10.39247204
44.06500,14.63346939
44.06550,51.25679832
44.06600,71.09443482
44.06650,60.10743614
44.06700,34.16591148
44.06750,19.21138551
44.06800,19.21138551
44.06850,20.73735755
44.06900,16.46463584
44.06950,11.27633091
44.07000,7.919192422
44.07050,4.867248345
44.07100,0.5945266373
44.07150,-1.847028624
44.07200,-3.678195071
44.07250,-7.645722371
44.07300,-12.22363849
44.07350,-12.52883289
44.07400,-7.950916778
44.07450,-3.678195071
44.07500,-3.373000663
44.07550,-3.373000663
44.07600,-1.541834217
44.07650,-0.6262509935
44.07700,-1.541834217
44.07750,-2.45741744
44.07800,-0.9314454012
44.07850,0.2893322296
44.07900,0.5945266373
44.07950,-0.01586217811
44.08000,-1.847028624
44.08050,-7.950916778
44.08100,-15.27558256
44.08150,-17.10674901
44.08200,-11.30805526
44.08250,-6.119750332
44.08300,-8.256111186
44.08350,-13.74961052
44.08400,-16.19116579
44.08450,-16.8015546
44.08500,-18.93791546
44.08550,-20.46388749
44.08600,-18.93791546
44.08650,-17.41194342
44.08700,-17.41194342
44.08750,-10.69766645
44.08800,1.815304268
44.08850,-1.847028624
44.08900,-40.6067184
44.08950,-89.43782363
44.09000,-93.71054534
44.09050,-30.53530295
44.09100,59.49704732
44.09150,114.4320407
44.09200,110.7697078
44.09250,73.23079567
44.09300,38.13343878
44.09350,22.26332958
44.09400,20.73735755
44.09450,21.95813518
44.09500,17.68541347
44.09550,8.529581238
44.09600,-0.6262509935
44.09650,-8.256111186
44.09700,-14.66519375
44.09750,-19.24310986
44.09800,-18.32752664
44.09850,-13.74961052
44.09900,-10.39247204
44.09950,-8.561305594
44.10000,-3.067806255
44.10050,6.698414791
44.10100,15.24385821
44.10150,17.99060788
44.10200,18.60099669
44.10250,18.60099669
44.10300,15.54905261
44.10350,9.750358868
44.10400,3.646470714
44.10450,-4.593778294
44.10500,-18.63272105
44.10550,-32.6716638
44.10600,-34.50283025
44.10650,-21.68466512
44.10700,-7.950916778
44.10750,-2.45741744
44.10800,-0.01586217811
44.10850,5.477637161
44.10900,8.22438683
44.10950,2.120498676
44.11000,-6.42494474
44.11050,-8.866500001
44.11100,-6.119750332
44.11150,-6.42494474
44.11200,-9.476888817
44.11250,-9.476888817
44.11300,-4.898972701
44.11350,-1.541834217
44.11400,-1.541834217
44.11450,-2.762611847
44.11500,-2.152223032
44.11550,-0.6262509935
44.11600,-6.42494474
44.11650,-29.00933091
44.11700,-63.19110457
44.11750,-76.92485292
44.11800,-40.91191281
44.11850,29.28280096
44.11900,77.50351738
44.11950,68.34768515
44.12000,30.50357859
44.12050,13.71788617
44.12100,28.36721774
44.12150,42.40616049
44.12200,34.47110589
44.12250,15.24385821
44.12300,3.036081899
44.12350,-0.01586217811
44.12400,-0.6262509935
44.12450,-0.3210565858
44.12500,-1.541834217
44.12550,-7.950916778
44.12600,-16.8015546
44.12650,-20.46388749
44.12700,-18.02233223
44.12750,-16.19116579
44.12800,-18.32752664
44.12850,-19.54830427
44.12900,-17.10674901
44.12950,-12.22363849
44.13000,-3.983389478
44.13050,8.529581238
44.13100,21.95813518
44.13150,28.06202333
44.13200,25.31527366
44.13250,19.21138551
44.13300,13.10749735
44.13350,7.003609199
44.13400,3.646470714
44.13450,4.562053937
44.13500,1.204915453
44.13550,-12.52883289
44.13600,-29.61971973
44.13650,-35.41841347
44.13700,-27.17816446
44.13750,-17.71713782
44.13800,-12.52883289
44.13850,-6.119750332
44.13900,4.867248345
44.13950,13.41269176
44.14000,12.80230295
44.14050,7.308803607
44.14100,5.172442753
44.14150,5.782831568
44.14200,6.088025976
44.14250,7.308803607
44.14300,11.27633091
44.14350,14.32827498
44.14400,10.36074768
44.14450,1.815304268
44.14500,-3.067806255
44.14550,-2.762611847
44.14600,-3.373000663
44.14650,-10.39247204
44.14700,-19.85349868
44.14750,-25.65219243
44.14800,-28.39894209
44.14850,-31.14569176
44.14900,-32.36646939
44.14950,-28.39894209
44.15000,-23.51583157
44.15050,-25.65219243
44.15100,-31.14569176
44.15150,-21.68466512
44.15200,10.9711365
44.15250,50.34121509
44.15300,68.04249074
44.15350,56.13990884
44.15400,31.72435622
44.15450,15.54905261
44.15500,11.27633091
44.15550,11.88671972
44.15600,11.88671972
44.15650,10.9711365
44.15700,10.36074768
44.15750,8.529581238
44.15800,3.951665122
44.15850,-1.541834217
44.15900,-6.42494474
44.15950,-8.561305594
44.16000,-8.561305594
44.16050,-7.950916778
44.16100,-7.950916778
44.16150,-6.730139148
44.16200,-4.593778294
44.16250,-3.373000663
44.16300,-4.288583886
44.16350,-7.035333555
44.16400,-8.256111186
44.16450,-5.814555924
44.16500,-0.3210565858
44.16550,3.951665122
44.16600,2.730887491
44.16650,-3.983389478
44.16700,-10.39247204
44.16750,-10.08727763
44.16800,-3.983389478
44.16850,0.5945266373
44.16900,1.204915453
44.16950,0.899721045
44.17000,2.730887491
44.17050,4.25685953
44.17100,2.730887491
44.17150,0.899721045
44.17200,0.5945266373
44.17250,1.204915453
44.17300,0.899721045
44.17350,1.815304268
44.17400,4.867248345
44.17450,8.22438683
44.17500,8.529581238
44.17550,7.003609199
44.17600,6.088025976
44.17650,5.477637161
44.17700,3.951665122
44.17750,1.51010986
44.17800,-0.9314454012
44.17850,-3.983389478
44.17900,-7.340527963
44.17950,-7.950916778
44.18000,-4.593778294
44.18050,-0.01586217811
44.18100,2.120498676
44.18150,1.204915453
44.18200,0.2893322296
44.18250,0.899721045
44.18300,2.120498676
44.18350,2.425693084
44.18400,0.899721045
44.18450,-0.9314454012
44.18500,-3.067806255
44.18550,-4.288583886
44.18600,-4.593778294
44.18650,-3.373000663
44.18700,-0.01586217811
44.18750,2.730887491
44.18800,1.51010986
44.18850,-2.45741744
44.18900,-4.898972701
44.18950,-3.678195071
44.19000,-3.983389478
44.19050,-8.256111186
44.19100,-9.476888817
44.19150,-0.6262509935
44.19200,11.88671972
44.19250,15.24385821
44.19300,8.834775645
44.19350,3.646470714
44.19400,6.088025976
44.19450,9.445164461
44.19500,9.445164461
44.19550,9.750358868
44.19600,9.750358868
44.19650,2.120498676
44.19700,-13.74961052
44.19750,-27.17816446
44.19800,-29.31452532
44.19850,-26.56777565
44.19900,-24.43141479
44.19950,-15.27558256
44.20000,6.393220384
