"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",65.98000,2000,22000,"uV"

"time","value"
65.98000,-8.355249799
65.98050,-7.134472168
65.98100,-6.829277761
65.98150,-4.998111315
65.98200,-5.913694538
65.98250,-9.57602743
65.98300,-8.965638615
65.98350,-1.946167238
65.98400,4.462915324
65.98450,5.683692955
65.98500,6.904470586
65.98550,13.00835874
65.98600,18.80705249
65.98650,15.449914
65.98700,3.242137693
65.98750,-8.050055392
65.98800,-13.23836032
65.98850,-12.93316591
65.98900,-9.57602743
65.98950,-4.998111315
65.99000,-0.420195199
65.99050,3.547332101
65.99100,8.735637032
65.99150,15.75510841
65.99200,24.60574623
65.99250,36.50832813
65.99300,52.07324293
65.99350,64.28101923
65.99400,61.83946397
65.99450,42.61221629
65.99500,16.67069163
65.99550,-4.082528091
65.99600,-19.95263729
65.99650,-35.82274649
65.99700,-49.55649484
65.99750,-51.9980501
65.99800,-41.01105142
65.99850,-25.75133104
65.99900,-17.20588762
65.99950,-15.06952677
66.00000,-14.15394355
66.00050,-19.03705407
66.00100,-39.17988498
66.00150,-63.59543759
66.00200,-59.01752148
66.00250,-10.18641625
66.00300,49.02129885
66.00350,65.50179686
66.00400,33.45638406
66.00450,5.07330414
66.00500,23.69016301
66.00550,72.52126824
66.00600,100.2939593
66.00650,88.39137744
66.00700,61.22907516
66.00750,45.66416036
66.00800,41.69663306
66.00850,34.67716169
66.00900,14.83952519
66.00950,-17.51108203
66.01000,-56.57596622
66.01050,-87.40060139
66.01100,-93.19929514
66.01150,-68.78374252
66.01200,-28.49808071
66.01250,5.07330414
66.01300,18.50185808
66.01350,18.50185808
66.01400,23.07977419
66.01450,39.56027221
66.01500,52.68363174
66.01550,42.91741069
66.01600,16.06030282
66.01650,-3.166944868
66.01700,-5.913694538
66.01750,-9.57602743
66.01800,-30.02405275
66.01850,-52.60843892
66.01900,-53.21882773
66.01950,-34.90716327
66.02000,-22.08899815
66.02050,-27.27730308
66.02100,-39.48507938
66.02150,-44.0629955
66.02200,-37.34871853
66.02250,-21.17341492
66.02300,0.8005824318
66.02350,21.85899656
66.02400,31.3200232
66.02450,27.04730149
66.02500,17.58627486
66.02550,12.09277552
66.02600,10.87199789
66.02650,10.26160907
66.02700,7.209664994
66.02750,1.716165655
66.02800,-3.777333684
66.02850,-7.439666576
66.02900,-9.881221838
66.02950,-13.84874914
66.03000,-20.2578317
66.03050,-25.14094222
66.03100,-25.44613663
66.03150,-23.61497018
66.03200,-22.39419255
66.03250,-19.64744288
66.03300,-14.76433236
66.03350,-13.23836032
66.03400,-16.90069321
66.03450,-17.20588762
66.03500,-6.218888945
66.03550,8.125248217
66.03600,13.31355315
66.03650,7.209664994
66.03700,-0.1150007913
66.03750,-4.998111315
66.03800,-10.79680506
66.03850,-16.2903044
66.03900,-12.01758269
66.03950,2.631748878
66.04000,14.53433078
