"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",241.98000,2000,22000,"uV"

"time","value"
241.98000,5.683692955
241.98050,0.1901936164
241.98100,-3.166944868
241.98150,-4.082528091
241.98200,-4.692916907
241.98250,-5.60850013
241.98300,-5.303305722
241.98350,-4.692916907
241.98400,-4.998111315
241.98450,-6.829277761
241.98500,-8.965638615
241.98550,-9.270833022
241.98600,-8.965638615
241.98650,-8.050055392
241.98700,-7.134472168
241.98750,-6.524083353
241.98800,-7.134472168
241.98850,-8.965638615
241.98900,-10.18641625
241.98950,-10.18641625
241.99000,-9.57602743
241.99050,-9.881221838
241.99100,-10.49161065
241.99150,-10.49161065
241.99200,-10.18641625
241.99250,-9.57602743
241.99300,-8.050055392
241.99350,-6.524083353
241.99400,-6.218888945
241.99450,-7.744860984
241.99500,-9.57602743
241.99550,-10.18641625
241.99600,-9.881221838
241.99650,-9.881221838
241.99700,-9.881221838
241.99750,-8.660444207
241.99800,-8.050055392
241.99850,-8.355249799
241.99900,-8.050055392
241.99950,-5.913694538
242.00000,-2.556556053
242.00050,-0.7253896067
242.00100,-0.1150007913
242.00150,-0.1150007913
242.00200,-0.1150007913
242.00250,-0.420195199
242.00300,-0.420195199
242.00350,0.4953880241
242.00400,1.410971247
242.00450,1.105776839
242.00500,-0.1150007913
242.00550,-1.030584014
242.00600,-1.64097283
242.00650,-2.556556053
242.00700,-2.861750461
242.00750,-1.030584014
242.00800,1.105776839
242.00850,2.021360063
242.00900,1.716165655
242.00950,2.021360063
242.01000,2.631748878
242.01050,2.631748878
242.01100,2.32655447
242.01150,2.936943286
242.01200,4.157720917
242.01250,4.157720917
242.01300,3.242137693
242.01350,3.547332101
242.01400,5.07330414
242.01450,5.988887363
242.01500,5.988887363
242.01550,6.29408177
242.01600,5.683692955
242.01650,1.410971247
242.01700,-4.082528091
242.01750,-6.524083353
242.01800,-4.387722499
242.01850,-2.251361645
242.01900,-3.166944868
242.01950,-5.60850013
242.02000,-5.913694538
242.02050,-4.692916907
242.02100,-4.082528091
242.02150,-4.692916907
242.02200,-6.218888945
242.02250,-9.270833022
242.02300,-13.54355473
242.02350,-16.2903044
242.02400,-15.06952677
242.02450,-11.10199947
242.02500,-6.218888945
242.02550,-0.1150007913
242.02600,6.904470586
242.02650,10.26160907
242.02700,6.29408177
242.02750,0.4953880241
242.02800,3.242137693
242.02850,15.449914
242.02900,26.13171827
242.02950,24.91094064
242.03000,14.53433078
242.03050,5.378498547
242.03100,3.852526509
242.03150,5.683692955
242.03200,5.378498547
242.03250,2.936943286
242.03300,2.021360063
242.03350,3.547332101
242.03400,4.768109732
242.03450,3.852526509
242.03500,2.021360063
242.03550,2.021360063
242.03600,4.157720917
242.03650,5.988887363
242.03700,5.378498547
242.03750,3.547332101
242.03800,3.547332101
242.03850,5.07330414
242.03900,6.599276178
242.03950,6.904470586
242.04000,7.820053809
242.04050,9.651220255
242.04100,10.87199789
242.04150,9.956414663
242.04200,6.29408177
242.04250,2.631748878
242.04300,0.4953880241
242.04350,-0.1150007913
242.04400,-0.420195199
242.04450,-1.64097283
242.04500,-2.251361645
242.04550,-1.64097283
242.04600,-0.1150007913
242.04650,0.4953880241
242.04700,-0.1150007913
242.04750,-0.1150007913
242.04800,-0.1150007913
242.04850,-0.1150007913
242.04900,-1.335778422
242.04950,-2.556556053
242.05000,-1.335778422
242.05050,1.105776839
242.05100,2.32655447
242.05150,1.410971247
242.05200,-0.1150007913
242.05250,-0.1150007913
242.05300,-0.1150007913
242.05350,-0.1150007913
242.05400,-0.420195199
242.05450,-0.1150007913
242.05500,0.8005824318
242.05550,0.1901936164
242.05600,-1.64097283
242.05650,-3.777333684
242.05700,-4.692916907
242.05750,-4.387722499
242.05800,-3.166944868
242.05850,-1.946167238
242.05900,-1.64097283
242.05950,-2.861750461
242.06000,-4.692916907
242.06050,-5.303305722
242.06100,-5.913694538
242.06150,-6.524083353
242.06200,-7.134472168
242.06250,-6.524083353
242.06300,-4.387722499
242.06350,-2.861750461
242.06400,-1.946167238
242.06450,-0.7253896067
242.06500,0.8005824318
242.06550,1.105776839
242.06600,-1.335778422
242.06650,-4.998111315
242.06700,-6.524083353
242.06750,-4.998111315
242.06800,-3.166944868
242.06850,-2.861750461
242.06900,-3.166944868
242.06950,-2.556556053
242.07000,-0.7253896067
242.07050,1.410971247
242.07100,1.716165655
242.07150,-0.1150007913
242.07200,-3.166944868
242.07250,-4.387722499
242.07300,-2.556556053
242.07350,-0.1150007913
242.07400,1.410971247
242.07450,1.410971247
242.07500,1.410971247
242.07550,1.410971247
242.07600,0.8005824318
242.07650,-0.420195199
242.07700,-1.64097283
242.07750,-3.166944868
242.07800,-5.913694538
242.07850,-8.965638615
242.07900,-9.270833022
242.07950,-7.134472168
242.08000,-4.387722499
242.08050,-3.472139276
242.08100,-4.692916907
242.08150,-6.524083353
242.08200,-5.303305722
242.08250,0.4953880241
242.08300,9.956414663
242.08350,16.97588604
242.08400,17.58627486
242.08450,12.70316433
242.08500,6.29408177
242.08550,1.105776839
242.08600,-1.946167238
242.08650,-2.251361645
242.08700,-0.1150007913
242.08750,2.631748878
242.08800,2.936943286
242.08850,0.8005824318
242.08900,-1.335778422
242.08950,-3.472139276
242.09000,-5.303305722
242.09050,-5.913694538
242.09100,-5.303305722
242.09150,-6.218888945
242.09200,-10.18641625
242.09250,-12.62797151
242.09300,-7.439666576
242.09350,3.242137693
242.09400,9.651220255
242.09450,6.904470586
242.09500,1.410971247
242.09550,2.021360063
242.09600,7.820053809
242.09650,12.09277552
242.09700,12.09277552
242.09750,11.78758111
242.09800,13.92394196
242.09850,15.449914
242.09900,13.61874756
242.09950,7.820053809
242.10000,0.8005824318
242.10050,-3.777333684
242.10100,-5.303305722
242.10150,-4.082528091
242.10200,-3.472139276
242.10250,-5.303305722
242.10300,-8.050055392
242.10350,-7.744860984
242.10400,-4.082528091
242.10450,-1.335778422
242.10500,-1.335778422
242.10550,-1.64097283
242.10600,1.716165655
242.10650,8.430442624
242.10700,13.00835874
242.10750,12.39796992
242.10800,8.735637032
242.10850,5.988887363
242.10900,3.852526509
242.10950,1.410971247
242.11000,-0.7253896067
242.11050,-1.030584014
242.11100,-0.1150007913
242.11150,-0.420195199
242.11200,-1.64097283
242.11250,-1.64097283
242.11300,-0.1150007913
242.11350,0.8005824318
242.11400,-0.1150007913
242.11450,-1.030584014
242.11500,-1.335778422
242.11550,-1.946167238
242.11600,-4.387722499
242.11650,-6.524083353
242.11700,-5.913694538
242.11750,-4.082528091
242.11800,-3.472139276
242.11850,-4.082528091
242.11900,-4.387722499
242.11950,-3.777333684
242.12000,-3.777333684
242.12050,-4.387722499
242.12100,-5.303305722
242.12150,-5.913694538
242.12200,-7.134472168
242.12250,-8.050055392
242.12300,-7.744860984
242.12350,-6.524083353
242.12400,-5.303305722
242.12450,-4.998111315
242.12500,-4.082528091
242.12550,-3.166944868
242.12600,-3.777333684
242.12650,-4.692916907
242.12700,-4.998111315
242.12750,-4.082528091
242.12800,-3.472139276
242.12850,-2.861750461
242.12900,-2.556556053
242.12950,-2.251361645
242.13000,-1.946167238
242.13050,-1.335778422
242.13100,0.1901936164
242.13150,2.32655447
242.13200,4.157720917
242.13250,6.29408177
242.13300,9.346025847
242.13350,11.4823867
242.13400,9.651220255
242.13450,5.07330414
242.13500,1.410971247
242.13550,1.105776839
242.13600,2.936943286
242.13650,4.768109732
242.13700,3.852526509
242.13750,-1.64097283
242.13800,-10.18641625
242.13850,-15.37472118
242.13900,-13.84874914
242.13950,-8.355249799
242.14000,-5.60850013
242.14050,-7.134472168
242.14100,-8.660444207
242.14150,-7.439666576
242.14200,-5.303305722
242.14250,-4.082528091
242.14300,-3.166944868
242.14350,-1.030584014
242.14400,0.4953880241
242.14450,0.4953880241
242.14500,0.4953880241
242.14550,1.105776839
242.14600,2.32655447
242.14650,2.32655447
242.14700,2.631748878
242.14750,3.852526509
242.14800,4.768109732
242.14850,3.242137693
242.14900,0.8005824318
242.14950,0.4953880241
242.15000,1.716165655
242.15050,2.936943286
242.15100,2.631748878
242.15150,1.410971247
242.15200,0.1901936164
242.15250,-1.030584014
242.15300,-2.251361645
242.15350,-1.335778422
242.15400,1.410971247
242.15450,5.07330414
242.15500,5.378498547
242.15550,2.936943286
242.15600,-0.420195199
242.15650,-2.251361645
242.15700,-3.166944868
242.15750,-3.472139276
242.15800,-3.777333684
242.15850,-2.861750461
242.15900,-0.1150007913
242.15950,5.378498547
242.16000,10.26160907
242.16050,10.87199789
242.16100,6.599276178
242.16150,1.105776839
242.16200,-0.420195199
242.16250,1.410971247
242.16300,2.32655447
242.16350,-0.1150007913
242.16400,-1.946167238
242.16450,0.8005824318
242.16500,7.820053809
242.16550,10.87199789
242.16600,5.683692955
242.16650,-4.082528091
242.16700,-12.62797151
242.16750,-15.67991558
242.16800,-12.93316591
242.16850,-5.60850013
242.16900,3.242137693
242.16950,11.17719229
242.17000,17.58627486
242.17050,21.24860775
242.17100,20.02783012
242.17150,11.78758111
242.17200,0.4953880241
242.17250,-6.524083353
242.17300,-5.913694538
242.17350,-1.64097283
242.17400,1.410971247
242.17450,5.07330414
242.17500,11.4823867
242.17550,18.19666367
242.17600,20.63821893
242.17650,17.28108045
242.17700,11.78758111
242.17750,6.904470586
242.17800,3.242137693
242.17850,0.8005824318
242.17900,0.1901936164
242.17950,0.4953880241
242.18000,-0.1150007913
242.18050,-1.335778422
242.18100,-2.556556053
242.18150,-3.166944868
242.18200,-3.166944868
242.18250,-3.472139276
242.18300,-4.082528091
242.18350,-4.082528091
242.18400,-4.082528091
242.18450,-3.472139276
242.18500,-3.166944868
242.18550,-2.861750461
242.18600,-2.251361645
242.18650,-0.420195199
242.18700,-0.1150007913
242.18750,-1.946167238
242.18800,-5.60850013
242.18850,-6.524083353
242.18900,-3.472139276
242.18950,-1.030584014
242.19000,-1.946167238
242.19050,-2.861750461
242.19100,-1.335778422
242.19150,-0.1150007913
242.19200,-3.166944868
242.19250,-8.355249799
242.19300,-8.355249799
242.19350,-1.64097283
242.19400,4.768109732
242.19450,5.378498547
242.19500,0.8005824318
242.19550,-3.166944868
242.19600,-4.082528091
242.19650,-4.082528091
242.19700,-5.60850013
242.19750,-8.355249799
242.19800,-10.79680506
242.19850,-10.79680506
242.19900,-8.660444207
242.19950,-6.524083353
242.20000,-5.913694538
242.20050,-5.60850013
242.20100,-4.387722499
242.20150,-2.861750461
242.20200,-2.251361645
242.20250,-1.946167238
242.20300,0.1901936164
242.20350,6.29408177
242.20400,13.31355315
242.20450,17.58627486
242.20500,16.06030282
242.20550,10.56680348
242.20600,5.378498547
242.20650,3.547332101
242.20700,4.768109732
242.20750,5.683692955
242.20800,3.852526509
242.20850,0.4953880241
242.20900,-1.335778422
242.20950,-1.030584014
242.21000,0.4953880241
242.21050,1.105776839
242.21100,-0.7253896067
242.21150,-5.913694538
242.21200,-11.10199947
242.21250,-12.3227771
242.21300,-10.18641625
242.21350,-6.829277761
242.21400,-2.556556053
242.21450,2.936943286
242.21500,8.125248217
242.21550,6.29408177
242.21600,-2.556556053
242.21650,-9.57602743
242.21700,-6.524083353
242.21750,2.936943286
242.21800,6.599276178
242.21850,-0.7253896067
242.21900,-12.62797151
242.21950,-17.81627644
242.22000,-13.84874914
242.22050,-7.744860984
242.22100,-4.998111315
242.22150,-6.218888945
242.22200,-8.355249799
242.22250,-9.270833022
242.22300,-8.050055392
242.22350,-5.913694538
242.22400,-3.166944868
242.22450,-1.946167238
242.22500,-2.861750461
242.22550,-4.998111315
242.22600,-7.134472168
242.22650,-6.829277761
242.22700,-2.861750461
242.22750,3.547332101
242.22800,9.346025847
242.22850,11.4823867
242.22900,10.56680348
242.22950,8.735637032
242.23000,5.683692955
242.23050,1.105776839
242.23100,-2.251361645
242.23150,-2.861750461
242.23200,-1.335778422
242.23250,-1.946167238
242.23300,-4.082528091
242.23350,-2.861750461
242.23400,2.32655447
242.23450,5.988887363
242.23500,3.852526509
242.23550,1.410971247
242.23600,5.07330414
242.23650,12.09277552
242.23700,15.449914
242.23750,14.22913637
242.23800,13.00835874
242.23850,14.53433078
242.23900,15.14471959
242.23950,12.70316433
242.24000,9.956414663
242.24050,9.346025847
242.24100,10.56680348
242.24150,10.26160907
242.24200,7.514859401
242.24250,2.631748878
242.24300,-2.251361645
242.24350,-5.303305722
242.24400,-5.303305722
242.24450,-3.166944868
242.24500,-2.251361645
242.24550,-3.472139276
242.24600,-4.082528091
242.24650,-2.556556053
242.24700,-0.420195199
242.24750,-0.1150007913
242.24800,-1.335778422
242.24850,-3.472139276
242.24900,-5.60850013
242.24950,-7.744860984
242.25000,-8.050055392
242.25050,-6.524083353
242.25100,-5.913694538
242.25150,-7.744860984
242.25200,-10.79680506
242.25250,-11.71238828
242.25300,-10.49161065
242.25350,-9.57602743
242.25400,-9.57602743
242.25450,-8.050055392
242.25500,-4.082528091
242.25550,0.4953880241
242.25600,4.157720917
242.25650,5.988887363
242.25700,5.683692955
242.25750,4.768109732
242.25800,3.242137693
242.25850,2.32655447
242.25900,1.716165655
242.25950,0.4953880241
242.26000,-0.7253896067
242.26050,-1.030584014
242.26100,0.4953880241
242.26150,2.936943286
242.26200,3.547332101
242.26250,2.32655447
242.26300,-0.1150007913
242.26350,-3.166944868
242.26400,-5.913694538
242.26450,-6.524083353
242.26500,-4.692916907
242.26550,-1.030584014
242.26600,0.8005824318
242.26650,0.4953880241
242.26700,0.1901936164
242.26750,2.32655447
242.26800,5.683692955
242.26850,6.904470586
242.26900,5.07330414
242.26950,2.936943286
242.27000,1.716165655
242.27050,1.410971247
242.27100,1.105776839
242.27150,1.716165655
242.27200,2.021360063
242.27250,1.105776839
242.27300,0.1901936164
242.27350,1.410971247
242.27400,4.157720917
242.27450,2.936943286
242.27500,-3.777333684
242.27550,-10.79680506
242.27600,-10.18641625
242.27650,-3.166944868
242.27700,2.021360063
242.27750,1.105776839
242.27800,-1.946167238
242.27850,-2.861750461
242.27900,-0.1150007913
242.27950,1.716165655
242.28000,1.410971247
242.28050,0.8005824318
242.28100,2.32655447
242.28150,4.768109732
242.28200,5.988887363
242.28250,3.852526509
242.28300,-0.1150007913
242.28350,-2.861750461
242.28400,-3.777333684
242.28450,-1.946167238
242.28500,-0.7253896067
242.28550,-1.946167238
242.28600,-4.387722499
242.28650,-5.303305722
242.28700,-2.861750461
242.28750,-0.1150007913
242.28800,0.1901936164
242.28850,-1.030584014
242.28900,-2.251361645
242.28950,-1.946167238
242.29000,-1.946167238
242.29050,-2.861750461
