"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CAPR.U RT","s",263.98000,2000,22000,"uV"

"time","value"
263.98000,14.66961686
263.98050,17.41636652
263.98100,18.63714416
263.98150,15.58520008
263.98200,10.39689515
263.98250,7.955339886
263.98300,9.176117517
263.98350,9.786506332
263.98400,7.650145478
263.98450,5.818979032
263.98500,5.513784624
263.98550,5.818979032
263.98600,4.903395809
263.98650,3.37742377
263.98700,2.461840547
263.98750,1.241062916
263.98800,-0.2849091222
263.98850,-1.505686753
263.98900,-2.116075568
263.98950,-2.726464384
263.99000,-3.642047607
263.99050,-4.252436422
263.99100,-3.947242015
263.99150,-3.336853199
263.99200,-2.726464384
263.99250,-1.810881161
263.99300,-1.200492345
263.99350,-1.505686753
263.99400,-2.116075568
263.99450,-3.031658792
263.99500,-4.55763083
263.99550,-5.168019645
263.99600,-3.642047607
263.99650,-0.8952979376
263.99700,0.9358685086
263.99750,0.6306741009
263.99800,0.02028528547
263.99850,0.02028528547
263.99900,0.9358685086
263.99950,0.9358685086
264.00000,0.3254796932
264.00050,0.9358685086
264.00100,2.461840547
264.00150,3.072229362
264.00200,2.156646139
264.00250,0.3254796932
264.00300,-0.2849091222
264.00350,0.02028528547
264.00400,0.9358685086
264.00450,1.546257324
264.00500,0.3254796932
264.00550,-1.200492345
264.00600,-1.810881161
264.00650,-1.505686753
264.00700,-0.8952979376
264.00750,-1.200492345
264.00800,-1.200492345
264.00850,0.02028528547
264.00900,0.3254796932
264.00950,-0.2849091222
264.01000,-2.421269976
264.01050,-4.252436422
264.01100,-4.862825238
264.01150,-4.252436422
264.01200,-3.336853199
264.01250,-2.726464384
264.01300,-2.726464384
264.01350,-3.336853199
264.01400,-3.336853199
264.01450,-2.726464384
264.01500,-2.726464384
264.01550,-3.031658792
264.01600,-2.726464384
264.01650,-0.5901035299
264.01700,1.851451732
264.01750,4.598201401
264.01800,6.124173439
264.01850,4.903395809
264.01900,1.851451732
264.01950,-2.116075568
264.02000,-4.862825238
264.02050,-6.083602869
264.02100,-6.693991684
264.02150,-6.693991684
264.02200,-5.473214053
264.02250,-4.252436422
264.02300,-4.55763083
264.02350,-6.388797276
264.02400,-7.609574907
264.02450,-7.304380499
264.02500,-6.999186092
264.02550,-7.914769315
264.02600,-9.745935761
264.02650,-10.05113017
264.02700,-7.609574907
264.02750,-3.947242015
264.02800,-0.8952979376
264.02850,1.546257324
264.02900,5.818979032
264.02950,11.61767278
264.03000,15.58520008
264.03050,15.89039449
264.03100,14.05922804
264.03150,13.44883922
264.03200,15.28000567
264.03250,15.28000567
264.03300,11.61767278
264.03350,5.818979032
264.03400,1.851451732
264.03450,1.241062916
264.03500,1.546257324
264.03550,0.02028528547
264.03600,-3.947242015
264.03650,-8.219963722
264.03700,-12.79787984
264.03750,-16.76540714
264.03800,-17.07060155
264.03850,-13.10307425
264.03900,-6.693991684
264.03950,-2.116075568
264.04000,0.02028528547
264.04050,0.9358685086
264.04100,2.767034955
264.04150,3.682618178
264.04200,3.682618178
264.04250,6.429367847
264.04300,13.44883922
264.04350,19.85792179
264.04400,20.16311619
264.04450,14.97481126
264.04500,9.176117517
264.04550,4.903395809
264.04600,-0.2849091222
264.04650,-6.999186092
264.04700,-10.05113017
264.04750,-7.609574907
264.04800,-2.726464384
264.04850,-0.2849091222
264.04900,0.02028528547
264.04950,0.3254796932
